county,state,percentCollege,percentCollegeBucket,year
Peach,GA,20.5,278,2019
Pickens,GA,23.1,338,2019
Pierce,GA,12.6,53,2019
Pike,GA,17.1,181,2019
Polk,GA,13.7,80,2019
Pulaski,GA,13.2,67,2019
Putnam,GA,23.4,344,2019
Quitman,GA,7.1,0,2019
Rabun,GA,24.2,359,2019
Randolph,GA,10.3,17,2019
Richmond,GA,21.4,300,2019
Rockdale,GA,26.3,389,2019
Schley,GA,13.3,70,2019
Screven,GA,15.4,128,2019
Seminole,GA,16.2,155,2019
Spalding,GA,17.8,202,2019
Stephens,GA,21,290,2019
Stewart,GA,12.2,44,2019
Sumter,GA,18.3,217,2019
Talbot,GA,12.1,41,2019
Taliaferro,GA,8.1,2,2019
Tattnall,GA,13.2,67,2019
Taylor,GA,12.6,53,2019
Telfair,GA,8.6,4,2019
Terrell,GA,11.2,26,2019
Thomas,GA,24.7,367,2019
Tift,GA,18.1,211,2019
Toombs,GA,16.2,155,2019
Towns,GA,30.1,426,2019
Treutlen,GA,12.4,48,2019
Troup,GA,19,239,2019
Turner,GA,11.7,35,2019
Twiggs,GA,11.8,36,2019
Union,GA,22.5,324,2019
Upson,GA,13.4,73,2019
Walker,GA,16.6,167,2019
Walton,GA,21.7,306,2019
Ware,GA,15.2,123,2019
Warren,GA,12.3,46,2019
Washington,GA,12.3,46,2019
Wayne,GA,13,63,2019
Webster,GA,14.7,109,2019
Wheeler,GA,13.6,77,2019
White,GA,22.7,327,2019
Whitfield,GA,15.7,137,2019
Wilcox,GA,12.2,44,2019
Wilkes,GA,13.8,83,2019
Wilkinson,GA,10.9,23,2019
Worth,GA,11,24,2019
Hawaii,HI,29.4,421,2019
Honolulu,HI,35,463,2019
Kalawao,HI,24.2,359,2019
Kauai,HI,29.2,419,2019
Maui,HI,27.2,399,2019
Ada,ID,38.5,478,2019
Adams,ID,21.2,296,2019
Bannock,ID,27.8,403,2019
Bear Lake,ID,18.9,236,2019
Benewah,ID,15.2,123,2019
Bingham,ID,21.2,296,2019
Blaine,ID,35.4,465,2019
Boise,ID,27.1,397,2019
Bonner,ID,23.8,352,2019
Bonneville,ID,31.3,436,2019
Boundary,ID,19.8,261,2019
Butte,ID,16.2,155,2019
Camas,ID,16.3,158,2019
Canyon,ID,18.7,230,2019
Caribou,ID,19,239,2019
Cassia,ID,18.6,226,2019
Clark,ID,12.2,44,2019
Clearwater,ID,17.9,204,2019
Custer,ID,24.4,361,2019
Elmore,ID,18.7,230,2019
Franklin,ID,17.7,198,2019
Fremont,ID,21.7,306,2019
Gem,ID,17.5,194,2019
Gooding,ID,17.2,185,2019
Idaho,ID,19.8,261,2019
Jefferson,ID,24.7,367,2019
Jerome,ID,16.1,151,2019
Kootenai,ID,25.2,375,2019
Latah,ID,45.4,495,2019
Lemhi,ID,22.9,334,2019
Lewis,ID,17.9,204,2019
Lincoln,ID,10.3,17,2019
Madison,ID,36.4,472,2019
Minidoka,ID,14.1,91,2019
Nez Perce,ID,22.9,334,2019
Oneida,ID,17.1,181,2019
Owyhee,ID,12,40,2019
Payette,ID,15.7,137,2019
Power,ID,15.1,121,2019
Shoshone,ID,11.5,32,2019
Teton,ID,41,485,2019
Twin Falls,ID,20.6,280,2019
Valley,ID,30.4,429,2019
Washington,ID,16.3,158,2019
Adams,IL,25,372,2019
Alexander,IL,12.9,60,2019
Bond,IL,22.9,334,2019
Boone,IL,23.5,346,2019
Brown,IL,14.1,91,2019
Bureau,IL,20.6,280,2019
Calhoun,IL,14.2,94,2019
Carroll,IL,19.5,254,2019
Cass,IL,15.1,121,2019
Champaign,IL,45,494,2019
Christian,IL,17.1,181,2019
Clark,IL,19.9,264,2019
Clay,IL,15,118,2019
Clinton,IL,22.3,320,2019
Coles,IL,26,385,2019
Cook,IL,38.8,479,2019
Crawford,IL,17.1,181,2019
Cumberland,IL,15.4,128,2019
DeKalb,IL,32.3,445,2019
De Witt,IL,21.3,297,2019
Douglas,IL,18.9,236,2019
DuPage,IL,49.4,501,2019
Edgar,IL,17.2,185,2019
Edwards,IL,13.9,86,2019
Effingham,IL,22.7,327,2019
Fayette,IL,11.3,28,2019
Ford,IL,21.4,300,2019
Franklin,IL,16.7,170,2019
Fulton,IL,17.6,196,2019
Gallatin,IL,10.9,23,2019
Greene,IL,12.8,58,2019
Grundy,IL,22.9,334,2019
Hamilton,IL,17,177,2019
Hancock,IL,21,290,2019
Hardin,IL,10.8,22,2019
Henderson,IL,18.3,217,2019
Henry,IL,23.3,343,2019
Iroquois,IL,15.9,145,2019
Jackson,IL,34.1,458,2019
Jasper,IL,16.6,167,2019
Jefferson,IL,17.9,204,2019
Jersey,IL,20.3,273,2019
Jo Daviess,IL,25,372,2019
Johnson,IL,16,147,2019
Kane,IL,33.1,451,2019
Kankakee,IL,20.8,284,2019
Kendall,IL,36.2,470,2019
Knox,IL,18.9,236,2019
Lake,IL,45.3,495,2019
LaSalle,IL,17.8,202,2019
Lawrence,IL,14.9,116,2019
Lee,IL,18.2,214,2019
Livingston,IL,14.8,112,2019
Logan,IL,19.9,264,2019
McDonough,IL,32.2,444,2019
McHenry,IL,34.4,460,2019
McLean,IL,44.8,494,2019
Macon,IL,22.1,315,2019
Macoupin,IL,18.4,220,2019
Madison,IL,26.8,394,2019
Marion,IL,15.2,123,2019
Marshall,IL,18.9,236,2019
Mason,IL,16,147,2019
Massac,IL,13.9,86,2019
Menard,IL,24,355,2019
Mercer,IL,17.4,192,2019
Monroe,IL,35,463,2019
Montgomery,IL,16.7,170,2019
Morgan,IL,19.3,247,2019
Moultrie,IL,18.6,226,2019
Ogle,IL,21.4,300,2019
Peoria,IL,30.6,431,2019
Perry,IL,12.5,51,2019
Piatt,IL,28.6,412,2019
Pike,IL,17.8,202,2019
Pope,IL,13.1,64,2019
Pulaski,IL,12.5,51,2019
Putnam,IL,16.6,167,2019
Randolph,IL,13.3,70,2019
Richland,IL,21,290,2019
Rock Island,IL,23.5,346,2019
St. Clair,IL,28,405,2019
Saline,IL,19.2,244,2019
Sangamon,IL,34.5,461,2019
Schuyler,IL,20.4,275,2019
Scott,IL,15.8,141,2019
Shelby,IL,16.8,172,2019
Stark,IL,17,177,2019
Stephenson,IL,19.6,257,2019
Tazewell,IL,26.3,389,2019
Union,IL,21.7,306,2019
Vermilion,IL,14.7,109,2019
Wabash,IL,18.2,214,2019
Warren,IL,22.8,331,2019
Washington,IL,20.9,287,2019
Wayne,IL,15.4,128,2019
White,IL,15.5,131,2019
Whiteside,IL,18.2,214,2019
Will,IL,34.3,459,2019
Williamson,IL,24.3,360,2019
Winnebago,IL,22.9,334,2019
Woodford,IL,33.2,452,2019
Adams,IN,15.5,131,2019
Allen,IN,28.5,411,2019
Bartholomew,IN,33.5,455,2019
Benton,IN,16.1,151,2019
Blackford,IN,13.5,75,2019
Boone,IN,49.3,501,2019
Brown,IN,28.9,415,2019
Carroll,IN,16.7,170,2019
Cass,IN,13.3,70,2019
Clark,IN,21.2,296,2019
Clay,IN,17,177,2019
Clinton,IN,16.3,158,2019
Crawford,IN,10.3,17,2019
Daviess,IN,13.2,67,2019
Dearborn,IN,22.9,334,2019
Decatur,IN,20.6,280,2019
DeKalb,IN,18,208,2019
Delaware,IN,23.7,350,2019
Dubois,IN,23.7,350,2019
Elkhart,IN,19.8,261,2019
Fayette,IN,13.3,70,2019
Floyd,IN,29.6,422,2019
Fountain,IN,14.9,116,2019
Franklin,IN,21.1,293,2019
Fulton,IN,15.8,141,2019
Gibson,IN,18,208,2019
Grant,IN,17.9,204,2019
Greene,IN,14.9,116,2019
Hamilton,IN,59.3,509,2019
Hancock,IN,30.8,433,2019
Harrison,IN,18.7,230,2019
Hendricks,IN,37,473,2019
Henry,IN,16.4,161,2019
Howard,IN,21.6,304,2019
Huntington,IN,20.1,268,2019
Jackson,IN,16.7,170,2019
Jasper,IN,14.3,96,2019
Jay,IN,11.4,30,2019
Jefferson,IN,17.9,204,2019
Jennings,IN,12,40,2019
Johnson,IN,32.7,449,2019
Knox,IN,16.9,175,2019
Kosciusko,IN,23.3,343,2019
LaGrange,IN,10.5,19,2019
Lake,IN,22.6,326,2019
LaPorte,IN,18,208,2019
Lawrence,IN,15.8,141,2019
Madison,IN,18.4,220,2019
Marion,IN,30.9,434,2019
Marshall,IN,19.7,259,2019
Martin,IN,13.7,80,2019
Miami,IN,13,63,2019
Monroe,IN,45.7,496,2019
Montgomery,IN,18.2,214,2019
Morgan,IN,17.3,189,2019
Newton,IN,11.9,38,2019
Noble,IN,13.7,80,2019
Ohio,IN,14.7,109,2019
Orange,IN,10.9,23,2019
Owen,IN,13.1,64,2019
Parke,IN,12,40,2019
Perry,IN,16.1,151,2019
Pike,IN,14.1,91,2019
Porter,IN,28.4,410,2019
Posey,IN,21.9,311,2019
Pulaski,IN,12.8,58,2019
Putnam,IN,16.8,172,2019
Randolph,IN,14.3,96,2019
Ripley,IN,18,208,2019
Rush,IN,13.9,86,2019
St. Joseph,IN,29.6,422,2019
Scott,IN,12,40,2019
Shelby,IN,18.7,230,2019
Spencer,IN,15.2,123,2019
Starke,IN,11.9,38,2019
Steuben,IN,21.8,309,2019
Sullivan,IN,12.1,41,2019
Switzerland,IN,10.9,23,2019
Tippecanoe,IN,38.7,478,2019
Tipton,IN,24.7,367,2019
Union,IN,18.5,224,2019
Vanderburgh,IN,27,396,2019
Vermillion,IN,14.2,94,2019
Vigo,IN,25.1,374,2019
Wabash,IN,18.1,211,2019
Warren,IN,19.4,250,2019
Warrick,IN,30.3,428,2019
Washington,IN,13.4,73,2019
Wayne,IN,18.2,214,2019
Wells,IN,18.2,214,2019
White,IN,16.4,161,2019
Whitley,IN,20.7,282,2019
Adair,IA,18.5,224,2019
Adams,IA,15.6,134,2019
Allamakee,IA,17.8,202,2019
Appanoose,IA,16.3,158,2019
Audubon,IA,17.1,181,2019
Benton,IA,22.1,315,2019
Black Hawk,IA,29.1,418,2019
Boone,IA,25.3,377,2019
Bremer,IA,30.7,432,2019
Buchanan,IA,21.5,302,2019
Buena Vista,IA,19.7,259,2019
Butler,IA,17.3,189,2019
Calhoun,IA,18.7,230,2019
Carroll,IA,22.4,322,2019
Cass,IA,20.1,268,2019
Cedar,IA,22.2,318,2019
Cerro Gordo,IA,23.6,348,2019
Cherokee,IA,22.2,318,2019
Chickasaw,IA,17.2,185,2019
Clarke,IA,16,147,2019
Clay,IA,22.7,327,2019
Clayton,IA,17.7,198,2019
Clinton,IA,17.9,204,2019
Crawford,IA,14.3,96,2019
Dallas,IA,50.4,503,2019
Davis,IA,19.5,254,2019
Decatur,IA,25,372,2019
Delaware,IA,16.6,167,2019
Des Moines,IA,20.1,268,2019
Dickinson,IA,33.6,455,2019
Dubuque,IA,30.8,433,2019
Emmet,IA,18.8,233,2019
Fayette,IA,18.3,217,2019
