county,state,percentCollege,percentCollegeBucket,year
Autauga,AL,26.6,392,2019
Baldwin,AL,31.9,442,2019
Barbour,AL,11.6,34,2019
Bibb,AL,10.4,18,2019
Blount,AL,13.1,64,2019
Bullock,AL,12.1,41,2019
Butler,AL,16.1,151,2019
Calhoun,AL,18.5,224,2019
Chambers,AL,13.3,70,2019
Cherokee,AL,12.8,58,2019
Chilton,AL,12.7,55,2019
Choctaw,AL,11.9,38,2019
Clarke,AL,12.2,44,2019
Clay,AL,10.6,20,2019
Cleburne,AL,15.4,128,2019
Coffee,AL,22.8,331,2019
Colbert,AL,18.1,211,2019
Conecuh,AL,12.8,58,2019
Coosa,AL,12.8,58,2019
Covington,AL,15.3,126,2019
Crenshaw,AL,17.4,192,2019
Cullman,AL,13.9,86,2019
Dale,AL,18.1,211,2019
Dallas,AL,14.7,109,2019
DeKalb,AL,13,63,2019
Elmore,AL,25.1,374,2019
Escambia,AL,12.5,51,2019
Etowah,AL,17.8,202,2019
Fayette,AL,12.4,48,2019
Franklin,AL,14,88,2019
Geneva,AL,12.5,51,2019
Greene,AL,10.1,15,2019
Hale,AL,14.2,94,2019
Henry,AL,17.1,181,2019
Houston,AL,21.7,306,2019
Jackson,AL,14,88,2019
Jefferson,AL,33.4,454,2019
Lamar,AL,11.9,38,2019
Lauderdale,AL,23.5,346,2019
Lawrence,AL,12.6,53,2019
Lee,AL,35.3,463,2019
Limestone,AL,25.7,382,2019
Lowndes,AL,14.7,109,2019
Macon,AL,20.4,275,2019
Madison,AL,42.8,490,2019
Marengo,AL,16.1,151,2019
Marion,AL,12.8,58,2019
Marshall,AL,19.4,250,2019
Mobile,AL,23.2,340,2019
Monroe,AL,13.5,75,2019
Montgomery,AL,33.4,454,2019
Morgan,AL,22.4,322,2019
Perry,AL,22.8,331,2019
Pickens,AL,14.1,91,2019
Pike,AL,23.7,350,2019
Randolph,AL,16.5,163,2019
Russell,AL,17.8,202,2019
St. Clair,AL,16.1,151,2019
Shelby,AL,42.9,491,2019
Sumter,AL,21.6,304,2019
Talladega,AL,15,118,2019
Tallapoosa,AL,18.4,220,2019
Tuscaloosa,AL,30.7,432,2019
Walker,AL,11.3,28,2019
Washington,AL,12.7,55,2019
Wilcox,AL,12.5,51,2019
Winston,AL,12.8,58,2019
Aleutians East,AK,11.5,32,2019
Aleutians West,AK,17,177,2019
Anchorage,AK,36.1,469,2019
Bethel,AK,11.9,38,2019
Bristol Bay,AK,22.5,324,2019
Denali,AK,41.1,486,2019
Dillingham,AK,22.1,315,2019
Fairbanks North Star,AK,31.4,437,2019
Haines,AK,33.8,457,2019
Hoonah-Angoon,AK,21.3,297,2019
Juneau City,AK,38.4,478,2019
Kenai Peninsula,AK,24.6,365,2019
Ketchikan Gateway,AK,25.3,377,2019
Kodiak,AK,28,405,2019
Kusilvak,AK,3.9,0,2019
Lake and Peninsula,AK,16.1,151,2019
Matanuska-Susitna,AK,21.6,304,2019
Nome,AK,16.1,151,2019
North Slope,AK,16.5,163,2019
Northwest Arctic,AK,13.2,67,2019
Petersburg,AK,28.4,410,2019
Prince of Wales-Hyder,AK,18.3,217,2019
Sitka City,AK,33.4,454,2019
Skagway,AK,29.6,422,2019
Southeast Fairbanks,AK,19.7,259,2019
Valdez-Cordova,AK,30.8,433,2019
Wrangell City,AK,19.4,250,2019
Yakutat City,AK,22.6,326,2019
Yukon-Koyukuk,AK,13.6,77,2019
Apache,AZ,12.3,46,2019
Cochise,AZ,23.1,338,2019
Coconino,AZ,36.2,470,2019
Gila,AZ,18.7,230,2019
Graham,AZ,15.2,123,2019
Greenlee,AZ,13.5,75,2019
La Paz,AZ,12,40,2019
Maricopa,AZ,32.7,449,2019
Mohave,AZ,12.9,60,2019
Navajo,AZ,15.3,126,2019
Pima,AZ,32.4,446,2019
Pinal,AZ,19.5,254,2019
Santa Cruz,AZ,20.4,275,2019
Yavapai,AZ,25.9,384,2019
Yuma,AZ,15,118,2019
Arkansas,AR,15.8,141,2019
Ashley,AR,12.3,46,2019
Baxter,AR,17.9,204,2019
Benton,AR,33.4,454,2019
Boone,AR,16.1,151,2019
Bradley,AR,14.3,96,2019
Calhoun,AR,11.4,30,2019
Carroll,AR,21.2,296,2019
Chicot,AR,15.9,145,2019
Clark,AR,26.6,392,2019
Clay,AR,12.6,53,2019
Cleburne,AR,15.5,131,2019
Cleveland,AR,16.2,155,2019
Columbia,AR,19.6,257,2019
Conway,AR,15.6,134,2019
Craighead,AR,26.2,387,2019
Crawford,AR,16,147,2019
Crittenden,AR,17.4,192,2019
Cross,AR,14.4,100,2019
Dallas,AR,11.9,38,2019
Desha,AR,14.1,91,2019
Drew,AR,22.8,331,2019
Faulkner,AR,30.6,431,2019
Franklin,AR,12.1,41,2019
Fulton,AR,12.2,44,2019
Garland,AR,21.6,304,2019
Grant,AR,18.7,230,2019
Greene,AR,16.2,155,2019
Hempstead,AR,15.1,121,2019
Hot Spring,AR,13.3,70,2019
Howard,AR,13.6,77,2019
Independence,AR,17.5,194,2019
Izard,AR,13.1,64,2019
Jackson,AR,10.1,15,2019
Jefferson,AR,18,208,2019
Johnson,AR,15.4,128,2019
Lafayette,AR,15.8,141,2019
Lawrence,AR,15.4,128,2019
Lee,AR,10.7,21,2019
Lincoln,AR,9.7,12,2019
Little River,AR,12.5,51,2019
Logan,AR,13.3,70,2019
Lonoke,AR,20.6,280,2019
Madison,AR,14.2,94,2019
Marion,AR,17.1,181,2019
Miller,AR,16.8,172,2019
Mississippi,AR,13.8,83,2019
Monroe,AR,12.7,55,2019
Montgomery,AR,13.5,75,2019
Nevada,AR,14.6,105,2019
Newton,AR,20.5,278,2019
Ouachita,AR,14.5,102,2019
Perry,AR,12.7,55,2019
Phillips,AR,13.8,83,2019
Pike,AR,17.3,189,2019
Poinsett,AR,11.1,25,2019
Polk,AR,14.1,91,2019
Pope,AR,22.8,331,2019
Prairie,AR,15.4,128,2019
Pulaski,AR,34.3,459,2019
Randolph,AR,13.8,83,2019
St. Francis,AR,10.4,18,2019
Saline,AR,26.7,393,2019
Scott,AR,9.3,9,2019
Searcy,AR,11.9,38,2019
Sebastian,AR,21.3,297,2019
Sevier,AR,12.8,58,2019
Sharp,AR,10.2,16,2019
Stone,AR,13.9,86,2019
Union,AR,21.1,293,2019
Van Buren,AR,14.5,102,2019
Washington,AR,33.3,453,2019
White,AR,20.9,287,2019
Woodruff,AR,14,88,2019
Yell,AR,12.8,58,2019
Alameda,CA,47.4,499,2019
Alpine,CA,34.5,461,2019
Amador,CA,19.3,247,2019
Butte,CA,27.2,399,2019
Calaveras,CA,18.3,217,2019
Colusa,CA,15,118,2019
Contra Costa,CA,42.4,490,2019
Del Norte,CA,14.8,112,2019
El Dorado,CA,34.3,459,2019
Fresno,CA,21.2,296,2019
Glenn,CA,14.2,94,2019
Humboldt,CA,30.4,429,2019
Imperial,CA,15.2,123,2019
Inyo,CA,27.2,399,2019
Kern,CA,16.4,161,2019
Kings,CA,14.7,109,2019
Lake,CA,15.5,131,2019
Lassen,CA,12.9,60,2019
Los Angeles,CA,32.5,447,2019
Madera,CA,14.6,105,2019
Marin,CA,59.5,509,2019
Mariposa,CA,24.6,365,2019
Mendocino,CA,24.4,361,2019
Merced,CA,13.8,83,2019
Modoc,CA,15.2,123,2019
Mono,CA,28.8,414,2019
Monterey,CA,24.7,367,2019
Napa,CA,35.7,467,2019
Nevada,CA,37.2,474,2019
Orange,CA,40.6,484,2019
Placer,CA,39.7,481,2019
Plumas,CA,23.7,350,2019
Riverside,CA,22.3,320,2019
Sacramento,CA,30.9,434,2019
San Benito,CA,19.7,259,2019
San Bernardino,CA,21,290,2019
San Diego,CA,38.8,479,2019
San Francisco,CA,58.1,509,2019
San Joaquin,CA,18.8,233,2019
San Luis Obispo,CA,35.4,465,2019
San Mateo,CA,51,503,2019
Santa Barbara,CA,34.2,459,2019
Santa Clara,CA,52.4,504,2019
Santa Cruz,CA,40.8,485,2019
Shasta,CA,22.2,318,2019
Sierra,CA,17.9,204,2019
Siskiyou,CA,23.2,340,2019
Solano,CA,26.9,396,2019
Sonoma,CA,35.5,465,2019
Stanislaus,CA,17.1,181,2019
Sutter,CA,18.2,214,2019
Tehama,CA,15.7,137,2019
Trinity,CA,19.5,254,2019
Tulare,CA,14.6,105,2019
Tuolumne,CA,20.5,278,2019
Ventura,CA,33.8,457,2019
Yolo,CA,41.4,487,2019
Yuba,CA,17.1,181,2019
Adams,CO,24.3,360,2019
Alamosa,CO,25,372,2019
Arapahoe,CO,42.8,490,2019
Archuleta,CO,37.2,474,2019
Baca,CO,21.4,300,2019
Bent,CO,11.4,30,2019
Boulder,CO,62.1,511,2019
Broomfield,CO,55.7,507,2019
Chaffee,CO,33.8,457,2019
Cheyenne,CO,19.2,244,2019
Clear Creek,CO,48.1,500,2019
Conejos,CO,21,290,2019
Costilla,CO,19.3,247,2019
Crowley,CO,9,7,2019
Custer,CO,32.5,447,2019
Delta,CO,21.7,306,2019
Denver,CO,49.4,501,2019
Dolores,CO,24.1,357,2019
Douglas,CO,58,508,2019
Eagle,CO,47.2,498,2019
Elbert,CO,35.8,467,2019
El Paso,CO,38.5,478,2019
Fremont,CO,18.5,224,2019
Garfield,CO,31,435,2019
Gilpin,CO,39.6,481,2019
Grand,CO,38,476,2019
Gunnison,CO,56.2,508,2019
Hinsdale,CO,45.7,496,2019
Huerfano,CO,21.1,293,2019
Jackson,CO,20,266,2019
Jefferson,CO,45.2,495,2019
Kiowa,CO,21.4,300,2019
Kit Carson,CO,18.7,230,2019
Lake,CO,32.3,445,2019
La Plata,CO,44.2,493,2019
Larimer,CO,47.3,498,2019
Las Animas,CO,19.5,254,2019
Lincoln,CO,12.6,53,2019
Logan,CO,20.2,271,2019
Mesa,CO,28.2,408,2019
Mineral,CO,46.5,498,2019
Moffat,CO,17.6,196,2019
Montezuma,CO,29.6,422,2019
Montrose,CO,25.2,375,2019
Morgan,CO,17.5,194,2019
Otero,CO,18.6,226,2019
Ouray,CO,47.8,499,2019
Park,CO,29.8,424,2019
Phillips,CO,23.8,352,2019
Pitkin,CO,60.8,510,2019
Prowers,CO,18.3,217,2019
Pueblo,CO,21.8,309,2019
Rio Blanco,CO,22.7,327,2019
Rio Grande,CO,24.5,363,2019
Routt,CO,49.8,502,2019
Saguache,CO,22.1,315,2019
San Juan,CO,35.7,467,2019
San Miguel,CO,59.4,509,2019
Sedgwick,CO,19.5,254,2019
Summit,CO,52.4,504,2019
Teller,CO,37.7,475,2019
Washington,CO,15.4,128,2019
Weld,CO,27.5,401,2019
Yuma,CO,21.8,309,2019
Fairfield,CT,47.9,499,2019
Hartford,CT,38.1,477,2019
Litchfield,CT,35.4,465,2019
Middlesex,CT,42.2,489,2019
New Haven,CT,35,463,2019
New London,CT,33.3,453,2019
Tolland,CT,41.8,488,2019
Windham,CT,24.3,360,2019
Kent,DE,23.7,350,2019
New Castle,DE,36.2,470,2019
Sussex,DE,28.3,409,2019
District of,,58.5,509,2019
Alachua,FL,43.3,491,2019
Baker,FL,13.2,67,2019
Bay,FL,23.7,350,2019
Bradford,FL,9.9,14,2019
Brevard,FL,30.2,427,2019
Broward,FL,32.4,446,2019
Calhoun,FL,9.5,10,2019
Charlotte,FL,23.4,344,2019
Citrus,FL,18.3,217,2019
Clay,FL,24.9,370,2019
Collier,FL,36.4,472,2019
Columbia,FL,14.9,116,2019
DeSoto,FL,11.5,32,2019
Dixie,FL,10.4,18,2019
Duval,FL,30,426,2019
Escambia,FL,26.5,391,2019
Flagler,FL,25.1,374,2019
Franklin,FL,18.8,233,2019
Gadsden,FL,16.2,155,2019
Gilchrist,FL,13.4,73,2019
Glades,FL,11.2,26,2019
Gulf,FL,19.2,244,2019
Hamilton,FL,7.9,1,2019
Hardee,FL,10.2,16,2019
Hendry,FL,8.3,3,2019
Hernando,FL,18.4,220,2019
Highlands,FL,17.2,185,2019
Hillsborough,FL,33.5,455,2019
Holmes,FL,10.7,21,2019
Indian River,FL,29.1,418,2019
Jackson,FL,12.6,53,2019
Jefferson,FL,22.3,320,2019
Lafayette,FL,11.8,36,2019
Lake,FL,24,355,2019
Lee,FL,28.2,408,2019
Leon,FL,46.2,497,2019
Levy,FL,12.2,44,2019
Liberty,FL,14.4,100,2019
Madison,FL,14,88,2019
Manatee,FL,29.8,424,2019
Marion,FL,20.1,268,2019
Martin,FL,34.1,458,2019
Miami-Dade,FL,29.8,424,2019
Monroe,FL,34.4,460,2019
Nassau,FL,29.6,422,2019
Okaloosa,FL,31.1,436,2019
Okeechobee,FL,11.3,28,2019
Orange,FL,34.6,461,2019
Osceola,FL,21.8,309,2019
Palm Beach,FL,36.7,472,2019
Pasco,FL,24,355,2019
Pinellas,FL,31.7,440,2019
Polk,FL,20.2,271,2019
Putnam,FL,12.3,46,2019
St. Johns,FL,44.7,494,2019
St. Lucie,FL,21.6,304,2019
Santa Rosa,FL,27.7,402,2019
Sarasota,FL,35.4,465,2019
Seminole,FL,39.6,481,2019
Sumter,FL,31.8,441,2019
Suwannee,FL,15.5,131,2019
Taylor,FL,8.3,3,2019
Union,FL,9.2,8,2019
Volusia,FL,23.7,350,2019
Wakulla,FL,18.3,217,2019
Walton,FL,28.5,411,2019
Washington,FL,12.5,51,2019
Appling,GA,9.8,12,2019
Atkinson,GA,12.2,44,2019
Bacon,GA,10.5,19,2019
Baker,GA,12.9,60,2019
Baldwin,GA,23.3,343,2019
Banks,GA,13.4,73,2019
Barrow,GA,19,239,2019
Bartow,GA,18.6,226,2019
Ben Hill,GA,11.2,26,2019
Berrien,GA,11.4,30,2019
Bibb,GA,25.4,379,2019
Bleckley,GA,18.7,230,2019
Brantley,GA,8.9,6,2019
Brooks,GA,17.8,202,2019
Bryan,GA,33.1,451,2019
Bulloch,GA,27,396,2019
Burke,GA,13.2,67,2019
Butts,GA,12.2,44,2019
Calhoun,GA,9.1,7,2019
Camden,GA,23.9,353,2019
Candler,GA,13,63,2019
Carroll,GA,21.1,293,2019
Catoosa,GA,21.4,300,2019
Charlton,GA,8.8,5,2019
Chatham,GA,33.6,455,2019
Chattahoochee,GA,29.5,421,2019
Chattooga,GA,8.9,6,2019
Cherokee,GA,38.2,477,2019
Clarke,GA,44,492,2019
Clay,GA,12.5,51,2019
Clayton,GA,19.5,254,2019
Clinch,GA,10,14,2019
Cobb,GA,47.4,499,2019
Coffee,GA,13,63,2019
Colquitt,GA,12.8,58,2019
Columbia,GA,36.4,472,2019
Cook,GA,13.5,75,2019
Coweta,GA,30.3,428,2019
Crawford,GA,10.5,19,2019
Crisp,GA,14.1,91,2019
Dade,GA,15.2,123,2019
Dawson,GA,30.6,431,2019
Decatur,GA,13.8,83,2019
DeKalb,GA,44.2,493,2019
Dodge,GA,14.3,96,2019
Dooly,GA,12.1,41,2019
Dougherty,GA,21.4,300,2019
Douglas,GA,28.2,408,2019
Early,GA,15.1,121,2019
Echols,GA,9.7,12,2019
Effingham,GA,20,266,2019
Elbert,GA,11.6,34,2019
Emanuel,GA,13,63,2019
Evans,GA,15.8,141,2019
Fannin,GA,21.8,309,2019
Fayette,GA,46.2,497,2019
Floyd,GA,20.9,287,2019
Forsyth,GA,53.1,506,2019
Franklin,GA,15.9,145,2019
Fulton,GA,52.9,505,2019
Gilmer,GA,20.4,275,2019
Glascock,GA,11.6,34,2019
Glynn,GA,29.9,425,2019
Gordon,GA,14.7,109,2019
Grady,GA,13.9,86,2019
Greene,GA,26.9,396,2019
Gwinnett,GA,36.9,473,2019
Habersham,GA,19.3,247,2019
Hall,GA,24.5,363,2019
Hancock,GA,8.6,4,2019
Haralson,GA,14.8,112,2019
Harris,GA,31.4,437,2019
Hart,GA,15.7,137,2019
Heard,GA,8.7,4,2019
Henry,GA,28.5,411,2019
Houston,GA,28.3,409,2019
Irwin,GA,15.1,121,2019
Jackson,GA,22.7,327,2019
Jasper,GA,14.2,94,2019
Jeff Davis,GA,10.3,17,2019
Jefferson,GA,9.9,14,2019
Jenkins,GA,7.9,1,2019
Johnson,GA,9.1,7,2019
Jones,GA,19.6,257,2019
Lamar,GA,15.8,141,2019
Lanier,GA,16.5,163,2019
Laurens,GA,16.2,155,2019
Lee,GA,25.4,379,2019
Liberty,GA,18.3,217,2019
Lincoln,GA,15.9,145,2019
Long,GA,17.4,192,2019
Lowndes,GA,25.3,377,2019
Lumpkin,GA,26.4,391,2019
McDuffie,GA,14,88,2019
McIntosh,GA,17.6,196,2019
Macon,GA,8.8,5,2019
Madison,GA,18.5,224,2019
Marion,GA,13.4,73,2019
Meriwether,GA,10.4,18,2019
Miller,GA,14,88,2019
Mitchell,GA,9.7,12,2019
Monroe,GA,26.8,394,2019
Montgomery,GA,16,147,2019
Morgan,GA,20.7,282,2019
Murray,GA,10.1,15,2019
Muscogee,GA,25.8,383,2019
Newton,GA,19.8,261,2019
Oconee,GA,52.3,504,2019
Oglethorpe,GA,17.1,181,2019
Paulding,GA,22.6,326,2019
