county,state,percentNeedOpioidTreatment,percentNeedOpioidTreatmentBucket,year
Autauga,AL,95.7,506,2019
Baldwin,AL,91.34,405,2019
Barbour,AL,91.34,405,2019
Bibb,AL,91.86,427,2019
Blount,AL,91.86,427,2019
Bullock,AL,95.7,506,2019
Butler,AL,91.34,405,2019
Calhoun,AL,91.86,427,2019
Chambers,AL,95.7,506,2019
Cherokee,AL,89.71,335,2019
Chilton,AL,91.86,427,2019
Choctaw,AL,95.7,506,2019
Clarke,AL,91.34,405,2019
Clay,AL,91.86,427,2019
Cleburne,AL,91.86,427,2019
Coffee,AL,91.34,405,2019
Colbert,AL,89.71,335,2019
Conecuh,AL,91.34,405,2019
Coosa,AL,91.86,427,2019
Covington,AL,91.34,405,2019
Crenshaw,AL,91.34,405,2019
Cullman,AL,89.71,335,2019
Dale,AL,91.34,405,2019
Dallas,AL,95.7,506,2019
DeKalb,AL,89.71,335,2019
Elmore,AL,95.7,506,2019
Escambia,AL,91.34,405,2019
Etowah,AL,89.71,335,2019
Fayette,AL,89.71,335,2019
Franklin,AL,89.71,335,2019
Geneva,AL,91.34,405,2019
Greene,AL,95.7,506,2019
Hale,AL,95.7,506,2019
Henry,AL,91.34,405,2019
Houston,AL,91.34,405,2019
Jackson,AL,89.71,335,2019
Jefferson,AL,91.86,427,2019
Lamar,AL,89.71,335,2019
Lauderdale,AL,89.71,335,2019
Lawrence,AL,89.71,335,2019
Lee,AL,95.7,506,2019
Limestone,AL,89.71,335,2019
Lowndes,AL,95.7,506,2019
Macon,AL,95.7,506,2019
Madison,AL,89.71,335,2019
Marengo,AL,95.7,506,2019
Marion,AL,89.71,335,2019
Marshall,AL,89.71,335,2019
Mobile,AL,91.34,405,2019
Monroe,AL,91.34,405,2019
Montgomery,AL,95.7,506,2019
Morgan,AL,89.71,335,2019
Perry,AL,95.7,506,2019
Pickens,AL,91.86,427,2019
Pike,AL,95.7,506,2019
Randolph,AL,91.86,427,2019
Russell,AL,95.7,506,2019
St. Clair,AL,91.86,427,2019
Shelby,AL,91.86,427,2019
Sumter,AL,95.7,506,2019
Talladega,AL,91.86,427,2019
Tallapoosa,AL,95.7,506,2019
Tuscaloosa,AL,91.86,427,2019
