county,state,medianHouseholdIncome,medianHouseholdIncomeBucket,year
Autauga,AL,58731,374,2019
Baldwin,AL,58320,370,2019
Barbour,AL,32525,29,2019
Bibb,AL,47542,189,2019
Blount,AL,49358,216,2019
Bullock,AL,37785,58,2019
Butler,AL,40688,88,2019
Calhoun,AL,47255,183,2019
Chambers,AL,42289,110,2019
Cherokee,AL,41919,104,2019
Chilton,AL,47468,187,2019
Choctaw,AL,35892,43,2019
Clarke,AL,37404,54,2019
Clay,AL,40845,90,2019
Cleburne,AL,44741,146,2019
Coffee,AL,55637,333,2019
Colbert,AL,48065,198,2019
Conecuh,AL,37837,58,2019
Coosa,AL,38990,70,2019
Covington,AL,42189,108,2019
Crenshaw,AL,43163,121,2019
Cullman,AL,44918,148,2019
Dale,AL,47214,182,2019
Dallas,AL,33845,33,2019
DeKalb,AL,40440,86,2019
Elmore,AL,60891,399,2019
Escambia,AL,36275,46,2019
Etowah,AL,44637,144,2019
Fayette,AL,39856,78,2019
Franklin,AL,43514,127,2019
Geneva,AL,41732,102,2019
Greene,AL,24145,11,2019
Hale,AL,34046,34,2019
Henry,AL,50017,229,2019
Houston,AL,47580,189,2019
Jackson,AL,41769,102,2019
Jefferson,AL,53901,305,2019
Lamar,AL,38364,64,2019
Lauderdale,AL,48094,199,2019
Lawrence,AL,44886,148,2019
Lee,AL,51463,255,2019
Limestone,AL,59686,385,2019
Lowndes,AL,30036,20,2019
Macon,AL,33370,31,2019
Madison,AL,65449,440,2019
Marengo,AL,33241,30,2019
Marion,AL,35930,43,2019
Marshall,AL,45983,162,2019
Mobile,AL,47583,190,2019
Monroe,AL,30441,21,2019
Montgomery,AL,50124,231,2019
Morgan,AL,52156,268,2019
Perry,AL,23447,11,2019
Pickens,AL,39848,78,2019
Pike,AL,37446,55,2019
Randolph,AL,43395,125,2019
Russell,AL,42443,112,2019
St. Clair,AL,58308,370,2019
Shelby,AL,77799,481,2019
Sumter,AL,24320,11,2019
Talladega,AL,41325,95,2019
Tallapoosa,AL,45828,161,2019
Tuscaloosa,AL,53326,294,2019
Walker,AL,43629,130,2019
Washington,AL,41370,96,2019
Wilcox,AL,31014,23,2019
Winston,AL,35788,42,2019
Aleutians East,AK,69250,458,2019
Aleutians West,AK,87466,497,2019
Anchorage,AK,84928,493,2019
Bethel,AK,53553,298,2019
Bristol Bay,AK,79808,484,2019
Denali,AK,81719,488,2019
Dillingham,AK,56898,349,2019
Fairbanks North Star,AK,76992,480,2019
Haines,AK,58059,366,2019
Hoonah-Angoon,AK,59803,386,2019
Juneau City,AK,88390,498,2019
Kenai Peninsula,AK,66064,443,2019
Ketchikan Gateway,AK,72728,470,2019
Kodiak,AK,85839,494,2019
Kusilvak,AK,36754,49,2019
Lake and Peninsula,AK,44135,136,2019
Matanuska-Susitna,AK,75493,477,2019
Nome,AK,61048,402,2019
North Slope,AK,79306,483,2019
Northwest Arctic,AK,60906,399,2019
Petersburg,AK,69948,460,2019
Prince of Wales-Hyder,AK,52379,275,2019
Sitka City,AK,73682,472,2019
Skagway,AK,73906,472,2019
Southeast Fairbanks,AK,70056,461,2019
Valdez-Cordova,AK,79867,484,2019
Wrangell City,AK,53894,304,2019
Yakutat City,AK,71607,467,2019
Yukon-Koyukuk,AK,41413,97,2019
Apache,AZ,32508,28,2019
Cochise,AZ,49260,214,2019
Coconino,AZ,59460,383,2019
Gila,AZ,43524,128,2019
Graham,AZ,51353,254,2019
Greenlee,AZ,63473,423,2019
La Paz,AZ,34643,35,2019
Maricopa,AZ,64468,433,2019
Mohave,AZ,45587,157,2019
Navajo,AZ,40067,81,2019
Pima,AZ,53379,295,2019
Pinal,AZ,58174,368,2019
