county,state,sexRatio,sexRatioBucket,year
Autauga,AL,94.7,105,2019
Baldwin,AL,94.7,105,2019
Barbour,AL,112.4,470,2019
Bibb,AL,117.5,484,2019
Blount,AL,97.6,219,2019
Bullock,AL,119.1,488,2019
Butler,AL,84.5,3,2019
Calhoun,AL,92.7,53,2019
Chambers,AL,91.6,40,2019
Cherokee,AL,97.3,207,2019
Chilton,AL,95.0,114,2019
Choctaw,AL,90.6,28,2019
Clarke,AL,89.6,19,2019
Clay,AL,93.3,67,2019
Cleburne,AL,96.1,154,2019
Coffee,AL,97.3,207,2019
Colbert,AL,92.3,47,2019
Conecuh,AL,96.2,158,2019
Coosa,AL,103.2,398,2019
Covington,AL,93.6,74,2019
Crenshaw,AL,95.1,117,2019
Cullman,AL,96.8,179,2019
Dale,AL,97.3,207,2019
Dallas,AL,85.5,4,2019
DeKalb,AL,98.1,242,2019
Elmore,AL,93.6,74,2019
Escambia,AL,103.6,406,2019
Etowah,AL,93.2,64,2019
Fayette,AL,97.4,211,2019
Franklin,AL,99.3,293,2019
Geneva,AL,94.5,99,2019
Greene,AL,85.9,5,2019
Hale,AL,90.5,28,2019
Henry,AL,94.4,97,2019
Houston,AL,92.1,44,2019
Jackson,AL,95.9,147,2019
Jefferson,AL,89.8,21,2019
Lamar,AL,95.5,133,2019
Lauderdale,AL,92.9,56,2019
Lawrence,AL,93.3,67,2019
Lee,AL,97.3,207,2019
Limestone,AL,99.7,309,2019
Lowndes,AL,91.7,41,2019
Macon,AL,85.0,4,2019
Madison,AL,95.5,133,2019
Marengo,AL,92.8,54,2019
Marion,AL,98.0,237,2019
Marshall,AL,97.6,219,2019
Mobile,AL,91.1,33,2019
Monroe,AL,91.4,36,2019
Montgomery,AL,89.3,17,2019
Morgan,AL,97.0,190,2019
Perry,AL,84.8,3,2019
Pickens,AL,90.9,31,2019
Pike,AL,92.1,44,2019
Randolph,AL,95.4,128,2019
Russell,AL,92.6,51,2019
St. Clair,AL,100.1,324,2019
Shelby,AL,93.9,82,2019
Sumter,AL,86.3,6,2019
Talladega,AL,93.4,68,2019
Tallapoosa,AL,93.3,67,2019
Tuscaloosa,AL,93.2,64,2019
Walker,AL,96.3,162,2019
Washington,AL,97.3,207,2019
Wilcox,AL,88.5,14,2019
Winston,AL,98.2,247,2019
Aleutians East,AK,150.4,507,2019
Aleutians West,AK,145.8,505,2019
Anchorage,AK,104.0,412,2019
Bethel,AK,109.5,459,2019
Bristol Bay,AK,149.3,506,2019
Denali,AK,114.9,478,2019
Dillingham,AK,105.1,427,2019
Fairbanks North Star,AK,117.0,483,2019
Haines,AK,106.2,437,2019
Hoonah-Angoon,AK,114.5,477,2019
Juneau City,AK,105.0,425,2019
Kenai Peninsula,AK,108.9,456,2019
Ketchikan Gateway,AK,105.4,431,2019
Kodiak,AK,115.9,481,2019
Kusilvak,AK,117.9,485,2019
Lake and Peninsula,AK,116.3,482,2019
Matanuska-Susitna,AK,108.5,453,2019
Nome,AK,111.3,467,2019
North Slope,AK,157.2,508,2019
Northwest Arctic,AK,118.8,488,2019
Petersburg,AK,112.3,470,2019
Prince of Wales-Hyder,AK,118.7,487,2019
Sitka City,AK,105.9,435,2019
Skagway,AK,121.0,491,2019
Southeast Fairbanks,AK,121.3,492,2019
Valdez-Cordova,AK,110.2,462,2019
Wrangell City,AK,118.5,486,2019
Yakutat City,AK,121.5,492,2019
Yukon-Koyukuk,AK,115.3,479,2019
Apache,AZ,96.7,176,2019
Cochise,AZ,103.3,400,2019
Coconino,AZ,97.6,219,2019
Gila,AZ,98.0,237,2019
Graham,AZ,115.0,478,2019
Greenlee,AZ,109.8,460,2019
La Paz,AZ,106.2,437,2019
Maricopa,AZ,97.8,227,2019
Mohave,AZ,102.1,379,2019
Navajo,AZ,100.3,330,2019
Pima,AZ,97.0,190,2019
Pinal,AZ,108.9,456,2019
Santa Cruz,AZ,92.0,43,2019
Yavapai,AZ,95.6,137,2019
Yuma,AZ,106.1,436,2019
