county,state,medianHomeValue,medianHomeValueBucket,year
Autauga,AL,154500,337,2019
Baldwin,AL,197900,416,2019
Barbour,AL,90700,99,2019
Bibb,AL,92800,108,2019
Blount,AL,127800,260,2019
Bullock,AL,70300,21,2019
Butler,AL,95900,123,2019
Calhoun,AL,118000,223,2019
Chambers,AL,97100,128,2019
Cherokee,AL,123400,246,2019
Chilton,AL,107300,176,2019
Choctaw,AL,74100,29,2019
Clarke,AL,112500,198,2019
Clay,AL,107800,178,2019
Cleburne,AL,116500,216,2019
Coffee,AL,147400,318,2019
Colbert,AL,120800,237,2019
Conecuh,AL,81000,52,2019
Coosa,AL,84000,66,2019
Covington,AL,97600,130,2019
Crenshaw,AL,81000,52,2019
Cullman,AL,128600,265,2019
Dale,AL,112000,196,2019
Dallas,AL,83300,62,2019
DeKalb,AL,106100,170,2019
Elmore,AL,166600,367,2019
Escambia,AL,99400,139,2019
Etowah,AL,113700,203,2019
Fayette,AL,88500,88,2019
Franklin,AL,95000,118,2019
Geneva,AL,100900,145,2019
Greene,AL,80400,48,2019
Hale,AL,89300,94,2019
Henry,AL,118800,227,2019
Houston,AL,137600,290,2019
Jackson,AL,104900,165,2019
Jefferson,AL,159100,348,2019
Lamar,AL,80900,51,2019
Lauderdale,AL,145000,311,2019
Lawrence,AL,110500,190,2019
Lee,AL,169300,374,2019
Limestone,AL,158800,348,2019
Lowndes,AL,70000,20,2019
Macon,AL,80800,50,2019
Madison,AL,186100,403,2019
Marengo,AL,84400,68,2019
Marion,AL,92800,108,2019
Marshall,AL,128800,265,2019
Mobile,AL,130200,269,2019
Monroe,AL,102200,152,2019
Montgomery,AL,129800,268,2019
Morgan,AL,137000,289,2019
Perry,AL,65000,12,2019
Pickens,AL,96000,123,2019
Pike,AL,120000,232,2019
Randolph,AL,96100,124,2019
Russell,AL,122000,240,2019
St. Clair,AL,154900,338,2019
Shelby,AL,211900,431,2019
Sumter,AL,74400,30,2019
Talladega,AL,105300,167,2019
Tallapoosa,AL,109300,183,2019
Tuscaloosa,AL,170400,377,2019
Walker,AL,104300,163,2019
Washington,AL,89100,92,2019
Wilcox,AL,79400,45,2019
Winston,AL,86100,76,2019
Aleutians East,AK,119900,232,2019
Aleutians West,AK,279200,474,2019
Anchorage,AK,314800,487,2019
Bethel,AK,83600,64,2019
Bristol Bay,AK,188800,406,2019
Denali,AK,223000,442,2019
Dillingham,AK,183500,400,2019
Fairbanks North Star,AK,240000,455,2019
Haines,AK,254000,464,2019
Hoonah-Angoon,AK,223600,442,2019
Juneau City,AK,345900,492,2019
Kenai Peninsula,AK,242200,457,2019
Ketchikan Gateway,AK,289900,480,2019
Kodiak,AK,282100,477,2019
Kusilvak,AK,71500,24,2019
Lake and Peninsula,AK,114900,209,2019
Matanuska-Susitna,AK,249000,461,2019
Nome,AK,154600,337,2019
North Slope,AK,152500,332,2019
Northwest Arctic,AK,141400,302,2019
Petersburg,AK,227400,446,2019
Prince of Wales-Hyder,AK,174900,387,2019
Sitka City,AK,358600,495,2019
Skagway,AK,338500,490,2019
Southeast Fairbanks,AK,170900,379,2019
Valdez-Cordova,AK,222200,440,2019
Wrangell City,AK,216200,436,2019
Yakutat City,AK,202300,422,2019
Yukon-Koyukuk,AK,76500,36,2019
Apache,AZ,59900,7,2019
Cochise,AZ,146800,316,2019
Coconino,AZ,280900,475,2019
Gila,AZ,165800,366,2019
Graham,AZ,138700,294,2019
Greenlee,AZ,83800,65,2019
La Paz,AZ,79200,44,2019
Maricopa,AZ,260200,466,2019
Mohave,AZ,160500,353,2019
Navajo,AZ,126100,256,2019
Pima,AZ,184100,400,2019
Pinal,AZ,183100,398,2019
Santa Cruz,AZ,151200,328,2019
Yavapai,AZ,252000,462,2019
Yuma,AZ,127900,261,2019
Arkansas,AR,88600,89,2019
Ashley,AR,76400,35,2019
Baxter,AR,133400,279,2019
Benton,AR,183400,399,2019
Boone,AR,124300,250,2019
Bradley,AR,89800,96,2019
Calhoun,AR,70000,20,2019
Carroll,AR,136900,289,2019
Chicot,AR,69700,20,2019
Clark,AR,111600,195,2019
Clay,AR,77400,39,2019
Cleburne,AR,129900,268,2019
Cleveland,AR,97100,128,2019
Columbia,AR,81900,56,2019
Conway,AR,107600,177,2019
Craighead,AR,140700,300,2019
Crawford,AR,115200,210,2019
Crittenden,AR,114600,207,2019
Cross,AR,86100,76,2019
Dallas,AR,70400,21,2019
Desha,AR,70300,21,2019
Drew,AR,99800,141,2019
Faulkner,AR,161500,354,2019
Franklin,AR,100900,145,2019
Fulton,AR,86400,77,2019
Garland,AR,139900,298,2019
Grant,AR,124600,252,2019
Greene,AR,118800,227,2019
Hempstead,AR,81100,52,2019
Hot Spring,AR,96700,127,2019
Howard,AR,95900,123,2019
Independence,AR,98900,137,2019
Izard,AR,82700,59,2019
Jackson,AR,66600,15,2019
Jefferson,AR,83500,63,2019
Johnson,AR,103500,159,2019
Lafayette,AR,64600,12,2019
Lawrence,AR,76800,37,2019
Lee,AR,74000,29,2019
Lincoln,AR,76300,35,2019
Little River,AR,77900,40,2019
Logan,AR,99000,138,2019
Lonoke,AR,142500,304,2019
Madison,AR,120400,235,2019
Marion,AR,120700,236,2019
Miller,AR,109100,183,2019
Mississippi,AR,84500,68,2019
Monroe,AR,61400,9,2019
Montgomery,AR,102800,156,2019
Nevada,AR,66300,14,2019
Newton,AR,114700,208,2019
Ouachita,AR,75300,31,2019
Perry,AR,106300,172,2019
Phillips,AR,70700,22,2019
Pike,AR,84900,70,2019
Poinsett,AR,78800,43,2019
Polk,AR,99300,139,2019
Pope,AR,126400,257,2019
Prairie,AR,67400,16,2019
Pulaski,AR,157200,345,2019
Randolph,AR,87200,81,2019
St. Francis,AR,64600,12,2019
Saline,AR,156800,343,2019
Scott,AR,76300,35,2019
Searcy,AR,103500,159,2019
Sebastian,AR,123100,245,2019
Sevier,AR,84300,67,2019
Sharp,AR,80700,50,2019
Stone,AR,121100,238,2019
Union,AR,86500,77,2019
Van Buren,AR,101700,149,2019
Washington,AR,173400,383,2019
White,AR,120100,234,2019
Woodruff,AR,66400,15,2019
Yell,AR,109400,184,2019
Alameda,CA,769300,510,2019
Alpine,CA,365300,496,2019
Amador,CA,313700,487,2019
Butte,CA,271700,472,2019
Calaveras,CA,319500,488,2019
Colusa,CA,265200,469,2019
Contra Costa,CA,625800,508,2019
Del Norte,CA,218800,438,2019
El Dorado,CA,460900,503,2019
Fresno,CA,255000,464,2019
Glenn,CA,233200,450,2019
Humboldt,CA,313200,486,2019
Imperial,CA,195800,412,2019
Inyo,CA,269100,471,2019
Kern,CA,213900,433,2019
Kings,CA,215900,435,2019
Lake,CA,219400,439,2019
Lassen,CA,203000,423,2019
Los Angeles,CA,583200,508,2019
Madera,CA,251200,462,2019
Marin,CA,995800,511,2019
Mariposa,CA,275700,473,2019
Mendocino,CA,377500,497,2019
Merced,CA,252700,463,2019
Modoc,CA,140600,300,2019
Mono,CA,312500,486,2019
Monterey,CA,516600,505,2019
Napa,CA,635900,509,2019
Nevada,CA,431000,502,2019
Orange,CA,679300,509,2019
Placer,CA,471500,504,2019
Plumas,CA,242300,457,2019
Riverside,CA,350100,493,2019
Sacramento,CA,351900,493,2019
San Benito,CA,551500,506,2019
San Bernardino,CA,328200,489,2019
San Diego,CA,563700,507,2019
San Francisco,CA,1097800,511,2019
San Joaquin,CA,342100,491,2019
San Luis Obispo,CA,574000,507,2019
San Mateo,CA,1089400,511,2019
Santa Barbara,CA,577400,507,2019
Santa Clara,CA,984000,511,2019
Santa Cruz,CA,756600,510,2019
Shasta,CA,252300,462,2019
Sierra,CA,231400,449,2019
Siskiyou,CA,198900,417,2019
Solano,CA,406900,500,2019
Sonoma,CA,609600,508,2019
Stanislaus,CA,291600,481,2019
Sutter,CA,279400,475,2019
Tehama,CA,215900,435,2019
Trinity,CA,287700,479,2019
Tulare,CA,205000,426,2019
Tuolumne,CA,289200,480,2019
Ventura,CA,588400,508,2019
Yolo,CA,424900,501,2019
Yuba,CA,257100,465,2019
Adams,CO,307600,485,2019
Alamosa,CO,157500,345,2019
Arapahoe,CO,358200,494,2019
Archuleta,CO,314400,487,2019
Baca,CO,83500,63,2019
Bent,CO,81000,52,2019
Boulder,CO,497300,505,2019
Broomfield,CO,413500,501,2019
