county,state,percentHealthInsurance,percentHealthInsuranceBucket,year
Autauga,AL,92.9,317,2019
Baldwin,AL,91.1,243,2019
Barbour,AL,88.7,152,2019
Bibb,AL,89.3,173,2019
Blount,AL,89.2,170,2019
Bullock,AL,88.6,148,2019
Butler,AL,91.3,252,2019
Calhoun,AL,90.5,217,2019
Chambers,AL,89.7,188,2019
Cherokee,AL,91.4,258,2019
Chilton,AL,87.0,107,2019
Choctaw,AL,89.7,188,2019
Clarke,AL,90.3,208,2019
Clay,AL,89.7,188,2019
Cleburne,AL,87.7,121,2019
Coffee,AL,90.2,205,2019
Colbert,AL,92.8,313,2019
Conecuh,AL,87.3,113,2019
Coosa,AL,92.0,281,2019
Covington,AL,88.9,160,2019
Crenshaw,AL,91.3,252,2019
Cullman,AL,88.9,160,2019
Dale,AL,88.4,141,2019
Dallas,AL,88.9,160,2019
DeKalb,AL,86.3,91,2019
Elmore,AL,92.6,305,2019
Escambia,AL,85.8,80,2019
Etowah,AL,89.4,176,2019
Fayette,AL,92.4,299,2019
Franklin,AL,88.3,139,2019
Geneva,AL,87.4,115,2019
Greene,AL,87.2,111,2019
Hale,AL,90.5,217,2019
Henry,AL,90.2,205,2019
Houston,AL,89.5,180,2019
Jackson,AL,90.5,217,2019
Jefferson,AL,90.8,230,2019
Lamar,AL,89.4,176,2019
Lauderdale,AL,91.0,239,2019
Lawrence,AL,90.9,234,2019
Lee,AL,92.2,290,2019
Limestone,AL,90.4,212,2019
Lowndes,AL,91.2,248,2019
Macon,AL,92.5,302,2019
Madison,AL,91.7,269,2019
Marengo,AL,91.2,248,2019
Marion,AL,91.3,252,2019
Marshall,AL,87.7,121,2019
Mobile,AL,88.8,156,2019
Monroe,AL,88.6,148,2019
Montgomery,AL,90.0,198,2019
Morgan,AL,90.4,212,2019
Perry,AL,90.7,226,2019
Pickens,AL,90.9,234,2019
Pike,AL,90.3,208,2019
Randolph,AL,90.9,234,2019
Russell,AL,88.5,145,2019
St. Clair,AL,91.5,262,2019
Shelby,AL,93.8,359,2019
Sumter,AL,87.5,116,2019
Talladega,AL,90.7,226,2019
Tallapoosa,AL,91.8,273,2019
Tuscaloosa,AL,92.8,313,2019
Walker,AL,88.2,136,2019
Washington,AL,90.6,221,2019
Wilcox,AL,89.1,166,2019
Winston,AL,87.7,121,2019
Aleutians East,AK,53.7,0,2019
Aleutians West,AK,82.5,38,2019
Anchorage,AK,88.8,156,2019
Bethel,AK,79.7,17,2019
Bristol Bay,AK,79.5,16,2019
Denali,AK,81.5,29,2019
Dillingham,AK,79.1,14,2019
Fairbanks North Star,AK,90.2,205,2019
Haines,AK,86.6,98,2019
Hoonah-Angoon,AK,75.3,7,2019
Juneau City,AK,89.5,180,2019
Kenai Peninsula,AK,84.0,55,2019
Ketchikan Gateway,AK,88.6,148,2019
Kodiak,AK,82.8,41,2019
Kusilvak,AK,80.1,19,2019
Lake and Peninsula,AK,66.6,1,2019
Matanuska-Susitna,AK,85.2,71,2019
Nome,AK,79.3,15,2019
North Slope,AK,81.4,28,2019
Northwest Arctic,AK,74.3,5,2019
Petersburg,AK,90.4,212,2019
Prince of Wales-Hyder,AK,75.3,7,2019
Sitka City,AK,83.7,50,2019
Skagway,AK,81.8,32,2019
Southeast Fairbanks,AK,82.9,42,2019
Valdez-Cordova,AK,80.8,23,2019
Wrangell City,AK,81.2,26,2019
Yakutat City,AK,76.3,7,2019
Yukon-Koyukuk,AK,72.9,4,2019
Apache,AZ,74.9,6,2019
Cochise,AZ,92.2,290,2019
Coconino,AZ,88.8,156,2019
Gila,AZ,90.0,198,2019
Graham,AZ,93.1,325,2019
Greenlee,AZ,95.4,450,2019
La Paz,AZ,85.3,73,2019
Maricopa,AZ,89.4,176,2019
Mohave,AZ,91.1,243,2019
Navajo,AZ,86.8,102,2019
Pima,AZ,90.8,230,2019
Pinal,AZ,91.2,248,2019
Santa Cruz,AZ,89.8,192,2019
Yavapai,AZ,90.2,205,2019
Yuma,AZ,87.3,113,2019
Arkansas,AR,93.2,330,2019
Ashley,AR,92.2,290,2019
Baxter,AR,94.8,417,2019
Benton,AR,91.1,243,2019
Boone,AR,93.1,325,2019
Bradley,AR,89.0,163,2019
Calhoun,AR,90.7,226,2019
Carroll,AR,88.9,160,2019
Chicot,AR,90.7,226,2019
Clark,AR,91.5,262,2019
Clay,AR,93.5,345,2019
Cleburne,AR,91.8,273,2019
Cleveland,AR,94.5,401,2019
Columbia,AR,92.9,317,2019
Conway,AR,93.2,330,2019
Craighead,AR,91.2,248,2019
Crawford,AR,91.9,277,2019
Crittenden,AR,91.6,266,2019
Cross,AR,92.3,295,2019
Dallas,AR,93.5,345,2019
Desha,AR,93.7,354,2019
Drew,AR,94.5,401,2019
Faulkner,AR,91.2,248,2019
Franklin,AR,94.5,401,2019
Fulton,AR,87.9,127,2019
Garland,AR,89.5,180,2019
Grant,AR,95.2,439,2019
Greene,AR,92.3,295,2019
Hempstead,AR,90.9,234,2019
Hot Spring,AR,92.9,317,2019
Howard,AR,91.4,258,2019
Independence,AR,91.3,252,2019
Izard,AR,93.8,359,2019
Jackson,AR,92.3,295,2019
Jefferson,AR,93.2,330,2019
Johnson,AR,88.9,160,2019
Lafayette,AR,91.8,273,2019
Lawrence,AR,93.4,340,2019
Lee,AR,92.8,313,2019
Lincoln,AR,92.6,305,2019
Little River,AR,93.8,359,2019
Logan,AR,93.4,340,2019
Lonoke,AR,92.4,299,2019
Madison,AR,89.7,188,2019
Marion,AR,94.3,389,2019
Miller,AR,90.6,221,2019
Mississippi,AR,92.6,305,2019
Monroe,AR,91.1,243,2019
Montgomery,AR,89.8,192,2019
Nevada,AR,90.6,221,2019
Newton,AR,95.0,428,2019
Ouachita,AR,92.9,317,2019
Perry,AR,94.9,423,2019
Phillips,AR,91.6,266,2019
