county,state,crimeRate,crimeRateBucket,year
St. Louis,MO,303.3619454,371,2020
Crittenden,AR,1754.914968,511,2020
Alexander,IL,1664.700485,511,2020
Kenedy,TX,1456.31068,511,2020
De Soto,LA,1447.40243,511,2020
Baltimore,MD,508.0101821,464,2020
Shelby,TN,1315.003752,511,2020
Marlboro,SC,1253.437132,511,2020
Storey,NV,1217.656012,510,2020
District of,,1216.801325,510,2020
Dillon,SC,1165.583272,510,2020
Scott,MO,1163.145839,510,2020
Philadelphia,PA,1150.29633,510,2020
Pershing,NV,1148.756725,510,2020
Greenwood,SC,1140.226324,509,2020
Madison,TN,1138.42383,509,2020
Davidson,TN,1129.513728,509,2020
Marion,IN,1083.508119,509,2020
Wayne,MI,1065.188284,509,2020
Jackson,MO,1026.623686,509,2020
Northwest Arctic,AK,1014.964216,508,2020
Pemiscot,MO,998.7095326,508,2020
Iberville,LA,974.0162436,508,2020
Pulaski,AR,959.9165823,508,2020
Jefferson,AR,959.1343198,508,2020
Miller,AR,956.1771347,508,2020
Muskogee,OK,954.4400666,507,2020
Barnwell,SC,953.9310095,507,2020
Tangipahoa,LA,952.8593755,507,2020
Marion,SC,941.6313295,507,2020
Dillingham,AK,938.1237525,507,2020
Dougherty,GA,930.4176661,507,2020
Carter,OK,930.0694974,506,2020
Genesee,MI,922.7783984,506,2020
Macon,AL,919.341731,506,2020
Milwaukee,WI,912.6349471,506,2020
Richland,SC,911.4452882,506,2020
Grundy,TN,911.2461105,506,2020
Greene,AL,903.4766697,505,2020
Rock,MN,892.8571429,505,2020
San Joaquin,CA,887.1644385,505,2020
Pottawattamie,IA,873.5225606,505,2020
Nolan,TX,871.1844118,505,2020
Kodiak,AK,856.0311284,505,2020
Winnebago,IL,854.9331535,504,2020
Suffolk,MA,831.2342903,504,2020
Saginaw,MI,828.830479,504,2020
Dallas,AL,828.6503477,504,2020
Fulton,GA,826.1767583,504,2020
Anchorage,AK,824.7217146,504,2020
Madison,FL,822.2981632,503,2020
Phillips,AR,818.6675817,503,2020
Sangamon,IL,817.9969369,503,2020
Haywood,TN,812.1158911,503,2020
Lucas,OH,810.9662621,503,2020
Robeson,NC,809.8427036,503,2020
Meade,KS,805.8945429,503,2020
Escambia,FL,798.51676,502,2020
Jefferson,AL,798.3574913,502,2020
Nicholas,WV,793.3756981,502,2020
Franklin,FL,793.2402138,502,2020
St. Clair,IL,782.1542957,502,2020
Orleans,LA,782.1184796,502,2020
Ector,TX,781.9089826,501,2020
Avoyelles,LA,777.2585293,501,2020
