county,state,percentHealthInsurance,percentHealthInsuranceBucket,year
Autauga,AL,92.0,272,2020
Baldwin,AL,90.5,212,2020
Barbour,AL,89.3,166,2020
Bibb,AL,90.9,227,2020
Blount,AL,90.0,191,2020
Bullock,AL,89.5,172,2020
Butler,AL,89.9,187,2020
Calhoun,AL,90.0,191,2020
Chambers,AL,90.8,224,2020
Cherokee,AL,90.5,212,2020
Chilton,AL,88.3,136,2020
Choctaw,AL,89.9,187,2020
Clarke,AL,90.4,207,2020
Clay,AL,91.5,251,2020
Cleburne,AL,87.8,123,2020
Coffee,AL,89.4,168,2020
Colbert,AL,93.2,330,2020
Conecuh,AL,89.6,177,2020
Coosa,AL,93.1,324,2020
Covington,AL,89.3,166,2020
Crenshaw,AL,91.9,269,2020
Cullman,AL,88.4,138,2020
Dale,AL,89.2,164,2020
Dallas,AL,89.8,183,2020
DeKalb,AL,86.3,87,2020
Elmore,AL,92.7,307,2020
Escambia,AL,88.2,133,2020
Etowah,AL,88.5,141,2020
Fayette,AL,91.9,269,2020
Franklin,AL,88.3,136,2020
Geneva,AL,88.3,136,2020
Greene,AL,83.4,46,2020
Hale,AL,91.7,260,2020
Henry,AL,92.2,282,2020
Houston,AL,88.6,145,2020
Jackson,AL,89.9,187,2020
Jefferson,AL,91.0,231,2020
Lamar,AL,94.4,393,2020
Lauderdale,AL,91.0,231,2020
Lawrence,AL,90.8,224,2020
Lee,AL,92.2,282,2020
Limestone,AL,91.4,246,2020
Lowndes,AL,91.7,260,2020
Macon,AL,91.0,231,2020
Madison,AL,91.9,269,2020
Marengo,AL,91.5,251,2020
Marion,AL,89.7,181,2020
Marshall,AL,87.9,125,2020
Mobile,AL,88.8,153,2020
Monroe,AL,87.8,123,2020
Montgomery,AL,89.9,187,2020
Morgan,AL,89.8,183,2020
Perry,AL,90.1,195,2020
Pickens,AL,90.6,217,2020
Pike,AL,91.1,236,2020
Randolph,AL,90.7,220,2020
Russell,AL,89.2,164,2020
St. Clair,AL,91.8,264,2020
Shelby,AL,93.9,363,2020
Sumter,AL,88.6,145,2020
Talladega,AL,90.8,224,2020
Tallapoosa,AL,91.5,251,2020
Tuscaloosa,AL,93.0,320,2020
Walker,AL,88.6,145,2020
Washington,AL,90.5,212,2020
Wilcox,AL,89.9,187,2020
Winston,AL,88.0,127,2020
Aleutians East,AK,60.3,0,2020
Aleutians West,AK,82.8,40,2020
Anchorage,AK,89.4,168,2020
Bethel,AK,82.6,38,2020
Bristol Bay,AK,83.9,52,2020
Chugach,AK,85.1,68,2020
Copper River,AK,80.1,20,2020
Denali,AK,87.1,106,2020
Dillingham,AK,81.3,27,2020
Fairbanks North Star,AK,90.6,217,2020
Haines,AK,90.5,212,2020
Hoonah-Angoon,AK,77.1,10,2020
Juneau City,AK,90.6,217,2020
Kenai Peninsula,AK,86.1,82,2020
Ketchikan Gateway,AK,90.4,207,2020
Kodiak,AK,83.1,42,2020
Kusilvak,AK,82.0,32,2020
Lake and Peninsula,AK,74.1,5,2020
Matanuska-Susitna,AK,85.9,80,2020
Nome,AK,80.9,24,2020
North Slope,AK,80.5,22,2020
Northwest Arctic,AK,76.8,10,2020
Petersburg,AK,87.3,111,2020
Prince of Wales-Hyder,AK,78.0,12,2020
Sitka City,AK,85.5,73,2020
Skagway,AK,86.6,94,2020
Southeast Fairbanks,AK,83.2,43,2020
Wrangell City,AK,84.7,62,2020
Yakutat City,AK,80.2,20,2020
Yukon-Koyukuk,AK,77.3,10,2020
Apache,AZ,73.8,4,2020
Cochise,AZ,92.2,282,2020
Coconino,AZ,88.9,155,2020
Gila,AZ,89.9,187,2020
Graham,AZ,92.6,300,2020
Greenlee,AZ,97.0,503,2020
La Paz,AZ,86.7,96,2020
Maricopa,AZ,89.1,161,2020
Mohave,AZ,90.6,217,2020
Navajo,AZ,86.5,92,2020
Pima,AZ,91.1,236,2020
Pinal,AZ,91.2,239,2020
Santa Cruz,AZ,88.3,136,2020
Yavapai,AZ,90.3,202,2020
Yuma,AZ,87.4,113,2020
Arkansas,AR,94.7,411,2020
Ashley,AR,92.3,287,2020
Baxter,AR,94.2,382,2020
Benton,AR,91.3,243,2020
Boone,AR,93.2,330,2020
Bradley,AR,89.2,164,2020
Calhoun,AR,91.7,260,2020
Carroll,AR,88.5,141,2020
Chicot,AR,89.4,168,2020
Clark,AR,91.0,231,2020
Clay,AR,94.2,382,2020
Cleburne,AR,92.4,291,2020
Cleveland,AR,96.3,485,2020
Columbia,AR,92.7,307,2020
Conway,AR,94.3,387,2020
Craighead,AR,91.4,246,2020
Crawford,AR,91.6,255,2020
Crittenden,AR,92.0,272,2020
Cross,AR,92.4,291,2020
Dallas,AR,92.3,287,2020
Desha,AR,92.3,287,2020
Drew,AR,95.2,440,2020
Faulkner,AR,91.7,260,2020
Franklin,AR,94.6,405,2020
Fulton,AR,89.1,161,2020
Garland,AR,89.9,187,2020
Grant,AR,94.5,400,2020
Greene,AR,92.6,300,2020
Hempstead,AR,90.6,217,2020
Hot Spring,AR,93.1,324,2020
Howard,AR,89.6,177,2020
Independence,AR,91.4,246,2020
Izard,AR,94.4,393,2020
Jackson,AR,91.2,239,2020
Jefferson,AR,94.0,370,2020
Johnson,AR,92.5,296,2020
Lafayette,AR,92.4,291,2020
Lawrence,AR,93.4,341,2020
Lee,AR,91.8,264,2020
Lincoln,AR,93.5,344,2020
Little River,AR,94.9,420,2020
Logan,AR,93.9,363,2020
Lonoke,AR,92.8,311,2020
Madison,AR,90.9,227,2020
Marion,AR,94.1,376,2020
Miller,AR,91.1,236,2020
Mississippi,AR,92.5,296,2020
Monroe,AR,91.6,255,2020
Montgomery,AR,89.1,161,2020
Nevada,AR,92.2,282,2020
Newton,AR,95.6,456,2020
Ouachita,AR,93.8,358,2020
Perry,AR,95.1,433,2020
Phillips,AR,92.5,296,2020
Pike,AR,91.4,246,2020
Poinsett,AR,89.5,172,2020
Polk,AR,90.4,207,2020
Pope,AR,92.7,307,2020
Prairie,AR,93.4,341,2020
Pulaski,AR,92.1,277,2020
Randolph,AR,92.5,296,2020
St. Francis,AR,90.1,195,2020
Saline,AR,94.2,382,2020
Scott,AR,93.3,335,2020
Searcy,AR,94.6,405,2020
Sebastian,AR,89.2,164,2020
Sevier,AR,83.9,52,2020
Sharp,AR,94.2,382,2020
Stone,AR,92.7,307,2020
Union,AR,93.1,324,2020
Van Buren,AR,90.6,217,2020
Washington,AR,88.3,136,2020
White,AR,90.8,224,2020
Woodruff,AR,94.7,411,2020
Yell,AR,92.8,311,2020
Alameda,CA,95.7,461,2020
Alpine,CA,92.4,291,2020
Amador,CA,94.9,420,2020
Butte,CA,94.0,370,2020
Calaveras,CA,94.7,411,2020
Colusa,CA,91.5,251,2020
Contra Costa,CA,95.0,426,2020
Del Norte,CA,94.5,400,2020
El Dorado,CA,95.7,461,2020
Fresno,CA,92.2,282,2020
Glenn,CA,90.8,224,2020
Humboldt,CA,92.2,282,2020
Imperial,CA,93.0,320,2020
Inyo,CA,93.3,335,2020
Kern,CA,92.3,287,2020
Kings,CA,92.5,296,2020
Lake,CA,92.7,307,2020
Lassen,CA,96.2,481,2020
Los Angeles,CA,90.8,224,2020
Madera,CA,92.4,291,2020
Marin,CA,96.8,500,2020
Mariposa,CA,93.2,330,2020
Mendocino,CA,90.7,220,2020
Merced,CA,92.0,272,2020
Modoc,CA,89.3,166,2020
Mono,CA,87.4,113,2020
Monterey,CA,90.6,217,2020
Napa,CA,94.1,376,2020
Nevada,CA,94.3,387,2020
Orange,CA,92.9,315,2020
Placer,CA,96.3,485,2020
Plumas,CA,96.8,500,2020
Riverside,CA,91.5,251,2020
Sacramento,CA,94.5,400,2020
San Benito,CA,93.5,344,2020
San Bernardino,CA,91.7,260,2020
San Diego,CA,92.4,291,2020
San Francisco,CA,96.4,489,2020
San Joaquin,CA,93.7,352,2020
San Luis Obispo,CA,94.0,370,2020
San Mateo,CA,96.2,481,2020
Santa Barbara,CA,90.1,195,2020
Santa Clara,CA,95.8,466,2020
Santa Cruz,CA,94.8,416,2020
Shasta,CA,93.8,358,2020
Sierra,CA,92.6,300,2020
Siskiyou,CA,93.6,348,2020
Solano,CA,95.0,426,2020
Sonoma,CA,94.0,370,2020
Stanislaus,CA,94.4,393,2020
Sutter,CA,93.2,330,2020
Tehama,CA,94.3,387,2020
Trinity,CA,89.6,177,2020
Tulare,CA,92.2,282,2020
Tuolumne,CA,93.9,363,2020
Ventura,CA,91.6,255,2020
Yolo,CA,95.7,461,2020
Yuba,CA,92.9,315,2020
Adams,CO,89.7,181,2020
Alamosa,CO,88.7,149,2020
Arapahoe,CO,92.1,277,2020
Archuleta,CO,87.5,115,2020
Baca,CO,92.0,272,2020
Bent,CO,90.7,220,2020
Boulder,CO,95.5,453,2020
Broomfield,CO,94.0,370,2020
Chaffee,CO,89.1,161,2020
Cheyenne,CO,93.3,335,2020
Clear Creek,CO,88.6,145,2020
Conejos,CO,88.4,138,2020
Costilla,CO,88.8,153,2020
Crowley,CO,93.2,330,2020
Custer,CO,89.8,183,2020
Delta,CO,90.4,207,2020
Denver,CO,90.4,207,2020
Dolores,CO,94.5,400,2020
Douglas,CO,96.5,491,2020
Eagle,CO,88.1,129,2020
Elbert,CO,93.9,363,2020
El Paso,CO,92.8,311,2020
Fremont,CO,93.2,330,2020
Garfield,CO,82.2,35,2020
Gilpin,CO,94.6,405,2020
Grand,CO,87.1,106,2020
Gunnison,CO,91.4,246,2020
Hinsdale,CO,84.9,65,2020
Huerfano,CO,91.9,269,2020
Jackson,CO,91.0,231,2020
Jefferson,CO,94.7,411,2020
Kiowa,CO,96.9,502,2020
Kit Carson,CO,89.6,177,2020
Lake,CO,84.9,65,2020
