county,state,percentHealthInsurance,percentHealthInsuranceBucket,year
La Plata,CO,91.0,231,2020
Larimer,CO,94.0,370,2020
Las Animas,CO,92.6,300,2020
Lincoln,CO,94.7,411,2020
Logan,CO,90.3,202,2020
Mesa,CO,90.6,217,2020
Mineral,CO,84.8,64,2020
Moffat,CO,86.9,101,2020
Montezuma,CO,87.3,111,2020
Montrose,CO,88.4,138,2020
Morgan,CO,90.3,202,2020
Otero,CO,91.4,246,2020
Ouray,CO,88.6,145,2020
Park,CO,90.6,217,2020
Phillips,CO,86.5,92,2020
Pitkin,CO,91.3,243,2020
Prowers,CO,89.2,164,2020
Pueblo,CO,93.3,335,2020
Rio Blanco,CO,88.7,149,2020
Rio Grande,CO,88.5,141,2020
Routt,CO,92.8,311,2020
Saguache,CO,88.7,149,2020
San Juan,CO,89.0,157,2020
San Miguel,CO,90.4,207,2020
Sedgwick,CO,90.2,198,2020
Summit,CO,84.8,64,2020
Teller,CO,91.8,264,2020
Washington,CO,95.9,471,2020
Weld,CO,91.1,236,2020
Yuma,CO,88.1,129,2020
Fairfield,CT,92.4,291,2020
Hartford,CT,96.0,474,2020
Litchfield,CT,96.4,489,2020
Middlesex,CT,96.7,497,2020
New Haven,CT,95.1,433,2020
New London,CT,95.8,466,2020
Tolland,CT,97.3,506,2020
Windham,CT,96.0,474,2020
Kent,DE,92.7,307,2020
New Castle,DE,94.9,420,2020
Sussex,DE,93.6,348,2020
District of,,96.3,485,2020
Alachua,FL,91.7,260,2020
Baker,FL,88.7,149,2020
Bay,FL,86.4,90,2020
Bradford,FL,89.5,172,2020
Brevard,FL,89.9,187,2020
Broward,FL,85.8,78,2020
Calhoun,FL,83.9,52,2020
Charlotte,FL,89.6,177,2020
Citrus,FL,89.4,168,2020
Clay,FL,90.4,207,2020
Collier,FL,86.4,90,2020
Columbia,FL,86.7,96,2020
DeSoto,FL,80.7,23,2020
Dixie,FL,83.0,41,2020
Duval,FL,88.2,133,2020
Escambia,FL,89.1,161,2020
Flagler,FL,87.1,106,2020
Franklin,FL,81.2,27,2020
Gadsden,FL,87.1,106,2020
Gilchrist,FL,84.5,60,2020
Glades,FL,79.5,17,2020
Gulf,FL,92.0,272,2020
Hamilton,FL,83.7,49,2020
Hardee,FL,88.3,136,2020
Hendry,FL,75.7,7,2020
Hernando,FL,87.5,115,2020
Highlands,FL,87.7,120,2020
Hillsborough,FL,87.8,123,2020
Holmes,FL,82.2,35,2020
Indian River,FL,88.9,155,2020
Jackson,FL,88.6,145,2020
Jefferson,FL,92.6,300,2020
Lafayette,FL,86.4,90,2020
Lake,FL,89.4,168,2020
Lee,FL,86.6,94,2020
Leon,FL,92.2,282,2020
Levy,FL,84.6,60,2020
Liberty,FL,85.1,68,2020
Madison,FL,88.2,133,2020
Manatee,FL,88.1,129,2020
Marion,FL,88.3,136,2020
Martin,FL,90.4,207,2020
Miami-Dade,FL,83.8,51,2020
Monroe,FL,82.9,41,2020
Nassau,FL,90.0,191,2020
Okaloosa,FL,88.2,133,2020
Okeechobee,FL,84.7,62,2020
Orange,FL,86.8,99,2020
Osceola,FL,86.8,99,2020
Palm Beach,FL,86.5,92,2020
Pasco,FL,88.5,141,2020
Pinellas,FL,89.3,166,2020
Polk,FL,87.0,104,2020
Putnam,FL,83.6,48,2020
St. Johns,FL,92.1,277,2020
St. Lucie,FL,86.3,87,2020
Santa Rosa,FL,89.1,161,2020
Sarasota,FL,89.1,161,2020
Seminole,FL,90.6,217,2020
Sumter,FL,94.3,387,2020
Suwannee,FL,87.3,111,2020
Taylor,FL,92.2,282,2020
Union,FL,90.0,191,2020
Volusia,FL,88.7,149,2020
Wakulla,FL,91.6,255,2020
Walton,FL,85.6,74,2020
Washington,FL,84.1,54,2020
Appling,GA,87.7,120,2020
Atkinson,GA,79.1,16,2020
Bacon,GA,80.9,24,2020
Baker,GA,86.4,90,2020
Baldwin,GA,88.3,136,2020
Banks,GA,86.4,90,2020
Barrow,GA,84.7,62,2020
Bartow,GA,85.1,68,2020
Ben Hill,GA,79.9,19,2020
Berrien,GA,78.3,13,2020
Bibb,GA,87.9,125,2020
Bleckley,GA,89.6,177,2020
Brantley,GA,83.3,45,2020
Brooks,GA,84.6,60,2020
Bryan,GA,90.1,195,2020
Bulloch,GA,87.2,107,2020
Burke,GA,89.9,187,2020
Butts,GA,89.5,172,2020
Calhoun,GA,84.7,62,2020
Camden,GA,89.2,164,2020
Candler,GA,81.6,29,2020
Carroll,GA,88.1,129,2020
Catoosa,GA,89.3,166,2020
Charlton,GA,82.4,36,2020
Chatham,GA,86.0,81,2020
Chattahoochee,GA,95.1,433,2020
Chattooga,GA,88.2,133,2020
Cherokee,GA,89.0,157,2020
Clarke,GA,87.6,117,2020
Clay,GA,85.8,78,2020
Clayton,GA,81.7,30,2020
Clinch,GA,78.7,14,2020
Cobb,GA,87.8,123,2020
Coffee,GA,84.4,58,2020
Colquitt,GA,77.9,12,2020
Columbia,GA,91.6,255,2020
Cook,GA,81.1,26,2020
Coweta,GA,90.2,198,2020
Crawford,GA,87.9,125,2020
Crisp,GA,81.1,26,2020
Dade,GA,87.6,117,2020
Dawson,GA,86.8,99,2020
Decatur,GA,83.7,49,2020
DeKalb,GA,86.7,96,2020
Dodge,GA,89.4,168,2020
Dooly,GA,83.8,51,2020
Dougherty,GA,84.3,56,2020
Douglas,GA,87.0,104,2020
Early,GA,80.6,22,2020
Echols,GA,74.7,6,2020
Effingham,GA,90.7,220,2020
Elbert,GA,86.8,99,2020
Emanuel,GA,81.2,27,2020
Evans,GA,82.2,35,2020
Fannin,GA,88.2,133,2020
Fayette,GA,92.6,300,2020
Floyd,GA,85.1,68,2020
Forsyth,GA,91.5,251,2020
Franklin,GA,84.8,64,2020
Fulton,GA,89.9,187,2020
Gilmer,GA,81.3,27,2020
Glascock,GA,93.0,320,2020
Glynn,GA,86.4,90,2020
Gordon,GA,83.5,47,2020
Grady,GA,80.9,24,2020
Greene,GA,83.5,47,2020
Gwinnett,GA,84.3,56,2020
Habersham,GA,85.3,71,2020
Hall,GA,83.2,43,2020
Hancock,GA,87.4,113,2020
Haralson,GA,88.1,129,2020
Harris,GA,92.9,315,2020
Hart,GA,87.3,111,2020
Heard,GA,88.0,127,2020
Henry,GA,89.1,161,2020
Houston,GA,89.2,164,2020
Irwin,GA,81.9,31,2020
Jackson,GA,89.2,164,2020
Jasper,GA,86.8,99,2020
Jeff Davis,GA,81.1,26,2020
Jefferson,GA,87.4,113,2020
Jenkins,GA,81.7,30,2020
Johnson,GA,84.9,65,2020
Jones,GA,92.7,307,2020
Lamar,GA,87.4,113,2020
Lanier,GA,87.3,111,2020
Laurens,GA,87.0,104,2020
Lee,GA,90.4,207,2020
Liberty,GA,90.2,198,2020
Lincoln,GA,87.1,106,2020
Long,GA,85.0,66,2020
Lowndes,GA,84.8,64,2020
Lumpkin,GA,89.3,166,2020
McDuffie,GA,86.1,82,2020
McIntosh,GA,87.5,115,2020
Macon,GA,79.2,16,2020
Madison,GA,85.6,74,2020
Marion,GA,87.3,111,2020
Meriwether,GA,86.5,92,2020
Miller,GA,84.3,56,2020
Mitchell,GA,80.0,19,2020
Monroe,GA,88.7,149,2020
Montgomery,GA,84.3,56,2020
Morgan,GA,88.6,145,2020
Murray,GA,85.0,66,2020
Muscogee,GA,88.0,127,2020
Newton,GA,86.4,90,2020
Oconee,GA,93.3,335,2020
Oglethorpe,GA,88.4,138,2020
Paulding,GA,88.3,136,2020
Peach,GA,87.1,106,2020
Pickens,GA,88.8,153,2020
Pierce,GA,83.9,52,2020
Pike,GA,88.1,129,2020
Polk,GA,84.3,56,2020
Pulaski,GA,87.1,106,2020
Putnam,GA,86.4,90,2020
Quitman,GA,75.4,7,2020
Rabun,GA,83.3,45,2020
Randolph,GA,87.9,125,2020
Richmond,GA,86.6,94,2020
Rockdale,GA,86.1,82,2020
Schley,GA,86.3,87,2020
Screven,GA,86.4,90,2020
Seminole,GA,81.8,31,2020
Spalding,GA,85.8,78,2020
Stephens,GA,85.0,66,2020
Stewart,GA,87.5,115,2020
Sumter,GA,87.8,123,2020
Talbot,GA,86.2,85,2020
Taliaferro,GA,86.8,99,2020
Tattnall,GA,84.8,64,2020
Taylor,GA,84.5,60,2020
Telfair,GA,90.4,207,2020
Terrell,GA,82.1,33,2020
Thomas,GA,86.8,99,2020
Tift,GA,81.7,30,2020
Toombs,GA,82.1,33,2020
Towns,GA,86.9,101,2020
Treutlen,GA,82.0,32,2020
Troup,GA,89.1,161,2020
Turner,GA,87.0,104,2020
Twiggs,GA,89.7,181,2020
Union,GA,86.8,99,2020
Upson,GA,88.0,127,2020
Walker,GA,85.9,80,2020
Walton,GA,87.9,125,2020
Ware,GA,84.3,56,2020
Warren,GA,89.0,157,2020
Washington,GA,88.8,153,2020
Wayne,GA,83.8,51,2020
Webster,GA,82.0,32,2020
Wheeler,GA,81.7,30,2020
White,GA,87.3,111,2020
Whitfield,GA,82.3,35,2020
Wilcox,GA,83.1,42,2020
Wilkes,GA,86.8,99,2020
Wilkinson,GA,89.4,168,2020
Worth,GA,82.8,40,2020
Hawaii,HI,95.2,440,2020
Honolulu,HI,96.6,494,2020
Kalawao,HI,100.0,511,2020
Kauai,HI,95.1,433,2020
Maui,HI,94.9,420,2020
Ada,ID,92.3,287,2020
Adams,ID,89.0,157,2020
Bannock,ID,91.7,260,2020
Bear Lake,ID,94.1,376,2020
Benewah,ID,88.8,153,2020
Bingham,ID,89.5,172,2020
Blaine,ID,88.0,127,2020
Boise,ID,86.3,87,2020
Bonner,ID,90.2,198,2020
Bonneville,ID,91.2,239,2020
Boundary,ID,81.4,29,2020
Butte,ID,87.7,120,2020
Camas,ID,86.9,101,2020
Canyon,ID,86.8,99,2020
Caribou,ID,89.1,161,2020
Cassia,ID,88.9,155,2020
Clark,ID,73.8,4,2020
Clearwater,ID,86.0,81,2020
Custer,ID,93.8,358,2020
Elmore,ID,85.7,75,2020
Franklin,ID,89.5,172,2020
Fremont,ID,86.2,85,2020
Gem,ID,83.2,43,2020
Gooding,ID,82.3,35,2020
Idaho,ID,87.0,104,2020
Jefferson,ID,91.1,236,2020
Jerome,ID,81.7,30,2020
Kootenai,ID,89.6,177,2020
Latah,ID,92.9,315,2020
Lemhi,ID,90.0,191,2020
Lewis,ID,86.4,90,2020
Lincoln,ID,82.2,35,2020
Madison,ID,94.0,370,2020
Minidoka,ID,81.5,29,2020
Nez Perce,ID,89.2,164,2020
Oneida,ID,91.5,251,2020
Owyhee,ID,77.9,12,2020
Payette,ID,89.1,161,2020
Power,ID,85.6,74,2020
Shoshone,ID,84.4,58,2020
Teton,ID,90.5,212,2020
Twin Falls,ID,89.5,172,2020
Valley,ID,88.6,145,2020
Washington,ID,85.3,71,2020
Adams,IL,95.2,440,2020
Alexander,IL,92.1,277,2020
Bond,IL,93.9,363,2020
Boone,IL,94.7,411,2020
Brown,IL,93.8,358,2020
Bureau,IL,95.2,440,2020
Calhoun,IL,99.0,511,2020
Carroll,IL,94.7,411,2020
Cass,IL,95.2,440,2020
Champaign,IL,95.6,456,2020
Christian,IL,95.2,440,2020
Clark,IL,96.3,485,2020
Clay,IL,94.8,416,2020
Clinton,IL,95.9,471,2020
Coles,IL,93.0,320,2020
Cook,IL,91.3,243,2020
Crawford,IL,93.2,330,2020
Cumberland,IL,95.1,433,2020
DeKalb,IL,94.9,420,2020
De Witt,IL,96.1,478,2020
Douglas,IL,84.1,54,2020
DuPage,IL,94.6,405,2020
Edgar,IL,95.2,440,2020
Edwards,IL,93.9,363,2020
Effingham,IL,94.6,405,2020
Fayette,IL,92.3,287,2020
Ford,IL,95.1,433,2020
Franklin,IL,94.3,387,2020
Fulton,IL,94.3,387,2020
Gallatin,IL,96.6,494,2020
Greene,IL,94.4,393,2020
Grundy,IL,96.4,489,2020
Hamilton,IL,91.6,255,2020
Hancock,IL,96.4,489,2020
Hardin,IL,94.5,400,2020
Henderson,IL,95.8,466,2020
Henry,IL,95.5,453,2020
Iroquois,IL,93.8,358,2020
Jackson,IL,93.1,324,2020
Jasper,IL,93.3,335,2020
Jefferson,IL,93.8,358,2020
Jersey,IL,96.1,478,2020
Jo Daviess,IL,94.9,420,2020
Johnson,IL,96.0,474,2020
Kane,IL,91.8,264,2020
Kankakee,IL,94.6,405,2020
Kendall,IL,95.7,461,2020
Knox,IL,94.8,416,2020
Lake,IL,93.6,348,2020
LaSalle,IL,96.0,474,2020
Lawrence,IL,92.2,282,2020
Lee,IL,96.4,489,2020
Livingston,IL,95.3,443,2020
Logan,IL,96.3,485,2020
McDonough,IL,94.6,405,2020
McHenry,IL,95.1,433,2020
McLean,IL,96.0,474,2020
Macon,IL,95.7,461,2020
Macoupin,IL,95.9,471,2020
Madison,IL,95.1,433,2020
Marion,IL,93.5,344,2020
Marshall,IL,95.5,453,2020
Mason,IL,94.5,400,2020
Massac,IL,92.9,315,2020
Menard,IL,97.6,509,2020
Mercer,IL,96.5,491,2020
Monroe,IL,97.5,508,2020
Montgomery,IL,96.0,474,2020
Morgan,IL,96.2,481,2020
Moultrie,IL,85.8,78,2020
Ogle,IL,95.6,456,2020
Peoria,IL,93.8,358,2020
Perry,IL,96.3,485,2020
Piatt,IL,96.1,478,2020
Pike,IL,94.2,382,2020
Pope,IL,97.8,510,2020
Pulaski,IL,95.3,443,2020
Putnam,IL,97.2,505,2020
Randolph,IL,95.1,433,2020
Richland,IL,96.5,491,2020
Rock Island,IL,94.4,393,2020
St. Clair,IL,94.1,376,2020
Saline,IL,94.3,387,2020
Sangamon,IL,96.3,485,2020
Schuyler,IL,91.8,264,2020
Scott,IL,96.9,502,2020
Shelby,IL,96.2,481,2020
Stark,IL,95.0,426,2020
Stephenson,IL,94.9,420,2020
Tazewell,IL,95.5,453,2020
Union,IL,93.8,358,2020
Vermilion,IL,94.5,400,2020
Wabash,IL,93.9,363,2020
Warren,IL,94.4,393,2020
Washington,IL,97.3,506,2020
Wayne,IL,89.5,172,2020
White,IL,93.8,358,2020
Whiteside,IL,94.6,405,2020
Will,IL,94.9,420,2020
Williamson,IL,94.2,382,2020
Winnebago,IL,93.9,363,2020
Woodford,IL,95.8,466,2020
Adams,IN,80.5,22,2020
Allen,IN,92.0,272,2020
Bartholomew,IN,92.2,282,2020
Benton,IN,90.9,227,2020
Blackford,IN,94.9,420,2020
Boone,IN,95.4,448,2020
Brown,IN,91.4,246,2020
Carroll,IN,90.4,207,2020
Cass,IN,91.8,264,2020
Clark,IN,93.5,344,2020
Clay,IN,95.2,440,2020
Clinton,IN,90.3,202,2020
Crawford,IN,92.7,307,2020
Daviess,IN,74.4,6,2020
Dearborn,IN,95.0,426,2020
Decatur,IN,94.1,376,2020
DeKalb,IN,92.9,315,2020
Delaware,IN,92.5,296,2020
Dubois,IN,95.7,461,2020
Elkhart,IN,85.0,66,2020
Fayette,IN,91.8,264,2020
Floyd,IN,95.3,443,2020
Fountain,IN,89.9,187,2020
Franklin,IN,92.8,311,2020
Fulton,IN,90.0,191,2020
Gibson,IN,95.1,433,2020
Grant,IN,92.3,287,2020
Greene,IN,93.7,352,2020
Hamilton,IN,95.8,466,2020
Hancock,IN,94.2,382,2020
Harrison,IN,93.8,358,2020
Hendricks,IN,94.2,382,2020
Henry,IN,93.2,330,2020
Howard,IN,93.1,324,2020
Huntington,IN,93.4,341,2020
Jackson,IN,91.8,264,2020
Jasper,IN,94.3,387,2020
Jay,IN,89.7,181,2020
Jefferson,IN,92.0,272,2020
Jennings,IN,89.6,177,2020
Johnson,IN,93.9,363,2020
Knox,IN,92.1,277,2020
Kosciusko,IN,89.2,164,2020
LaGrange,IN,57.4,0,2020
Lake,IN,93.1,324,2020
LaPorte,IN,92.7,307,2020
Lawrence,IN,92.7,307,2020
Madison,IN,91.9,269,2020
Marion,IN,90.2,198,2020
Marshall,IN,87.7,120,2020
Martin,IN,94.4,393,2020
Miami,IN,91.5,251,2020
Monroe,IN,93.7,352,2020
Montgomery,IN,91.8,264,2020
Morgan,IN,93.9,363,2020
Newton,IN,93.4,341,2020
Noble,IN,90.1,195,2020
Ohio,IN,92.8,311,2020
Orange,IN,92.4,291,2020
Owen,IN,89.1,161,2020
Parke,IN,86.5,92,2020
Perry,IN,95.2,440,2020
Pike,IN,96.1,478,2020
Porter,IN,94.7,411,2020
Posey,IN,95.0,426,2020
Pulaski,IN,92.8,311,2020
Putnam,IN,95.0,426,2020
Randolph,IN,90.9,227,2020
Ripley,IN,92.4,291,2020
Rush,IN,90.4,207,2020
St. Joseph,IN,92.4,291,2020
Scott,IN,92.6,300,2020
Shelby,IN,93.4,341,2020
Spencer,IN,96.5,491,2020
Starke,IN,93.4,341,2020
Steuben,IN,92.7,307,2020
Sullivan,IN,90.8,224,2020
Switzerland,IN,87.7,120,2020
Tippecanoe,IN,93.5,344,2020
Tipton,IN,91.4,246,2020
Union,IN,92.1,277,2020
Vanderburgh,IN,92.2,282,2020
Vermillion,IN,94.9,420,2020
Vigo,IN,93.0,320,2020
Wabash,IN,91.8,264,2020
Warren,IN,95.5,453,2020
Warrick,IN,96.2,481,2020
Washington,IN,91.0,231,2020
Wayne,IN,88.6,145,2020
Wells,IN,94.5,400,2020
White,IN,91.6,255,2020
Whitley,IN,92.6,300,2020
Adair,IA,95.4,448,2020
Adams,IA,93.4,341,2020
Allamakee,IA,91.9,269,2020
Appanoose,IA,90.5,212,2020
Audubon,IA,95.7,461,2020
Benton,IA,97.6,509,2020
Black Hawk,IA,95.5,453,2020
Boone,IA,96.9,502,2020
Bremer,IA,96.8,500,2020
Buchanan,IA,94.0,370,2020
Buena Vista,IA,91.3,243,2020
Butler,IA,96.4,489,2020
Calhoun,IA,96.4,489,2020
Carroll,IA,97.9,510,2020
Cass,IA,95.3,443,2020
Cedar,IA,97.7,510,2020
Cerro Gordo,IA,95.7,461,2020
Cherokee,IA,95.1,433,2020
Chickasaw,IA,93.7,352,2020
Clarke,IA,92.8,311,2020
Clay,IA,95.3,443,2020
Clayton,IA,94.0,370,2020
Clinton,IA,95.2,440,2020
