county,state,percentNeedOpioidTreatment,percentNeedOpioidTreatmentBucket,year
Autauga,AL,95.7,506,2020
Baldwin,AL,91.34,405,2020
Barbour,AL,91.34,405,2020
Bibb,AL,91.86,427,2020
Blount,AL,91.86,427,2020
Bullock,AL,95.7,506,2020
Butler,AL,91.34,405,2020
Calhoun,AL,91.86,427,2020
Chambers,AL,95.7,506,2020
Cherokee,AL,89.71,335,2020
Chilton,AL,91.86,427,2020
Choctaw,AL,95.7,506,2020
Clarke,AL,91.34,405,2020
Clay,AL,91.86,427,2020
Cleburne,AL,91.86,427,2020
Coffee,AL,91.34,405,2020
Colbert,AL,89.71,335,2020
Conecuh,AL,91.34,405,2020
Coosa,AL,91.86,427,2020
Covington,AL,91.34,405,2020
Crenshaw,AL,91.34,405,2020
Cullman,AL,89.71,335,2020
Dale,AL,91.34,405,2020
Dallas,AL,95.7,506,2020
DeKalb,AL,89.71,335,2020
Elmore,AL,95.7,506,2020
Escambia,AL,91.34,405,2020
Etowah,AL,89.71,335,2020
Fayette,AL,89.71,335,2020
Franklin,AL,89.71,335,2020
Geneva,AL,91.34,405,2020
Greene,AL,95.7,506,2020
Hale,AL,95.7,506,2020
Henry,AL,91.34,405,2020
Houston,AL,91.34,405,2020
Jackson,AL,89.71,335,2020
Jefferson,AL,91.86,427,2020
Lamar,AL,89.71,335,2020
Lauderdale,AL,89.71,335,2020
Lawrence,AL,89.71,335,2020
Lee,AL,95.7,506,2020
Limestone,AL,89.71,335,2020
Lowndes,AL,95.7,506,2020
Macon,AL,95.7,506,2020
Madison,AL,89.71,335,2020
Marengo,AL,95.7,506,2020
Marion,AL,89.71,335,2020
Marshall,AL,89.71,335,2020
Mobile,AL,91.34,405,2020
Monroe,AL,91.34,405,2020
Montgomery,AL,95.7,506,2020
Morgan,AL,89.71,335,2020
Perry,AL,95.7,506,2020
Pickens,AL,91.86,427,2020
Pike,AL,95.7,506,2020
Randolph,AL,91.86,427,2020
Russell,AL,95.7,506,2020
St. Clair,AL,91.86,427,2020
Shelby,AL,91.86,427,2020
Sumter,AL,95.7,506,2020
Talladega,AL,91.86,427,2020
Tallapoosa,AL,95.7,506,2020
Tuscaloosa,AL,91.86,427,2020
Walker,AL,89.71,335,2020
Washington,AL,91.34,405,2020
Wilcox,AL,95.7,506,2020
Winston,AL,89.71,335,2020
Aleutians East,AK,89.12,293,2020
Aleutians West,AK,89.12,293,2020
Anchorage,AK,86.73,156,2020
Bethel,AK,87.58,188,2020
Bristol Bay,AK,89.12,293,2020
Denali,AK,87.58,188,2020
Dillingham,AK,89.12,293,2020
Fairbanks North Star,AK,87.58,188,2020
Haines,AK,94.82,497,2020
Hoonah-Angoon,AK,94.82,497,2020
Juneau City,AK,94.82,497,2020
Kenai Peninsula,AK,89.12,293,2020
Ketchikan Gateway,AK,94.82,497,2020
Kodiak,AK,89.12,293,2020
Kusilvak,AK,87.58,188,2020
Lake and Peninsula,AK,89.12,293,2020
Matanuska-Susitna,AK,89.12,293,2020
Nome,AK,87.58,188,2020
North Slope,AK,87.58,188,2020
Northwest Arctic,AK,87.58,188,2020
Petersburg,AK,94.82,497,2020
Prince of Wales-Hyder,AK,94.82,497,2020
Sitka City,AK,94.82,497,2020
Skagway,AK,94.82,497,2020
Southeast Fairbanks,AK,87.58,188,2020
Valdez-Cordova,AK,89.12,293,2020
Wrangell City,AK,94.82,497,2020
Yakutat City,AK,94.82,497,2020
Yukon-Koyukuk,AK,87.58,188,2020
Apache,AZ,88.35,240,2020
Cochise,AZ,89.36,319,2020
Coconino,AZ,88.35,240,2020
Gila,AZ,89.36,319,2020
Graham,AZ,89.36,319,2020
Greenlee,AZ,89.36,319,2020
La Paz,AZ,89.36,319,2020
Maricopa,AZ,90.68,377,2020
Mohave,AZ,88.35,240,2020
Navajo,AZ,88.35,240,2020
Pima,AZ,87.15,166,2020
Pinal,AZ,89.36,319,2020
Santa Cruz,AZ,89.36,319,2020
Yavapai,AZ,88.35,240,2020
Yuma,AZ,89.36,319,2020
Arkansas,AR,82.97,37,2020
Ashley,AR,82.97,37,2020
Baxter,AR,88.48,245,2020
Benton,AR,84.62,64,2020
Boone,AR,88.48,245,2020
Bradley,AR,82.97,37,2020
Calhoun,AR,89.82,340,2020
Carroll,AR,84.62,64,2020
Chicot,AR,82.97,37,2020
Clark,AR,86.48,137,2020
Clay,AR,92.99,461,2020
Cleburne,AR,88.48,245,2020
Cleveland,AR,82.97,37,2020
Columbia,AR,89.82,340,2020
Conway,AR,86.48,137,2020
Craighead,AR,92.99,461,2020
Crawford,AR,86.86,162,2020
Crittenden,AR,92.99,461,2020
Cross,AR,92.99,461,2020
Dallas,AR,89.82,340,2020
Desha,AR,82.97,37,2020
Drew,AR,82.97,37,2020
Faulkner,AR,86.48,137,2020
Franklin,AR,86.86,162,2020
Fulton,AR,88.48,245,2020
Garland,AR,86.48,137,2020
Grant,AR,82.97,37,2020
Greene,AR,92.99,461,2020
Hempstead,AR,89.82,340,2020
Hot Spring,AR,86.48,137,2020
Howard,AR,89.82,340,2020
Independence,AR,88.48,245,2020
Izard,AR,88.48,245,2020
Jackson,AR,88.48,245,2020
Jefferson,AR,82.97,37,2020
Johnson,AR,86.48,137,2020
Lafayette,AR,89.82,340,2020
Lawrence,AR,92.99,461,2020
Lee,AR,92.99,461,2020
Lincoln,AR,82.97,37,2020
Little River,AR,89.82,340,2020
Logan,AR,86.86,162,2020
Lonoke,AR,88.53,246,2020
Madison,AR,84.62,64,2020
Marion,AR,88.48,245,2020
Miller,AR,89.82,340,2020
Mississippi,AR,92.99,461,2020
Monroe,AR,92.99,461,2020
Montgomery,AR,86.48,137,2020
Nevada,AR,89.82,340,2020
Newton,AR,88.48,245,2020
Ouachita,AR,89.82,340,2020
Perry,AR,86.48,137,2020
Phillips,AR,92.99,461,2020
Pike,AR,86.48,137,2020
Poinsett,AR,92.99,461,2020
Polk,AR,86.86,162,2020
Pope,AR,86.48,137,2020
Prairie,AR,88.53,246,2020
Pulaski,AR,88.53,246,2020
Randolph,AR,92.99,461,2020
St. Francis,AR,92.99,461,2020
Saline,AR,88.53,246,2020
Scott,AR,86.86,162,2020
Searcy,AR,88.48,245,2020
Sebastian,AR,86.86,162,2020
Sevier,AR,89.82,340,2020
Sharp,AR,88.48,245,2020
Stone,AR,88.48,245,2020
Union,AR,89.82,340,2020
Van Buren,AR,88.48,245,2020
Washington,AR,84.62,64,2020
White,AR,88.48,245,2020
Woodruff,AR,88.48,245,2020
Yell,AR,86.48,137,2020
Alameda,CA,91.32,402,2020
Alpine,CA,87.54,186,2020
Amador,CA,87.54,186,2020
Butte,CA,87.25,179,2020
Calaveras,CA,87.54,186,2020
Colusa,CA,87.25,179,2020
Contra Costa,CA,89.13,293,2020
Del Norte,CA,87.25,179,2020
El Dorado,CA,87.67,192,2020
Fresno,CA,87.38,179,2020
