county,state,sexRatio,sexRatioBucket,year
Autauga,AL,94.6,106,2020
Baldwin,AL,94.2,94,2020
Barbour,AL,110.8,462,2020
Bibb,AL,116.1,479,2020
Blount,AL,98.6,265,2020
Bullock,AL,121.4,490,2020
Butler,AL,84.8,5,2020
Calhoun,AL,92.5,54,2020
Chambers,AL,91.0,36,2020
Cherokee,AL,97.8,227,2020
Chilton,AL,95.1,121,2020
Choctaw,AL,89.7,24,2020
Clarke,AL,90.7,33,2020
Clay,AL,92.9,62,2020
Cleburne,AL,94.6,106,2020
Coffee,AL,97.7,223,2020
Colbert,AL,92.8,60,2020
Conecuh,AL,94.9,115,2020
Coosa,AL,105.8,431,2020
Covington,AL,94.6,106,2020
Crenshaw,AL,91.0,36,2020
Cullman,AL,97.2,199,2020
Dale,AL,97.0,189,2020
Dallas,AL,85.5,7,2020
DeKalb,AL,97.7,223,2020
Elmore,AL,93.5,76,2020
Escambia,AL,103.3,399,2020
Etowah,AL,93.1,65,2020
Fayette,AL,96.6,173,2020
Franklin,AL,98.0,239,2020
Geneva,AL,94.1,92,2020
Greene,AL,90.2,29,2020
Hale,AL,90.4,31,2020
Henry,AL,93.2,68,2020
Houston,AL,92.0,47,2020
Jackson,AL,95.8,143,2020
Jefferson,AL,89.7,24,2020
Lamar,AL,97.6,219,2020
Lauderdale,AL,92.4,52,2020
Lawrence,AL,92.1,48,2020
Lee,AL,97.0,189,2020
Limestone,AL,99.4,296,2020
Lowndes,AL,91.0,36,2020
Macon,AL,83.6,3,2020
Madison,AL,95.5,132,2020
Marengo,AL,88.6,18,2020
Marion,AL,98.0,239,2020
Marshall,AL,97.5,215,2020
Mobile,AL,90.9,35,2020
Monroe,AL,92.5,54,2020
Montgomery,AL,89.1,21,2020
Morgan,AL,97.2,199,2020
Perry,AL,91.3,39,2020
Pickens,AL,91.4,41,2020
Pike,AL,92.7,57,2020
Randolph,AL,94.3,97,2020
Russell,AL,92.3,51,2020
St. Clair,AL,99.1,284,2020
Shelby,AL,93.6,79,2020
Sumter,AL,83.8,3,2020
Talladega,AL,93.2,68,2020
Tallapoosa,AL,94.3,97,2020
Tuscaloosa,AL,92.8,60,2020
Walker,AL,96.5,167,2020
Washington,AL,98.1,244,2020
Wilcox,AL,85.7,7,2020
Winston,AL,96.5,167,2020
Aleutians East,AK,136.5,501,2020
Aleutians West,AK,176.4,509,2020
Anchorage,AK,104.1,411,2020
Bethel,AK,107.5,445,2020
Bristol Bay,AK,127.4,497,2020
Chugach,AK,122.3,492,2020
Copper River,AK,90.4,31,2020
Denali,AK,118.7,486,2020
Dillingham,AK,105.0,422,2020
Fairbanks North Star,AK,117.1,482,2020
Haines,AK,125.0,495,2020
Hoonah-Angoon,AK,116.5,480,2020
Juneau City,AK,105.4,427,2020
Kenai Peninsula,AK,108.4,451,2020
Ketchikan Gateway,AK,106.4,437,2020
Kodiak,AK,114.5,475,2020
Kusilvak,AK,117.6,484,2020
Lake and Peninsula,AK,84.7,5,2020
Matanuska-Susitna,AK,108.1,449,2020
Nome,AK,110.3,461,2020
North Slope,AK,153.8,506,2020
Northwest Arctic,AK,121.1,490,2020
Petersburg,AK,102.6,388,2020
Prince of Wales-Hyder,AK,120.9,489,2020
Sitka City,AK,105.9,432,2020
Skagway,AK,101.6,367,2020
Southeast Fairbanks,AK,119.6,487,2020
Wrangell City,AK,117.5,483,2020
Yakutat City,AK,145.7,504,2020
Yukon-Koyukuk,AK,109.4,456,2020
Apache,AZ,97.4,209,2020
Cochise,AZ,103.7,405,2020
Coconino,AZ,97.2,199,2020
Gila,AZ,98.1,244,2020
Graham,AZ,114.6,475,2020
Greenlee,AZ,115.0,476,2020
La Paz,AZ,104.5,416,2020
Maricopa,AZ,97.8,227,2020
Mohave,AZ,101.8,371,2020
Navajo,AZ,100.5,334,2020
Pima,AZ,96.8,181,2020
Pinal,AZ,108.0,448,2020
Santa Cruz,AZ,92.9,62,2020
Yavapai,AZ,95.5,132,2020
Yuma,AZ,106.4,437,2020
Arkansas,AR,91.7,43,2020
Ashley,AR,93.4,74,2020
Baxter,AR,94.4,100,2020
Benton,AR,99.0,281,2020
Boone,AR,97.3,203,2020
Bradley,AR,89.5,23,2020
Calhoun,AR,100.1,322,2020
Carroll,AR,99.2,288,2020
Chicot,AR,98.1,244,2020
Clark,AR,90.1,28,2020
Clay,AR,96.9,185,2020
Cleburne,AR,99.8,314,2020
Cleveland,AR,90.3,30,2020
Columbia,AR,92.5,54,2020
Conway,AR,97.2,199,2020
Craighead,AR,95.4,129,2020
Crawford,AR,97.2,199,2020
Crittenden,AR,90.7,33,2020
Cross,AR,92.9,62,2020
Dallas,AR,94.4,100,2020
Desha,AR,85.2,6,2020
Drew,AR,94.8,112,2020
Faulkner,AR,94.6,106,2020
Franklin,AR,98.9,277,2020
Fulton,AR,96.0,149,2020
Garland,AR,92.0,47,2020
Grant,AR,98.2,248,2020
Greene,AR,95.9,146,2020
Hempstead,AR,85.9,8,2020
Hot Spring,AR,110.4,461,2020
Howard,AR,91.2,39,2020
Independence,AR,96.5,167,2020
Izard,AR,110.9,463,2020
Jackson,AR,98.1,244,2020
Jefferson,AR,97.6,219,2020
Johnson,AR,96.5,167,2020
Lafayette,AR,100.6,337,2020
Lawrence,AR,99.7,309,2020
Lee,AR,131.6,500,2020
Lincoln,AR,176.0,509,2020
Little River,AR,91.1,37,2020
Logan,AR,97.1,194,2020
Lonoke,AR,96.6,173,2020
Madison,AR,103.3,399,2020
Marion,AR,93.9,86,2020
Miller,AR,96.7,177,2020
Mississippi,AR,95.7,140,2020
Monroe,AR,92.0,47,2020
Montgomery,AR,99.7,309,2020
Nevada,AR,100.7,341,2020
Newton,AR,97.7,223,2020
Ouachita,AR,89.6,24,2020
Perry,AR,105.3,427,2020
Phillips,AR,88.6,18,2020
Pike,AR,97.2,199,2020
Poinsett,AR,95.3,126,2020
Polk,AR,95.1,121,2020
Pope,AR,97.4,209,2020
Prairie,AR,96.7,177,2020
Pulaski,AR,91.2,39,2020
Randolph,AR,100.9,346,2020
St. Francis,AR,127.1,496,2020
Saline,AR,95.7,140,2020
Scott,AR,111.3,464,2020
Searcy,AR,99.9,316,2020
Sebastian,AR,95.8,143,2020
Sevier,AR,102.7,390,2020
Sharp,AR,96.3,159,2020
Stone,AR,97.5,215,2020
Union,AR,92.9,62,2020
Van Buren,AR,97.5,215,2020
Washington,AR,100.2,326,2020
White,AR,95.8,143,2020
Woodruff,AR,86.5,9,2020
Yell,AR,102.4,384,2020
Alameda,CA,96.8,181,2020
Alpine,CA,114.6,475,2020
Amador,CA,117.5,483,2020
Butte,CA,97.7,223,2020
Calaveras,CA,100.0,320,2020
Colusa,CA,104.7,419,2020
Contra Costa,CA,95.7,140,2020
Del Norte,CA,113.9,473,2020
El Dorado,CA,99.2,288,2020
Fresno,CA,99.6,305,2020
Glenn,CA,104.9,421,2020
Humboldt,CA,98.5,262,2020
Imperial,CA,105.3,427,2020
Inyo,CA,106.3,436,2020
Kern,CA,105.1,423,2020
Kings,CA,122.6,493,2020
Lake,CA,99.8,314,2020
Lassen,CA,189.8,510,2020
Los Angeles,CA,97.2,199,2020
Madera,CA,93.4,74,2020
Marin,CA,95.2,123,2020
Mariposa,CA,106.4,437,2020
Mendocino,CA,98.0,239,2020
Merced,CA,102.1,379,2020
Modoc,CA,103.6,404,2020
Mono,CA,115.2,477,2020
Monterey,CA,103.7,405,2020
Napa,CA,99.3,292,2020
Nevada,CA,97.0,189,2020
Orange,CA,97.4,209,2020
Placer,CA,95.5,132,2020
Plumas,CA,100.6,337,2020
Riverside,CA,99.4,296,2020
Sacramento,CA,95.7,140,2020
San Benito,CA,101.4,361,2020
San Bernardino,CA,99.1,284,2020
San Diego,CA,101.5,363,2020
San Francisco,CA,104.1,411,2020
San Joaquin,CA,99.4,296,2020
San Luis Obispo,CA,102.4,384,2020
San Mateo,CA,98.2,248,2020
Santa Barbara,CA,100.1,322,2020
Santa Clara,CA,102.6,388,2020
Santa Cruz,CA,98.0,239,2020
Shasta,CA,96.7,177,2020
Sierra,CA,103.5,402,2020
Siskiyou,CA,99.1,284,2020
Solano,CA,99.1,284,2020
Sonoma,CA,95.5,132,2020
Stanislaus,CA,98.1,244,2020
Sutter,CA,99.7,309,2020
