county,state,medianHouseholdIncome,medianHouseholdIncomeBucket,year
Autauga,AL,57982,343,2020
Baldwin,AL,61756,390,2020
Barbour,AL,34990,34,2020
Bibb,AL,51721,239,2020
Blount,AL,48922,185,2020
Bullock,AL,33866,30,2020
Butler,AL,44850,126,2020
Calhoun,AL,50128,207,2020
Chambers,AL,43875,113,2020
Cherokee,AL,42509,97,2020
Chilton,AL,52141,249,2020
Choctaw,AL,36634,43,2020
Clarke,AL,37345,48,2020
Clay,AL,42678,99,2020
Cleburne,AL,46320,146,2020
Coffee,AL,56799,324,2020
Colbert,AL,47962,170,2020
Conecuh,AL,35444,37,2020
Coosa,AL,43571,109,2020
Covington,AL,42566,97,2020
Crenshaw,AL,42611,98,2020
Cullman,AL,48388,177,2020
Dale,AL,45644,137,2020
Dallas,AL,33317,28,2020
DeKalb,AL,42267,94,2020
Elmore,AL,62324,396,2020
Escambia,AL,35558,37,2020
Etowah,AL,44934,127,2020
Fayette,AL,41469,83,2020
Franklin,AL,41174,80,2020
Geneva,AL,41569,84,2020
Greene,AL,26688,13,2020
Hale,AL,30793,19,2020
Henry,AL,51715,238,2020
Houston,AL,49069,188,2020
Jackson,AL,42578,97,2020
Jefferson,AL,55088,300,2020
Lamar,AL,42688,99,2020
Lauderdale,AL,48428,178,2020
Lawrence,AL,47125,159,2020
Lee,AL,52930,264,2020
Limestone,AL,64270,413,2020
Lowndes,AL,33634,29,2020
Macon,AL,35450,37,2020
Madison,AL,66887,433,2020
Marengo,AL,33029,27,2020
Marion,AL,40978,78,2020
Marshall,AL,50216,208,2020
Mobile,AL,49625,197,2020
Monroe,AL,31969,22,2020
Montgomery,AL,51963,245,2020
Morgan,AL,52923,264,2020
Perry,AL,23875,11,2020
Pickens,AL,40362,71,2020
Pike,AL,39218,62,2020
Randolph,AL,45141,131,2020
Russell,AL,42208,93,2020
St. Clair,AL,62531,398,2020
Shelby,AL,78889,478,2020
Sumter,AL,26150,13,2020
Talladega,AL,43969,115,2020
Tallapoosa,AL,48160,174,2020
Tuscaloosa,AL,54283,286,2020
Walker,AL,45833,139,2020
Washington,AL,42331,95,2020
Wilcox,AL,35063,34,2020
Winston,AL,40991,78,2020
Aleutians East,AK,75833,472,2020
Aleutians West,AK,87443,494,2020
Anchorage,AK,84813,490,2020
Bethel,AK,54400,288,2020
Bristol Bay,AK,79808,480,2020
Chugach,AK,90776,498,2020
Copper River,AK,64745,417,2020
Denali,AK,76364,474,2020
Dillingham,AK,57436,336,2020
Fairbanks North Star,AK,76464,475,2020
Haines,AK,65014,420,2020
Hoonah-Angoon,AK,59926,368,2020
Juneau City,AK,88077,495,2020
Kenai Peninsula,AK,69245,448,2020
Ketchikan Gateway,AK,74678,469,2020
Kodiak,AK,79173,479,2020
Kusilvak,AK,37358,48,2020
Lake and Peninsula,AK,48750,183,2020
Matanuska-Susitna,AK,76118,473,2020
Nome,AK,62843,401,2020
North Slope,AK,79083,479,2020
Northwest Arctic,AK,63750,408,2020
Petersburg,AK,68667,445,2020
Prince of Wales-Hyder,AK,54018,282,2020
Sitka City,AK,81708,484,2020
Skagway,AK,71875,460,2020
Southeast Fairbanks,AK,66941,433,2020
Wrangell City,AK,58438,348,2020
Yakutat City,AK,59517,363,2020
Yukon-Koyukuk,AK,41728,85,2020
Apache,AZ,33967,30,2020
Cochise,AZ,51505,232,2020
Coconino,AZ,59000,354,2020
Gila,AZ,46907,156,2020
Graham,AZ,55693,309,2020
Greenlee,AZ,66368,431,2020
La Paz,AZ,34956,33,2020
Maricopa,AZ,67799,440,2020
Mohave,AZ,47686,167,2020
Navajo,AZ,43140,105,2020
Pima,AZ,55023,299,2020
Pinal,AZ,60968,381,2020
Santa Cruz,AZ,41424,82,2020
Yavapai,AZ,53329,270,2020
Yuma,AZ,48790,183,2020
Arkansas,AR,51000,221,2020
Ashley,AR,43601,110,2020
Baxter,AR,43504,108,2020
Benton,AR,71556,458,2020
Boone,AR,46392,148,2020
Bradley,AR,41808,87,2020
