county,state,medianAge,medianAgeBucket,year
Autauga,AL,38.6,136,2020
Baldwin,AL,43.2,338,2020
Barbour,AL,40.1,194,2020
Bibb,AL,39.9,185,2020
Blount,AL,41.0,239,2020
Bullock,AL,39.7,178,2020
Butler,AL,41.2,248,2020
Calhoun,AL,39.5,169,2020
Chambers,AL,41.9,279,2020
Cherokee,AL,46.8,437,2020
Chilton,AL,39.5,169,2020
Choctaw,AL,46.6,432,2020
Clarke,AL,42.9,325,2020
Clay,AL,43.4,344,2020
Cleburne,AL,43.1,334,2020
Coffee,AL,39.5,169,2020
Colbert,AL,42.5,308,2020
Conecuh,AL,45.2,403,2020
Coosa,AL,49.0,470,2020
Covington,AL,43.3,341,2020
Crenshaw,AL,42.3,299,2020
Cullman,AL,41.2,248,2020
Dale,AL,37.8,110,2020
Dallas,AL,39.6,173,2020
DeKalb,AL,39.6,173,2020
Elmore,AL,38.7,139,2020
Escambia,AL,39.4,165,2020
Etowah,AL,41.3,253,2020
Fayette,AL,43.9,362,2020
Franklin,AL,39.2,156,2020
Geneva,AL,43.6,352,2020
Greene,AL,44.6,387,2020
Hale,AL,40.8,229,2020
Henry,AL,44.7,389,2020
Houston,AL,40.2,199,2020
Jackson,AL,43.0,330,2020
Jefferson,AL,37.9,113,2020
Lamar,AL,44.3,377,2020
Lauderdale,AL,41.3,253,2020
Lawrence,AL,42.6,312,2020
Lee,AL,32.4,22,2020
Limestone,AL,40.0,190,2020
Lowndes,AL,42.5,308,2020
Macon,AL,38.7,139,2020
Madison,AL,38.5,133,2020
Marengo,AL,41.8,274,2020
Marion,AL,44.5,385,2020
Marshall,AL,39.2,156,2020
Mobile,AL,38.1,119,2020
Monroe,AL,43.5,347,2020
Montgomery,AL,36.7,84,2020
Morgan,AL,40.5,212,2020
Perry,AL,38.5,133,2020
Pickens,AL,42.5,308,2020
Pike,AL,30.8,13,2020
Randolph,AL,43.6,352,2020
Russell,AL,36.7,84,2020
St. Clair,AL,40.5,212,2020
Shelby,AL,39.5,169,2020
Sumter,AL,35.7,60,2020
Talladega,AL,41.4,256,2020
Tallapoosa,AL,45.0,398,2020
Tuscaloosa,AL,33.2,29,2020
Walker,AL,42.0,284,2020
Washington,AL,43.8,358,2020
Wilcox,AL,40.9,234,2020
Winston,AL,46.1,422,2020
Aleutians East,AK,44.1,369,2020
Aleutians West,AK,39.7,178,2020
Anchorage,AK,33.9,36,2020
Bethel,AK,28.1,5,2020
Bristol Bay,AK,44.8,392,2020
Chugach,AK,39.2,156,2020
Copper River,AK,39.7,178,2020
Denali,AK,43.8,358,2020
Dillingham,AK,30.2,10,2020
