county,state,population,populationBucket,year
Autauga,AL,44360,362,2020
Baldwin,AL,176852,462,2020
Barbour,AL,20407,250,2020
Bibb,AL,18421,234,2020
Blount,AL,46083,367,2020
Bullock,AL,8139,117,2020
Butler,AL,15764,209,2020
Calhoun,AL,92587,426,2020
Chambers,AL,27270,295,2020
Cherokee,AL,21732,261,2020
Chilton,AL,34765,333,2020
Choctaw,AL,10632,149,2020
Clarke,AL,19409,242,2020
Clay,AL,10901,151,2020
Cleburne,AL,11967,165,2020
Coffee,AL,41328,355,2020
Colbert,AL,44790,363,2020
Conecuh,AL,9999,142,2020
Coosa,AL,9075,128,2020
Covington,AL,29930,309,2020
Crenshaw,AL,11107,154,2020
Cullman,AL,66826,402,2020
Dale,AL,39195,348,2020
Dallas,AL,30059,310,2020
DeKalb,AL,56316,388,2020
Elmore,AL,65435,400,2020
Escambia,AL,29469,306,2020
Etowah,AL,83116,418,2020
Fayette,AL,13446,184,2020
Franklin,AL,24497,280,2020
Geneva,AL,21304,259,2020
Greene,AL,6557,89,2020
Hale,AL,11696,163,2020
Henry,AL,14124,192,2020
Houston,AL,83728,418,2020
Jackson,AL,42181,358,2020
Jefferson,AL,525182,496,2020
Lamar,AL,11011,153,2020
Lauderdale,AL,76481,412,2020
Lawrence,AL,26712,292,2020
Lee,AL,132564,448,2020
Limestone,AL,77975,413,2020
Lowndes,AL,7999,115,2020
Macon,AL,15595,208,2020
Madison,AL,296491,481,2020
Marengo,AL,15286,205,2020
Marion,AL,24450,280,2020
Marshall,AL,74940,410,2020
Mobile,AL,327969,484,2020
Monroe,AL,17060,223,2020
Montgomery,AL,179174,464,2020
Morgan,AL,95108,427,2020
Perry,AL,7419,105,2020
Pickens,AL,16622,219,2020
Pike,AL,27721,297,2020
Randolph,AL,18375,234,2020
Russell,AL,45439,366,2020
St. Clair,AL,70955,407,2020
Shelby,AL,171983,461,2020
Sumter,AL,10404,146,2020
Talladega,AL,65349,400,2020
Tallapoosa,AL,33083,325,2020
Tuscaloosa,AL,169597,461,2020
Walker,AL,51195,378,2020
Washington,AL,13404,183,2020
Wilcox,AL,8366,120,2020
Winston,AL,19466,243,2020
Aleutians East,AK,3011,36,2020
Aleutians West,AK,4772,62,2020
Anchorage,AK,228657,473,2020
Bethel,AK,12377,170,2020
Bristol Bay,AK,616,3,2020
Chugach,AK,5237,69,2020
Copper River,AK,2108,24,2020
Denali,AK,2308,26,2020
Dillingham,AK,3555,43,2020
Fairbanks North Star,AK,76848,412,2020
Haines,AK,1745,17,2020
Hoonah-Angoon,AK,1876,20,2020
Juneau City,AK,25962,287,2020
Kenai Peninsula,AK,47095,369,2020
Ketchikan Gateway,AK,11157,155,2020
Kodiak,AK,10378,146,2020
Kusilvak,AK,5238,69,2020
Lake and Peninsula,AK,890,6,2020
Matanuska-Susitna,AK,81831,416,2020
Nome,AK,6885,95,2020
North Slope,AK,7204,102,2020
Northwest Arctic,AK,5256,70,2020
Petersburg,AK,2776,33,2020
Prince of Wales-Hyder,AK,5036,66,2020
Sitka City,AK,6979,98,2020
Skagway,AK,1147,8,2020
Southeast Fairbanks,AK,5250,69,2020
Wrangell City,AK,2051,22,2020
Yakutat City,AK,464,1,2020
Yukon-Koyukuk,AK,3975,49,2020
Apache,AZ,54767,386,2020
Cochise,AZ,101974,431,2020
Coconino,AZ,116748,440,2020
Gila,AZ,44145,362,2020
Graham,AZ,29195,305,2020
Greenlee,AZ,7180,101,2020
La Paz,AZ,18048,232,2020
Maricopa,AZ,3482330,511,2020
Mohave,AZ,179095,463,2020
Navajo,AZ,84173,419,2020
Pima,AZ,846562,505,2020
Pinal,AZ,357611,487,2020
Santa Cruz,AZ,35671,336,2020
Yavapai,AZ,199037,468,2020
Yuma,AZ,164420,460,2020
Arkansas,AR,14123,192,2020
Ashley,AR,15794,210,2020
Baxter,AR,35446,335,2020
Benton,AR,209647,470,2020
Boone,AR,29694,308,2020
Bradley,AR,8443,121,2020
Calhoun,AR,4344,55,2020
Carroll,AR,22609,269,2020
Chicot,AR,8285,119,2020
Clark,AR,18603,236,2020
Clay,AR,11955,165,2020
Cleburne,AR,20971,255,2020
Cleveland,AR,6400,86,2020
Columbia,AR,19318,242,2020
Conway,AR,16584,218,2020
Craighead,AR,85132,420,2020
Crawford,AR,49302,374,2020
Crittenden,AR,36610,340,2020
Cross,AR,13111,178,2020
Dallas,AR,5898,80,2020
Desha,AR,8926,127,2020
Drew,AR,14778,198,2020
Faulkner,AR,99121,430,2020
Franklin,AR,14255,193,2020
Fulton,AR,10142,144,2020
Garland,AR,81666,416,2020
Grant,AR,14498,195,2020
Greene,AR,35620,335,2020
Hempstead,AR,16692,219,2020
Hot Spring,AR,27380,295,2020
Howard,AR,10223,145,2020
Independence,AR,29607,307,2020
Izard,AR,11481,159,2020
Jackson,AR,13903,189,2020
Jefferson,AR,54876,386,2020
Johnson,AR,20609,251,2020
Lafayette,AR,5627,76,2020
Lawrence,AR,13323,182,2020
Lee,AR,7560,107,2020
Lincoln,AR,11364,158,2020
Little River,AR,9942,140,2020
Logan,AR,17487,226,2020
Lonoke,AR,56831,389,2020
Madison,AR,13054,178,2020
Marion,AR,13904,189,2020
Miller,AR,34700,332,2020
Mississippi,AR,31939,320,2020
Monroe,AR,5589,74,2020
Montgomery,AR,7569,107,2020
Nevada,AR,6568,89,2020
Newton,AR,6518,88,2020
Ouachita,AR,18830,238,2020
Perry,AR,8382,120,2020
Phillips,AR,14006,190,2020
Pike,AR,8700,124,2020
Poinsett,AR,18742,237,2020
Polk,AR,15889,211,2020
Pope,AR,51083,377,2020
Prairie,AR,6650,91,2020
Pulaski,AR,311090,483,2020
Randolph,AR,14032,190,2020
St. Francis,AR,20632,251,2020
Saline,AR,96307,428,2020
Scott,AR,8112,117,2020
Searcy,AR,6546,88,2020
Sebastian,AR,100511,430,2020
Sevier,AR,12582,173,2020
Sharp,AR,14049,191,2020
Stone,AR,10460,147,2020
Union,AR,30611,313,2020
Van Buren,AR,13792,188,2020
Washington,AR,184444,465,2020
White,AR,62447,395,2020
Woodruff,AR,5252,70,2020
Yell,AR,16999,222,2020
Alameda,CA,1356362,508,2020
Alpine,CA,925,6,2020
Amador,CA,33789,329,2020
Butte,CA,183633,465,2020
Calaveras,CA,39273,349,2020
Colusa,CA,16339,216,2020
Contra Costa,CA,918776,506,2020
Del Norte,CA,22209,264,2020
El Dorado,CA,157586,458,2020
Fresno,CA,738854,503,2020
Glenn,CA,21449,260,2020
Humboldt,CA,112898,438,2020
Imperial,CA,134589,448,2020
Inyo,CA,14628,197,2020
Kern,CA,661383,500,2020
Kings,CA,114212,439,2020
Lake,CA,52240,380,2020
Lassen,CA,26072,288,2020
Los Angeles,CA,8112148,511,2020
Madera,CA,118068,440,2020
Marin,CA,213774,471,2020
Mariposa,CA,14749,198,2020
Mendocino,CA,70805,406,2020
Merced,CA,201808,469,2020
Modoc,CA,7330,104,2020
Mono,CA,11652,162,2020
Monterey,CA,331824,485,2020
Napa,CA,113987,438,2020
Nevada,CA,84601,420,2020
Orange,CA,2555798,511,2020
Placer,CA,315092,483,2020
Plumas,CA,16138,214,2020
Riverside,CA,1896972,510,2020
Sacramento,CA,1214076,508,2020
San Benito,CA,47587,371,2020
San Bernardino,CA,1656327,509,2020
San Diego,CA,2683211,511,2020
San Francisco,CA,768889,504,2020
San Joaquin,CA,570998,497,2020
San Luis Obispo,CA,238207,474,2020
San Mateo,CA,627075,499,2020
Santa Barbara,CA,356699,487,2020
Santa Clara,CA,1549653,509,2020
Santa Cruz,CA,227097,473,2020
Shasta,CA,144830,454,2020
Sierra,CA,2480,29,2020
Siskiyou,CA,35756,336,2020
Solano,CA,356980,487,2020
Sonoma,CA,410911,490,2020
Stanislaus,CA,414340,491,2020
Sutter,CA,74159,409,2020
Tehama,CA,50636,376,2020
Trinity,CA,10630,149,2020
Tulare,CA,337076,486,2020
Tuolumne,CA,46155,368,2020
Ventura,CA,674412,501,2020
Yolo,CA,177755,463,2020
Yuba,CA,58062,390,2020
Adams,CO,389097,489,2020
Alamosa,CO,12648,174,2020
Arapahoe,CO,515119,495,2020
Archuleta,CO,11401,158,2020
Baca,CO,2889,35,2020
Bent,CO,4901,64,2020
Boulder,CO,270386,479,2020
Broomfield,CO,55755,387,2020
Chaffee,CO,17424,225,2020
Cheyenne,CO,1449,12,2020
Clear Creek,CO,8338,119,2020
Conejos,CO,6293,85,2020
Costilla,CO,3284,40,2020
Crowley,CO,4980,65,2020
Custer,CO,4287,54,2020
Delta,CO,25405,285,2020
Denver,CO,590529,498,2020
Dolores,CO,1662,16,2020
Douglas,CO,266778,479,2020
Eagle,CO,44471,362,2020
Elbert,CO,21393,259,2020
El Paso,CO,557919,497,2020
Fremont,CO,41124,354,2020
Garfield,CO,46129,367,2020
Gilpin,CO,5289,70,2020
Grand,CO,13169,179,2020
Gunnison,CO,14604,196,2020
Hinsdale,CO,678,3,2020
Huerfano,CO,5836,79,2020
Jackson,CO,1169,9,2020
Jefferson,CO,478638,494,2020
Kiowa,CO,1071,7,2020
Kit Carson,CO,5627,76,2020
Lake,CO,6849,94,2020
La Plata,CO,46692,369,2020
Larimer,CO,290060,480,2020
Las Animas,CO,12050,167,2020
Lincoln,CO,4592,59,2020
Logan,CO,18708,237,2020
Mesa,CO,123754,443,2020
Mineral,CO,741,5,2020
Moffat,CO,10176,144,2020
Montezuma,CO,21177,257,2020
Montrose,CO,34265,331,2020
Morgan,CO,22004,263,2020
Otero,CO,14515,196,2020
Ouray,CO,4268,53,2020
Park,CO,15787,210,2020
Phillips,CO,3232,39,2020
Pitkin,CO,15431,206,2020
Prowers,CO,9357,131,2020
Pueblo,CO,133966,448,2020
Rio Blanco,CO,5031,66,2020
Rio Grande,CO,9116,128,2020
Routt,CO,21339,259,2020
Saguache,CO,5408,72,2020
San Juan,CO,537,2,2020
San Miguel,CO,6877,95,2020
Sedgwick,CO,1737,17,2020
Summit,CO,26230,289,2020
Teller,CO,21128,257,2020
Washington,CO,3949,49,2020
Weld,CO,241746,474,2020
Yuma,CO,7563,107,2020
Fairfield,CT,757718,504,2020
Hartford,CT,728723,502,2020
Litchfield,CT,152744,456,2020
Middlesex,CT,137989,451,2020
New Haven,CT,704757,501,2020
New London,CT,221268,472,2020
Tolland,CT,128140,446,2020
Windham,CT,96500,429,2020
Kent,DE,142309,453,2020
New Castle,DE,452649,493,2020
Sussex,DE,192144,467,2020
District of,,586181,497,2020
Alachua,FL,224932,472,2020
Baker,FL,22591,268,2020
Bay,FL,146293,454,2020
Bradford,FL,22930,271,2020
Brevard,FL,498967,495,2020
Broward,FL,1578031,509,2020
Calhoun,FL,11664,162,2020
Charlotte,FL,166195,460,2020
Citrus,FL,128768,446,2020
Clay,FL,171385,461,2020
Collier,FL,321781,484,2020
Columbia,FL,57262,389,2020
DeSoto,FL,31004,315,2020
Dixie,FL,14061,191,2020
Duval,FL,756606,503,2020
Escambia,FL,257722,477,2020
Flagler,FL,96066,428,2020
Franklin,FL,10207,145,2020
Gadsden,FL,36700,341,2020
Gilchrist,FL,15131,203,2020
Glades,FL,11905,164,2020
Gulf,FL,13163,179,2020
Hamilton,FL,12084,167,2020
Hardee,FL,20651,252,2020
Hendry,FL,31644,319,2020
Hernando,FL,159761,459,2020
Highlands,FL,88726,423,2020
Hillsborough,FL,1164334,507,2020
Holmes,FL,16096,214,2020
Indian River,FL,134917,449,2020
Jackson,FL,39863,351,2020
Jefferson,FL,12199,168,2020
Lafayette,FL,7114,100,2020
Lake,FL,295669,481,2020
Lee,FL,638747,499,2020
Leon,FL,243510,475,2020
Levy,FL,33721,328,2020
Liberty,FL,7069,99,2020
Madison,FL,15537,207,2020
Manatee,FL,330206,484,2020
Marion,FL,300990,482,2020
Martin,FL,137270,450,2020
Miami-Dade,FL,2217106,510,2020
Monroe,FL,65088,400,2020
Nassau,FL,70742,406,2020
Okaloosa,FL,166123,460,2020
Okeechobee,FL,33981,330,2020
Orange,FL,1102670,507,2020
Osceola,FL,286073,480,2020
Palm Beach,FL,1232309,508,2020
Pasco,FL,443419,493,2020
Pinellas,FL,832504,505,2020
Polk,FL,567197,497,2020
Putnam,FL,59581,391,2020
St. Johns,FL,206417,470,2020
St. Lucie,FL,264836,478,2020
Santa Rosa,FL,144733,454,2020
Sarasota,FL,374668,488,2020
Seminole,FL,380343,489,2020
Sumter,FL,121627,442,2020
Suwannee,FL,36314,338,2020
Taylor,FL,18112,232,2020
Union,FL,12716,175,2020
Volusia,FL,460816,494,2020
Wakulla,FL,26805,293,2020
Walton,FL,58229,390,2020
Washington,FL,20702,252,2020
Appling,GA,14300,194,2020
Atkinson,GA,6340,85,2020
Bacon,GA,8550,123,2020
Baker,GA,2633,31,2020
Baldwin,GA,37673,344,2020
Banks,GA,15165,204,2020
Barrow,GA,62593,396,2020
Bartow,GA,83873,419,2020
Ben Hill,GA,13361,182,2020
Berrien,GA,15108,203,2020
Bibb,GA,120074,441,2020
Bleckley,GA,10686,149,2020
Brantley,GA,14761,198,2020
Brooks,GA,12483,171,2020
Bryan,GA,28413,301,2020
Bulloch,GA,63734,398,2020
Burke,GA,17415,225,2020
Butts,GA,19950,247,2020
Calhoun,GA,5386,71,2020
Camden,GA,42157,357,2020
Candler,GA,8534,122,2020
Carroll,GA,93939,427,2020
Catoosa,GA,53768,383,2020
Charlton,GA,10746,150,2020
Chatham,GA,234153,473,2020
Chattahoochee,GA,8347,119,2020
Chattooga,GA,19875,246,2020
Cherokee,GA,199287,469,2020
Clarke,GA,106931,434,2020
Clay,GA,2525,30,2020
Clayton,GA,216217,471,2020
Clinch,GA,5198,68,2020
Cobb,GA,599241,498,2020
Coffee,GA,33683,328,2020
Colquitt,GA,34838,333,2020
Columbia,GA,119641,441,2020
Cook,GA,13338,182,2020
Coweta,GA,114467,439,2020
Crawford,GA,10061,143,2020
Crisp,GA,17746,228,2020
Dade,GA,13392,183,2020
Dawson,GA,20899,255,2020
Decatur,GA,20661,252,2020
DeKalb,GA,597537,498,2020
Dodge,GA,17144,223,2020
Dooly,GA,11620,162,2020
Dougherty,GA,69809,405,2020
Douglas,GA,112382,438,2020
Early,GA,8044,115,2020
Echols,GA,3196,38,2020
Effingham,GA,47276,370,2020
Elbert,GA,15477,206,2020
Emanuel,GA,17430,225,2020
Evans,GA,8079,116,2020
Fannin,GA,22160,264,2020
Fayette,GA,91094,425,2020
Floyd,GA,77588,413,2020
Forsyth,GA,179373,464,2020
Franklin,GA,18619,236,2020
Fulton,GA,848245,505,2020
