county,state,medianHomeValue,medianHomeValueBucket,year
Autauga,AL,161200,339,2020
Baldwin,AL,211600,418,2020
Barbour,AL,86500,66,2020
Bibb,AL,96400,108,2020
Blount,AL,135300,265,2020
Bullock,AL,74800,24,2020
Butler,AL,98100,116,2020
Calhoun,AL,121600,218,2020
Chambers,AL,103800,141,2020
Cherokee,AL,138500,273,2020
Chilton,AL,104500,144,2020
Choctaw,AL,75900,28,2020
Clarke,AL,106600,152,2020
Clay,AL,116100,196,2020
Cleburne,AL,118700,204,2020
Coffee,AL,153700,318,2020
Colbert,AL,125400,234,2020
Conecuh,AL,83900,55,2020
Coosa,AL,89200,79,2020
Covington,AL,99600,123,2020
Crenshaw,AL,84400,57,2020
Cullman,AL,135200,265,2020
Dale,AL,113800,185,2020
Dallas,AL,84100,56,2020
DeKalb,AL,113600,184,2020
Elmore,AL,171100,363,2020
Escambia,AL,100800,128,2020
Etowah,AL,124400,229,2020
Fayette,AL,92400,92,2020
Franklin,AL,103000,137,2020
Geneva,AL,108400,161,2020
Greene,AL,76200,29,2020
Hale,AL,91500,88,2020
Henry,AL,119000,206,2020
Houston,AL,141800,285,2020
Jackson,AL,107900,159,2020
Jefferson,AL,165000,350,2020
Lamar,AL,95400,104,2020
Lauderdale,AL,149500,302,2020
Lawrence,AL,113800,185,2020
Lee,AL,173700,370,2020
Limestone,AL,167800,356,2020
Lowndes,AL,66500,11,2020
Macon,AL,82400,48,2020
Madison,AL,190200,394,2020
Marengo,AL,82200,48,2020
Marion,AL,87700,73,2020
Marshall,AL,141300,283,2020
Mobile,AL,138400,273,2020
Monroe,AL,100900,129,2020
Montgomery,AL,130000,250,2020
Morgan,AL,143900,289,2020
Perry,AL,80100,40,2020
Pickens,AL,100000,125,2020
Pike,AL,131600,255,2020
Randolph,AL,119500,207,2020
Russell,AL,126300,237,2020
St. Clair,AL,165900,351,2020
Shelby,AL,220700,428,2020
Sumter,AL,67300,12,2020
Talladega,AL,112300,179,2020
Tallapoosa,AL,108300,161,2020
Tuscaloosa,AL,179000,378,2020
Walker,AL,109600,168,2020
Washington,AL,88100,74,2020
Wilcox,AL,67200,12,2020
Winston,AL,87300,71,2020
Aleutians East,AK,136700,268,2020
Aleutians West,AK,316700,482,2020
Anchorage,AK,320100,483,2020
Bethel,AK,88700,76,2020
Bristol Bay,AK,222200,430,2020
Chugach,AK,234300,441,2020
Copper River,AK,234500,441,2020
Denali,AK,233700,441,2020
Dillingham,AK,156000,324,2020
Fairbanks North Star,AK,240300,447,2020
Haines,AK,263900,461,2020
Hoonah-Angoon,AK,221600,429,2020
Juneau City,AK,355100,490,2020
Kenai Peninsula,AK,245400,451,2020
Ketchikan Gateway,AK,299500,477,2020
Kodiak,AK,295100,476,2020
Kusilvak,AK,72800,20,2020
Lake and Peninsula,AK,120500,213,2020
Matanuska-Susitna,AK,257900,458,2020
Nome,AK,159600,334,2020
North Slope,AK,162500,343,2020
Northwest Arctic,AK,125800,235,2020
Petersburg,AK,228400,435,2020
Prince of Wales-Hyder,AK,191600,395,2020
Sitka City,AK,365800,492,2020
Skagway,AK,397200,497,2020
Southeast Fairbanks,AK,179300,379,2020
Wrangell City,AK,221700,429,2020
Yakutat City,AK,171200,364,2020
Yukon-Koyukuk,AK,74700,24,2020
Apache,AZ,61800,6,2020
Cochise,AZ,150100,304,2020
Coconino,AZ,299100,477,2020
Gila,AZ,174300,372,2020
Graham,AZ,146600,295,2020
Greenlee,AZ,91800,90,2020
La Paz,AZ,84600,58,2020
Maricopa,AZ,278700,468,2020
Mohave,AZ,172100,366,2020
Navajo,AZ,135800,267,2020
Pima,AZ,199400,405,2020
Pinal,AZ,200200,406,2020
Santa Cruz,AZ,152700,315,2020
Yavapai,AZ,273300,466,2020
Yuma,AZ,139200,276,2020
Arkansas,AR,98600,119,2020
Ashley,AR,76200,29,2020
Baxter,AR,134500,262,2020
Benton,AR,192900,396,2020
Boone,AR,127200,241,2020
Bradley,AR,87600,73,2020
Calhoun,AR,73100,20,2020
Carroll,AR,143600,289,2020
Chicot,AR,68000,13,2020
Clark,AR,116100,196,2020
Clay,AR,79600,39,2020
Cleburne,AR,126400,238,2020
Cleveland,AR,90400,84,2020
Columbia,AR,87700,73,2020
Conway,AR,113500,183,2020
Craighead,AR,149700,303,2020
Crawford,AR,123800,227,2020
Crittenden,AR,122700,223,2020
Cross,AR,83800,54,2020
Dallas,AR,78200,35,2020
Desha,AR,82500,49,2020
Drew,AR,102300,134,2020
Faulkner,AR,163900,347,2020
Franklin,AR,96900,110,2020
Fulton,AR,84400,57,2020
Garland,AR,142100,286,2020
Grant,AR,122600,222,2020
Greene,AR,124800,231,2020
Hempstead,AR,87700,73,2020
Hot Spring,AR,102400,135,2020
Howard,AR,101000,129,2020
Independence,AR,97900,116,2020
Izard,AR,81900,47,2020
Jackson,AR,71300,17,2020
Jefferson,AR,84900,59,2020
Johnson,AR,107600,157,2020
Lafayette,AR,60800,5,2020
Lawrence,AR,75400,26,2020
Lee,AR,76400,29,2020
Lincoln,AR,90600,85,2020
Little River,AR,77400,32,2020
Logan,AR,100500,127,2020
Lonoke,AR,145000,292,2020
Madison,AR,116000,195,2020
Marion,AR,132200,257,2020
Miller,AR,113400,183,2020
Mississippi,AR,93000,95,2020
Monroe,AR,73500,21,2020
Montgomery,AR,111600,177,2020
Nevada,AR,66400,11,2020
Newton,AR,127100,240,2020
Ouachita,AR,76900,31,2020
Perry,AR,115000,190,2020
Phillips,AR,80800,42,2020
Pike,AR,86100,65,2020
Poinsett,AR,81200,44,2020
Polk,AR,103700,140,2020
Pope,AR,129000,246,2020
Prairie,AR,71800,18,2020
