county,state,percentHighSchool,percentHighSchoolBucket,year
Autauga,AL,88.7,258,2020
Baldwin,AL,90.5,329,2020
Barbour,AL,74.7,22,2020
Bibb,AL,80.9,77,2020
Blount,AL,82.8,110,2020
Bullock,AL,74.9,23,2020
Butler,AL,86.4,189,2020
Calhoun,AL,85.1,157,2020
Chambers,AL,82.6,106,2020
Cherokee,AL,82.8,110,2020
Chilton,AL,81.8,93,2020
Choctaw,AL,82.7,108,2020
Clarke,AL,82.6,106,2020
Clay,AL,81.3,85,2020
Cleburne,AL,82.2,99,2020
Coffee,AL,85.6,169,2020
Colbert,AL,85.7,173,2020
Conecuh,AL,85,156,2020
Coosa,AL,83.2,118,2020
Covington,AL,85.3,162,2020
Crenshaw,AL,78.8,50,2020
Cullman,AL,82.3,101,2020
Dale,AL,85.3,162,2020
Dallas,AL,83.9,133,2020
DeKalb,AL,78,42,2020
Elmore,AL,87.3,213,2020
Escambia,AL,80.4,69,2020
Etowah,AL,85.3,162,2020
Fayette,AL,84.2,138,2020
Franklin,AL,78.7,49,2020
Geneva,AL,81.8,93,2020
Greene,AL,80.9,77,2020
Hale,AL,80.7,74,2020
Henry,AL,80.5,71,2020
Houston,AL,86.9,202,2020
Jackson,AL,83.5,124,2020
Jefferson,AL,90.5,329,2020
Lamar,AL,83,113,2020
Lauderdale,AL,88.6,252,2020
Lawrence,AL,80.8,75,2020
Lee,AL,90.4,324,2020
Limestone,AL,85.3,162,2020
Lowndes,AL,82.2,99,2020
Macon,AL,83.6,126,2020
Madison,AL,91.7,373,2020
Marengo,AL,85.4,164,2020
Marion,AL,81.1,82,2020
Marshall,AL,83.3,120,2020
Mobile,AL,87.3,213,2020
Monroe,AL,83.5,124,2020
Montgomery,AL,87.3,213,2020
Morgan,AL,84,135,2020
Perry,AL,78.4,47,2020
Pickens,AL,82.9,112,2020
Pike,AL,87.4,216,2020
Randolph,AL,81.9,95,2020
Russell,AL,85.3,162,2020
St. Clair,AL,85.8,174,2020
Shelby,AL,93.2,435,2020
Sumter,AL,85.3,162,2020
Talladega,AL,81.8,93,2020
Tallapoosa,AL,81.2,84,2020
Tuscaloosa,AL,89.5,287,2020
Walker,AL,81.7,91,2020
Washington,AL,85.9,176,2020
Wilcox,AL,79.3,57,2020
Winston,AL,78.4,47,2020
Aleutians East,AK,86.6,195,2020
Aleutians West,AK,91.8,377,2020
Anchorage,AK,94,463,2020
Bethel,AK,83.5,124,2020
Bristol Bay,AK,93.8,457,2020
Chugach,AK,95.6,497,2020
Copper River,AK,95.4,493,2020
Denali,AK,97.7,510,2020
Dillingham,AK,86.5,192,2020
Fairbanks North Star,AK,94.5,476,2020
Haines,AK,98,511,2020
Hoonah-Angoon,AK,94,463,2020
Juneau City,AK,96.2,504,2020
Kenai Peninsula,AK,93,427,2020
Ketchikan Gateway,AK,93.9,461,2020
Kodiak,AK,89.6,291,2020
Kusilvak,AK,78.6,49,2020
Lake and Peninsula,AK,88.2,241,2020
Matanuska-Susitna,AK,93.6,451,2020
Nome,AK,86,179,2020
North Slope,AK,88.7,258,2020
Northwest Arctic,AK,84.5,144,2020
Petersburg,AK,89.2,276,2020
Prince of Wales-Hyder,AK,91.3,358,2020
Sitka City,AK,95.2,489,2020
Skagway,AK,88.5,249,2020
Southeast Fairbanks,AK,91.1,352,2020
Wrangell City,AK,88.3,245,2020
Yakutat City,AK,94.4,474,2020
Yukon-Koyukuk,AK,88,234,2020
Apache,AZ,81.5,89,2020
Cochise,AZ,88.7,258,2020
Coconino,AZ,91,348,2020
Gila,AZ,87.3,213,2020
Graham,AZ,85.3,162,2020
Greenlee,AZ,85.2,159,2020
La Paz,AZ,80.5,71,2020
Maricopa,AZ,88.4,247,2020
Mohave,AZ,86.4,189,2020
Navajo,AZ,83.8,130,2020
Pima,AZ,89,269,2020
Pinal,AZ,87.1,207,2020
Santa Cruz,AZ,77.9,41,2020
Yavapai,AZ,91.8,377,2020
Yuma,AZ,74.6,21,2020
Arkansas,AR,86,179,2020
Ashley,AR,85.2,159,2020
Baxter,AR,88.8,262,2020
Benton,AR,89.6,291,2020
Boone,AR,88.2,241,2020
Bradley,AR,83.3,120,2020
Calhoun,AR,84,135,2020
Carroll,AR,86.3,186,2020
Chicot,AR,78.2,44,2020
Clark,AR,88.9,265,2020
Clay,AR,83.5,124,2020
Cleburne,AR,86.6,195,2020
Cleveland,AR,89.5,287,2020
Columbia,AR,86.8,200,2020
Conway,AR,86.6,195,2020
Craighead,AR,89.4,284,2020
Crawford,AR,84.5,144,2020
Crittenden,AR,83.7,128,2020
Cross,AR,81.4,87,2020
Dallas,AR,87.2,210,2020
Desha,AR,80.1,67,2020
Drew,AR,86.7,198,2020
Faulkner,AR,92.1,389,2020
Franklin,AR,86.1,182,2020
Fulton,AR,84.4,142,2020
Garland,AR,89.4,284,2020
Grant,AR,90.2,316,2020
Greene,AR,89,269,2020
Hempstead,AR,84,135,2020
Hot Spring,AR,87.5,219,2020
Howard,AR,86,179,2020
Independence,AR,85.6,169,2020
Izard,AR,82,97,2020
Jackson,AR,83.2,118,2020
Jefferson,AR,87.4,216,2020
Johnson,AR,79.8,63,2020
Lafayette,AR,79,53,2020
Lawrence,AR,83.7,128,2020
Lee,AR,78.2,44,2020
Lincoln,AR,79.3,57,2020
Little River,AR,89.8,299,2020
Logan,AR,86.7,198,2020
Lonoke,AR,89.9,305,2020
Madison,AR,84.5,144,2020
Marion,AR,86.1,182,2020
Miller,AR,85.7,173,2020
Mississippi,AR,82.1,99,2020
Monroe,AR,78.9,52,2020
Montgomery,AR,83.1,115,2020
Nevada,AR,89.5,287,2020
Newton,AR,86,179,2020
Ouachita,AR,86.2,185,2020
Perry,AR,89.3,280,2020
Phillips,AR,81.6,90,2020
Pike,AR,85,156,2020
Poinsett,AR,80.7,74,2020
Polk,AR,85.2,159,2020
Pope,AR,84.9,152,2020
Prairie,AR,85.9,176,2020
Pulaski,AR,91.3,358,2020
Randolph,AR,84.6,146,2020
St. Francis,AR,81.4,87,2020
Saline,AR,91.3,358,2020
Scott,AR,79.6,60,2020
Searcy,AR,80.8,75,2020
Sebastian,AR,84.2,138,2020
Sevier,AR,75.7,27,2020
Sharp,AR,83.5,124,2020
Stone,AR,79.4,58,2020
Union,AR,86.4,189,2020
Van Buren,AR,84.8,150,2020
Washington,AR,85.5,166,2020
White,AR,85.8,174,2020
Woodruff,AR,82.6,106,2020
Yell,AR,78.3,45,2020
Alameda,CA,88.8,262,2020
Alpine,CA,95.3,490,2020
Amador,CA,91.2,355,2020
Butte,CA,89.7,295,2020
Calaveras,CA,89.7,295,2020
Colusa,CA,72.8,15,2020
Contra Costa,CA,89.9,305,2020
Del Norte,CA,79.7,61,2020
El Dorado,CA,94,463,2020
Fresno,CA,77.3,36,2020
Glenn,CA,74.5,21,2020
Humboldt,CA,90.6,333,2020
Imperial,CA,70.2,8,2020
Inyo,CA,90.5,329,2020
Kern,CA,75.3,25,2020
Kings,CA,74,19,2020
Lake,CA,86.2,185,2020
Lassen,CA,80.5,71,2020
Los Angeles,CA,79.8,63,2020
Madera,CA,72,12,2020
Marin,CA,93.6,451,2020
Mariposa,CA,90.9,342,2020
Mendocino,CA,86.7,198,2020
Merced,CA,69.7,7,2020
Modoc,CA,84.7,148,2020
Mono,CA,88.2,241,2020
Monterey,CA,73,15,2020
Napa,CA,85.5,166,2020
Nevada,CA,94.6,478,2020
Orange,CA,86,179,2020
Placer,CA,95.1,488,2020
Plumas,CA,94.7,481,2020
Riverside,CA,82.8,110,2020
Sacramento,CA,87.9,231,2020
San Benito,CA,81.9,95,2020
San Bernardino,CA,80.7,74,2020
San Diego,CA,88,234,2020
San Francisco,CA,88.6,252,2020
San Joaquin,CA,80.1,67,2020
San Luis Obispo,CA,91.8,377,2020
San Mateo,CA,90.4,324,2020
Santa Barbara,CA,81.8,93,2020
Santa Clara,CA,88.7,258,2020
Santa Cruz,CA,88.3,245,2020
Shasta,CA,91.1,352,2020
Sierra,CA,92.5,407,2020
Siskiyou,CA,89.9,305,2020
Solano,CA,88.7,258,2020
Sonoma,CA,89.1,273,2020
Stanislaus,CA,79.8,63,2020
Sutter,CA,79.8,63,2020
Tehama,CA,85.9,176,2020
Trinity,CA,93,427,2020
Tulare,CA,71.9,11,2020
Tuolumne,CA,91,348,2020
Ventura,CA,85.6,169,2020
Yolo,CA,87.5,219,2020
Yuba,CA,82.2,99,2020
Adams,CO,84.7,148,2020
Alamosa,CO,87.2,210,2020
Arapahoe,CO,92.3,398,2020
Archuleta,CO,94.1,466,2020
Baca,CO,86,179,2020
Bent,CO,88.4,247,2020
Boulder,CO,95.5,496,2020
Broomfield,CO,96.8,508,2020
Chaffee,CO,94.1,466,2020
Cheyenne,CO,94.7,481,2020
Clear Creek,CO,97.5,509,2020
Conejos,CO,87.7,225,2020
Costilla,CO,84.8,150,2020
Crowley,CO,87.4,216,2020
Custer,CO,96.4,506,2020
Delta,CO,89.8,299,2020
Denver,CO,89.1,273,2020
Dolores,CO,95.5,496,2020
Douglas,CO,98,511,2020
Eagle,CO,90.9,342,2020
Elbert,CO,96.4,506,2020
El Paso,CO,94.5,476,2020
Fremont,CO,89.3,280,2020
Garfield,CO,89,269,2020
Gilpin,CO,94.3,471,2020
Grand,CO,95,486,2020
Gunnison,CO,97.6,509,2020
Hinsdale,CO,95.9,501,2020
Huerfano,CO,92.7,416,2020
Jackson,CO,88.2,241,2020
Jefferson,CO,94.8,483,2020
Kiowa,CO,97.2,509,2020
Kit Carson,CO,89.9,305,2020
Lake,CO,88.7,258,2020
La Plata,CO,96,502,2020
Larimer,CO,96.2,504,2020
Las Animas,CO,90.5,329,2020
Lincoln,CO,90,309,2020
Logan,CO,90.5,329,2020
Mesa,CO,90.5,329,2020
Mineral,CO,98,511,2020
Moffat,CO,89.9,305,2020
Montezuma,CO,90.5,329,2020
Montrose,CO,88.9,265,2020
Morgan,CO,79.4,58,2020
Otero,CO,89.1,273,2020
Ouray,CO,98.5,511,2020
Park,CO,97.7,510,2020
Phillips,CO,87.7,225,2020
Pitkin,CO,96.4,506,2020
Prowers,CO,80.7,74,2020
Pueblo,CO,90.3,320,2020
Rio Blanco,CO,91.9,381,2020
Rio Grande,CO,87.6,221,2020
Routt,CO,95.4,493,2020
Saguache,CO,85.8,174,2020
San Juan,CO,95.8,499,2020
San Miguel,CO,96.9,508,2020
Sedgwick,CO,89.4,284,2020
Summit,CO,93.2,435,2020
Teller,CO,96.7,507,2020
Washington,CO,92.2,395,2020
Weld,CO,87.4,216,2020
Yuma,CO,86.4,189,2020
Fairfield,CT,90.2,316,2020
Hartford,CT,90,309,2020
Litchfield,CT,93.8,457,2020
Middlesex,CT,94.7,481,2020
New Haven,CT,90.3,320,2020
New London,CT,92.8,420,2020
Tolland,CT,94.8,483,2020
Windham,CT,89.1,273,2020
Kent,DE,88,234,2020
