county,state,percentHealthInsurance,percentHealthInsuranceBucket,year
Collier,FL,82.4,53,2017
Columbia,FL,86.7,139,2017
DeSoto,FL,78.5,18,2017
Dixie,FL,82.5,55,2017
Duval,FL,87.2,156,2017
Escambia,FL,88.9,219,2017
Flagler,FL,86.8,143,2017
Franklin,FL,81.1,39,2017
Gadsden,FL,84.7,90,2017
Gilchrist,FL,81.9,47,2017
Glades,FL,78.4,17,2017
Gulf,FL,86.0,120,2017
Hamilton,FL,86.4,131,2017
Hardee,FL,84.5,85,2017
Hendry,FL,72.7,6,2017
Hernando,FL,86.8,143,2017
Highlands,FL,85.8,114,2017
Hillsborough,FL,86.1,123,2017
Holmes,FL,81.3,41,2017
Indian River,FL,86.3,127,2017
Jackson,FL,88.1,191,2017
Jefferson,FL,92.2,355,2017
Lafayette,FL,80.3,31,2017
Lake,FL,87.8,181,2017
Lee,FL,84.4,84,2017
Leon,FL,90.9,303,2017
Levy,FL,83.4,66,2017
Liberty,FL,78.3,17,2017
Madison,FL,86.0,120,2017
Manatee,FL,86.1,123,2017
Marion,FL,86.5,133,2017
Martin,FL,87.7,177,2017
Miami-Dade,FL,79.3,24,2017
Monroe,FL,80.7,36,2017
Nassau,FL,87.6,170,2017
Okaloosa,FL,86.4,131,2017
Okeechobee,FL,81.4,42,2017
Orange,FL,83.8,72,2017
Osceola,FL,81.6,44,2017
Palm Beach,FL,85.2,100,2017
Pasco,FL,87.2,156,2017
Pinellas,FL,87.4,162,2017
Polk,FL,85.6,110,2017
Putnam,FL,83.2,62,2017
St. Johns,FL,91.2,318,2017
St. Lucie,FL,84.5,85,2017
Santa Rosa,FL,88.7,213,2017
Sarasota,FL,87.9,185,2017
Seminole,FL,88.7,213,2017
Sumter,FL,93.5,415,2017
Suwannee,FL,85.7,112,2017
Taylor,FL,87.6,170,2017
Union,FL,87.7,177,2017
Volusia,FL,85.8,114,2017
Wakulla,FL,88.7,213,2017
Walton,FL,83.7,71,2017
Washington,FL,86.7,139,2017
Appling,GA,82.5,55,2017
Atkinson,GA,75.2,9,2017
Bacon,GA,81.4,42,2017
Baker,GA,83.1,61,2017
Baldwin,GA,87.6,170,2017
Banks,GA,83.0,60,2017
Barrow,GA,84.5,85,2017
Bartow,GA,84.9,94,2017
Ben Hill,GA,81.7,45,2017
Berrien,GA,77.5,14,2017
Bibb,GA,85.6,110,2017
Bleckley,GA,88.3,200,2017
Brantley,GA,78.9,21,2017
Brooks,GA,80.6,34,2017
Bryan,GA,87.8,181,2017
Bulloch,GA,85.9,117,2017
Burke,GA,85.0,96,2017
Butts,GA,87.0,149,2017
Calhoun,GA,81.2,40,2017
Camden,GA,87.8,181,2017
Candler,GA,80.7,36,2017
Carroll,GA,86.2,125,2017
Catoosa,GA,87.0,149,2017
Charlton,GA,80.5,33,2017
Chatham,GA,84.5,85,2017
Chattahoochee,GA,90.9,303,2017
Chattooga,GA,84.3,81,2017
Cherokee,GA,88.2,196,2017
Clarke,GA,85.3,103,2017
Clay,GA,75.2,9,2017
Clayton,GA,79.0,21,2017
Clinch,GA,78.1,16,2017
Cobb,GA,85.9,117,2017
Coffee,GA,78.5,18,2017
Colquitt,GA,74.3,8,2017
Columbia,GA,91.8,339,2017
Cook,GA,79.4,25,2017
Coweta,GA,89.8,256,2017
Crawford,GA,87.7,177,2017
Crisp,GA,82.1,50,2017
Dade,GA,84.7,90,2017
Dawson,GA,88.4,204,2017
Decatur,GA,81.4,42,2017
DeKalb,GA,84.0,76,2017
Dodge,GA,86.8,143,2017
Dooly,GA,83.0,60,2017
Dougherty,GA,82.0,49,2017
Douglas,GA,85.6,110,2017
Early,GA,82.0,49,2017
Echols,GA,74.8,8,2017
Effingham,GA,89.0,223,2017
Elbert,GA,85.6,110,2017
Emanuel,GA,80.2,30,2017
Evans,GA,84.3,81,2017
Fannin,GA,86.1,123,2017
Fayette,GA,92.7,380,2017
Floyd,GA,85.5,108,2017
Forsyth,GA,90.5,284,2017
Franklin,GA,82.3,52,2017
Fulton,GA,87.8,181,2017
Gilmer,GA,79.0,21,2017
Glascock,GA,88.8,216,2017
Glynn,GA,84.5,85,2017
Gordon,GA,83.6,69,2017
Grady,GA,80.9,37,2017
Greene,GA,84.8,91,2017
Gwinnett,GA,81.7,45,2017
Habersham,GA,82.5,55,2017
Hall,GA,81.7,45,2017
Hancock,GA,90.9,303,2017
Haralson,GA,87.1,153,2017
Harris,GA,90.7,295,2017
Hart,GA,86.4,131,2017
Heard,GA,84.1,78,2017
Henry,GA,88.3,200,2017
Houston,GA,86.1,123,2017
Irwin,GA,82.5,55,2017
Jackson,GA,86.4,131,2017
Jasper,GA,86.0,120,2017
Jeff Davis,GA,82.3,52,2017
Jefferson,GA,82.0,49,2017
Jenkins,GA,82.3,52,2017
Johnson,GA,82.5,55,2017
Jones,GA,88.3,200,2017
Lamar,GA,83.3,64,2017
Lanier,GA,82.5,55,2017
Laurens,GA,87.1,153,2017
Lee,GA,89.3,236,2017
Liberty,GA,87.3,159,2017
Lincoln,GA,86.8,143,2017
Long,GA,82.0,49,2017
Lowndes,GA,83.3,64,2017
Lumpkin,GA,86.5,133,2017
McDuffie,GA,84.8,91,2017
McIntosh,GA,83.7,71,2017
Macon,GA,79.4,25,2017
Madison,GA,85.4,105,2017
Marion,GA,87.0,149,2017
Meriwether,GA,85.5,108,2017
Miller,GA,86.4,131,2017
Mitchell,GA,80.4,32,2017
Monroe,GA,87.7,177,2017
Montgomery,GA,85.6,110,2017
Morgan,GA,87.2,156,2017
Murray,GA,82.0,49,2017
Muscogee,GA,86.3,127,2017
Newton,GA,87.1,153,2017
Oconee,GA,92.4,365,2017
Oglethorpe,GA,86.8,143,2017
Paulding,GA,88.4,204,2017
Peach,GA,85.6,110,2017
Pickens,GA,87.7,177,2017
Pierce,GA,82.9,59,2017
Pike,GA,85.4,105,2017
Polk,GA,84.0,76,2017
Pulaski,GA,82.7,57,2017
Putnam,GA,84.0,76,2017
Quitman,GA,81.5,43,2017
Rabun,GA,78.2,17,2017
Randolph,GA,82.3,52,2017
Richmond,GA,85.6,110,2017
Rockdale,GA,84.5,85,2017
Schley,GA,83.5,67,2017
Screven,GA,84.2,79,2017
Seminole,GA,82.0,49,2017
Spalding,GA,84.4,84,2017
Stephens,GA,84.8,91,2017
Stewart,GA,84.9,94,2017
Sumter,GA,85.9,117,2017
Talbot,GA,86.4,131,2017
Taliaferro,GA,82.2,51,2017
Tattnall,GA,84.6,88,2017
Taylor,GA,81.0,38,2017
Telfair,GA,84.8,91,2017
Terrell,GA,79.3,24,2017
Thomas,GA,84.1,78,2017
Tift,GA,80.3,31,2017
Toombs,GA,79.1,21,2017
Towns,GA,87.1,153,2017
Treutlen,GA,81.4,42,2017
Troup,GA,86.7,139,2017
Turner,GA,83.4,66,2017
Twiggs,GA,83.5,67,2017
Union,GA,87.9,185,2017
Upson,GA,85.1,98,2017
Walker,GA,85.7,112,2017
Walton,GA,87.9,185,2017
Ware,GA,83.6,69,2017
Warren,GA,83.6,69,2017
Washington,GA,85.6,110,2017
Wayne,GA,81.2,40,2017
Webster,GA,90.3,275,2017
Wheeler,GA,78.1,16,2017
White,GA,86.1,123,2017
Whitfield,GA,80.3,31,2017
Wilcox,GA,83.6,69,2017
Wilkes,GA,83.9,73,2017
Wilkinson,GA,89.9,260,2017
Worth,GA,82.6,56,2017
Hawaii,HI,94.0,436,2017
Honolulu,HI,96.0,500,2017
Kalawao,HI,92.2,355,2017
Kauai,HI,94.3,450,2017
Maui,HI,94.0,436,2017
Ada,ID,90.9,303,2017
Adams,ID,84.2,79,2017
Bannock,ID,90.5,284,2017
Bear Lake,ID,89.9,260,2017
Benewah,ID,84.8,91,2017
Bingham,ID,87.2,156,2017
Blaine,ID,83.8,72,2017
Boise,ID,89.5,243,2017
Bonner,ID,86.4,131,2017
Bonneville,ID,90.1,269,2017
Boundary,ID,77.9,15,2017
Butte,ID,86.8,143,2017
Camas,ID,79.7,27,2017
Canyon,ID,84.7,90,2017
Caribou,ID,92.4,365,2017
Cassia,ID,82.9,59,2017
Clark,ID,71.2,5,2017
Clearwater,ID,88.9,219,2017
Custer,ID,86.5,133,2017
Elmore,ID,86.1,123,2017
Franklin,ID,87.7,177,2017
Fremont,ID,87.4,162,2017
Gem,ID,82.7,57,2017
Gooding,ID,81.5,43,2017
Idaho,ID,87.8,181,2017
Jefferson,ID,88.4,204,2017
Jerome,ID,78.7,20,2017
Kootenai,ID,88.4,204,2017
Latah,ID,92.5,368,2017
Lemhi,ID,85.6,110,2017
Lewis,ID,83.3,64,2017
Lincoln,ID,76.0,10,2017
Madison,ID,92.3,360,2017
Minidoka,ID,78.6,19,2017
Nez Perce,ID,89.9,260,2017
Oneida,ID,90.4,279,2017
Owyhee,ID,73.9,7,2017
Payette,ID,85.5,108,2017
Power,ID,85.4,105,2017
Shoshone,ID,84.9,94,2017
Teton,ID,89.5,243,2017
Twin Falls,ID,86.9,146,2017
Valley,ID,88.4,204,2017
Washington,ID,83.2,62,2017
Adams,IL,94.4,454,2017
Alexander,IL,91.2,318,2017
Bond,IL,93.7,424,2017
Boone,IL,92.8,384,2017
Brown,IL,95.2,481,2017
Bureau,IL,94.5,459,2017
Calhoun,IL,96.6,506,2017
Carroll,IL,93.1,398,2017
Cass,IL,91.7,335,2017
Champaign,IL,94.2,446,2017
Christian,IL,94.4,454,2017
Clark,IL,94.1,441,2017
Clay,IL,92.6,374,2017
Clinton,IL,95.1,478,2017
Coles,IL,92.0,347,2017
Cook,IL,88.9,219,2017
Crawford,IL,92.7,380,2017
Cumberland,IL,94.0,436,2017
DeKalb,IL,92.9,388,2017
De Witt,IL,94.0,436,2017
Douglas,IL,84.9,94,2017
DuPage,IL,93.3,406,2017
Edgar,IL,93.1,398,2017
Edwards,IL,93.9,432,2017
Effingham,IL,94.7,465,2017
Fayette,IL,89.9,260,2017
Ford,IL,93.1,398,2017
Franklin,IL,91.8,339,2017
Fulton,IL,92.4,365,2017
Gallatin,IL,94.8,468,2017
Greene,IL,92.1,350,2017
Grundy,IL,95.0,476,2017
Hamilton,IL,90.5,284,2017
Hancock,IL,95.3,484,2017
Hardin,IL,90.4,279,2017
Henderson,IL,92.8,384,2017
Henry,IL,94.8,468,2017
Iroquois,IL,92.8,384,2017
Jackson,IL,92.5,368,2017
Jasper,IL,93.5,415,2017
Jefferson,IL,92.6,374,2017
Jersey,IL,93.9,432,2017
Jo Daviess,IL,94.9,471,2017
Johnson,IL,94.3,450,2017
Kane,IL,90.2,272,2017
Kankakee,IL,92.9,388,2017
Kendall,IL,95.4,486,2017
Knox,IL,92.8,384,2017
Lake,IL,91.9,343,2017
LaSalle,IL,93.8,427,2017
Lawrence,IL,91.2,318,2017
Lee,IL,93.9,432,2017
Livingston,IL,93.9,432,2017
Logan,IL,95.1,478,2017
McDonough,IL,93.7,424,2017
McHenry,IL,93.9,432,2017
McLean,IL,95.6,491,2017
Macon,IL,94.2,446,2017
Macoupin,IL,94.2,446,2017
Madison,IL,94.5,459,2017
Marion,IL,92.6,374,2017
Marshall,IL,95.7,494,2017
Mason,IL,94.5,459,2017
Massac,IL,94.2,446,2017
Menard,IL,96.8,508,2017
Mercer,IL,96.7,507,2017
Monroe,IL,96.8,508,2017
Montgomery,IL,94.2,446,2017
Morgan,IL,94.6,461,2017
Moultrie,IL,86.4,131,2017
Ogle,IL,94.0,436,2017
Peoria,IL,93.4,410,2017
Perry,IL,95.2,481,2017
Piatt,IL,95.9,498,2017
Pike,IL,93.1,398,2017
Pope,IL,95.3,484,2017
Pulaski,IL,94.0,436,2017
Putnam,IL,95.3,484,2017
Randolph,IL,94.2,446,2017
Richland,IL,94.8,468,2017
Rock Island,IL,92.9,388,2017
St. Clair,IL,92.1,350,2017
Saline,IL,92.9,388,2017
Sangamon,IL,95.0,476,2017
Schuyler,IL,83.7,71,2017
Scott,IL,93.8,427,2017
Shelby,IL,94.3,450,2017
Stark,IL,93.0,392,2017
Stephenson,IL,94.2,446,2017
Tazewell,IL,95.4,486,2017
Union,IL,92.3,360,2017
Vermilion,IL,92.6,374,2017
Wabash,IL,94.0,436,2017
Warren,IL,94.9,471,2017
Washington,IL,95.5,489,2017
Wayne,IL,91.6,331,2017
White,IL,94.9,471,2017
Whiteside,IL,94.0,436,2017
Will,IL,93.5,415,2017
Williamson,IL,93.1,398,2017
Winnebago,IL,92.8,384,2017
Woodford,IL,96.0,500,2017
Adams,IN,79.0,21,2017
Allen,IN,89.2,232,2017
Bartholomew,IN,89.8,256,2017
Benton,IN,88.2,196,2017
Blackford,IN,89.4,239,2017
Boone,IN,93.5,415,2017
Brown,IN,89.9,260,2017
Carroll,IN,89.1,228,2017
Cass,IN,88.1,191,2017
Clark,IN,89.9,260,2017
Clay,IN,92.5,368,2017
Clinton,IN,88.6,210,2017
Crawford,IN,92.0,347,2017
Daviess,IN,77.4,13,2017
Dearborn,IN,92.7,380,2017
Decatur,IN,90.3,275,2017
DeKalb,IN,89.5,243,2017
Delaware,IN,90.1,269,2017
Dubois,IN,93.5,415,2017
Elkhart,IN,83.1,61,2017
Fayette,IN,87.6,170,2017
Floyd,IN,93.2,402,2017
Fountain,IN,91.0,309,2017
Franklin,IN,93.1,398,2017
Fulton,IN,88.4,204,2017
Gibson,IN,91.8,339,2017
Grant,IN,89.8,256,2017
Greene,IN,90.1,269,2017
Hamilton,IN,94.3,450,2017
Hancock,IN,92.7,380,2017
Harrison,IN,92.2,355,2017
Hendricks,IN,93.1,398,2017
Henry,IN,90.1,269,2017
Howard,IN,90.6,291,2017
Huntington,IN,90.6,291,2017
Jackson,IN,89.7,253,2017
Jasper,IN,92.0,347,2017
Jay,IN,88.5,207,2017
Jefferson,IN,90.9,303,2017
Jennings,IN,89.2,232,2017
Johnson,IN,92.0,347,2017
Knox,IN,90.1,269,2017
Kosciusko,IN,88.2,196,2017
LaGrange,IN,60.3,0,2017
Lake,IN,89.8,256,2017
LaPorte,IN,90.4,279,2017
Lawrence,IN,90.5,284,2017
Madison,IN,89.7,253,2017
Marion,IN,87.4,162,2017
Marshall,IN,86.8,143,2017
Martin,IN,90.9,303,2017
Miami,IN,90.2,272,2017
Monroe,IN,91.6,331,2017
Montgomery,IN,89.5,243,2017
Morgan,IN,91.2,318,2017
Newton,IN,87.4,162,2017
Noble,IN,90.8,299,2017
Ohio,IN,93.3,406,2017
Orange,IN,90.6,291,2017
Owen,IN,87.3,159,2017
Parke,IN,86.3,127,2017
Perry,IN,92.5,368,2017
Pike,IN,94.1,441,2017
Porter,IN,92.3,360,2017
Posey,IN,94.9,471,2017
Pulaski,IN,89.9,260,2017
Putnam,IN,90.8,299,2017
Randolph,IN,87.7,177,2017
Ripley,IN,92.4,365,2017
Rush,IN,87.1,153,2017
St. Joseph,IN,90.0,265,2017
Scott,IN,90.7,295,2017
Shelby,IN,90.0,265,2017
Spencer,IN,93.5,415,2017
Starke,IN,91.9,343,2017
Steuben,IN,90.6,291,2017
Sullivan,IN,87.8,181,2017
Switzerland,IN,86.7,139,2017
Tippecanoe,IN,90.0,265,2017
Tipton,IN,91.8,339,2017
Union,IN,86.5,133,2017
Vanderburgh,IN,90.6,291,2017
Vermillion,IN,90.9,303,2017
Vigo,IN,90.0,265,2017
Wabash,IN,90.7,295,2017
Warren,IN,94.5,459,2017
Warrick,IN,93.7,424,2017
Washington,IN,88.2,196,2017
Wayne,IN,87.0,149,2017
Wells,IN,91.7,335,2017
White,IN,90.8,299,2017
Whitley,IN,92.4,365,2017
Adair,IA,93.6,420,2017
Adams,IA,94.2,446,2017
Allamakee,IA,91.4,325,2017
Appanoose,IA,91.6,331,2017
Audubon,IA,93.4,410,2017
Benton,IA,96.5,505,2017
Black Hawk,IA,93.9,432,2017
Boone,IA,95.8,495,2017
Bremer,IA,96.6,506,2017
Buchanan,IA,92.6,374,2017
Buena Vista,IA,89.4,239,2017
Butler,IA,95.5,489,2017
Calhoun,IA,96.4,504,2017
Carroll,IA,97.5,511,2017
Cass,IA,95.5,489,2017
Cedar,IA,97.0,509,2017
Cerro Gordo,IA,93.9,432,2017
Cherokee,IA,93.4,410,2017
Chickasaw,IA,95.0,476,2017
Clarke,IA,94.0,436,2017
Clay,IA,95.6,491,2017
Clayton,IA,92.7,380,2017
Clinton,IA,95.4,486,2017
Crawford,IA,90.0,265,2017
