county,state,percentHealthInsurance,percentHealthInsuranceBucket,year
Autauga,AL,91.2,318,2017
Baldwin,AL,89.2,232,2017
Barbour,AL,87.7,177,2017
Bibb,AL,91.9,343,2017
Blount,AL,89.0,223,2017
Bullock,AL,85.9,117,2017
Butler,AL,88.6,210,2017
Calhoun,AL,89.6,248,2017
Chambers,AL,87.8,181,2017
Cherokee,AL,91.0,309,2017
Chilton,AL,85.2,100,2017
Choctaw,AL,89.0,223,2017
Clarke,AL,89.1,228,2017
Clay,AL,86.8,143,2017
Cleburne,AL,85.6,110,2017
Coffee,AL,89.5,243,2017
Colbert,AL,91.4,325,2017
Conecuh,AL,84.3,81,2017
Coosa,AL,90.0,265,2017
Covington,AL,88.2,196,2017
Crenshaw,AL,89.3,236,2017
Cullman,AL,86.6,135,2017
Dale,AL,87.7,177,2017
Dallas,AL,87.9,185,2017
DeKalb,AL,84.9,94,2017
Elmore,AL,92.3,360,2017
Escambia,AL,84.4,84,2017
Etowah,AL,88.3,200,2017
Fayette,AL,91.7,335,2017
Franklin,AL,88.0,188,2017
Geneva,AL,86.1,123,2017
Greene,AL,86.9,146,2017
Hale,AL,89.3,236,2017
Henry,AL,89.2,232,2017
Houston,AL,89.0,223,2017
Jackson,AL,89.4,239,2017
Jefferson,AL,89.7,253,2017
Lamar,AL,89.4,239,2017
Lauderdale,AL,89.7,253,2017
Lawrence,AL,90.3,275,2017
Lee,AL,91.3,322,2017
Limestone,AL,88.8,216,2017
Lowndes,AL,87.7,177,2017
Macon,AL,89.9,260,2017
Madison,AL,90.3,275,2017
Marengo,AL,89.3,236,2017
Marion,AL,90.4,279,2017
Marshall,AL,84.6,88,2017
Mobile,AL,87.9,185,2017
Monroe,AL,85.0,96,2017
Montgomery,AL,88.9,219,2017
Morgan,AL,88.8,216,2017
Perry,AL,85.8,114,2017
Pickens,AL,91.1,313,2017
Pike,AL,91.2,318,2017
Randolph,AL,87.7,177,2017
Russell,AL,86.2,125,2017
St. Clair,AL,92.1,350,2017
Shelby,AL,92.6,374,2017
Sumter,AL,83.1,61,2017
Talladega,AL,89.8,256,2017
Tallapoosa,AL,90.6,291,2017
Tuscaloosa,AL,91.4,325,2017
Walker,AL,88.4,204,2017
Washington,AL,90.5,284,2017
Wilcox,AL,85.1,98,2017
Winston,AL,88.3,200,2017
Aleutians East,AK,51.8,0,2017
Aleutians West,AK,78.8,20,2017
Anchorage,AK,86.8,143,2017
Bethel,AK,76.6,12,2017
Bristol Bay,AK,79.9,28,2017
Denali,AK,79.2,22,2017
Dillingham,AK,76.1,11,2017
Fairbanks North Star,AK,89.8,256,2017
Haines,AK,80.6,34,2017
Hoonah-Angoon,AK,74.2,7,2017
Juneau City,AK,88.4,204,2017
Kenai Peninsula,AK,81.8,46,2017
Ketchikan Gateway,AK,85.9,117,2017
Kodiak,AK,78.0,16,2017
Kusilvak,AK,76.4,11,2017
Lake and Peninsula,AK,67.7,2,2017
Matanuska-Susitna,AK,83.7,71,2017
Nome,AK,73.9,7,2017
North Slope,AK,77.7,14,2017
Northwest Arctic,AK,68.5,2,2017
Petersburg,AK,87.3,159,2017
Prince of Wales-Hyder,AK,72.1,5,2017
Sitka City,AK,82.1,50,2017
Skagway,AK,78.5,18,2017
Southeast Fairbanks,AK,82.3,52,2017
Valdez-Cordova,AK,83.4,66,2017
Wrangell City,AK,84.9,94,2017
Yakutat City,AK,79.9,28,2017
Yukon-Koyukuk,AK,67.7,2,2017
Apache,AZ,77.1,13,2017
Cochise,AZ,91.0,309,2017
Coconino,AZ,86.3,127,2017
Gila,AZ,87.6,170,2017
Graham,AZ,91.2,318,2017
Greenlee,AZ,92.4,365,2017
La Paz,AZ,87.7,177,2017
Maricopa,AZ,87.7,177,2017
Mohave,AZ,87.7,177,2017
Navajo,AZ,84.9,94,2017
Pima,AZ,89.0,223,2017
Pinal,AZ,89.7,253,2017
Santa Cruz,AZ,87.4,162,2017
Yavapai,AZ,88.7,213,2017
Yuma,AZ,84.9,94,2017
Arkansas,AR,91.6,331,2017
Ashley,AR,88.9,219,2017
Baxter,AR,92.4,365,2017
Benton,AR,89.7,253,2017
Boone,AR,91.1,313,2017
Bradley,AR,86.6,135,2017
Calhoun,AR,89.7,253,2017
Carroll,AR,86.8,143,2017
Chicot,AR,88.5,207,2017
Clark,AR,90.9,303,2017
Clay,AR,90.6,291,2017
Cleburne,AR,88.6,210,2017
Cleveland,AR,92.5,368,2017
Columbia,AR,90.2,272,2017
Conway,AR,91.1,313,2017
Craighead,AR,89.2,232,2017
Crawford,AR,89.2,232,2017
Crittenden,AR,89.8,256,2017
Cross,AR,91.6,331,2017
Dallas,AR,89.3,236,2017
Desha,AR,89.9,260,2017
Drew,AR,91.4,325,2017
Faulkner,AR,89.2,232,2017
Franklin,AR,91.8,339,2017
Fulton,AR,89.9,260,2017
Garland,AR,86.9,146,2017
Grant,AR,93.1,398,2017
Greene,AR,91.0,309,2017
Hempstead,AR,89.7,253,2017
Hot Spring,AR,89.0,223,2017
Howard,AR,88.2,196,2017
Independence,AR,88.6,210,2017
Izard,AR,91.8,339,2017
Jackson,AR,88.2,196,2017
Jefferson,AR,91.0,309,2017
Johnson,AR,89.0,223,2017
Lafayette,AR,87.9,185,2017
Lawrence,AR,90.3,275,2017
Lee,AR,88.7,213,2017
Lincoln,AR,90.5,284,2017
Little River,AR,88.9,219,2017
Logan,AR,91.3,322,2017
Lonoke,AR,91.1,313,2017
Madison,AR,87.4,162,2017
Marion,AR,91.5,327,2017
Miller,AR,87.0,149,2017
Mississippi,AR,89.3,236,2017
Monroe,AR,89.0,223,2017
Montgomery,AR,87.5,166,2017
Nevada,AR,88.6,210,2017
Newton,AR,91.0,309,2017
Ouachita,AR,90.4,279,2017
Perry,AR,91.8,339,2017
Phillips,AR,86.9,146,2017
Pike,AR,88.0,188,2017
Poinsett,AR,86.8,143,2017
Polk,AR,85.9,117,2017
Pope,AR,89.4,239,2017
Prairie,AR,89.6,248,2017
Pulaski,AR,89.9,260,2017
Randolph,AR,90.0,265,2017
St. Francis,AR,87.8,181,2017
Saline,AR,92.4,365,2017
Scott,AR,91.5,327,2017
Searcy,AR,88.4,204,2017
Sebastian,AR,87.5,166,2017
Sevier,AR,83.1,61,2017
Sharp,AR,89.5,243,2017
Stone,AR,90.0,265,2017
Union,AR,87.9,185,2017
Van Buren,AR,87.1,153,2017
Washington,AR,87.4,162,2017
White,AR,89.8,256,2017
Woodruff,AR,88.9,219,2017
Yell,AR,89.4,239,2017
Alameda,CA,93.1,398,2017
Alpine,CA,87.9,185,2017
Amador,CA,94.4,454,2017
Butte,CA,91.6,331,2017
Calaveras,CA,93.4,410,2017
Colusa,CA,86.4,131,2017
Contra Costa,CA,92.8,384,2017
Del Norte,CA,91.9,343,2017
El Dorado,CA,94.0,436,2017
Fresno,CA,88.3,200,2017
Glenn,CA,88.2,196,2017
Humboldt,CA,87.7,177,2017
Imperial,CA,88.2,196,2017
Inyo,CA,92.3,360,2017
Kern,CA,88.8,216,2017
Kings,CA,89.7,253,2017
Lake,CA,88.2,196,2017
Lassen,CA,93.0,392,2017
Los Angeles,CA,86.7,139,2017
Madera,CA,88.3,200,2017
Marin,CA,94.8,468,2017
Mariposa,CA,95.1,478,2017
Mendocino,CA,88.8,216,2017
Merced,CA,88.9,219,2017
Modoc,CA,84.0,76,2017
Mono,CA,83.2,62,2017
Monterey,CA,86.3,127,2017
Napa,CA,92.6,374,2017
Nevada,CA,90.3,275,2017
Orange,CA,89.6,248,2017
Placer,CA,93.9,432,2017
Plumas,CA,93.4,410,2017
Riverside,CA,87.7,177,2017
Sacramento,CA,91.6,331,2017
San Benito,CA,90.4,279,2017
San Bernardino,CA,88.4,204,2017
San Diego,CA,89.6,248,2017
San Francisco,CA,94.5,459,2017
San Joaquin,CA,90.3,275,2017
San Luis Obispo,CA,91.4,325,2017
San Mateo,CA,94.2,446,2017
Santa Barbara,CA,88.0,188,2017
Santa Clara,CA,93.8,427,2017
Santa Cruz,CA,91.7,335,2017
Shasta,CA,90.6,291,2017
Sierra,CA,90.6,291,2017
Siskiyou,CA,91.7,335,2017
Solano,CA,92.6,374,2017
Sonoma,CA,91.6,331,2017
Stanislaus,CA,90.8,299,2017
Sutter,CA,88.2,196,2017
Tehama,CA,91.2,318,2017
Trinity,CA,85.9,117,2017
Tulare,CA,87.8,181,2017
Tuolumne,CA,93.4,410,2017
Ventura,CA,89.2,232,2017
Yolo,CA,92.3,360,2017
Yuba,CA,89.8,256,2017
Adams,CO,86.6,135,2017
Alamosa,CO,86.7,139,2017
Arapahoe,CO,90.2,272,2017
Archuleta,CO,84.3,81,2017
Baca,CO,89.0,223,2017
Bent,CO,86.0,120,2017
Boulder,CO,93.8,427,2017
Broomfield,CO,94.7,465,2017
Chaffee,CO,87.4,162,2017
Cheyenne,CO,83.6,69,2017
Clear Creek,CO,90.4,279,2017
Conejos,CO,85.8,114,2017
Costilla,CO,85.1,98,2017
Crowley,CO,90.9,303,2017
Custer,CO,88.0,188,2017
Delta,CO,87.1,153,2017
Denver,CO,88.5,207,2017
Dolores,CO,92.7,380,2017
Douglas,CO,96.4,504,2017
Eagle,CO,83.1,61,2017
Elbert,CO,92.8,384,2017
El Paso,CO,92.1,350,2017
Fremont,CO,91.4,325,2017
Garfield,CO,80.2,30,2017
Gilpin,CO,90.6,291,2017
Grand,CO,82.3,52,2017
Gunnison,CO,87.0,149,2017
Hinsdale,CO,90.7,295,2017
Huerfano,CO,87.6,170,2017
Jackson,CO,90.8,299,2017
Jefferson,CO,93.1,398,2017
Kiowa,CO,93.1,398,2017
Kit Carson,CO,86.1,123,2017
Lake,CO,83.9,73,2017
La Plata,CO,89.0,223,2017
Larimer,CO,92.7,380,2017
Las Animas,CO,89.7,253,2017
Lincoln,CO,94.3,450,2017
Logan,CO,89.0,223,2017
Mesa,CO,88.4,204,2017
Mineral,CO,93.4,410,2017
Moffat,CO,85.3,103,2017
Montezuma,CO,84.6,88,2017
Montrose,CO,87.0,149,2017
Morgan,CO,92.0,347,2017
Otero,CO,89.6,248,2017
Ouray,CO,88.4,204,2017
Park,CO,90.9,303,2017
Phillips,CO,86.6,135,2017
Pitkin,CO,86.8,143,2017
Prowers,CO,87.7,177,2017
Pueblo,CO,91.9,343,2017
Rio Blanco,CO,89.1,228,2017
Rio Grande,CO,86.7,139,2017
Routt,CO,91.0,309,2017
Saguache,CO,80.4,32,2017
San Juan,CO,88.0,188,2017
San Miguel,CO,89.5,243,2017
Sedgwick,CO,90.5,284,2017
Summit,CO,78.6,19,2017
Teller,CO,90.6,291,2017
Washington,CO,94.0,436,2017
Weld,CO,91.0,309,2017
Yuma,CO,86.7,139,2017
Fairfield,CT,90.4,279,2017
Hartford,CT,94.8,468,2017
Litchfield,CT,95.0,476,2017
Middlesex,CT,95.9,498,2017
New Haven,CT,94.0,436,2017
New London,CT,95.5,489,2017
Tolland,CT,96.5,505,2017
Windham,CT,94.7,465,2017
Kent,DE,92.4,365,2017
New Castle,DE,94.0,436,2017
Sussex,DE,92.2,355,2017
District of,,95.3,484,2017
Alachua,FL,89.3,236,2017
Baker,FL,87.9,185,2017
Bay,FL,85.0,96,2017
Bradford,FL,85.0,96,2017
Brevard,FL,88.0,188,2017
Broward,FL,83.7,71,2017
Calhoun,FL,81.0,38,2017
Charlotte,FL,87.3,159,2017
Citrus,FL,88.5,207,2017
Clay,FL,89.1,228,2017
