county,state,percentNeedOpioidTreatment,percentNeedOpioidTreatmentBucket,year
Autauga,AL,95.7,506,2017
Baldwin,AL,91.34,405,2017
Barbour,AL,91.34,405,2017
Bibb,AL,91.86,427,2017
Blount,AL,91.86,427,2017
Bullock,AL,95.7,506,2017
Butler,AL,91.34,405,2017
Calhoun,AL,91.86,427,2017
Chambers,AL,95.7,506,2017
Cherokee,AL,89.71,335,2017
Chilton,AL,91.86,427,2017
Choctaw,AL,95.7,506,2017
Clarke,AL,91.34,405,2017
Clay,AL,91.86,427,2017
Cleburne,AL,91.86,427,2017
Coffee,AL,91.34,405,2017
Colbert,AL,89.71,335,2017
Conecuh,AL,91.34,405,2017
Coosa,AL,91.86,427,2017
Covington,AL,91.34,405,2017
Crenshaw,AL,91.34,405,2017
Cullman,AL,89.71,335,2017
Dale,AL,91.34,405,2017
Dallas,AL,95.7,506,2017
DeKalb,AL,89.71,335,2017
Elmore,AL,95.7,506,2017
Escambia,AL,91.34,405,2017
Etowah,AL,89.71,335,2017
Fayette,AL,89.71,335,2017
Franklin,AL,89.71,335,2017
Geneva,AL,91.34,405,2017
Greene,AL,95.7,506,2017
Hale,AL,95.7,506,2017
Henry,AL,91.34,405,2017
Houston,AL,91.34,405,2017
Jackson,AL,89.71,335,2017
Jefferson,AL,91.86,427,2017
Lamar,AL,89.71,335,2017
Lauderdale,AL,89.71,335,2017
Lawrence,AL,89.71,335,2017
Lee,AL,95.7,506,2017
Limestone,AL,89.71,335,2017
Lowndes,AL,95.7,506,2017
Macon,AL,95.7,506,2017
Madison,AL,89.71,335,2017
Marengo,AL,95.7,506,2017
Marion,AL,89.71,335,2017
Marshall,AL,89.71,335,2017
Mobile,AL,91.34,405,2017
Monroe,AL,91.34,405,2017
Montgomery,AL,95.7,506,2017
Morgan,AL,89.71,335,2017
Perry,AL,95.7,506,2017
Pickens,AL,91.86,427,2017
Pike,AL,95.7,506,2017
Randolph,AL,91.86,427,2017
Russell,AL,95.7,506,2017
St. Clair,AL,91.86,427,2017
Shelby,AL,91.86,427,2017
Sumter,AL,95.7,506,2017
Talladega,AL,91.86,427,2017
Tallapoosa,AL,95.7,506,2017
Tuscaloosa,AL,91.86,427,2017
Walker,AL,89.71,335,2017
Washington,AL,91.34,405,2017
Wilcox,AL,95.7,506,2017
Winston,AL,89.71,335,2017
Aleutians East,AK,89.12,293,2017
Aleutians West,AK,89.12,293,2017
Anchorage,AK,86.73,156,2017
Bethel,AK,87.58,188,2017
Bristol Bay,AK,89.12,293,2017
Denali,AK,87.58,188,2017
Dillingham,AK,89.12,293,2017
Fairbanks North Star,AK,87.58,188,2017
Haines,AK,94.82,497,2017
Hoonah-Angoon,AK,94.82,497,2017
Juneau City,AK,94.82,497,2017
Kenai Peninsula,AK,89.12,293,2017
Ketchikan Gateway,AK,94.82,497,2017
Kodiak,AK,89.12,293,2017
Kusilvak,AK,87.58,188,2017
Lake and Peninsula,AK,89.12,293,2017
Matanuska-Susitna,AK,89.12,293,2017
Nome,AK,87.58,188,2017
North Slope,AK,87.58,188,2017
Northwest Arctic,AK,87.58,188,2017
Petersburg,AK,94.82,497,2017
Prince of Wales-Hyder,AK,94.82,497,2017
Sitka City,AK,94.82,497,2017
Skagway,AK,94.82,497,2017
Southeast Fairbanks,AK,87.58,188,2017
Valdez-Cordova,AK,89.12,293,2017
Wrangell City,AK,94.82,497,2017
Yakutat City,AK,94.82,497,2017
Yukon-Koyukuk,AK,87.58,188,2017
Apache,AZ,88.35,240,2017
Cochise,AZ,89.36,319,2017
Coconino,AZ,88.35,240,2017
Gila,AZ,89.36,319,2017
Graham,AZ,89.36,319,2017
Greenlee,AZ,89.36,319,2017
La Paz,AZ,89.36,319,2017
Maricopa,AZ,90.68,377,2017
Mohave,AZ,88.35,240,2017
Navajo,AZ,88.35,240,2017
Pima,AZ,87.15,166,2017
Pinal,AZ,89.36,319,2017
Santa Cruz,AZ,89.36,319,2017
Yavapai,AZ,88.35,240,2017
