county,state,medianHouseholdIncome,medianHouseholdIncomeBucket,year
Autauga,AL,55317,382,2017
Baldwin,AL,52562,344,2017
Barbour,AL,33368,42,2017
Bibb,AL,43404,177,2017
Blount,AL,47412,251,2017
Bullock,AL,29655,23,2017
Butler,AL,36326,70,2017
Calhoun,AL,43686,183,2017
Chambers,AL,37342,84,2017
Cherokee,AL,40041,119,2017
Chilton,AL,43501,180,2017
Choctaw,AL,32122,35,2017
Clarke,AL,33827,46,2017
Clay,AL,37287,83,2017
Cleburne,AL,37396,85,2017
Coffee,AL,49821,292,2017
Colbert,AL,45477,213,2017
Conecuh,AL,30434,26,2017
Coosa,AL,34792,53,2017
Covington,AL,39467,112,2017
Crenshaw,AL,38937,104,2017
Cullman,AL,40997,134,2017
Dale,AL,44711,200,2017
Dallas,AL,30065,25,2017
DeKalb,AL,38842,102,2017
Elmore,AL,54981,378,2017
Escambia,AL,35026,55,2017
Etowah,AL,42064,155,2017
Fayette,AL,36541,72,2017
Franklin,AL,39501,113,2017
Geneva,AL,39293,108,2017
Greene,AL,20954,10,2017
Hale,AL,34679,52,2017
Henry,AL,45569,216,2017
Houston,AL,42803,168,2017
Jackson,AL,39281,108,2017
Jefferson,AL,49321,283,2017
Lamar,AL,36016,66,2017
Lauderdale,AL,44888,204,2017
Lawrence,AL,43779,184,2017
Lee,AL,47564,254,2017
Limestone,AL,52831,348,2017
Lowndes,AL,29785,24,2017
Macon,AL,32308,36,2017
Madison,AL,61318,440,2017
Marengo,AL,32255,36,2017
Marion,AL,35719,63,2017
Marshall,AL,41104,136,2017
Mobile,AL,45802,220,2017
Monroe,AL,26036,15,2017
Montgomery,AL,46545,235,2017
Morgan,AL,47529,254,2017
Perry,AL,22973,12,2017
Pickens,AL,36220,68,2017
Pike,AL,35684,62,2017
Randolph,AL,39485,112,2017
Russell,AL,38988,105,2017
St. Clair,AL,53483,355,2017
Shelby,AL,74063,484,2017
Sumter,AL,21663,11,2017
Talladega,AL,39219,107,2017
Tallapoosa,AL,42181,158,2017
Tuscaloosa,AL,50513,305,2017
Walker,AL,38872,102,2017
Washington,AL,42185,159,2017
Wilcox,AL,27012,18,2017
Winston,AL,35362,58,2017
Aleutians East,AK,66607,468,2017
Aleutians West,AK,85192,501,2017
Anchorage,AK,82271,498,2017
Bethel,AK,53853,363,2017
Bristol Bay,AK,79500,494,2017
Denali,AK,83295,499,2017
Dillingham,AK,58708,418,2017
Fairbanks North Star,AK,76250,489,2017
Haines,AK,70640,478,2017
Hoonah-Angoon,AK,57900,410,2017
Juneau City,AK,90749,505,2017
Kenai Peninsula,AK,65279,461,2017
Ketchikan Gateway,AK,67321,470,2017
Kodiak,AK,74167,485,2017
Kusilvak,AK,36468,72,2017
Lake and Peninsula,AK,45208,209,2017
Matanuska-Susitna,AK,74887,486,2017
Nome,AK,53821,362,2017
North Slope,AK,77266,490,2017
Northwest Arctic,AK,61533,441,2017
Petersburg,AK,63490,454,2017
Prince of Wales-Hyder,AK,52114,336,2017
Sitka City,AK,70765,478,2017
Skagway,AK,70673,478,2017
Southeast Fairbanks,AK,63866,455,2017
Valdez-Cordova,AK,86019,502,2017
Wrangell City,AK,56094,390,2017
Yakutat City,AK,64583,458,2017
Yukon-Koyukuk,AK,37819,90,2017
Apache,AZ,32360,37,2017
Cochise,AZ,47847,258,2017
Coconino,AZ,53523,356,2017
Gila,AZ,41179,138,2017
Graham,AZ,48173,264,2017
Greenlee,AZ,56298,393,2017
La Paz,AZ,36479,72,2017
Maricopa,AZ,58580,417,2017
Mohave,AZ,41567,146,2017
Navajo,AZ,38798,101,2017
Pima,AZ,48676,274,2017
Pinal,AZ,52628,345,2017
Santa Cruz,AZ,39630,114,2017
Yavapai,AZ,48259,265,2017
Yuma,AZ,43253,174,2017
Arkansas,AR,38532,97,2017
Ashley,AR,36407,70,2017
Baxter,AR,40072,119,2017
Benton,AR,61271,439,2017
Boone,AR,40727,130,2017
Bradley,AR,36310,69,2017
Calhoun,AR,37225,82,2017
Carroll,AR,39686,115,2017
Chicot,AR,32412,38,2017
Clark,AR,37144,81,2017
Clay,AR,32219,36,2017
Cleburne,AR,42312,160,2017
Cleveland,AR,44840,202,2017
Columbia,AR,37072,79,2017
Conway,AR,39638,114,2017
Craighead,AR,45672,218,2017
Crawford,AR,43504,180,2017
Crittenden,AR,38558,98,2017
Cross,AR,41081,135,2017
Dallas,AR,35794,63,2017
Desha,AR,27036,18,2017
Drew,AR,36092,67,2017
Faulkner,AR,50316,302,2017
Franklin,AR,39472,112,2017
Fulton,AR,36051,66,2017
Garland,AR,41672,148,2017
Grant,AR,49968,294,2017
Greene,AR,45566,216,2017
Hempstead,AR,38701,99,2017
Hot Spring,AR,40626,128,2017
Howard,AR,34851,53,2017
Independence,AR,39945,118,2017
Izard,AR,39135,106,2017
Jackson,AR,32783,39,2017
Jefferson,AR,37630,87,2017
Johnson,AR,35758,63,2017
Lafayette,AR,32500,38,2017
Lawrence,AR,37603,87,2017
Lee,AR,27901,19,2017
Lincoln,AR,38873,103,2017
Little River,AR,36963,78,2017
Logan,AR,37982,92,2017
Lonoke,AR,57290,404,2017
Madison,AR,42894,169,2017
Marion,AR,36113,68,2017
Miller,AR,41862,152,2017
Mississippi,AR,36417,71,2017
Monroe,AR,31584,32,2017
Montgomery,AR,35252,57,2017
Nevada,AR,36995,78,2017
Newton,AR,38134,94,2017
Ouachita,AR,32136,35,2017
Perry,AR,46168,227,2017
Phillips,AR,26652,17,2017
Pike,AR,36893,77,2017
Poinsett,AR,37487,86,2017
Polk,AR,33870,46,2017
Pope,AR,40668,129,2017
Prairie,AR,41244,140,2017
Pulaski,AR,48850,276,2017
Randolph,AR,35930,65,2017
St. Francis,AR,33102,42,2017
Saline,AR,58985,421,2017
Scott,AR,37396,85,2017
Searcy,AR,36716,75,2017
Sebastian,AR,40932,133,2017
Sevier,AR,43675,183,2017
Sharp,AR,31792,32,2017
Stone,AR,33091,41,2017
Union,AR,41106,136,2017
Van Buren,AR,34428,50,2017
Washington,AR,47452,252,2017
White,AR,44074,189,2017
Woodruff,AR,30097,25,2017
Yell,AR,39696,116,2017
Alameda,CA,85743,501,2017
Alpine,CA,63438,454,2017
Amador,CA,60636,434,2017
Butte,CA,46516,235,2017
Calaveras,CA,54800,376,2017
Colusa,CA,56481,396,2017
Contra Costa,CA,88456,503,2017
Del Norte,CA,41287,141,2017
El Dorado,CA,74885,486,2017
Fresno,CA,48730,275,2017
Glenn,CA,46260,229,2017
Humboldt,CA,43718,183,2017
Imperial,CA,44779,201,2017
Inyo,CA,51500,325,2017
Kern,CA,50826,311,2017
Kings,CA,49742,291,2017
Lake,CA,40446,124,2017
Lassen,CA,54083,366,2017
Los Angeles,CA,61015,438,2017
Madera,CA,48210,264,2017
Marin,CA,104703,509,2017
Mariposa,CA,51385,322,2017
Mendocino,CA,46528,235,2017
Merced,CA,46338,231,2017
Modoc,CA,39296,109,2017
Mono,CA,60595,433,2017
Monterey,CA,63249,453,2017
Napa,CA,79637,494,2017
Nevada,CA,60610,434,2017
Orange,CA,81851,497,2017
Placer,CA,80488,495,2017
Plumas,CA,50266,300,2017
Riverside,CA,60807,436,2017
Sacramento,CA,60239,431,2017
San Benito,CA,80760,496,2017
San Bernardino,CA,57156,402,2017
San Diego,CA,70588,477,2017
San Francisco,CA,96265,508,2017
San Joaquin,CA,57813,410,2017
San Luis Obispo,CA,67175,469,2017
San Mateo,CA,105667,509,2017
Santa Barbara,CA,68023,472,2017
Santa Clara,CA,106761,510,2017
Santa Cruz,CA,73663,484,2017
Shasta,CA,47258,248,2017
Sierra,CA,44190,191,2017
Siskiyou,CA,40884,132,2017
Solano,CA,72950,483,2017
Sonoma,CA,71769,480,2017
Stanislaus,CA,54260,368,2017
Sutter,CA,54347,369,2017
Tehama,CA,42512,163,2017
Trinity,CA,36563,73,2017
Tulare,CA,44871,203,2017
Tuolumne,CA,54325,369,2017
Ventura,CA,81972,498,2017
Yolo,CA,61621,442,2017
Yuba,CA,51776,330,2017
Adams,CO,64087,457,2017
Alamosa,CO,36315,69,2017
Arapahoe,CO,69553,476,2017
Archuleta,CO,48016,261,2017
Baca,CO,35898,64,2017
Bent,CO,32500,38,2017
Boulder,CO,75669,488,2017
Broomfield,CO,85639,501,2017
Chaffee,CO,53762,361,2017
