county,state,population,populationBucket,year
La Paz,AZ,17483,226,2017
Maricopa,AZ,3240638,511,2017
Mohave,AZ,172208,463,2017
Navajo,AZ,81333,418,2017
Pima,AZ,814161,505,2017
Pinal,AZ,319302,484,2017
Santa Cruz,AZ,35135,335,2017
Yavapai,AZ,187588,467,2017
Yuma,AZ,157101,459,2017
Arkansas,AR,14747,199,2017
Ashley,AR,16422,217,2017
Baxter,AR,34719,333,2017
Benton,AR,191488,468,2017
Boone,AR,29695,309,2017
Bradley,AR,8629,123,2017
Calhoun,AR,4300,53,2017
Carroll,AR,22240,267,2017
Chicot,AR,8850,126,2017
Clark,AR,18733,237,2017
Clay,AR,12219,168,2017
Cleburne,AR,21105,257,2017
Cleveland,AR,6727,91,2017
Columbia,AR,19658,245,2017
Conway,AR,16514,218,2017
Craighead,AR,81271,417,2017
Crawford,AR,48359,374,2017
Crittenden,AR,37066,344,2017
Cross,AR,13589,185,2017
Dallas,AR,6073,82,2017
Desha,AR,9425,132,2017
Drew,AR,15075,203,2017
Faulkner,AR,95819,429,2017
Franklin,AR,14151,192,2017
Fulton,AR,9940,139,2017
Garland,AR,80247,417,2017
Grant,AR,14447,196,2017
Greene,AR,34695,333,2017
Hempstead,AR,17008,222,2017
Hot Spring,AR,27197,295,2017
Howard,AR,10295,145,2017
Independence,AR,29327,306,2017
Izard,AR,11353,157,2017
Jackson,AR,14291,195,2017
Jefferson,AR,56823,389,2017
Johnson,AR,20323,250,2017
Lafayette,AR,5827,78,2017
Lawrence,AR,13462,183,2017
Lee,AR,8040,115,2017
Lincoln,AR,11708,161,2017
Little River,AR,10024,141,2017
Logan,AR,17505,227,2017
Lonoke,AR,54782,386,2017
Madison,AR,12699,173,2017
Marion,AR,13770,187,2017
Miller,AR,34525,332,2017
Mississippi,AR,33476,328,2017
Monroe,AR,6081,82,2017
Montgomery,AR,7506,105,2017
Nevada,AR,6761,92,2017
Newton,AR,6506,87,2017
Ouachita,AR,19393,242,2017
Perry,AR,8252,118,2017
Phillips,AR,14947,201,2017
Pike,AR,8733,125,2017
Poinsett,AR,18999,240,2017
Polk,AR,16095,213,2017
Pope,AR,50475,377,2017
Prairie,AR,6820,93,2017
Pulaski,AR,310166,484,2017
Randolph,AR,13841,189,2017
St. Francis,AR,21411,260,2017
Saline,AR,91908,427,2017
Scott,AR,8328,119,2017
Searcy,AR,6499,87,2017
Sebastian,AR,99792,432,2017
Sevier,AR,12791,175,2017
Sharp,AR,13810,188,2017
Stone,AR,10270,145,2017
Union,AR,31312,317,2017
Van Buren,AR,13772,187,2017
Washington,AR,173478,464,2017
White,AR,62133,397,2017
Woodruff,AR,5454,71,2017
Yell,AR,16890,221,2017
Alameda,CA,1321464,508,2017
Alpine,CA,995,7,2017
Amador,CA,32280,322,2017
Butte,CA,184969,467,2017
Calaveras,CA,38241,348,2017
Colusa,CA,16168,214,2017
Contra Costa,CA,892650,506,2017
Del Norte,CA,22188,266,2017
El Dorado,CA,152022,457,2017
Fresno,CA,721274,502,2017
Glenn,CA,21374,259,2017
Humboldt,CA,111972,439,2017
Imperial,CA,133703,450,2017
Inyo,CA,14908,201,2017
Kern,CA,648709,500,2017
Kings,CA,113303,440,2017
Lake,CA,52552,382,2017
Lassen,CA,26937,293,2017
Los Angeles,CA,8102402,511,2017
Madera,CA,116711,441,2017
Marin,CA,213034,471,2017
Mariposa,CA,15105,204,2017
Mendocino,CA,70894,408,2017
Merced,CA,196540,469,2017
Modoc,CA,7506,105,2017
Mono,CA,11575,160,2017
Monterey,CA,330852,486,2017
Napa,CA,114589,440,2017
Nevada,CA,83915,421,2017
Orange,CA,2524230,511,2017
Placer,CA,299851,482,2017
Plumas,CA,16042,211,2017
Riverside,CA,1813707,510,2017
Sacramento,CA,1174131,507,2017
San Benito,CA,44971,366,2017
San Bernardino,CA,1614336,509,2017
San Diego,CA,2636785,511,2017
San Francisco,CA,759471,504,2017
San Joaquin,CA,546782,497,2017
San Luis Obispo,CA,235225,475,2017
San Mateo,CA,618505,499,2017
Santa Barbara,CA,354581,487,2017
Santa Clara,CA,1523304,509,2017
Santa Cruz,CA,225234,473,2017
Shasta,CA,144794,455,2017
Sierra,CA,2490,28,2017
Siskiyou,CA,35786,337,2017
Solano,CA,347462,486,2017
Sonoma,CA,410495,491,2017
Stanislaus,CA,405302,491,2017
Sutter,CA,73233,410,2017
Tehama,CA,49743,375,2017
Trinity,CA,11217,155,2017
Tulare,CA,330467,485,2017
Tuolumne,CA,46043,368,2017
Ventura,CA,669012,501,2017
Yolo,CA,172147,463,2017
Yuba,CA,55880,388,2017
Adams,CO,366838,488,2017
Alamosa,CO,12743,174,2017
Arapahoe,CO,491145,495,2017
Archuleta,CO,10610,147,2017
Baca,CO,2946,35,2017
Bent,CO,4999,64,2017
Boulder,CO,261334,479,2017
Broomfield,CO,50529,378,2017
Chaffee,CO,16260,215,2017
Cheyenne,CO,1520,12,2017
Clear Creek,CO,7947,112,2017
Conejos,CO,6163,83,2017
Costilla,CO,3039,36,2017
Crowley,CO,4874,63,2017
Custer,CO,3872,48,2017
Delta,CO,24779,281,2017
Denver,CO,551538,497,2017
Dolores,CO,1382,11,2017
Douglas,CO,241613,476,2017
Eagle,CO,42899,361,2017
Elbert,CO,19736,245,2017
El Paso,CO,525197,496,2017
Fremont,CO,39920,353,2017
Garfield,CO,44622,365,2017
Gilpin,CO,4816,62,2017
Grand,CO,12526,171,2017
Gunnison,CO,13689,186,2017
Hinsdale,CO,704,4,2017
Huerfano,CO,5517,72,2017
Jackson,CO,1097,8,2017
Jefferson,CO,461843,494,2017
Kiowa,CO,1047,7,2017
Kit Carson,CO,6226,84,2017
Lake,CO,6389,85,2017
La Plata,CO,45268,366,2017
Larimer,CO,271565,480,2017
Las Animas,CO,11856,164,2017
Lincoln,CO,4563,57,2017
Logan,CO,17771,229,2017
Mesa,CO,119449,443,2017
Mineral,CO,756,5,2017
Moffat,CO,10092,142,2017
Montezuma,CO,20547,252,2017
Montrose,CO,32743,325,2017
Morgan,CO,21526,261,2017
Otero,CO,14563,198,2017
Ouray,CO,4057,50,2017
Park,CO,14452,196,2017
Phillips,CO,3347,40,2017
Pitkin,CO,15294,205,2017
Prowers,CO,9359,132,2017
Pueblo,CO,129896,448,2017
Rio Blanco,CO,5133,67,2017
Rio Grande,CO,9130,129,2017
Routt,CO,20454,251,2017
Saguache,CO,5076,65,2017
San Juan,CO,491,1,2017
San Miguel,CO,6504,87,2017
Sedgwick,CO,1897,19,2017
Summit,CO,25507,285,2017
Teller,CO,20019,247,2017
Washington,CO,3862,47,2017
Weld,CO,217015,472,2017
Yuma,CO,7662,109,2017
Fairfield,CT,754693,504,2017
Hartford,CT,729072,503,2017
Litchfield,CT,153976,458,2017
Middlesex,CT,137456,452,2017
New Haven,CT,706271,502,2017
New London,CT,222909,473,2017
Tolland,CT,127926,447,2017
Windham,CT,95788,429,2017
Kent,DE,136783,452,2017
New Castle,DE,447504,493,2017
Sussex,DE,178417,465,2017
District of,,564615,498,2017
Alachua,FL,218222,472,2017
Baker,FL,21516,261,2017
Bay,FL,145705,455,2017
Bradford,FL,21920,264,2017
Brevard,FL,475860,494,2017
Broward,FL,1531882,509,2017
Calhoun,FL,11682,161,2017
Charlotte,FL,153842,458,2017
Citrus,FL,122938,445,2017
Clay,FL,160699,461,2017
Collier,FL,300135,483,2017
Columbia,FL,55304,387,2017
DeSoto,FL,29346,307,2017
Dixie,FL,13636,186,2017
Duval,FL,726124,503,2017
Escambia,FL,251993,478,2017
Flagler,FL,88729,424,2017
Franklin,FL,9942,140,2017
Gadsden,FL,36811,342,2017
Gilchrist,FL,14247,193,2017
Glades,FL,11187,155,2017
Gulf,FL,13839,188,2017
Hamilton,FL,11831,164,2017
Hardee,FL,20817,255,2017
Hendry,FL,29594,308,2017
Hernando,FL,149770,456,2017
Highlands,FL,84633,421,2017
Hillsborough,FL,1074256,507,2017
Holmes,FL,16053,212,2017
Indian River,FL,125409,446,2017
Jackson,FL,40587,354,2017
Jefferson,FL,12059,166,2017
Lafayette,FL,7126,98,2017
Lake,FL,269018,480,2017
Lee,FL,586049,498,2017
Leon,FL,238314,475,2017
Levy,FL,32461,324,2017
Liberty,FL,7059,97,2017
Madison,FL,15366,206,2017
Manatee,FL,302121,483,2017
Marion,FL,286877,481,2017
Martin,FL,132951,449,2017
Miami-Dade,FL,2213272,510,2017
Monroe,FL,66559,403,2017
Nassau,FL,64591,401,2017
Okaloosa,FL,157905,460,2017
Okeechobee,FL,32646,324,2017
Orange,FL,1030605,507,2017
Osceola,FL,253747,478,2017
Palm Beach,FL,1181503,508,2017
Pasco,FL,408742,491,2017
Pinellas,FL,808886,505,2017
Polk,FL,521280,496,2017
Putnam,FL,58455,391,2017
St. Johns,FL,182905,466,2017
St. Lucie,FL,244813,476,2017
Santa Rosa,FL,133938,450,2017
Sarasota,FL,352490,487,2017
Seminole,FL,364534,488,2017
Sumter,FL,109138,438,2017
Suwannee,FL,35502,336,2017
Taylor,FL,18551,236,2017
Union,FL,12768,175,2017
Volusia,FL,436792,493,2017
Wakulla,FL,25878,286,2017
Walton,FL,51774,381,2017
Washington,FL,20202,250,2017
Appling,GA,14387,196,2017
Atkinson,GA,6164,83,2017
Bacon,GA,8625,123,2017
Baker,GA,2679,31,2017
Baldwin,GA,37731,346,2017
Banks,GA,14591,198,2017
Barrow,GA,57012,390,2017
Bartow,GA,80180,417,2017
Ben Hill,GA,13378,182,2017
Berrien,GA,15041,203,2017
Bibb,GA,120059,443,2017
Bleckley,GA,10417,146,2017
Brantley,GA,14385,195,2017
Brooks,GA,12656,173,2017
Bryan,GA,25993,287,2017
Bulloch,GA,60450,394,2017
Burke,GA,17353,226,2017
Butts,GA,19155,241,2017
Calhoun,GA,5456,71,2017
Camden,GA,40630,354,2017
Candler,GA,8450,121,2017
Carroll,GA,90364,425,2017
Catoosa,GA,52304,382,2017
Charlton,GA,10623,147,2017
Chatham,GA,228961,474,2017
Chattahoochee,GA,8736,125,2017
Chattooga,GA,20037,248,2017
Cherokee,GA,182166,466,2017
Clarke,GA,104232,434,2017
Clay,GA,2381,26,2017
Clayton,GA,205046,470,2017
Clinch,GA,5152,67,2017
Cobb,GA,578844,498,2017
Coffee,GA,33664,329,2017
Colquitt,GA,34858,333,2017
Columbia,GA,111009,439,2017
Cook,GA,13308,181,2017
Coweta,GA,107040,436,2017
Crawford,GA,10059,142,2017
Crisp,GA,17945,231,2017
Dade,GA,13585,185,2017
Dawson,GA,19070,241,2017
Decatur,GA,21055,256,2017
DeKalb,GA,579964,498,2017
Dodge,GA,17251,225,2017
Dooly,GA,11829,164,2017
Dougherty,GA,71427,408,2017
Douglas,GA,107566,437,2017
Early,GA,8184,117,2017
Echols,GA,2999,35,2017
Effingham,GA,43397,361,2017
Elbert,GA,15591,207,2017
Emanuel,GA,17387,226,2017
Evans,GA,8137,116,2017
Fannin,GA,20750,254,2017
Fayette,GA,88057,424,2017
Floyd,GA,76229,413,2017
Forsyth,GA,157855,460,2017
Franklin,GA,18034,232,2017
Fulton,GA,804909,505,2017
Gilmer,GA,24417,279,2017
Glascock,GA,2411,27,2017
Glynn,GA,66526,403,2017
Gordon,GA,44061,363,2017
Grady,GA,19299,241,2017
Greene,GA,13813,188,2017
Gwinnett,GA,672871,501,2017
Habersham,GA,35107,334,2017
Hall,GA,148088,456,2017
Hancock,GA,7485,105,2017
Haralson,GA,22587,269,2017
Harris,GA,26773,292,2017
Hart,GA,20720,254,2017
Heard,GA,9213,130,2017
Henry,GA,167117,462,2017
Houston,GA,115466,440,2017
Irwin,GA,7491,105,2017
Jackson,GA,49205,375,2017
Jasper,GA,10750,148,2017
Jeff Davis,GA,11255,155,2017
Jefferson,GA,12549,171,2017
Jenkins,GA,7024,96,2017
Johnson,GA,8034,114,2017
Jones,GA,22614,269,2017
Lamar,GA,15005,202,2017
Lanier,GA,7983,113,2017
Laurens,GA,36880,342,2017
Lee,GA,22336,267,2017
Liberty,GA,45883,368,2017
Lincoln,GA,6469,86,2017
Long,GA,13073,179,2017
Lowndes,GA,89366,425,2017
Lumpkin,GA,26488,291,2017
McDuffie,GA,16473,217,2017
McIntosh,GA,11902,165,2017
Macon,GA,11358,157,2017
Madison,GA,22724,270,2017
Marion,GA,6896,95,2017
Meriwether,GA,17039,223,2017
Miller,GA,4694,59,2017
Mitchell,GA,17801,230,2017
Monroe,GA,22028,265,2017
Montgomery,GA,7241,100,2017
Morgan,GA,14327,195,2017
Murray,GA,30582,313,2017
Muscogee,GA,154647,459,2017
Newton,GA,80489,417,2017
Oconee,GA,27619,297,2017
Oglethorpe,GA,11799,163,2017
Paulding,GA,115598,440,2017
Peach,GA,21826,263,2017
Pickens,GA,24735,281,2017
Pierce,GA,14876,200,2017
Pike,GA,14253,194,2017
Polk,GA,32032,321,2017
Pulaski,GA,9849,138,2017
Putnam,GA,17539,227,2017
Quitman,GA,1803,17,2017
Rabun,GA,13918,189,2017
Randolph,GA,5607,73,2017
Richmond,GA,159145,460,2017
Rockdale,GA,68711,406,2017
Schley,GA,4035,49,2017
Screven,GA,11323,156,2017
Seminole,GA,6949,96,2017
Spalding,GA,50215,376,2017
Stephens,GA,20541,252,2017
Stewart,GA,5123,66,2017
Sumter,GA,24211,279,2017
Talbot,GA,5479,71,2017
Taliaferro,GA,1590,14,2017
Tattnall,GA,20774,254,2017
Taylor,GA,6775,93,2017
Telfair,GA,13748,187,2017
Terrell,GA,7108,98,2017
Thomas,GA,35204,335,2017
Tift,GA,31398,318,2017
Toombs,GA,20663,254,2017
Towns,GA,9879,139,2017
Treutlen,GA,5440,71,2017
Troup,GA,53875,384,2017
Turner,GA,6292,85,2017
Twiggs,GA,6871,94,2017
Union,GA,19024,240,2017
Upson,GA,21092,256,2017
Walker,GA,55155,386,2017
Walton,GA,68621,405,2017
Ware,GA,28197,300,2017
Warren,GA,4397,54,2017
Washington,GA,16394,217,2017
Wayne,GA,23287,273,2017
Webster,GA,2101,22,2017
Wheeler,GA,6764,92,2017
White,GA,23383,274,2017
Whitfield,GA,79496,416,2017
Wilcox,GA,7349,103,2017
Wilkes,GA,8141,116,2017
Wilkinson,GA,7253,101,2017
Worth,GA,16519,218,2017
Hawaii,HI,157779,460,2017
Honolulu,HI,799878,504,2017
Kalawao,HI,84,0,2017
Kauai,HI,57037,390,2017
Maui,HI,131136,448,2017
Ada,ID,339996,486,2017
Adams,ID,3359,40,2017
Bannock,ID,64109,400,2017
Bear Lake,ID,4524,57,2017
Benewah,ID,7246,100,2017
Bingham,ID,32419,323,2017
Blaine,ID,17228,224,2017
Boise,ID,5919,79,2017
Bonner,ID,34439,332,2017
Bonneville,ID,79518,416,2017
Boundary,ID,9034,128,2017
Butte,ID,2140,23,2017
Camas,ID,685,4,2017
Canyon,ID,152326,457,2017
Caribou,ID,5052,65,2017
Cassia,ID,16590,219,2017
Clark,ID,741,5,2017
Clearwater,ID,7317,102,2017
Custer,ID,3635,44,2017
Elmore,ID,19998,247,2017
Franklin,ID,9203,129,2017
Fremont,ID,9779,137,2017
Gem,ID,13499,183,2017
Gooding,ID,11439,158,2017
Idaho,ID,13448,183,2017
Jefferson,ID,19011,240,2017
Jerome,ID,16526,218,2017
Kootenai,ID,118783,442,2017
Latah,ID,32324,322,2017
Lemhi,ID,6558,88,2017
Lewis,ID,3042,36,2017
Lincoln,ID,3806,46,2017
Madison,ID,28805,304,2017
Minidoka,ID,15142,204,2017
Nez Perce,ID,32375,323,2017
Oneida,ID,3193,38,2017
Owyhee,ID,8711,125,2017
Payette,ID,17312,225,2017
Power,ID,5530,72,2017
Shoshone,ID,10366,146,2017
Teton,ID,8079,115,2017
Twin Falls,ID,61787,396,2017
Valley,ID,8420,120,2017
Washington,ID,7949,113,2017
Adams,IL,53428,383,2017
Alexander,IL,5282,69,2017
Bond,IL,14191,193,2017
Boone,IL,41261,356,2017
Brown,IL,5878,79,2017
Bureau,IL,27107,295,2017
Calhoun,IL,4009,49,2017
Carroll,IL,12176,167,2017
Cass,IL,10120,143,2017
Champaign,IL,173003,463,2017
Christian,IL,27395,296,2017
Clark,IL,12708,174,2017
Clay,IL,10778,149,2017
Clinton,IL,30582,313,2017
Coles,IL,44229,364,2017
Cook,IL,4195610,511,2017
Crawford,IL,15845,210,2017
Cumberland,IL,8704,124,2017
DeKalb,IL,84004,421,2017
De Witt,IL,13090,179,2017
Douglas,IL,15399,206,2017
DuPage,IL,741374,503,2017
Edgar,IL,14341,195,2017
Edwards,IL,5232,68,2017
Effingham,IL,26890,293,2017
Fayette,IL,17939,231,2017
Ford,IL,10764,149,2017
Franklin,IL,31621,319,2017
Fulton,IL,29471,307,2017
Gallatin,IL,4210,52,2017
Greene,IL,10818,150,2017
Grundy,IL,38855,349,2017
Hamilton,IL,6632,89,2017
Hancock,IL,14809,199,2017
Hardin,IL,3528,42,2017
Henderson,IL,5805,77,2017
Henry,IL,39799,352,2017
Iroquois,IL,22940,271,2017
Jackson,IL,49469,375,2017
Jasper,IL,7658,108,2017
Jefferson,IL,30678,314,2017
Jersey,IL,18058,232,2017
Jo Daviess,IL,18388,235,2017
Johnson,IL,10893,151,2017
Kane,IL,405046,490,2017
Kankakee,IL,87482,423,2017
Kendall,IL,90686,426,2017
Knox,IL,42434,359,2017
Lake,IL,549765,497,2017
LaSalle,IL,89795,425,2017
Lawrence,IL,13623,186,2017
Lee,IL,28594,304,2017
Livingston,IL,29742,309,2017
Logan,IL,24546,280,2017
McDonough,IL,26929,293,2017
McHenry,IL,242245,476,2017
McLean,IL,139450,453,2017
Macon,IL,86235,422,2017
Macoupin,IL,37300,345,2017
Madison,IL,213994,472,2017
Marion,IL,30446,312,2017
Marshall,IL,9824,138,2017
Mason,IL,11338,157,2017
Massac,IL,11719,162,2017
Menard,IL,9967,140,2017
Mercer,IL,12774,175,2017
Monroe,IL,27009,294,2017
Montgomery,IL,24076,278,2017
Morgan,IL,28483,303,2017
Moultrie,IL,11421,158,2017
Ogle,IL,41177,356,2017
Peoria,IL,146373,456,2017
Perry,IL,17855,230,2017
Piatt,IL,13214,180,2017
Pike,IL,12753,175,2017
Pope,IL,3723,45,2017
Pulaski,IL,4593,58,2017
Putnam,IL,4772,61,2017
Randolph,IL,27156,295,2017
Richland,IL,12799,175,2017
Rock Island,IL,117081,441,2017
St. Clair,IL,208680,471,2017
Saline,IL,19711,245,2017
Sangamon,IL,158182,460,2017
Schuyler,IL,6024,81,2017
Scott,IL,4105,51,2017
Shelby,IL,17799,230,2017
Stark,IL,4489,56,2017
Stephenson,IL,37027,344,2017
Tazewell,IL,107082,436,2017
Union,IL,13947,190,2017
Vermilion,IL,62372,397,2017
Wabash,IL,9274,131,2017
Warren,IL,14055,191,2017
Washington,IL,11486,159,2017
Wayne,IL,13190,180,2017
White,IL,11379,158,2017
Whiteside,IL,45519,367,2017
Will,IL,530285,496,2017
Williamson,IL,54057,385,2017
Winnebago,IL,227253,473,2017
Woodford,IL,30577,313,2017
Adams,IN,25140,283,2017
Allen,IN,282242,481,2017
Bartholomew,IN,63671,399,2017
Benton,IN,6764,92,2017
Blackford,IN,9913,139,2017
Boone,IN,47958,373,2017
Brown,IN,12645,172,2017
Carroll,IN,16008,211,2017
Cass,IN,30475,312,2017
Clark,IN,91602,427,2017
Clay,IN,20903,255,2017
Clinton,IN,24863,282,2017
Crawford,IN,8559,122,2017
Daviess,IN,24213,279,2017
Dearborn,IN,39452,351,2017
Decatur,IN,20775,254,2017
DeKalb,IN,33280,327,2017
Delaware,IN,96707,429,2017
Dubois,IN,33167,326,2017
Elkhart,IN,152334,458,2017
Fayette,IN,18880,238,2017
Floyd,IN,60790,394,2017
Fountain,IN,13292,181,2017
Franklin,IN,18007,232,2017
Fulton,IN,16009,211,2017
Gibson,IN,26659,292,2017
Grant,IN,55080,386,2017
Greene,IN,26096,288,2017
Hamilton,IN,231512,474,2017
Hancock,IN,57538,390,2017
Harrison,IN,31582,319,2017
Hendricks,IN,122198,444,2017
Henry,IN,39912,352,2017
Howard,IN,65980,402,2017
Huntington,IN,29425,307,2017
Jackson,IN,34244,331,2017
Jasper,IN,26387,290,2017
Jay,IN,16301,216,2017
Jefferson,IN,26597,291,2017
Jennings,IN,22156,266,2017
Johnson,IN,115892,440,2017
Knox,IN,30803,315,2017
Kosciusko,IN,61649,396,2017
LaGrange,IN,27215,296,2017
Lake,IN,384877,489,2017
LaPorte,IN,89517,425,2017
Lawrence,IN,36757,342,2017
Madison,IN,104437,434,2017
Marion,IN,730165,503,2017
Marshall,IN,36164,340,2017
Martin,IN,8176,117,2017
Miami,IN,29201,306,2017
Monroe,IN,124110,446,2017
Montgomery,IN,30401,312,2017
Morgan,IN,55402,387,2017
Newton,IN,11415,158,2017
Noble,IN,36823,342,2017
Ohio,IN,4875,63,2017
Orange,IN,15574,207,2017
Owen,IN,16971,222,2017
Parke,IN,13787,187,2017
Perry,IN,15562,207,2017
Pike,IN,10001,141,2017
Porter,IN,134263,450,2017
Posey,IN,20625,253,2017
Pulaski,IN,10235,144,2017
Putnam,IN,31061,316,2017
Randolph,IN,20076,248,2017
Ripley,IN,22491,268,2017
Rush,IN,13358,182,2017
St. Joseph,IN,211358,471,2017
Scott,IN,18863,238,2017
Shelby,IN,35210,335,2017
Spencer,IN,16538,218,2017
Starke,IN,18297,234,2017
Steuben,IN,28189,300,2017
Sullivan,IN,17175,223,2017
Switzerland,IN,8241,118,2017
Tippecanoe,IN,151543,457,2017
Tipton,IN,12548,171,2017
Union,IN,5847,78,2017
Vanderburgh,IN,146253,455,2017
Vermillion,IN,12659,173,2017
Vigo,IN,88039,424,2017
Wabash,IN,26012,287,2017
Warren,IN,6649,90,2017
Warrick,IN,48258,373,2017
Washington,IN,21964,264,2017
Wayne,IN,53898,384,2017
Wells,IN,21724,262,2017
White,IN,19277,241,2017
Whitley,IN,26599,291,2017
Adair,IA,5810,78,2017
Adams,IA,3087,37,2017
Allamakee,IA,11106,153,2017
Appanoose,IA,10061,142,2017
Audubon,IA,4710,60,2017
Benton,IA,20236,250,2017
Black Hawk,IA,107149,436,2017
Boone,IA,21294,259,2017
Bremer,IA,19994,247,2017
Buchanan,IA,16010,211,2017
Buena Vista,IA,15679,208,2017
Butler,IA,11747,162,2017
Calhoun,IA,7933,112,2017
Carroll,IA,15879,210,2017
Cass,IA,10678,148,2017
Cedar,IA,14655,199,2017
Cerro Gordo,IA,35401,336,2017
Cherokee,IA,9359,132,2017
Chickasaw,IA,9618,135,2017
Clarke,IA,7273,101,2017
Clay,IA,13041,178,2017
Clayton,IA,14279,194,2017
Clinton,IA,37974,347,2017
Crawford,IA,13261,180,2017
Dallas,IA,60395,394,2017
Davis,IA,6515,88,2017
Decatur,IA,6591,89,2017
Delaware,IA,13683,186,2017
Des Moines,IA,31760,320,2017
Dickinson,IA,14192,193,2017
Dubuque,IA,76878,414,2017
Emmet,IA,7857,111,2017
Fayette,IA,16360,217,2017
Floyd,IA,12710,174,2017
Franklin,IA,8196,118,2017
Fremont,IA,5627,74,2017
Greene,IA,7300,102,2017
Grundy,IA,9780,137,2017
Guthrie,IA,8539,122,2017
Hamilton,IA,12096,166,2017
Hancock,IA,8827,126,2017
Hardin,IA,14005,191,2017
Harrison,IA,11370,157,2017
Henry,IA,15918,210,2017
Howard,IA,7218,100,2017
Humboldt,IA,7573,107,2017
Ida,IA,5536,73,2017
Iowa,IA,12879,177,2017
Jackson,IA,15713,209,2017
Jasper,IA,29496,308,2017
Jefferson,IA,14967,201,2017
Johnson,IA,118086,442,2017
Jones,IA,16520,218,2017
Keokuk,IA,8161,117,2017
Kossuth,IA,12204,168,2017
Lee,IA,28106,299,2017
Linn,IA,173717,464,2017
Louisa,IA,8940,127,2017
Lucas,IA,6924,95,2017
Lyon,IA,8763,125,2017
Madison,IA,12115,167,2017
Mahaska,IA,17522,227,2017
Marion,IA,26112,288,2017
Marshall,IA,31422,318,2017
Mills,IA,11821,163,2017
Mitchell,IA,8402,120,2017
Monona,IA,7283,101,2017
Monroe,IA,6182,83,2017
Montgomery,IA,8243,118,2017
Muscatine,IA,33275,327,2017
O'Brien,IA,11090,153,2017
Osceola,IA,4851,62,2017
Page,IA,12746,175,2017
Palo Alto,IA,7299,102,2017
Plymouth,IA,19555,243,2017
Pocahontas,IA,5615,74,2017
