county,state,population,populationBucket,year
Autauga,AL,42974,361,2017
Baldwin,AL,163759,461,2017
Barbour,AL,21241,258,2017
Bibb,AL,18415,235,2017
Blount,AL,45924,368,2017
Bullock,AL,8517,121,2017
Butler,AL,16078,212,2017
Calhoun,AL,93148,428,2017
Chambers,AL,27447,297,2017
Cherokee,AL,21387,260,2017
Chilton,AL,34509,332,2017
Choctaw,AL,10850,150,2017
Clarke,AL,19863,246,2017
Clay,AL,10878,151,2017
Cleburne,AL,11843,164,2017
Coffee,AL,40416,354,2017
Colbert,AL,44236,364,2017
Conecuh,AL,10118,143,2017
Coosa,AL,9295,131,2017
Covington,AL,30269,311,2017
Crenshaw,AL,11123,154,2017
Cullman,AL,65472,402,2017
Dale,AL,39173,350,2017
Dallas,AL,31802,320,2017
DeKalb,AL,55678,387,2017
Elmore,AL,64931,401,2017
Escambia,AL,30205,311,2017
Etowah,AL,83397,420,2017
Fayette,AL,13535,184,2017
Franklin,AL,24597,280,2017
Geneva,AL,21448,261,2017
Greene,AL,6681,90,2017
Hale,AL,12000,166,2017
Henry,AL,13972,190,2017
Houston,AL,82515,419,2017
Jackson,AL,42482,359,2017
Jefferson,AL,524242,496,2017
Lamar,AL,11279,156,2017
Lauderdale,AL,76051,412,2017
Lawrence,AL,26846,293,2017
Lee,AL,126616,447,2017
Limestone,AL,73004,409,2017
Lowndes,AL,8151,117,2017
Macon,AL,16305,216,2017
Madison,AL,283489,481,2017
Marengo,AL,15822,209,2017
Marion,AL,24401,279,2017
Marshall,AL,73909,411,2017
Mobile,AL,326953,485,2017
Monroe,AL,17228,224,2017
Montgomery,AL,179373,465,2017
Morgan,AL,94892,428,2017
Perry,AL,7801,110,2017
Pickens,AL,16554,219,2017
Pike,AL,27498,297,2017
Randolph,AL,18119,233,2017
Russell,AL,45502,367,2017
St. Clair,AL,69004,406,2017
Shelby,AL,164092,461,2017
Sumter,AL,10788,149,2017
Talladega,AL,65310,402,2017
Tallapoosa,AL,33010,326,2017
Tuscaloosa,AL,165890,462,2017
Walker,AL,52131,381,2017
Washington,AL,13555,184,2017
Wilcox,AL,8560,122,2017
Winston,AL,19583,244,2017
Aleutians East,AK,2947,35,2017
Aleutians West,AK,4892,63,2017
Anchorage,AK,231729,474,2017
Bethel,AK,12200,167,2017
Bristol Bay,AK,740,4,2017
Denali,AK,2023,21,2017
Dillingham,AK,3601,44,2017
Fairbanks North Star,AK,78105,415,2017
Haines,AK,2078,22,2017
Hoonah-Angoon,AK,1831,18,2017
Juneau City,AK,26154,289,2017
Kenai Peninsula,AK,46161,369,2017
Ketchikan Gateway,AK,10963,152,2017
Kodiak,AK,10482,146,2017
Kusilvak,AK,5233,68,2017
Lake and Peninsula,AK,987,7,2017
Matanuska-Susitna,AK,76585,413,2017
Nome,AK,6852,94,2017
North Slope,AK,7551,106,2017
Northwest Arctic,AK,5300,69,2017
Petersburg,AK,2608,30,2017
Prince of Wales-Hyder,AK,5103,66,2017
Sitka City,AK,7106,97,2017
Skagway,AK,924,6,2017
Southeast Fairbanks,AK,5214,68,2017
Valdez-Cordova,AK,7371,103,2017
Wrangell City,AK,2060,22,2017
Yakutat City,AK,548,2,2017
Yukon-Koyukuk,AK,4105,51,2017
Apache,AZ,53700,384,2017
Cochise,AZ,101372,432,2017
Coconino,AZ,112345,439,2017
Gila,AZ,43414,362,2017
Graham,AZ,28550,303,2017
Greenlee,AZ,7011,96,2017
