county,state,percentCollege,percentCollegeBucket,year
Autauga,AL,25,383,2017
Baldwin,AL,30.7,440,2017
Barbour,AL,12,49,2017
Bibb,AL,13.2,83,2017
Blount,AL,13.1,80,2017
Bullock,AL,13.4,88,2017
Butler,AL,16.1,170,2017
Calhoun,AL,17.9,222,2017
Chambers,AL,13.3,85,2017
Cherokee,AL,12.5,64,2017
Chilton,AL,15.1,137,2017
Choctaw,AL,11.6,42,2017
Clarke,AL,13,78,2017
Clay,AL,10.3,21,2017
Cleburne,AL,12.4,60,2017
Coffee,AL,22.7,348,2017
Colbert,AL,18.8,249,2017
Conecuh,AL,8.8,7,2017
Coosa,AL,11,30,2017
Covington,AL,15.5,151,2017
Crenshaw,AL,16.3,177,2017
Cullman,AL,14.9,131,2017
Dale,AL,16.8,190,2017
Dallas,AL,14.2,109,2017
DeKalb,AL,13,78,2017
Elmore,AL,22.8,350,2017
Escambia,AL,12.1,53,2017
Etowah,AL,16.9,192,2017
Fayette,AL,14.6,123,2017
Franklin,AL,13.4,88,2017
Geneva,AL,11.1,32,2017
Greene,AL,11.4,39,2017
Hale,AL,14.4,116,2017
Henry,AL,17.1,198,2017
Houston,AL,20.9,310,2017
Jackson,AL,13.4,88,2017
Jefferson,AL,31.9,451,2017
Lamar,AL,13.3,85,2017
Lauderdale,AL,22.5,341,2017
Lawrence,AL,10.2,19,2017
Lee,AL,34.9,469,2017
Limestone,AL,24.6,379,2017
Lowndes,AL,13.7,96,2017
Macon,AL,20.1,287,2017
Madison,AL,40.6,489,2017
Marengo,AL,15.4,147,2017
Marion,AL,13.4,88,2017
Marshall,AL,17.7,216,2017
Mobile,AL,23,354,2017
Monroe,AL,12.5,64,2017
Montgomery,AL,32.3,454,2017
Morgan,AL,20.9,310,2017
Perry,AL,16.9,192,2017
Pickens,AL,11.8,46,2017
Pike,AL,24.7,380,2017
Randolph,AL,14.6,123,2017
Russell,AL,16.9,192,2017
St. Clair,AL,16,167,2017
Shelby,AL,42.2,493,2017
Sumter,AL,18.2,232,2017
Talladega,AL,13.6,93,2017
Tallapoosa,AL,18.2,232,2017
Tuscaloosa,AL,30.2,436,2017
Walker,AL,11.1,32,2017
Washington,AL,10.7,25,2017
Wilcox,AL,12,49,2017
Winston,AL,12.9,74,2017
Aleutians East,AK,11.5,40,2017
Aleutians West,AK,16.2,174,2017
Anchorage,AK,34.6,467,2017
Bethel,AK,12.6,67,2017
Bristol Bay,AK,20.3,294,2017
Denali,AK,44.5,496,2017
Dillingham,AK,17.4,209,2017
Fairbanks North Star,AK,33.1,458,2017
Haines,AK,34.7,468,2017
Hoonah-Angoon,AK,21.9,329,2017
Juneau City,AK,40.3,487,2017
Kenai Peninsula,AK,24.1,373,2017
Ketchikan Gateway,AK,24.1,373,2017
Kodiak,AK,24.1,373,2017
Kusilvak,AK,4.9,0,2017
Lake and Peninsula,AK,16,167,2017
Matanuska-Susitna,AK,20.6,301,2017
Nome,AK,14,104,2017
North Slope,AK,15.3,144,2017
Northwest Arctic,AK,10.8,27,2017
Petersburg,AK,26.5,401,2017
Prince of Wales-Hyder,AK,16.8,190,2017
Sitka City,AK,32.9,458,2017
Skagway,AK,32.2,453,2017
Southeast Fairbanks,AK,19.5,270,2017
Valdez-Cordova,AK,32.7,456,2017
Wrangell City,AK,19.4,267,2017
Yakutat City,AK,19.6,273,2017
Yukon-Koyukuk,AK,12.4,60,2017
Apache,AZ,11.5,40,2017
Cochise,AZ,23.6,364,2017
Coconino,AZ,35.4,472,2017
Gila,AZ,19,255,2017
Graham,AZ,14.1,107,2017
Greenlee,AZ,12.1,53,2017
La Paz,AZ,11.2,34,2017
Maricopa,AZ,31.4,447,2017
Mohave,AZ,12.3,57,2017
Navajo,AZ,15.5,151,2017
Pima,AZ,31.6,449,2017
Pinal,AZ,18.6,243,2017
Santa Cruz,AZ,22.1,334,2017
Yavapai,AZ,25,383,2017
Yuma,AZ,14.3,112,2017
Arkansas,AR,14.1,107,2017
Ashley,AR,13.4,88,2017
Baxter,AR,18.4,236,2017
Benton,AR,31.7,449,2017
Boone,AR,16.2,174,2017
Bradley,AR,14.4,116,2017
Calhoun,AR,12.3,57,2017
Carroll,AR,19.3,264,2017
Chicot,AR,13.2,83,2017
Clark,AR,26.4,399,2017
Clay,AR,10.7,25,2017
Cleburne,AR,15.9,164,2017
Cleveland,AR,17,196,2017
Columbia,AR,21.5,322,2017
Conway,AR,15.8,160,2017
Craighead,AR,26.5,401,2017
Crawford,AR,14.5,120,2017
Crittenden,AR,16.9,192,2017
Cross,AR,13.8,99,2017
Dallas,AR,14.1,107,2017
Desha,AR,12.6,67,2017
Drew,AR,18.5,240,2017
Faulkner,AR,29.7,431,2017
Franklin,AR,11.3,35,2017
Fulton,AR,12.1,53,2017
Garland,AR,20.1,287,2017
Grant,AR,19,255,2017
Greene,AR,16.1,170,2017
Hempstead,AR,13.1,80,2017
Hot Spring,AR,13.8,99,2017
Howard,AR,15.3,144,2017
Independence,AR,18,224,2017
Izard,AR,12.9,74,2017
Jackson,AR,9.2,11,2017
Jefferson,AR,16.8,190,2017
Johnson,AR,15.7,156,2017
Lafayette,AR,15,135,2017
Lawrence,AR,15.5,151,2017
Lee,AR,8.4,5,2017
Lincoln,AR,7.9,3,2017
Little River,AR,10.3,21,2017
Logan,AR,12,49,2017
Lonoke,AR,20.1,287,2017
Madison,AR,11.6,42,2017
Marion,AR,16,167,2017
Miller,AR,15.8,160,2017
Mississippi,AR,12.2,55,2017
Monroe,AR,9.3,12,2017
Montgomery,AR,12.3,57,2017
Nevada,AR,17,196,2017
Newton,AR,15.7,156,2017
Ouachita,AR,15.3,144,2017
Perry,AR,12.9,74,2017
