county,state,percentCollege,percentCollegeBucket,year
Phillips,AR,11.3,35,2017
Pike,AR,14.9,131,2017
Poinsett,AR,9.8,16,2017
Polk,AR,12.5,64,2017
Pope,AR,22.2,336,2017
Prairie,AR,13.8,99,2017
Pulaski,AR,33.7,462,2017
Randolph,AR,14.5,120,2017
St. Francis,AR,9.5,13,2017
Saline,AR,25.5,388,2017
Scott,AR,10.2,19,2017
Searcy,AR,13.1,80,2017
Sebastian,AR,19,255,2017
Sevier,AR,10.6,24,2017
Sharp,AR,10.5,23,2017
Stone,AR,13.4,88,2017
Union,AR,20.1,287,2017
Van Buren,AR,12.9,74,2017
Washington,AR,31.9,451,2017
White,AR,20.8,307,2017
Woodruff,AR,11.4,39,2017
Yell,AR,13.7,96,2017
Alameda,CA,44.7,496,2017
Alpine,CA,25.6,390,2017
Amador,CA,22.1,334,2017
Butte,CA,26.6,402,2017
Calaveras,CA,19.3,264,2017
Colusa,CA,15.7,156,2017
Contra Costa,CA,40.7,489,2017
Del Norte,CA,14.4,116,2017
El Dorado,CA,33.3,460,2017
Fresno,CA,20.1,287,2017
Glenn,CA,13,78,2017
Humboldt,CA,29.4,428,2017
Imperial,CA,14.3,112,2017
Inyo,CA,25.3,386,2017
Kern,CA,15.8,160,2017
Kings,CA,13,78,2017
Lake,CA,15.3,144,2017
Lassen,CA,12.4,60,2017
Los Angeles,CA,31.2,446,2017
Madera,CA,13.8,99,2017
Marin,CA,57.5,509,2017
Mariposa,CA,24.4,376,2017
Mendocino,CA,24.8,381,2017
Merced,CA,13.8,99,2017
Modoc,CA,16.6,184,2017
Mono,CA,31.5,449,2017
Monterey,CA,23.9,370,2017
Napa,CA,34.6,467,2017
Nevada,CA,35.8,473,2017
Orange,CA,39.1,484,2017
Placer,CA,37.5,479,2017
Plumas,CA,22.6,344,2017
Riverside,CA,21.5,322,2017
Sacramento,CA,29.9,433,2017
San Benito,CA,19.2,262,2017
San Bernardino,CA,19.8,280,2017
San Diego,CA,37.4,478,2017
San Francisco,CA,55.8,509,2017
San Joaquin,CA,18.1,229,2017
San Luis Obispo,CA,34,464,2017
San Mateo,CA,48.5,503,2017
Santa Barbara,CA,33.3,460,2017
Santa Clara,CA,50,504,2017
Santa Cruz,CA,39.8,486,2017
Shasta,CA,21.4,319,2017
Sierra,CA,21.4,319,2017
Siskiyou,CA,22.7,348,2017
Solano,CA,25.6,390,2017
Sonoma,CA,33.8,463,2017
Stanislaus,CA,16.7,186,2017
Sutter,CA,17.5,211,2017
Tehama,CA,14.4,116,2017
Trinity,CA,19.5,270,2017
Tulare,CA,13.8,99,2017
Tuolumne,CA,20.6,301,2017
Ventura,CA,32.6,456,2017
Yolo,CA,40.6,489,2017
Yuba,CA,16.4,179,2017
Adams,CO,23.1,355,2017
Alamosa,CO,26.2,397,2017
Arapahoe,CO,41.6,491,2017
Archuleta,CO,37,477,2017
Baca,CO,21.4,319,2017
Bent,CO,10.3,21,2017
Boulder,CO,60.4,510,2017
Broomfield,CO,53.4,507,2017
Chaffee,CO,32.4,455,2017
Cheyenne,CO,21.9,329,2017
Clear Creek,CO,46.4,499,2017
Conejos,CO,19.2,262,2017
Costilla,CO,20.9,310,2017
Crowley,CO,8.1,4,2017
Custer,CO,33.3,460,2017
Delta,CO,19.4,267,2017
Denver,CO,46.5,500,2017
Dolores,CO,19.8,280,2017
Douglas,CO,58,510,2017
Eagle,CO,45.1,497,2017
Elbert,CO,35,470,2017
El Paso,CO,37.3,478,2017
Fremont,CO,17.1,198,2017
Garfield,CO,30.2,436,2017
Gilpin,CO,36.6,476,2017
Grand,CO,38.4,481,2017
Gunnison,CO,53.7,507,2017
Hinsdale,CO,40.8,489,2017
Huerfano,CO,23.6,364,2017
Jackson,CO,16.5,181,2017
Jefferson,CO,43.1,494,2017
Kiowa,CO,21,312,2017
Kit Carson,CO,15.8,160,2017
Lake,CO,31.2,446,2017
La Plata,CO,43.1,494,2017
Larimer,CO,45.9,499,2017
Las Animas,CO,20.2,290,2017
Lincoln,CO,13.2,83,2017
Logan,CO,19,255,2017
Mesa,CO,27.2,410,2017
Mineral,CO,39.3,484,2017
Moffat,CO,17.2,201,2017
Montezuma,CO,28,417,2017
Montrose,CO,23.4,360,2017
Morgan,CO,17.2,201,2017
Otero,CO,17.7,216,2017
Ouray,CO,49.4,503,2017
Park,CO,28.5,422,2017
Phillips,CO,21.6,324,2017
Pitkin,CO,61.2,511,2017
Prowers,CO,16,167,2017
Pueblo,CO,21.7,326,2017
Rio Blanco,CO,20.9,310,2017
Rio Grande,CO,23.7,366,2017
Routt,CO,51.6,506,2017
Saguache,CO,26,395,2017
San Juan,CO,29.8,432,2017
San Miguel,CO,54.1,508,2017
Sedgwick,CO,20.8,307,2017
Summit,CO,47.8,501,2017
Teller,CO,34.1,465,2017
Washington,CO,16.6,184,2017
Weld,CO,27,408,2017
Yuma,CO,21,312,2017
Fairfield,CT,46.5,500,2017
Hartford,CT,37.4,478,2017
Litchfield,CT,35,470,2017
Middlesex,CT,40.8,489,2017
New Haven,CT,34.6,467,2017
New London,CT,32.9,458,2017
Tolland,CT,39.7,485,2017
Windham,CT,24.4,376,2017
Kent,DE,23.5,362,2017
New Castle,DE,35.7,473,2017
Sussex,DE,25.1,384,2017
District of,,56.6,509,2017
Alachua,FL,41.4,490,2017
Baker,FL,13.1,80,2017
Bay,FL,22.4,340,2017
Bradford,FL,10.4,21,2017
Brevard,FL,28.4,421,2017
Broward,FL,31.5,449,2017
Calhoun,FL,9.6,14,2017
Charlotte,FL,22.4,340,2017
Citrus,FL,17.8,220,2017
Clay,FL,23.7,366,2017
Collier,FL,34.9,469,2017
Columbia,FL,16.4,179,2017
DeSoto,FL,11.5,40,2017
Dixie,FL,9.1,10,2017
Duval,FL,28.7,423,2017
Escambia,FL,26,395,2017
Flagler,FL,23.6,364,2017
Franklin,FL,18.4,236,2017
Gadsden,FL,16.3,177,2017
Gilchrist,FL,12.4,60,2017
Glades,FL,10.9,28,2017
Gulf,FL,18.5,240,2017
Hamilton,FL,10.2,19,2017
Hardee,FL,10.5,23,2017
Hendry,FL,8.4,5,2017
Hernando,FL,17.1,198,2017
Highlands,FL,17.1,198,2017
Hillsborough,FL,32,452,2017
Holmes,FL,11.5,40,2017
Indian River,FL,27.8,415,2017
Jackson,FL,14,104,2017
Jefferson,FL,21.2,317,2017
Lafayette,FL,14,104,2017
Lake,FL,22.4,340,2017
Lee,FL,27.2,410,2017
Leon,FL,45.5,497,2017
Levy,FL,11.9,48,2017
Liberty,FL,11.1,32,2017
Madison,FL,12.5,64,2017
Manatee,FL,29.1,426,2017
Marion,FL,19.4,267,2017
Martin,FL,32.3,454,2017
Miami-Dade,FL,27.8,415,2017
Monroe,FL,31.8,450,2017
Nassau,FL,27.2,410,2017
Okaloosa,FL,29.8,432,2017
Okeechobee,FL,11,30,2017
Orange,FL,32.7,456,2017
Osceola,FL,19,255,2017
Palm Beach,FL,34.8,469,2017
Pasco,FL,22.7,348,2017
Pinellas,FL,30.1,435,2017
Polk,FL,19.5,270,2017
Putnam,FL,12.5,64,2017
St. Johns,FL,43,494,2017
St. Lucie,FL,19.6,273,2017
Santa Rosa,FL,27.1,409,2017
Sarasota,FL,33.9,463,2017
Seminole,FL,37.6,479,2017
Sumter,FL,30.9,443,2017
Suwannee,FL,13.7,96,2017
Taylor,FL,8.6,6,2017
Union,FL,8.3,5,2017
Volusia,FL,22.7,348,2017
Wakulla,FL,17.8,220,2017
Walton,FL,26.7,404,2017
Washington,FL,11.3,35,2017
Appling,GA,11.5,40,2017
Atkinson,GA,8.2,4,2017
Bacon,GA,11.8,46,2017
Baker,GA,11,30,2017
Baldwin,GA,19.4,267,2017
Banks,GA,11.9,48,2017
Barrow,GA,17.3,205,2017
Bartow,GA,19.4,267,2017
Ben Hill,GA,10.2,19,2017
Berrien,GA,11.7,44,2017
Bibb,GA,25.4,387,2017
Bleckley,GA,17.2,201,2017
Brantley,GA,7.8,3,2017
Brooks,GA,13.6,93,2017
Bryan,GA,32.4,455,2017
Bulloch,GA,27.9,416,2017
Burke,GA,11.7,44,2017
Butts,GA,10.5,23,2017
Calhoun,GA,9.4,13,2017
Camden,GA,23.6,364,2017
Candler,GA,14.4,116,2017
Carroll,GA,19.6,273,2017
Catoosa,GA,20.3,294,2017
Charlton,GA,8.6,6,2017
Chatham,GA,33.2,459,2017
Chattahoochee,GA,33,458,2017
Chattooga,GA,10.1,18,2017
Cherokee,GA,35.7,473,2017
Clarke,GA,41.3,490,2017
Clay,GA,8.9,9,2017
Clayton,GA,19.1,258,2017
Clinch,GA,12.3,57,2017
Cobb,GA,45.5,497,2017
Coffee,GA,14.1,107,2017
Colquitt,GA,12.5,64,2017
Columbia,GA,34.4,466,2017
Cook,GA,14.8,128,2017
Coweta,GA,29,426,2017
Crawford,GA,13.2,83,2017
Crisp,GA,13.6,93,2017
Dade,GA,13.9,101,2017
Dawson,GA,31.1,445,2017
Decatur,GA,14.9,131,2017
DeKalb,GA,42.1,492,2017
Dodge,GA,14.6,123,2017
Dooly,GA,9.9,17,2017
Dougherty,GA,20.7,305,2017
Douglas,GA,26.7,404,2017
Early,GA,17,196,2017
Echols,GA,6.9,0,2017
Effingham,GA,19.2,262,2017
Elbert,GA,11.1,32,2017
Emanuel,GA,12.5,64,2017
Evans,GA,15.5,151,2017
Fannin,GA,19,255,2017
Fayette,GA,46.7,500,2017
Floyd,GA,20.5,299,2017
Forsyth,GA,50.2,504,2017
Franklin,GA,12.8,71,2017
Fulton,GA,50.2,504,2017
Gilmer,GA,18.6,243,2017
Glascock,GA,9.4,13,2017
Glynn,GA,29,426,2017
Gordon,GA,13.7,96,2017
Grady,GA,13.7,96,2017
Greene,GA,25.6,390,2017
Gwinnett,GA,35.3,472,2017
Habersham,GA,18.4,236,2017
Hall,GA,23.5,362,2017
Hancock,GA,8.7,7,2017
Haralson,GA,14.1,107,2017
Harris,GA,27.4,412,2017
Hart,GA,13.8,99,2017
Heard,GA,10.8,27,2017
Henry,GA,28,417,2017
Houston,GA,25.4,387,2017
Irwin,GA,13.1,80,2017
Jackson,GA,19.7,275,2017
Jasper,GA,10.5,23,2017
Jeff Davis,GA,10.3,21,2017
Jefferson,GA,10.6,24,2017
Jenkins,GA,8.3,5,2017
Johnson,GA,9.6,14,2017
Jones,GA,20.7,305,2017
Lamar,GA,18.4,236,2017
Lanier,GA,15.8,160,2017
Laurens,GA,15.4,147,2017
Lee,GA,25.7,391,2017
Liberty,GA,19.4,267,2017
Lincoln,GA,12.1,53,2017
Long,GA,15.6,152,2017
Lowndes,GA,25.2,385,2017
Lumpkin,GA,26.7,404,2017
McDuffie,GA,15.3,144,2017
McIntosh,GA,14,104,2017
Macon,GA,8.6,6,2017
Madison,GA,16.7,186,2017
Marion,GA,12.5,64,2017
Meriwether,GA,10.7,25,2017
Miller,GA,11.4,39,2017
Mitchell,GA,12.3,57,2017
Monroe,GA,22.7,348,2017
Montgomery,GA,15.5,151,2017
Morgan,GA,22.1,334,2017
Murray,GA,9.6,14,2017
Muscogee,GA,26,395,2017
Newton,GA,19.9,282,2017
Oconee,GA,48.2,502,2017
Oglethorpe,GA,15.5,151,2017
Paulding,GA,24.4,376,2017
Peach,GA,20.3,294,2017
Pickens,GA,24.9,382,2017
Pierce,GA,12.7,69,2017
Pike,GA,16.5,181,2017
Polk,GA,12.7,69,2017
Pulaski,GA,12.6,67,2017
Putnam,GA,21.4,319,2017
Quitman,GA,8.3,5,2017
Rabun,GA,25.3,386,2017
Randolph,GA,12.1,53,2017
Richmond,GA,21,312,2017
Rockdale,GA,25.8,393,2017
Schley,GA,13.7,96,2017
Screven,GA,14.7,125,2017
Seminole,GA,15.1,137,2017
Spalding,GA,16.2,174,2017
Stephens,GA,19.6,273,2017
Stewart,GA,12.4,60,2017
Sumter,GA,16.8,190,2017
Talbot,GA,12.5,64,2017
Taliaferro,GA,6.8,0,2017
Tattnall,GA,12.3,57,2017
Taylor,GA,11.4,39,2017
Telfair,GA,8.1,4,2017
Terrell,GA,10.8,27,2017
Thomas,GA,22.2,336,2017
Tift,GA,16.8,190,2017
Toombs,GA,15.9,164,2017
Towns,GA,25.6,390,2017
Treutlen,GA,15.5,151,2017
Troup,GA,18.5,240,2017
Turner,GA,13.5,89,2017
Twiggs,GA,9.2,11,2017
Union,GA,22,331,2017
Upson,GA,12.9,74,2017
Walker,GA,15.5,151,2017
Walton,GA,19,255,2017
Ware,GA,13.5,89,2017
Warren,GA,13.7,96,2017
Washington,GA,13.1,80,2017
Wayne,GA,12.7,69,2017
Webster,GA,11.3,35,2017
Wheeler,GA,8.1,4,2017
White,GA,20.2,290,2017
Whitfield,GA,14.6,123,2017
Wilcox,GA,10.5,23,2017
Wilkes,GA,14.3,112,2017
Wilkinson,GA,9,9,2017
Worth,GA,11,30,2017
Hawaii,HI,28.6,422,2017
Honolulu,HI,34,464,2017
Kalawao,HI,22.8,350,2017
Kauai,HI,28.2,418,2017
Maui,HI,26.3,398,2017
Ada,ID,37.6,479,2017
Adams,ID,20.3,294,2017
Bannock,ID,28.1,418,2017
Bear Lake,ID,20.3,294,2017
Benewah,ID,14.1,107,2017
Bingham,ID,19.3,264,2017
Blaine,ID,40.4,488,2017
Boise,ID,29.2,427,2017
Bonner,ID,22.4,340,2017
Bonneville,ID,29.3,427,2017
Boundary,ID,18.2,232,2017
Butte,ID,15.5,151,2017
Camas,ID,20.6,301,2017
Canyon,ID,18.1,229,2017
Caribou,ID,20.1,287,2017
Cassia,ID,18.1,229,2017
Clark,ID,17,196,2017
Clearwater,ID,17.4,209,2017
Custer,ID,22.6,344,2017
Elmore,ID,17.6,214,2017
Franklin,ID,20.2,290,2017
Fremont,ID,21.1,314,2017
Gem,ID,16.9,192,2017
Gooding,ID,14.7,125,2017
Idaho,ID,19.1,258,2017
Jefferson,ID,21.2,317,2017
Jerome,ID,13,78,2017
Kootenai,ID,24.5,378,2017
Latah,ID,46.4,499,2017
Lemhi,ID,22.3,338,2017
Lewis,ID,16.3,177,2017
Lincoln,ID,9.1,10,2017
Madison,ID,37.5,479,2017
Minidoka,ID,14.2,109,2017
Nez Perce,ID,22.7,348,2017
Oneida,ID,15.1,137,2017
Owyhee,ID,9.7,15,2017
Payette,ID,14.2,109,2017
Power,ID,15.8,160,2017
Shoshone,ID,12.4,60,2017
Teton,ID,42.5,493,2017
Twin Falls,ID,19.1,258,2017
Valley,ID,30.8,442,2017
Washington,ID,16.4,179,2017
Adams,IL,23.4,360,2017
Alexander,IL,10.7,25,2017
Bond,IL,19.3,264,2017
Boone,IL,21.7,326,2017
Brown,IL,13.2,83,2017
Bureau,IL,18.9,252,2017
Calhoun,IL,13.7,96,2017
Carroll,IL,17.4,209,2017
Cass,IL,13.4,88,2017
Champaign,IL,43.9,495,2017
Christian,IL,16.4,179,2017
Clark,IL,17.1,198,2017
Clay,IL,14.9,131,2017
Clinton,IL,22.1,334,2017
Coles,IL,26,395,2017
Cook,IL,37.2,478,2017
Crawford,IL,16.9,192,2017
Cumberland,IL,15,135,2017
DeKalb,IL,30.6,440,2017
De Witt,IL,20.3,294,2017
Douglas,IL,18.9,252,2017
DuPage,IL,48,502,2017
Edgar,IL,17.6,214,2017
Edwards,IL,12.5,64,2017
Effingham,IL,22.6,344,2017
Fayette,IL,11.9,48,2017
Ford,IL,19.2,262,2017
Franklin,IL,15.2,141,2017
Fulton,IL,17.7,216,2017
Gallatin,IL,12.8,71,2017
Greene,IL,12,49,2017
Grundy,IL,22.6,344,2017
Hamilton,IL,16.9,192,2017
Hancock,IL,19.7,275,2017
Hardin,IL,11.1,32,2017
Henderson,IL,14.2,109,2017
Henry,IL,22.1,334,2017
Iroquois,IL,14.3,112,2017
Jackson,IL,36.2,474,2017
Jasper,IL,17.4,209,2017
Jefferson,IL,16.1,170,2017
Jersey,IL,19.7,275,2017
Jo Daviess,IL,23.5,362,2017
Johnson,IL,16.2,174,2017
Kane,IL,32.4,455,2017
Kankakee,IL,19.8,280,2017
Kendall,IL,34.8,469,2017
Knox,IL,17.9,222,2017
Lake,IL,44.2,496,2017
LaSalle,IL,17.8,220,2017
Lawrence,IL,11.6,42,2017
Lee,IL,17.8,220,2017
Livingston,IL,15.1,137,2017
Logan,IL,19.8,280,2017
McDonough,IL,32.6,456,2017
McHenry,IL,33.2,459,2017
McLean,IL,44.7,496,2017
Macon,IL,22.7,348,2017
Macoupin,IL,18.5,240,2017
Madison,IL,26.2,397,2017
Marion,IL,15.2,141,2017
Marshall,IL,17.4,209,2017
Mason,IL,15.4,147,2017
Massac,IL,12.1,53,2017
Menard,IL,24.6,379,2017
Mercer,IL,18.7,246,2017
Monroe,IL,30.6,440,2017
Montgomery,IL,14.4,116,2017
Morgan,IL,21.2,317,2017
Moultrie,IL,18.1,229,2017
Ogle,IL,19.7,275,2017
Peoria,IL,30.2,436,2017
Perry,IL,12.5,64,2017
Piatt,IL,28.5,422,2017
Pike,IL,16.1,170,2017
Pope,IL,13.1,80,2017
Pulaski,IL,11.2,34,2017
Putnam,IL,14.9,131,2017
Randolph,IL,13.1,80,2017
Richland,IL,21.5,322,2017
Rock Island,IL,22.7,348,2017
St. Clair,IL,26.6,402,2017
Saline,IL,16.4,179,2017
Sangamon,IL,34.2,465,2017
Schuyler,IL,17.9,222,2017
Scott,IL,13.9,101,2017
Shelby,IL,16,167,2017
Stark,IL,18.8,249,2017
Stephenson,IL,18.7,246,2017
Tazewell,IL,26,395,2017
Union,IL,22.3,338,2017
Vermilion,IL,14.6,123,2017
Wabash,IL,18.7,246,2017
Warren,IL,24.3,375,2017
Washington,IL,20.2,290,2017
Wayne,IL,13.2,83,2017
White,IL,15.6,152,2017
Whiteside,IL,18.1,229,2017
Will,IL,33.6,461,2017
Williamson,IL,22.5,341,2017
Winnebago,IL,22.4,340,2017
Woodford,IL,31.1,445,2017
Adams,IN,14.9,131,2017
Allen,IN,27.5,413,2017
Bartholomew,IN,31.2,446,2017
Benton,IN,16.8,190,2017
Blackford,IN,11.1,32,2017
Boone,IN,47.2,500,2017
Brown,IN,25.5,388,2017
Carroll,IN,16.2,174,2017
Cass,IN,13.4,88,2017
Clark,IN,20,283,2017
Clay,IN,16.6,184,2017
Clinton,IN,15.7,156,2017
Crawford,IN,10.4,21,2017
Daviess,IN,14.2,109,2017
Dearborn,IN,21.7,326,2017
Decatur,IN,19.7,275,2017
DeKalb,IN,17.8,220,2017
Delaware,IN,23.9,370,2017
Dubois,IN,21.4,319,2017
Elkhart,IN,18.7,246,2017
Fayette,IN,11.1,32,2017
Floyd,IN,28.4,421,2017
Fountain,IN,14.4,116,2017
Franklin,IN,19.7,275,2017
Fulton,IN,12.8,71,2017
Gibson,IN,16.8,190,2017
Grant,IN,17.1,198,2017
Greene,IN,14.5,120,2017
Hamilton,IN,57.5,509,2017
Hancock,IN,30.1,435,2017
Harrison,IN,16.6,184,2017
Hendricks,IN,35.3,472,2017
Henry,IN,16.5,181,2017
Howard,IN,20.4,297,2017
Huntington,IN,18.1,229,2017
Jackson,IN,15.9,164,2017
Jasper,IN,14.9,131,2017
Jay,IN,10.5,23,2017
Jefferson,IN,17.4,209,2017
Jennings,IN,10.7,25,2017
Johnson,IN,30.9,443,2017
Knox,IN,16.1,170,2017
Kosciusko,IN,22.3,338,2017
LaGrange,IN,9.9,17,2017
Lake,IN,21.4,319,2017
LaPorte,IN,17.8,220,2017
Lawrence,IN,16.1,170,2017
Madison,IN,17.5,211,2017
Marion,IN,29.7,431,2017
Marshall,IN,19.8,280,2017
Martin,IN,11,30,2017
Miami,IN,12.6,67,2017
Monroe,IN,45.8,498,2017
Montgomery,IN,18.1,229,2017
Morgan,IN,16.1,170,2017
Newton,IN,11,30,2017
Noble,IN,14,104,2017
Ohio,IN,14.2,109,2017
Orange,IN,11.8,46,2017
Owen,IN,12.7,69,2017
Parke,IN,12.6,67,2017
Perry,IN,14.3,112,2017
Pike,IN,13.1,80,2017
Porter,IN,27.5,413,2017
Posey,IN,20.7,305,2017
Pulaski,IN,11.8,46,2017
Putnam,IN,15.4,147,2017
Randolph,IN,13.7,96,2017
Ripley,IN,18.2,232,2017
Rush,IN,14.8,128,2017
St. Joseph,IN,28.4,421,2017
Scott,IN,12.9,74,2017
Shelby,IN,18,224,2017
Spencer,IN,15.9,164,2017
Starke,IN,11.4,39,2017
Steuben,IN,20.3,294,2017
Sullivan,IN,12.5,64,2017
Switzerland,IN,8.7,7,2017
Tippecanoe,IN,36.9,476,2017
Tipton,IN,21.3,317,2017
Union,IN,17.6,214,2017
Vanderburgh,IN,26.2,397,2017
Vermillion,IN,13,78,2017
Vigo,IN,23.5,362,2017
Wabash,IN,18.7,246,2017
Warren,IN,19.4,267,2017
Warrick,IN,29.2,427,2017
Washington,IN,12.1,53,2017
Wayne,IN,18.2,232,2017
Wells,IN,18.6,243,2017
White,IN,16.6,184,2017
Whitley,IN,19.5,270,2017
Adair,IA,15.7,156,2017
Adams,IA,17.3,205,2017
Allamakee,IA,17.5,211,2017
Appanoose,IA,18.2,232,2017
Audubon,IA,13.7,96,2017
Benton,IA,22,331,2017
Black Hawk,IA,27.5,413,2017
Boone,IA,24.2,374,2017
Bremer,IA,29,426,2017
Buchanan,IA,19,255,2017
Buena Vista,IA,20.1,287,2017
Butler,IA,16.9,192,2017
Calhoun,IA,19,255,2017
Carroll,IA,22.5,341,2017
Cass,IA,19.6,273,2017
Cedar,IA,22.4,340,2017
Cerro Gordo,IA,22.2,336,2017
Cherokee,IA,19.5,270,2017
Chickasaw,IA,15.5,151,2017
Clarke,IA,17.2,201,2017
Clay,IA,21.7,326,2017
Clayton,IA,15.7,156,2017
Clinton,IA,19.2,262,2017
Crawford,IA,13,78,2017
Dallas,IA,49.1,503,2017
Davis,IA,17.8,220,2017
Decatur,IA,21.5,322,2017
Delaware,IA,16.9,192,2017
Des Moines,IA,19.8,280,2017
Dickinson,IA,29.5,429,2017
Dubuque,IA,30,434,2017
Emmet,IA,20.6,301,2017
Fayette,IA,19.8,280,2017
Floyd,IA,20.9,310,2017
