county,state,medianAge,medianAgeBucket,year
Autauga,AL,37.8,123,2017
Baldwin,AL,42.6,327,2017
Barbour,AL,39.7,191,2017
Bibb,AL,39.8,196,2017
Blount,AL,40.9,248,2017
Bullock,AL,40.8,243,2017
Butler,AL,40.7,239,2017
Calhoun,AL,39.1,168,2017
Chambers,AL,43.0,343,2017
Cherokee,AL,46.1,433,2017
Chilton,AL,38.9,161,2017
Choctaw,AL,45.8,425,2017
Clarke,AL,42.2,310,2017
Clay,AL,43.8,373,2017
Cleburne,AL,41.7,284,2017
Coffee,AL,39.3,175,2017
Colbert,AL,42.5,323,2017
Conecuh,AL,44.5,396,2017
Coosa,AL,45.9,428,2017
Covington,AL,43.4,358,2017
Crenshaw,AL,41.4,272,2017
Cullman,AL,40.6,233,2017
Dale,AL,37.1,103,2017
Dallas,AL,39.3,175,2017
DeKalb,AL,39.0,165,2017
Elmore,AL,38.5,149,2017
Escambia,AL,39.6,188,2017
Etowah,AL,40.9,248,2017
Fayette,AL,43.6,367,2017
Franklin,AL,37.7,120,2017
Geneva,AL,42.7,332,2017
Greene,AL,42.0,300,2017
Hale,AL,39.8,196,2017
Henry,AL,43.5,363,2017
Houston,AL,39.6,188,2017
Jackson,AL,43.0,343,2017
Jefferson,AL,37.6,117,2017
Lamar,AL,44.5,396,2017
Lauderdale,AL,41.5,276,2017
Lawrence,AL,42.0,300,2017
Lee,AL,31.0,18,2017
Limestone,AL,39.1,168,2017
Lowndes,AL,40.7,239,2017
Macon,AL,38.0,131,2017
Madison,AL,38.2,139,2017
Marengo,AL,42.1,304,2017
Marion,AL,44.1,383,2017
Marshall,AL,38.8,158,2017
Mobile,AL,37.3,110,2017
Monroe,AL,41.7,284,2017
Montgomery,AL,35.9,76,2017
Morgan,AL,40.1,208,2017
Perry,AL,37.6,117,2017
Pickens,AL,42.1,304,2017
Pike,AL,31.4,20,2017
Randolph,AL,42.7,332,2017
Russell,AL,35.3,62,2017
St. Clair,AL,40.1,208,2017
Shelby,AL,38.5,149,2017
Sumter,AL,35.9,76,2017
Talladega,AL,40.6,233,2017
Tallapoosa,AL,43.3,354,2017
Tuscaloosa,AL,32.3,26,2017
Walker,AL,42.3,314,2017
Washington,AL,43.5,363,2017
Wilcox,AL,40.5,227,2017
Winston,AL,44.6,401,2017
Aleutians East,AK,42.7,332,2017
Aleutians West,AK,37.7,120,2017
Anchorage,AK,33.1,33,2017
Bethel,AK,26.9,3,2017
Bristol Bay,AK,41.8,290,2017
Denali,AK,38.4,146,2017
Dillingham,AK,30.1,11,2017
Fairbanks North Star,AK,31.0,18,2017
Haines,AK,45.0,411,2017
Hoonah-Angoon,AK,48.9,474,2017
Juneau City,AK,38.0,131,2017
Kenai Peninsula,AK,40.6,233,2017
Ketchikan Gateway,AK,39.5,183,2017
Kodiak,AK,33.1,33,2017
Kusilvak,AK,24.0,0,2017
Lake and Peninsula,AK,32.3,26,2017
Matanuska-Susitna,AK,34.9,55,2017
Nome,AK,27.9,5,2017
North Slope,AK,34.6,50,2017
Northwest Arctic,AK,26.6,3,2017
Petersburg,AK,41.7,284,2017
Prince of Wales-Hyder,AK,41.0,254,2017
Sitka City,AK,38.9,161,2017
Skagway,AK,42.9,338,2017
Southeast Fairbanks,AK,36.6,92,2017
Valdez-Cordova,AK,40.0,203,2017
Wrangell City,AK,49.1,476,2017
Yakutat City,AK,39.4,179,2017
Yukon-Koyukuk,AK,34.7,52,2017
Apache,AZ,34.2,46,2017
Cochise,AZ,40.5,227,2017
Coconino,AZ,30.6,14,2017
Gila,AZ,49.3,478,2017
Graham,AZ,33.1,33,2017
Greenlee,AZ,33.4,36,2017
La Paz,AZ,56.0,508,2017
Maricopa,AZ,36.0,79,2017
Mohave,AZ,50.4,487,2017
Navajo,AZ,35.9,76,2017
Pima,AZ,38.2,139,2017
Pinal,AZ,38.5,149,2017
Santa Cruz,AZ,36.6,92,2017
Yavapai,AZ,52.2,499,2017
Yuma,AZ,34.1,44,2017
Arkansas,AR,40.9,248,2017
Ashley,AR,41.8,290,2017
