county,state,percentHighSchool,percentHighSchoolBucket,year
Autauga,AL,87.7,268,2017
Baldwin,AL,90.2,357,2017
Barbour,AL,73.1,24,2017
Bibb,AL,82.1,134,2017
Blount,AL,79.8,95,2017
Bullock,AL,71.4,18,2017
Butler,AL,81.1,119,2017
Calhoun,AL,83.2,156,2017
Chambers,AL,80.9,115,2017
Cherokee,AL,79.5,90,2017
Chilton,AL,81.8,129,2017
Choctaw,AL,80.1,100,2017
Clarke,AL,81.5,126,2017
Clay,AL,73.3,25,2017
Cleburne,AL,75.8,44,2017
Coffee,AL,85.4,207,2017
Colbert,AL,83.9,171,2017
Conecuh,AL,79,83,2017
Coosa,AL,76.8,52,2017
Covington,AL,82,132,2017
Crenshaw,AL,79.3,87,2017
Cullman,AL,82.1,134,2017
Dale,AL,86,222,2017
Dallas,AL,81.3,121,2017
DeKalb,AL,73.6,27,2017
Elmore,AL,86.4,231,2017
Escambia,AL,81,116,2017
Etowah,AL,83.1,153,2017
Fayette,AL,79.6,92,2017
Franklin,AL,76.4,48,2017
Geneva,AL,79,83,2017
Greene,AL,76.6,51,2017
Hale,AL,81.1,119,2017
Henry,AL,80.6,109,2017
Houston,AL,85.3,205,2017
Jackson,AL,81.4,124,2017
Jefferson,AL,89.4,325,2017
Lamar,AL,79.5,90,2017
Lauderdale,AL,85.9,219,2017
Lawrence,AL,78,66,2017
Lee,AL,89.9,347,2017
Limestone,AL,83.7,167,2017
Lowndes,AL,76,46,2017
Macon,AL,81.6,127,2017
Madison,AL,90.8,382,2017
Marengo,AL,83.2,156,2017
Marion,AL,80.7,111,2017
Marshall,AL,80,98,2017
Mobile,AL,86.3,229,2017
Monroe,AL,83,151,2017
Montgomery,AL,85.7,213,2017
Morgan,AL,82.5,140,2017
Perry,AL,80,98,2017
Pickens,AL,79.8,95,2017
Pike,AL,81.1,119,2017
Randolph,AL,78.6,75,2017
Russell,AL,82.9,149,2017
St. Clair,AL,84.2,178,2017
Shelby,AL,92.1,427,2017
Sumter,AL,82.7,145,2017
Talladega,AL,80.5,107,2017
Tallapoosa,AL,80.8,113,2017
Tuscaloosa,AL,88.2,283,2017
Walker,AL,80,98,2017
Washington,AL,82.4,138,2017
Wilcox,AL,79.1,84,2017
Winston,AL,77.2,57,2017
Aleutians East,AK,85.8,216,2017
Aleutians West,AK,88.3,286,2017
Anchorage,AK,93.4,466,2017
Bethel,AK,80.2,102,2017
Bristol Bay,AK,92.6,446,2017
Denali,AK,98.7,511,2017
Dillingham,AK,86.4,231,2017
Fairbanks North Star,AK,94.6,490,2017
Haines,AK,96.6,509,2017
Hoonah-Angoon,AK,90.3,361,2017
Juneau City,AK,96,505,2017
Kenai Peninsula,AK,92.6,446,2017
Ketchikan Gateway,AK,91.9,418,2017
Kodiak,AK,88.5,293,2017
Kusilvak,AK,78.2,69,2017
Lake and Peninsula,AK,87.7,268,2017
Matanuska-Susitna,AK,92.1,427,2017
Nome,AK,84.9,195,2017
North Slope,AK,88.4,289,2017
Northwest Arctic,AK,80.7,111,2017
Petersburg,AK,89.5,328,2017
Prince of Wales-Hyder,AK,90,350,2017
Sitka City,AK,93.5,469,2017
Skagway,AK,92.4,438,2017
Southeast Fairbanks,AK,91.5,406,2017
Valdez-Cordova,AK,95.9,505,2017
Wrangell City,AK,89,311,2017
Yakutat City,AK,91.9,418,2017
Yukon-Koyukuk,AK,84.7,190,2017
Apache,AZ,78.6,75,2017
Cochise,AZ,87.1,250,2017
Coconino,AZ,89.7,338,2017
Gila,AZ,85,197,2017
Graham,AZ,85.8,216,2017
Greenlee,AZ,89.7,338,2017
La Paz,AZ,77.2,57,2017
Maricopa,AZ,87.1,250,2017
Mohave,AZ,84.7,190,2017
Navajo,AZ,82.6,143,2017
Pima,AZ,88.2,283,2017
Pinal,AZ,85.2,202,2017
Santa Cruz,AZ,75.4,41,2017
Yavapai,AZ,90.2,357,2017
Yuma,AZ,71.6,19,2017
Arkansas,AR,82.6,143,2017
Ashley,AR,83,151,2017
Baxter,AR,87.3,255,2017
Benton,AR,87.5,260,2017
Boone,AR,85.2,202,2017
Bradley,AR,81.4,124,2017
Calhoun,AR,84.2,178,2017
Carroll,AR,85.7,213,2017
Chicot,AR,80.2,102,2017
Clark,AR,88.2,283,2017
Clay,AR,78.5,74,2017
Cleburne,AR,84.4,181,2017
Cleveland,AR,87.3,255,2017
Columbia,AR,84.8,192,2017
Conway,AR,85.2,202,2017
Craighead,AR,88.3,286,2017
Crawford,AR,85.9,219,2017
Crittenden,AR,81.4,124,2017
Cross,AR,80.4,105,2017
Dallas,AR,83.1,153,2017
Desha,AR,77.4,60,2017
Drew,AR,83.2,156,2017
Faulkner,AR,91.2,395,2017
Franklin,AR,80.9,115,2017
Fulton,AR,84.5,184,2017
Garland,AR,88.2,283,2017
Grant,AR,90.1,354,2017
Greene,AR,86.6,235,2017
Hempstead,AR,80.1,100,2017
Hot Spring,AR,85.6,211,2017
Howard,AR,81.3,121,2017
Independence,AR,85.1,200,2017
Izard,AR,82.9,149,2017
Jackson,AR,77.4,60,2017
Jefferson,AR,85.3,205,2017
Johnson,AR,79.5,90,2017
Lafayette,AR,80.7,111,2017
Lawrence,AR,84,173,2017
Lee,AR,70,13,2017
Lincoln,AR,80.3,103,2017
Little River,AR,85.1,200,2017
Logan,AR,83.8,169,2017
Lonoke,AR,88.5,293,2017
Madison,AR,79.6,92,2017
Marion,AR,86.2,227,2017
Miller,AR,85.1,200,2017
Mississippi,AR,82.3,137,2017
Monroe,AR,77.7,63,2017
Montgomery,AR,78.8,79,2017
Nevada,AR,85.8,216,2017
Newton,AR,81.1,119,2017
Ouachita,AR,85.2,202,2017
Perry,AR,83.4,161,2017
Phillips,AR,75.8,44,2017
Pike,AR,83.3,159,2017
Poinsett,AR,79.5,90,2017
Polk,AR,85.2,202,2017
Pope,AR,84,173,2017
Prairie,AR,82.8,147,2017
Pulaski,AR,90.4,364,2017
Randolph,AR,82.5,140,2017
St. Francis,AR,78.7,77,2017
Saline,AR,90.1,354,2017
Scott,AR,78,66,2017
Searcy,AR,83.5,163,2017
Sebastian,AR,82.6,143,2017
Sevier,AR,71.8,20,2017
Sharp,AR,82.8,147,2017
Stone,AR,76.8,52,2017
Union,AR,83.9,171,2017
Van Buren,AR,84.8,192,2017
Washington,AR,84.2,178,2017
White,AR,84.6,187,2017
Woodruff,AR,77.1,55,2017
Yell,AR,78.9,81,2017
Alameda,CA,87.5,260,2017
Alpine,CA,89.8,341,2017
Amador,CA,89.7,338,2017
Butte,CA,88.8,304,2017
Calaveras,CA,90,350,2017
Colusa,CA,69.4,11,2017
Contra Costa,CA,89.1,315,2017
Del Norte,CA,81.6,127,2017
El Dorado,CA,92.9,456,2017
Fresno,CA,74.7,35,2017
Glenn,CA,72.5,21,2017
Humboldt,CA,90.5,369,2017
Imperial,CA,68.4,9,2017
Inyo,CA,88.6,296,2017
Kern,CA,73.8,28,2017
Kings,CA,72.9,23,2017
Lake,CA,84.7,190,2017
Lassen,CA,82.3,137,2017
Los Angeles,CA,78.2,69,2017
Madera,CA,71.6,19,2017
Marin,CA,93.2,462,2017
Mariposa,CA,90.1,354,2017
Mendocino,CA,86.9,243,2017
Merced,CA,68.9,10,2017
Modoc,CA,85.5,209,2017
Mono,CA,84.7,190,2017
Monterey,CA,71.2,17,2017
Napa,CA,84.7,190,2017
Nevada,CA,93.5,469,2017
Orange,CA,84.7,190,2017
Placer,CA,94.5,489,2017
Plumas,CA,93.6,472,2017
Riverside,CA,81.1,119,2017
Sacramento,CA,87,247,2017
San Benito,CA,79.1,84,2017
San Bernardino,CA,79.2,86,2017
San Diego,CA,86.7,237,2017
San Francisco,CA,87.9,274,2017
San Joaquin,CA,78.4,72,2017
San Luis Obispo,CA,90.5,369,2017
San Mateo,CA,88.9,308,2017
Santa Barbara,CA,80.4,105,2017
Santa Clara,CA,87.6,264,2017
Santa Cruz,CA,86.4,231,2017
Shasta,CA,90.7,377,2017
Sierra,CA,92.9,456,2017
Siskiyou,CA,89.3,320,2017
Solano,CA,87.6,264,2017
Sonoma,CA,87.7,268,2017
Stanislaus,CA,77.8,64,2017
Sutter,CA,78.7,77,2017
Tehama,CA,84,173,2017
Trinity,CA,89.8,341,2017
Tulare,CA,68.6,10,2017
Tuolumne,CA,90.7,377,2017
Ventura,CA,84,173,2017
Yolo,CA,86.1,224,2017
Yuba,CA,82.1,134,2017
Adams,CO,82.6,143,2017
Alamosa,CO,83.1,153,2017
Arapahoe,CO,92.3,433,2017
Archuleta,CO,90.5,369,2017
Baca,CO,85.5,209,2017
Bent,CO,84.9,195,2017
Boulder,CO,94.6,490,2017
Broomfield,CO,95.8,504,2017
Chaffee,CO,91.6,408,2017
Cheyenne,CO,90.3,361,2017
Clear Creek,CO,97.9,510,2017
Conejos,CO,85,197,2017
Costilla,CO,77.8,64,2017
Crowley,CO,84.9,195,2017
Custer,CO,93.7,474,2017
Delta,CO,88.9,308,2017
Denver,CO,86.7,237,2017
Dolores,CO,90.9,384,2017
Douglas,CO,97.9,510,2017
Eagle,CO,89.9,347,2017
Elbert,CO,96.3,508,2017
El Paso,CO,93.7,474,2017
Fremont,CO,89.8,341,2017
Garfield,CO,87.5,260,2017
Gilpin,CO,98,510,2017
Grand,CO,95.4,501,2017
Gunnison,CO,95.7,503,2017
Hinsdale,CO,92.8,453,2017
Huerfano,CO,90.5,369,2017
Jackson,CO,85.1,200,2017
Jefferson,CO,94.3,486,2017
Kiowa,CO,95.4,501,2017
Kit Carson,CO,86.8,241,2017
Lake,CO,86.8,241,2017
La Plata,CO,95.2,499,2017
Larimer,CO,95.8,504,2017
Las Animas,CO,87.3,255,2017
Lincoln,CO,87.8,270,2017
Logan,CO,88,276,2017
Mesa,CO,90.2,357,2017
Mineral,CO,96.4,508,2017
