county,state,medianHomeValue,medianHomeValueBucket,year
Columbia,GA,183800,421,2017
Cook,GA,87800,114,2017
Coweta,GA,190700,430,2017
Crawford,GA,93300,145,2017
Crisp,GA,83900,89,2017
Dade,GA,122500,276,2017
Dawson,GA,202300,440,2017
Decatur,GA,109800,221,2017
DeKalb,GA,176000,413,2017
Dodge,GA,73400,42,2017
Dooly,GA,83200,86,2017
Dougherty,GA,102100,187,2017
Douglas,GA,140100,328,2017
Early,GA,82700,83,2017
Echols,GA,57000,8,2017
Effingham,GA,155500,369,2017
Elbert,GA,81800,78,2017
Emanuel,GA,78500,61,2017
Evans,GA,83600,87,2017
Fannin,GA,171500,405,2017
Fayette,GA,255300,476,2017
Floyd,GA,126600,290,2017
Forsyth,GA,301100,490,2017
Franklin,GA,101600,185,2017
Fulton,GA,268900,482,2017
Gilmer,GA,162400,385,2017
Glascock,GA,66600,22,2017
Glynn,GA,161200,382,2017
Gordon,GA,119500,266,2017
Grady,GA,110500,225,2017
Greene,GA,175800,413,2017
Gwinnett,GA,185200,423,2017
Habersham,GA,137200,320,2017
Hall,GA,171900,406,2017
Hancock,GA,66100,22,2017
Haralson,GA,117000,257,2017
Harris,GA,194800,434,2017
Hart,GA,131200,304,2017
Heard,GA,100500,182,2017
Henry,GA,154900,367,2017
Houston,GA,135800,315,2017
Irwin,GA,81200,74,2017
Jackson,GA,163200,386,2017
Jasper,GA,119700,267,2017
Jeff Davis,GA,77900,59,2017
Jefferson,GA,69200,29,2017
Jenkins,GA,59100,10,2017
Johnson,GA,64200,18,2017
Jones,GA,124800,284,2017
Lamar,GA,132400,307,2017
Lanier,GA,102000,187,2017
Laurens,GA,85000,95,2017
Lee,GA,156800,372,2017
Liberty,GA,120500,270,2017
Lincoln,GA,115600,250,2017
Long,GA,117500,259,2017
Lowndes,GA,129700,298,2017
Lumpkin,GA,176300,414,2017
McDuffie,GA,102500,189,2017
McIntosh,GA,112700,237,2017
Macon,GA,61300,13,2017
Madison,GA,121600,273,2017
Marion,GA,86300,102,2017
Meriwether,GA,91300,134,2017
Miller,GA,88500,117,2017
Mitchell,GA,82500,83,2017
Monroe,GA,159900,379,2017
Montgomery,GA,76500,52,2017
Morgan,GA,208200,446,2017
Murray,GA,91700,136,2017
Muscogee,GA,140200,328,2017
Newton,GA,123300,280,2017
Oconee,GA,252000,474,2017
Oglethorpe,GA,111800,231,2017
Paulding,GA,150400,355,2017
Peach,GA,126000,288,2017
Pickens,GA,185700,424,2017
Pierce,GA,99000,177,2017
Pike,GA,162000,384,2017
Polk,GA,105600,203,2017
Pulaski,GA,111100,228,2017
Putnam,GA,168700,399,2017
Quitman,GA,67400,24,2017
Rabun,GA,157800,374,2017
Randolph,GA,67300,24,2017
Richmond,GA,100200,181,2017
Rockdale,GA,148600,350,2017
Schley,GA,94800,154,2017
Screven,GA,78900,62,2017
Seminole,GA,77200,55,2017
Spalding,GA,112400,235,2017
Stephens,GA,98500,174,2017
Stewart,GA,51800,4,2017
Sumter,GA,82600,83,2017
Talbot,GA,81200,74,2017
Taliaferro,GA,59100,10,2017
Tattnall,GA,88100,116,2017
Taylor,GA,65800,20,2017
Telfair,GA,55600,7,2017
Terrell,GA,88600,119,2017
Thomas,GA,131400,305,2017
Tift,GA,112200,233,2017
Toombs,GA,97500,169,2017
Towns,GA,197900,437,2017
Treutlen,GA,71000,34,2017
Troup,GA,125000,285,2017
Turner,GA,72700,39,2017
Twiggs,GA,57000,8,2017
Union,GA,191800,431,2017
Upson,GA,84900,94,2017
Walker,GA,111100,228,2017
Walton,GA,164700,391,2017
Ware,GA,78500,61,2017
Warren,GA,62300,14,2017
Washington,GA,82400,82,2017
Wayne,GA,107300,211,2017
Webster,GA,57200,8,2017
Wheeler,GA,46800,1,2017
White,GA,157900,374,2017
Whitfield,GA,124300,283,2017
Wilcox,GA,69800,30,2017
Wilkes,GA,83400,87,2017
Wilkinson,GA,69100,29,2017
Worth,GA,85600,98,2017
Hawaii,HI,316000,493,2017
Honolulu,HI,626400,509,2017
Kauai,HI,520100,508,2017
Maui,HI,569100,509,2017
Ada,ID,219900,455,2017
Adams,ID,166500,396,2017
Bannock,ID,148300,349,2017
Bear Lake,ID,142100,332,2017
Benewah,ID,150800,356,2017
Bingham,ID,147400,347,2017
Blaine,ID,390300,502,2017
Boise,ID,185100,423,2017
Bonner,ID,222700,456,2017
Bonneville,ID,161000,381,2017
Boundary,ID,181300,419,2017
Butte,ID,110700,226,2017
Camas,ID,173300,409,2017
Canyon,ID,144000,338,2017
Caribou,ID,130600,301,2017
Cassia,ID,136900,319,2017
Clark,ID,98700,175,2017
Clearwater,ID,134400,313,2017
Custer,ID,173300,409,2017
Elmore,ID,145200,341,2017
Franklin,ID,168200,399,2017
Fremont,ID,157700,374,2017
Gem,ID,148800,350,2017
Gooding,ID,134400,313,2017
Idaho,ID,164600,391,2017
Jefferson,ID,166200,395,2017
Jerome,ID,144400,339,2017
Kootenai,ID,212900,450,2017
Latah,ID,207200,446,2017
Lemhi,ID,173400,410,2017
Lewis,ID,120000,268,2017
Lincoln,ID,127200,292,2017
Madison,ID,190500,429,2017
Minidoka,ID,121800,274,2017
Nez Perce,ID,172500,408,2017
Oneida,ID,151600,358,2017
Owyhee,ID,125700,287,2017
Payette,ID,138900,325,2017
Power,ID,132600,308,2017
Shoshone,ID,117500,259,2017
Teton,ID,291600,488,2017
Twin Falls,ID,154200,365,2017
Valley,ID,258000,477,2017
Washington,ID,149100,351,2017
Adams,IL,120200,269,2017
Alexander,IL,53200,5,2017
Bond,IL,115200,248,2017
Boone,IL,145700,342,2017
Brown,IL,88600,119,2017
Bureau,IL,106800,208,2017
Calhoun,IL,110900,227,2017
Carroll,IL,99400,178,2017
Cass,IL,76800,53,2017
Champaign,IL,154800,367,2017
Christian,IL,87500,111,2017
Clark,IL,87400,110,2017
Clay,IL,77200,55,2017
Clinton,IL,142900,335,2017
Coles,IL,93800,148,2017
Cook,IL,227400,461,2017
Crawford,IL,82900,84,2017
Cumberland,IL,94000,150,2017
DeKalb,IL,166800,396,2017
De Witt,IL,98000,171,2017
Douglas,IL,102700,191,2017
DuPage,IL,289900,488,2017
Edgar,IL,80000,67,2017
Edwards,IL,73500,43,2017
Effingham,IL,137300,321,2017
Fayette,IL,84000,90,2017
Ford,IL,100600,182,2017
Franklin,IL,69900,31,2017
Fulton,IL,84800,93,2017
Gallatin,IL,71500,35,2017
Greene,IL,76900,54,2017
Grundy,IL,188300,427,2017
Hamilton,IL,91500,135,2017
Hancock,IL,85100,96,2017
Hardin,IL,63200,16,2017
Henderson,IL,88100,116,2017
Henry,IL,115800,250,2017
Iroquois,IL,96800,165,2017
Jackson,IL,108600,217,2017
Jasper,IL,99000,177,2017
Jefferson,IL,92700,142,2017
Jersey,IL,135400,314,2017
Jo Daviess,IL,143300,337,2017
Johnson,IL,96600,163,2017
Kane,IL,223400,457,2017
Kankakee,IL,140100,328,2017
Kendall,IL,214700,452,2017
Knox,IL,81700,77,2017
Lake,IL,251400,474,2017
LaSalle,IL,126100,289,2017
Lawrence,IL,72400,38,2017
Lee,IL,116500,254,2017
Livingston,IL,109500,220,2017
Logan,IL,101300,184,2017
McDonough,IL,94600,153,2017
McHenry,IL,212600,450,2017
McLean,IL,163800,388,2017
Macon,IL,95900,160,2017
Macoupin,IL,98400,173,2017
Madison,IL,130200,300,2017
Marion,IL,71900,36,2017
Marshall,IL,103300,193,2017
Mason,IL,81000,72,2017
Massac,IL,82500,83,2017
Menard,IL,132500,308,2017
Mercer,IL,105100,200,2017
Monroe,IL,195500,434,2017
Montgomery,IL,81000,72,2017
Morgan,IL,103400,193,2017
Moultrie,IL,107500,212,2017
Ogle,IL,139900,327,2017
Peoria,IL,128000,294,2017
Perry,IL,80500,69,2017
Piatt,IL,128100,295,2017
Pike,IL,74700,46,2017
Pope,IL,84100,90,2017
Pulaski,IL,63500,17,2017
Putnam,IL,120800,271,2017
Randolph,IL,99900,180,2017
Richland,IL,83200,86,2017
Rock Island,IL,115600,250,2017
St. Clair,IL,122600,277,2017
Saline,IL,70500,32,2017
Sangamon,IL,136100,316,2017
Schuyler,IL,83400,87,2017
Scott,IL,87500,111,2017
Shelby,IL,86800,106,2017
Stark,IL,85600,98,2017
Stephenson,IL,97700,170,2017
Tazewell,IL,137300,321,2017
Union,IL,98600,175,2017
Vermilion,IL,75900,50,2017
Wabash,IL,79000,63,2017
Warren,IL,83900,89,2017
Washington,IL,108100,214,2017
Wayne,IL,78600,61,2017
White,IL,69700,30,2017
Whiteside,IL,102200,188,2017
Will,IL,216400,453,2017
Williamson,IL,106400,206,2017
Winnebago,IL,115900,251,2017
Woodford,IL,160300,380,2017
Adams,IN,118900,264,2017
Allen,IN,119400,265,2017
Bartholomew,IN,139400,326,2017
Benton,IN,84900,94,2017
Blackford,IN,68500,27,2017
Boone,IN,207500,446,2017
Brown,IN,174800,411,2017
Carroll,IN,124100,283,2017
Cass,IN,84100,90,2017
Clark,IN,131500,305,2017
Clay,IN,96000,161,2017
Clinton,IN,103700,194,2017
Crawford,IN,86700,105,2017
Daviess,IN,115400,249,2017
Dearborn,IN,160800,381,2017
Decatur,IN,121800,274,2017
DeKalb,IN,113600,239,2017
Delaware,IN,88600,119,2017
Dubois,IN,146000,343,2017
Elkhart,IN,130800,302,2017
Fayette,IN,81400,75,2017
Floyd,IN,159700,378,2017
Fountain,IN,93500,146,2017
Franklin,IN,152200,359,2017
Fulton,IN,93600,147,2017
Gibson,IN,105700,203,2017
Grant,IN,87600,112,2017
Greene,IN,95900,160,2017
Hamilton,IN,240000,468,2017
Hancock,IN,161800,384,2017
Harrison,IN,136400,318,2017
Hendricks,IN,171600,406,2017
Henry,IN,94800,154,2017
Howard,IN,101300,184,2017
Huntington,IN,102700,191,2017
Jackson,IN,114600,245,2017
Jasper,IN,153200,362,2017
Jay,IN,85000,95,2017
Jefferson,IN,120000,268,2017
Jennings,IN,99900,180,2017
Johnson,IN,149700,352,2017
Knox,IN,87200,108,2017
Kosciusko,IN,142700,334,2017
LaGrange,IN,172500,408,2017
Lake,IN,140100,328,2017
LaPorte,IN,126700,291,2017
Lawrence,IN,109200,219,2017
Madison,IN,91900,138,2017
Marion,IN,123500,280,2017
Marshall,IN,130100,299,2017
Martin,IN,97900,170,2017
Miami,IN,85500,97,2017
Monroe,IN,163900,388,2017
Montgomery,IN,118400,262,2017
Morgan,IN,147200,346,2017
Newton,IN,112500,235,2017
Noble,IN,114500,243,2017
Ohio,IN,142400,333,2017
Orange,IN,90400,130,2017
Owen,IN,110200,223,2017
Parke,IN,86700,105,2017
Perry,IN,103000,192,2017
Pike,IN,89300,123,2017
Porter,IN,173100,409,2017
Posey,IN,138800,324,2017
Pulaski,IN,92600,141,2017
Putnam,IN,120300,269,2017
Randolph,IN,79500,64,2017
Ripley,IN,139500,326,2017
Rush,IN,100000,180,2017
St. Joseph,IN,118600,263,2017
Scott,IN,98800,176,2017
Shelby,IN,125300,286,2017
Spencer,IN,117900,260,2017
Starke,IN,101600,185,2017
Steuben,IN,136300,318,2017
Sullivan,IN,80900,71,2017
Switzerland,IN,114300,243,2017
Tippecanoe,IN,144300,339,2017
Tipton,IN,110300,224,2017
Union,IN,109900,221,2017
Vanderburgh,IN,121200,273,2017
Vermillion,IN,74600,45,2017
Vigo,IN,90700,131,2017
Wabash,IN,96700,164,2017
Warren,IN,112500,235,2017
Warrick,IN,158100,374,2017
Washington,IN,106200,205,2017
Wayne,IN,96500,163,2017
Wells,IN,121000,271,2017
White,IN,105800,204,2017
Whitley,IN,131600,305,2017
Adair,IA,93200,145,2017
Adams,IA,84900,94,2017
Allamakee,IA,122800,278,2017
Appanoose,IA,78000,59,2017
Audubon,IA,68800,28,2017
Benton,IA,147800,348,2017
Black Hawk,IA,139300,325,2017
Boone,IA,130500,301,2017
Bremer,IA,155100,368,2017
Buchanan,IA,132500,308,2017
Buena Vista,IA,111100,228,2017
Butler,IA,112100,233,2017
Calhoun,IA,77800,58,2017
Carroll,IA,127400,293,2017
Cass,IA,93600,147,2017
Cedar,IA,143800,337,2017
Cerro Gordo,IA,121500,273,2017
Cherokee,IA,89200,123,2017
Chickasaw,IA,105100,200,2017
Clarke,IA,105000,199,2017
Clay,IA,115700,250,2017
Clayton,IA,116500,254,2017
Clinton,IA,112400,235,2017
Crawford,IA,93400,145,2017
Dallas,IA,218000,453,2017
Davis,IA,109100,219,2017
Decatur,IA,76300,51,2017
Delaware,IA,126000,288,2017
Des Moines,IA,101400,185,2017
Dickinson,IA,175900,413,2017
Dubuque,IA,157200,373,2017
Emmet,IA,85700,99,2017
Fayette,IA,90800,132,2017
Floyd,IA,102400,189,2017
Franklin,IA,87100,107,2017
Fremont,IA,100200,181,2017
Greene,IA,88900,121,2017
Grundy,IA,129900,299,2017
Guthrie,IA,112600,236,2017
Hamilton,IA,98900,176,2017
Hancock,IA,97600,169,2017
Hardin,IA,91300,134,2017
Harrison,IA,107600,212,2017
Henry,IA,107900,213,2017
Howard,IA,107700,213,2017
Humboldt,IA,93900,149,2017
Ida,IA,91900,138,2017
Iowa,IA,143900,338,2017
Jackson,IA,117000,257,2017
Jasper,IA,122800,278,2017
Jefferson,IA,114300,243,2017
Johnson,IA,210400,448,2017
Jones,IA,130700,302,2017
Keokuk,IA,83700,88,2017
Kossuth,IA,104300,196,2017
Lee,IA,90200,128,2017
Linn,IA,150600,355,2017
Louisa,IA,104200,195,2017
Lucas,IA,84900,94,2017
Lyon,IA,125200,286,2017
Madison,IA,160400,380,2017
Mahaska,IA,110100,223,2017
Marion,IA,146900,345,2017
Marshall,IA,104600,197,2017
Mills,IA,157000,372,2017
Mitchell,IA,112300,234,2017
Monona,IA,84300,91,2017
Monroe,IA,99100,177,2017
Montgomery,IA,81800,78,2017
Muscatine,IA,128100,295,2017
O'Brien,IA,108000,214,2017
Osceola,IA,89500,125,2017
Page,IA,87600,112,2017
Palo Alto,IA,98100,171,2017
Plymouth,IA,150200,353,2017
Pocahontas,IA,73400,42,2017
