county,state,medianHomeValue,medianHomeValueBucket,year
Autauga,AL,143000,335,2017
Baldwin,AL,182000,420,2017
Barbour,AL,89300,123,2017
Bibb,AL,105500,202,2017
Blount,AL,122200,275,2017
Bullock,AL,66800,23,2017
Butler,AL,88800,120,2017
Calhoun,AL,110100,223,2017
Chambers,AL,86400,103,2017
Cherokee,AL,116300,252,2017
Chilton,AL,98600,175,2017
Choctaw,AL,69000,28,2017
Clarke,AL,93500,146,2017
Clay,AL,89300,123,2017
Cleburne,AL,111800,231,2017
Coffee,AL,147800,348,2017
Colbert,AL,108500,217,2017
Conecuh,AL,76100,50,2017
Coosa,AL,87300,109,2017
Covington,AL,96200,162,2017
Crenshaw,AL,76800,53,2017
Cullman,AL,121900,275,2017
Dale,AL,108000,214,2017
Dallas,AL,80800,71,2017
DeKalb,AL,102900,191,2017
Elmore,AL,155300,368,2017
Escambia,AL,94500,152,2017
Etowah,AL,105100,200,2017
Fayette,AL,83200,86,2017
Franklin,AL,87600,112,2017
Geneva,AL,87800,114,2017
Greene,AL,67700,25,2017
Hale,AL,88800,120,2017
Henry,AL,112600,236,2017
Houston,AL,127100,292,2017
Jackson,AL,105000,199,2017
Jefferson,AL,149000,351,2017
Lamar,AL,71500,35,2017
Lauderdale,AL,126800,291,2017
Lawrence,AL,98700,175,2017
Lee,AL,157100,372,2017
Limestone,AL,146300,344,2017
Lowndes,AL,63000,16,2017
Macon,AL,77100,54,2017
Madison,AL,173400,410,2017
Marengo,AL,88100,116,2017
Marion,AL,87200,108,2017
Marshall,AL,118500,263,2017
Mobile,AL,124500,284,2017
Monroe,AL,88000,115,2017
Montgomery,AL,124100,283,2017
Morgan,AL,128200,295,2017
Perry,AL,69100,29,2017
Pickens,AL,91800,137,2017
Pike,AL,109200,219,2017
Randolph,AL,85200,96,2017
Russell,AL,114700,246,2017
St. Clair,AL,142800,334,2017
Shelby,AL,199500,439,2017
Sumter,AL,69500,30,2017
Talladega,AL,95200,156,2017
Tallapoosa,AL,107000,208,2017
Tuscaloosa,AL,161700,383,2017
Walker,AL,87300,109,2017
Washington,AL,83900,89,2017
Wilcox,AL,81600,76,2017
Winston,AL,82900,84,2017
Aleutians East,AK,124700,284,2017
Aleutians West,AK,238800,468,2017
Anchorage,AK,304500,491,2017
Bethel,AK,152600,360,2017
Bristol Bay,AK,186700,425,2017
Denali,AK,224200,458,2017
Dillingham,AK,189500,428,2017
Fairbanks North Star,AK,230600,463,2017
Haines,AK,243100,471,2017
Hoonah-Angoon,AK,226800,460,2017
Juneau City,AK,343100,497,2017
Kenai Peninsula,AK,234600,465,2017
Ketchikan Gateway,AK,265700,481,2017
Kodiak,AK,267700,481,2017
Kusilvak,AK,88600,119,2017
Lake and Peninsula,AK,118500,263,2017
Matanuska-Susitna,AK,235600,466,2017
Nome,AK,143000,335,2017
North Slope,AK,153900,364,2017
Northwest Arctic,AK,145800,342,2017
Petersburg,AK,205000,443,2017
Prince of Wales-Hyder,AK,169100,400,2017
Sitka City,AK,350900,499,2017
Skagway,AK,293800,489,2017
Southeast Fairbanks,AK,191700,431,2017
Valdez-Cordova,AK,252200,475,2017
Wrangell City,AK,194000,433,2017
Yakutat City,AK,185000,423,2017
Yukon-Koyukuk,AK,80600,70,2017
Apache,AZ,72800,39,2017
Cochise,AZ,144400,339,2017
Coconino,AZ,241400,469,2017
Gila,AZ,153600,363,2017
Graham,AZ,123500,280,2017
Greenlee,AZ,87500,111,2017
La Paz,AZ,77400,56,2017
Maricopa,AZ,225000,459,2017
Mohave,AZ,138700,324,2017
Navajo,AZ,115100,247,2017
Pima,AZ,166300,395,2017
Pinal,AZ,157200,373,2017
Santa Cruz,AZ,138400,323,2017
Yavapai,AZ,215000,452,2017
Yuma,AZ,117000,257,2017
Arkansas,AR,80300,68,2017
Ashley,AR,68200,26,2017
Baxter,AR,124400,283,2017
Benton,AR,163000,386,2017
Boone,AR,116600,255,2017
Bradley,AR,74300,45,2017
Calhoun,AR,71000,34,2017
Carroll,AR,121100,272,2017
Chicot,AR,63000,16,2017
Clark,AR,95000,155,2017
Clay,AR,70000,31,2017
Cleburne,AR,127000,291,2017
Cleveland,AR,87200,108,2017
Columbia,AR,76200,51,2017
Conway,AR,98700,175,2017
Craighead,AR,134600,313,2017
Crawford,AR,112500,235,2017
Crittenden,AR,106300,206,2017
Cross,AR,79400,64,2017
Dallas,AR,64500,18,2017
Desha,AR,56700,7,2017
Drew,AR,93200,145,2017
Faulkner,AR,153500,363,2017
Franklin,AR,90600,131,2017
Fulton,AR,91300,134,2017
Garland,AR,131500,305,2017
Grant,AR,123500,280,2017
Greene,AR,110400,225,2017
Hempstead,AR,76200,51,2017
Hot Spring,AR,88900,121,2017
Howard,AR,94100,150,2017
Independence,AR,104400,196,2017
Izard,AR,79400,64,2017
Jackson,AR,61300,13,2017
Jefferson,AR,81800,78,2017
Johnson,AR,95400,158,2017
Lafayette,AR,65900,21,2017
Lawrence,AR,77100,54,2017
Lee,AR,67100,23,2017
Lincoln,AR,66100,22,2017
Little River,AR,72400,38,2017
Logan,AR,90400,130,2017
Lonoke,AR,135100,314,2017
Madison,AR,108500,217,2017
Marion,AR,117300,258,2017
Miller,AR,108500,217,2017
Mississippi,AR,81400,75,2017
Monroe,AR,54500,6,2017
Montgomery,AR,96900,165,2017
Nevada,AR,62700,15,2017
Newton,AR,91600,136,2017
Ouachita,AR,67900,25,2017
Perry,AR,99100,177,2017
Phillips,AR,67100,23,2017
Pike,AR,78600,61,2017
Poinsett,AR,78200,59,2017
Polk,AR,87100,107,2017
Pope,AR,126100,289,2017
Prairie,AR,65300,19,2017
Pulaski,AR,148300,349,2017
Randolph,AR,81500,76,2017
St. Francis,AR,61900,13,2017
Saline,AR,147400,347,2017
Scott,AR,69800,30,2017
Searcy,AR,89700,126,2017
Sebastian,AR,116800,256,2017
Sevier,AR,75400,48,2017
Sharp,AR,79900,66,2017
Stone,AR,107300,211,2017
Union,AR,79900,66,2017
Van Buren,AR,98900,176,2017
Washington,AR,162900,386,2017
White,AR,116400,253,2017
Woodruff,AR,63700,17,2017
Yell,AR,100300,181,2017
Alameda,CA,649100,510,2017
Alpine,CA,343800,498,2017
Amador,CA,278600,485,2017
Butte,CA,238200,467,2017
Calaveras,CA,273400,483,2017
Colusa,CA,223600,457,2017
Contra Costa,CA,522300,508,2017
Del Norte,CA,185900,424,2017
El Dorado,CA,405900,502,2017
Fresno,CA,220600,456,2017
Glenn,CA,214600,451,2017
Humboldt,CA,285800,487,2017
Imperial,CA,167700,398,2017
Inyo,CA,243100,471,2017
Kern,CA,190600,429,2017
Kings,CA,185600,423,2017
Lake,CA,182000,420,2017
Lassen,CA,177500,416,2017
Los Angeles,CA,495800,507,2017
Madera,CA,220400,455,2017
Marin,CA,908800,511,2017
Mariposa,CA,259500,478,2017
Mendocino,CA,338000,496,2017
Merced,CA,196200,435,2017
Modoc,CA,143100,336,2017
Mono,CA,311700,492,2017
Monterey,CA,441000,504,2017
Napa,CA,560500,509,2017
Nevada,CA,379800,501,2017
Orange,CA,620500,509,2017
Placer,CA,413300,503,2017
Plumas,CA,228900,462,2017
Riverside,CA,304500,491,2017
Sacramento,CA,299900,490,2017
San Benito,CA,459700,505,2017
San Bernardino,CA,280200,486,2017
San Diego,CA,484900,506,2017
San Francisco,CA,927400,511,2017
San Joaquin,CA,281100,486,2017
San Luis Obispo,CA,499800,507,2017
San Mateo,CA,917700,511,2017
Santa Barbara,CA,509400,507,2017
Santa Clara,CA,829600,511,2017
Santa Cruz,CA,659900,510,2017
Shasta,CA,233500,465,2017
Sierra,CA,157100,372,2017
Siskiyou,CA,176600,414,2017
Solano,CA,342000,497,2017
Sonoma,CA,513300,507,2017
Stanislaus,CA,244100,471,2017
Sutter,CA,234500,465,2017
Tehama,CA,191400,430,2017
Trinity,CA,286500,487,2017
Tulare,CA,180200,418,2017
Tuolumne,CA,273500,483,2017
Ventura,CA,520300,508,2017
Yolo,CA,370800,500,2017
Yuba,CA,207100,446,2017
Adams,CO,241900,469,2017
Alamosa,CO,152900,361,2017
Arapahoe,CO,292900,488,2017
Archuleta,CO,274000,483,2017
Baca,CO,79800,66,2017
Bent,CO,77700,58,2017
Boulder,CO,423500,503,2017
Broomfield,CO,356500,499,2017
Chaffee,CO,313200,492,2017
Cheyenne,CO,90000,127,2017
Clear Creek,CO,317000,493,2017
Conejos,CO,113100,238,2017
Costilla,CO,114200,242,2017
Crowley,CO,79700,65,2017
Custer,CO,248300,473,2017
Delta,CO,206200,444,2017
Denver,CO,322900,494,2017
Dolores,CO,122000,275,2017
Douglas,CO,407100,502,2017
Eagle,CO,471100,506,2017
Elbert,CO,380000,501,2017
El Paso,CO,238200,467,2017
Fremont,CO,160000,379,2017
Garfield,CO,323800,494,2017
Gilpin,CO,301700,490,2017
Grand,CO,285000,487,2017
Gunnison,CO,313900,492,2017
Hinsdale,CO,325400,494,2017
Huerfano,CO,137400,321,2017
Jackson,CO,171300,405,2017
Jefferson,CO,334100,496,2017
Kiowa,CO,83200,86,2017
Kit Carson,CO,130200,300,2017
Lake,CO,197600,436,2017
La Plata,CO,356700,499,2017
Larimer,CO,306600,491,2017
Las Animas,CO,145900,343,2017
Lincoln,CO,132100,306,2017
Logan,CO,148700,350,2017
Mesa,CO,207900,446,2017
Mineral,CO,279000,485,2017
Moffat,CO,169200,400,2017
Montezuma,CO,197900,437,2017
Montrose,CO,202500,440,2017
Morgan,CO,162900,386,2017
Otero,CO,91800,137,2017
Ouray,CO,420600,503,2017
Park,CO,262300,479,2017
Phillips,CO,132600,308,2017
Pitkin,CO,593600,509,2017
Prowers,CO,94400,151,2017
Pueblo,CO,148000,349,2017
Rio Blanco,CO,201000,439,2017
Rio Grande,CO,143000,335,2017
Routt,CO,460600,505,2017
Saguache,CO,150100,353,2017
San Juan,CO,269400,482,2017
San Miguel,CO,485000,506,2017
Sedgwick,CO,91500,135,2017
Summit,CO,547700,508,2017
Teller,CO,261100,479,2017
Washington,CO,120300,269,2017
Weld,CO,245000,472,2017
Yuma,CO,148800,350,2017
Fairfield,CT,417800,503,2017
Hartford,CT,235300,465,2017
Litchfield,CT,250100,474,2017
Middlesex,CT,283700,486,2017
New Haven,CT,244400,471,2017
New London,CT,238900,468,2017
Tolland,CT,247500,472,2017
Windham,CT,196800,435,2017
Kent,DE,205800,444,2017
New Castle,DE,248100,473,2017
Sussex,DE,242900,470,2017
District of,,537400,508,2017
Alachua,FL,167000,397,2017
Baker,FL,121100,272,2017
Bay,FL,166400,395,2017
Bradford,FL,90500,130,2017
Brevard,FL,162400,385,2017
Broward,FL,223400,457,2017
Calhoun,FL,80000,67,2017
Charlotte,FL,165200,392,2017
Citrus,FL,117400,259,2017
Clay,FL,165300,392,2017
Collier,FL,316200,493,2017
Columbia,FL,112500,235,2017
DeSoto,FL,83700,88,2017
Dixie,FL,71600,35,2017
Duval,FL,156200,370,2017
Escambia,FL,126700,291,2017
Flagler,FL,188400,427,2017
Franklin,FL,135300,314,2017
Gadsden,FL,101300,184,2017
Gilchrist,FL,96700,164,2017
Glades,FL,80100,67,2017
Gulf,FL,151400,357,2017
Hamilton,FL,73500,43,2017
Hardee,FL,81200,74,2017
Hendry,FL,79700,65,2017
Hernando,FL,120600,270,2017
Highlands,FL,87900,114,2017
Hillsborough,FL,179500,418,2017
Holmes,FL,92400,140,2017
Indian River,FL,172600,408,2017
Jackson,FL,94900,155,2017
Jefferson,FL,131700,306,2017
Lafayette,FL,101400,185,2017
Lake,FL,155100,368,2017
Lee,FL,190200,429,2017
Leon,FL,187400,426,2017
Levy,FL,88700,119,2017
Liberty,FL,62400,14,2017
Madison,FL,87200,108,2017
Manatee,FL,197200,436,2017
Marion,FL,119200,265,2017
Martin,FL,233000,464,2017
Miami-Dade,FL,242800,470,2017
Monroe,FL,429000,503,2017
Nassau,FL,203500,442,2017
Okaloosa,FL,198700,438,2017
Okeechobee,FL,89900,127,2017
Orange,FL,192400,431,2017
Osceola,FL,164500,390,2017
Palm Beach,FL,242500,470,2017
Pasco,FL,134300,312,2017
Pinellas,FL,167100,397,2017
Polk,FL,121100,272,2017
Putnam,FL,82800,84,2017
St. Johns,FL,274600,484,2017
St. Lucie,FL,150700,355,2017
Santa Rosa,FL,170500,403,2017
Sarasota,FL,215300,452,2017
Seminole,FL,201900,440,2017
Sumter,FL,239800,468,2017
Suwannee,FL,92400,140,2017
Taylor,FL,84900,94,2017
Union,FL,89000,122,2017
Volusia,FL,149900,352,2017
Wakulla,FL,133700,311,2017
Walton,FL,203100,441,2017
Washington,FL,102700,191,2017
Appling,GA,72100,37,2017
Atkinson,GA,62500,14,2017
Bacon,GA,73200,41,2017
Baker,GA,79500,64,2017
Baldwin,GA,108800,217,2017
Banks,GA,128900,297,2017
Barrow,GA,134300,312,2017
Bartow,GA,140500,330,2017
Ben Hill,GA,81200,74,2017
Berrien,GA,86700,105,2017
Bibb,GA,117300,258,2017
Bleckley,GA,98800,176,2017
Brantley,GA,68200,26,2017
Brooks,GA,92400,140,2017
Bryan,GA,201700,440,2017
Bulloch,GA,131200,304,2017
Burke,GA,86500,104,2017
Butts,GA,121500,273,2017
Calhoun,GA,49000,2,2017
Camden,GA,154500,366,2017
Candler,GA,88600,119,2017
Carroll,GA,119600,266,2017
Catoosa,GA,138800,324,2017
Charlton,GA,82200,81,2017
Chatham,GA,177900,416,2017
Chattahoochee,GA,81700,77,2017
Chattooga,GA,68500,27,2017
Cherokee,GA,220200,455,2017
Clarke,GA,154600,366,2017
Clay,GA,59900,10,2017
Clayton,GA,89400,124,2017
Clinch,GA,63100,16,2017
Cobb,GA,219700,454,2017
Coffee,GA,87600,112,2017
Colquitt,GA,84500,92,2017
