county,state,medianAge,medianAgeBucket,year
Autauga,AL,37.8,119,2018
Baldwin,AL,42.8,329,2018
Barbour,AL,39.9,196,2018
Bibb,AL,39.9,196,2018
Blount,AL,40.8,239,2018
Bullock,AL,39.6,183,2018
Butler,AL,40.7,233,2018
Calhoun,AL,39.7,188,2018
Chambers,AL,43.0,339,2018
Cherokee,AL,45.9,424,2018
Chilton,AL,38.6,146,2018
Choctaw,AL,46.1,431,2018
Clarke,AL,42.3,308,2018
Clay,AL,43.7,364,2018
Cleburne,AL,42.5,317,2018
Coffee,AL,39.3,172,2018
Colbert,AL,42.7,326,2018
Conecuh,AL,44.8,399,2018
Coosa,AL,46.9,445,2018
Covington,AL,43.9,371,2018
Crenshaw,AL,41.5,272,2018
Cullman,AL,40.6,228,2018
Dale,AL,37.5,109,2018
Dallas,AL,39.5,180,2018
DeKalb,AL,39.3,172,2018
Elmore,AL,38.6,146,2018
Escambia,AL,39.7,188,2018
Etowah,AL,41.3,263,2018
Fayette,AL,43.8,368,2018
Franklin,AL,37.6,113,2018
Geneva,AL,42.4,313,2018
Greene,AL,42.5,317,2018
Hale,AL,39.2,168,2018
Henry,AL,44.1,378,2018
Houston,AL,39.8,191,2018
Jackson,AL,43.3,351,2018
Jefferson,AL,37.7,115,2018
Lamar,AL,44.5,391,2018
Lauderdale,AL,41.4,267,2018
Lawrence,AL,42.2,304,2018
Lee,AL,31.4,19,2018
Limestone,AL,39.5,180,2018
Lowndes,AL,41.6,278,2018
Macon,AL,38.0,126,2018
Madison,AL,38.5,143,2018
Marengo,AL,42.7,326,2018
Marion,AL,44.3,384,2018
Marshall,AL,38.7,149,2018
Mobile,AL,37.6,113,2018
Monroe,AL,42.3,308,2018
Montgomery,AL,36.2,79,2018
Morgan,AL,40.4,220,2018
Perry,AL,37.7,115,2018
Pickens,AL,42.4,313,2018
Pike,AL,30.8,15,2018
Randolph,AL,42.7,326,2018
Russell,AL,35.9,71,2018
St. Clair,AL,40.3,214,2018
Shelby,AL,38.9,157,2018
Sumter,AL,35.8,69,2018
Talladega,AL,41.1,253,2018
Tallapoosa,AL,43.7,364,2018
Tuscaloosa,AL,32.7,29,2018
Walker,AL,42.4,313,2018
Washington,AL,43.6,361,2018
Wilcox,AL,40.8,239,2018
Winston,AL,44.9,402,2018
Aleutians East,AK,42.7,326,2018
Aleutians West,AK,37.6,113,2018
Anchorage,AK,33.2,32,2018
Bethel,AK,27.1,3,2018
Bristol Bay,AK,41.8,286,2018
Denali,AK,43.1,343,2018
Dillingham,AK,30.3,11,2018
