county,state,crimeRate,crimeRateBucket,year
St. Louis,MO,303.3619454,371,2018
Crittenden,AR,1754.914968,511,2018
Alexander,IL,1664.700485,511,2018
Kenedy,TX,1456.31068,511,2018
De Soto,LA,1447.40243,511,2018
Baltimore,MD,508.0101821,464,2018
Shelby,TN,1315.003752,511,2018
Marlboro,SC,1253.437132,511,2018
Storey,NV,1217.656012,510,2018
District of,,1216.801325,510,2018
Dillon,SC,1165.583272,510,2018
Scott,MO,1163.145839,510,2018
Philadelphia,PA,1150.29633,510,2018
Pershing,NV,1148.756725,510,2018
Greenwood,SC,1140.226324,509,2018
Madison,TN,1138.42383,509,2018
Davidson,TN,1129.513728,509,2018
Marion,IN,1083.508119,509,2018
Wayne,MI,1065.188284,509,2018
Jackson,MO,1026.623686,509,2018
Northwest Arctic,AK,1014.964216,508,2018
Pemiscot,MO,998.7095326,508,2018
Iberville,LA,974.0162436,508,2018
Pulaski,AR,959.9165823,508,2018
Jefferson,AR,959.1343198,508,2018
Miller,AR,956.1771347,508,2018
Muskogee,OK,954.4400666,507,2018
Barnwell,SC,953.9310095,507,2018
Tangipahoa,LA,952.8593755,507,2018
Marion,SC,941.6313295,507,2018
Dillingham,AK,938.1237525,507,2018
Dougherty,GA,930.4176661,507,2018
Carter,OK,930.0694974,506,2018
Genesee,MI,922.7783984,506,2018
Macon,AL,919.341731,506,2018
Milwaukee,WI,912.6349471,506,2018
Richland,SC,911.4452882,506,2018
Grundy,TN,911.2461105,506,2018
Greene,AL,903.4766697,505,2018
Rock,MN,892.8571429,505,2018
San Joaquin,CA,887.1644385,505,2018
Pottawattamie,IA,873.5225606,505,2018
Nolan,TX,871.1844118,505,2018
Kodiak,AK,856.0311284,505,2018
Winnebago,IL,854.9331535,504,2018
Suffolk,MA,831.2342903,504,2018
Saginaw,MI,828.830479,504,2018
Dallas,AL,828.6503477,504,2018
Fulton,GA,826.1767583,504,2018
Anchorage,AK,824.7217146,504,2018
Madison,FL,822.2981632,503,2018
Phillips,AR,818.6675817,503,2018
Sangamon,IL,817.9969369,503,2018
Haywood,TN,812.1158911,503,2018
Lucas,OH,810.9662621,503,2018
Robeson,NC,809.8427036,503,2018
Meade,KS,805.8945429,503,2018
Escambia,FL,798.51676,502,2018
Jefferson,AL,798.3574913,502,2018
Nicholas,WV,793.3756981,502,2018
Franklin,FL,793.2402138,502,2018
St. Clair,IL,782.1542957,502,2018
Orleans,LA,782.1184796,502,2018
Ector,TX,781.9089826,501,2018
Avoyelles,LA,777.2585293,501,2018
Rapides,LA,773.792033,501,2018
Sumter,SC,767.644257,501,2018
Comanche,OK,766.7864604,501,2018
Mississippi,AR,763.9897241,501,2018
Colleton,SC,762.1467132,500,2018
Modoc,CA,754.3456871,500,2018
Alameda,CA,753.6935735,500,2018
Sumter,GA,752.455044,500,2018
Darlington,SC,746.3016118,500,2018
Red River,LA,742.0733078,500,2018
Lubbock,TX,740.6920961,499,2018
Socorro,NM,739.3084622,499,2018
Duval,TX,738.8316151,499,2018
Bernalillo,NM,738.4818924,499,2018
