county,state,percentCollege,percentCollegeBucket,year
Autauga,AL,27.7,408,2018
Baldwin,AL,31.3,441,2018
Barbour,AL,12.2,49,2018
Bibb,AL,11.5,36,2018
Blount,AL,12.6,60,2018
Bullock,AL,13.3,77,2018
Butler,AL,16.1,161,2018
Calhoun,AL,18.0,218,2018
Chambers,AL,13.2,75,2018
Cherokee,AL,12.9,69,2018
Chilton,AL,14.2,103,2018
Choctaw,AL,13.0,70,2018
Clarke,AL,12.6,60,2018
Clay,AL,10.2,17,2018
Cleburne,AL,13.7,89,2018
Coffee,AL,23.4,353,2018
Colbert,AL,18.7,240,2018
Conecuh,AL,10.7,23,2018
Coosa,AL,11.6,38,2018
Covington,AL,14.9,124,2018
Crenshaw,AL,15.6,145,2018
Cullman,AL,13.7,89,2018
Dale,AL,17.0,187,2018
Dallas,AL,15.1,129,2018
DeKalb,AL,12.7,63,2018
Elmore,AL,24.5,373,2018
Escambia,AL,12.7,63,2018
Etowah,AL,17.7,210,2018
Fayette,AL,12.9,69,2018
Franklin,AL,12.9,69,2018
Geneva,AL,11.1,28,2018
Greene,AL,10.1,16,2018
Hale,AL,14.1,100,2018
Henry,AL,18.0,218,2018
Houston,AL,21.0,305,2018
Jackson,AL,14.2,103,2018
Jefferson,AL,32.4,451,2018
Lamar,AL,12.5,57,2018
Lauderdale,AL,23.9,363,2018
Lawrence,AL,11.7,40,2018
Lee,AL,34.1,461,2018
Limestone,AL,25.5,384,2018
Lowndes,AL,14.1,100,2018
Macon,AL,20.7,297,2018
Madison,AL,41.7,489,2018
Marengo,AL,15.4,138,2018
Marion,AL,13.1,73,2018
Marshall,AL,19.2,254,2018
Mobile,AL,22.9,343,2018
Monroe,AL,14.1,100,2018
Montgomery,AL,32.1,449,2018
Morgan,AL,21.7,318,2018
Perry,AL,15.7,147,2018
Pickens,AL,13.5,83,2018
Pike,AL,23.6,358,2018
Randolph,AL,14.9,124,2018
Russell,AL,16.5,172,2018
