county,state,population,populationBucket,year
Autauga,AL,43368,361,2018
Baldwin,AL,167712,462,2018
Barbour,AL,20948,256,2018
Bibb,AL,18470,236,2018
Blount,AL,45915,368,2018
Bullock,AL,8413,120,2018
Butler,AL,15970,211,2018
Calhoun,AL,93023,427,2018
Chambers,AL,27656,297,2018
Cherokee,AL,21349,259,2018
Chilton,AL,34516,331,2018
Choctaw,AL,10800,149,2018
Clarke,AL,19763,245,2018
Clay,AL,10843,150,2018
Cleburne,AL,11847,163,2018
Coffee,AL,40510,353,2018
Colbert,AL,44328,364,2018
Conecuh,AL,10152,144,2018
Coosa,AL,9227,130,2018
Covington,AL,30107,310,2018
Crenshaw,AL,11106,155,2018
Cullman,AL,65879,402,2018
Dale,AL,39028,349,2018
Dallas,AL,31400,317,2018
DeKalb,AL,55947,388,2018
Elmore,AL,65199,401,2018
Escambia,AL,29981,309,2018
Etowah,AL,83391,419,2018
Fayette,AL,13491,183,2018
Franklin,AL,24598,280,2018
Geneva,AL,21376,259,2018
Greene,AL,6661,91,2018
Hale,AL,11857,164,2018
Henry,AL,13980,190,2018
Houston,AL,82833,419,2018
Jackson,AL,42344,358,2018
Jefferson,AL,525347,496,2018
Lamar,AL,11160,155,2018
Lauderdale,AL,76107,412,2018
Lawrence,AL,26741,293,2018
Lee,AL,128804,447,2018
Limestone,AL,74268,411,2018
Lowndes,AL,8097,116,2018
Macon,AL,16058,213,2018
Madison,AL,287944,481,2018
Marengo,AL,15703,209,2018
Marion,AL,24333,279,2018
Marshall,AL,74128,410,2018
Mobile,AL,327952,485,2018
Monroe,AL,17132,223,2018
Montgomery,AL,179544,465,2018
Morgan,AL,94987,428,2018
Perry,AL,7699,108,2018
Pickens,AL,16837,221,2018
Pike,AL,27676,297,2018
Randolph,AL,18218,233,2018
Russell,AL,45527,367,2018
St. Clair,AL,69474,405,2018
Shelby,AL,166663,461,2018
Sumter,AL,10765,148,2018
Talladega,AL,65443,402,2018
Tallapoosa,AL,33023,325,2018
Tuscaloosa,AL,167611,462,2018
Walker,AL,51826,381,2018
Washington,AL,13563,184,2018
Wilcox,AL,8573,123,2018
Winston,AL,19505,244,2018
Aleutians East,AK,3003,35,2018
Aleutians West,AK,4878,63,2018
Anchorage,AK,230429,474,2018
Bethel,AK,12230,169,2018
Bristol Bay,AK,720,4,2018
Denali,AK,2011,21,2018
Dillingham,AK,3602,43,2018
Fairbanks North Star,AK,77606,414,2018
Haines,AK,2008,21,2018
Hoonah-Angoon,AK,1827,18,2018
Juneau City,AK,26168,289,2018
Kenai Peninsula,AK,46420,369,2018
Ketchikan Gateway,AK,11024,153,2018
Kodiak,AK,10417,146,2018
Kusilvak,AK,5184,67,2018
Lake and Peninsula,AK,1056,7,2018
Matanuska-Susitna,AK,78437,415,2018
Nome,AK,6886,95,2018
North Slope,AK,7530,106,2018
Northwest Arctic,AK,5279,69,2018
Petersburg,AK,2597,30,2018
Prince of Wales-Hyder,AK,5099,66,2018
Sitka City,AK,7058,97,2018
Skagway,AK,904,6,2018
Southeast Fairbanks,AK,5186,67,2018
Valdez-Cordova,AK,7289,102,2018
Wrangell City,AK,2070,22,2018
Yakutat City,AK,518,2,2018
Yukon-Koyukuk,AK,4092,50,2018
Apache,AZ,54045,384,2018
Cochise,AZ,101377,432,2018
Coconino,AZ,114113,440,2018
Gila,AZ,43569,362,2018
Graham,AZ,28750,304,2018
Greenlee,AZ,7125,99,2018
La Paz,AZ,17724,229,2018
Maricopa,AZ,3329961,511,2018
Mohave,AZ,173770,463,2018
Navajo,AZ,82143,418,2018
Pima,AZ,826613,505,2018
Pinal,AZ,332316,485,2018
Santa Cruz,AZ,35433,335,2018
Yavapai,AZ,191513,468,2018
Yuma,AZ,160374,460,2018
Arkansas,AR,14579,197,2018
Ashley,AR,16167,214,2018
Baxter,AR,34881,333,2018
Benton,AR,197430,469,2018
Boone,AR,29661,308,2018
Bradley,AR,8592,123,2018
Calhoun,AR,4292,53,2018
Carroll,AR,22412,267,2018
Chicot,AR,8637,124,2018
Clark,AR,18620,237,2018
Clay,AR,12104,167,2018
Cleburne,AR,21054,256,2018
Cleveland,AR,6583,89,2018
Columbia,AR,19563,244,2018
Conway,AR,16512,218,2018
Craighead,AR,82418,418,2018
Crawford,AR,48792,374,2018
Crittenden,AR,37033,343,2018
Cross,AR,13439,183,2018
Dallas,AR,6013,81,2018
Desha,AR,9212,130,2018
Drew,AR,14954,201,2018
Faulkner,AR,96793,429,2018
Franklin,AR,14171,192,2018
Fulton,AR,9914,139,2018
Garland,AR,80534,417,2018
Grant,AR,14497,196,2018
Greene,AR,34974,334,2018
Hempstead,AR,16885,222,2018
Hot Spring,AR,27356,296,2018
Howard,AR,10289,145,2018
Independence,AR,29311,306,2018
Izard,AR,11357,157,2018
Jackson,AR,14128,192,2018
Jefferson,AR,56399,389,2018
Johnson,AR,20534,252,2018
Lafayette,AR,5727,76,2018
Lawrence,AR,13391,182,2018
Lee,AR,7895,112,2018
Lincoln,AR,11608,160,2018
Little River,AR,9983,141,2018
Logan,AR,17549,227,2018
Lonoke,AR,55508,387,2018
Madison,AR,12857,176,2018
Marion,AR,13755,187,2018
Miller,AR,34695,333,2018
Mississippi,AR,32924,325,2018
Monroe,AR,5951,80,2018
Montgomery,AR,7504,106,2018
Nevada,AR,6716,91,2018
Newton,AR,6484,87,2018
Ouachita,AR,19156,241,2018
Perry,AR,8220,118,2018
Phillips,AR,14594,198,2018
Pike,AR,8691,125,2018
Poinsett,AR,19017,240,2018
Polk,AR,16070,213,2018
Pope,AR,50692,377,2018
Prairie,AR,6766,93,2018
Pulaski,AR,310864,484,2018
Randolph,AR,13913,189,2018
St. Francis,AR,21205,258,2018
Saline,AR,93508,427,2018
Scott,AR,8059,115,2018
Searcy,AR,6517,88,2018
Sebastian,AR,100052,431,2018
Sevier,AR,12853,176,2018
Sharp,AR,13807,188,2018
Stone,AR,10303,145,2018
Union,AR,31098,316,2018
Van Buren,AR,13692,186,2018
Washington,AR,177873,465,2018
White,AR,62339,396,2018
Woodruff,AR,5383,70,2018
Yell,AR,16799,220,2018
Alameda,CA,1335756,508,2018
Alpine,CA,934,6,2018
Amador,CA,32677,323,2018
Butte,CA,186682,466,2018
Calaveras,CA,38555,348,2018
Colusa,CA,16229,215,2018
Contra Costa,CA,902257,506,2018
Del Norte,CA,22005,264,2018
El Dorado,CA,153562,458,2018
Fresno,CA,727089,503,2018
Glenn,CA,21351,259,2018
Humboldt,CA,112208,439,2018
Imperial,CA,133957,449,2018
Inyo,CA,14865,200,2018
Kern,CA,652959,500,2018
Kings,CA,113475,439,2018
Lake,CA,52331,381,2018
Lassen,CA,26739,293,2018
Los Angeles,CA,8115158,511,2018
Madera,CA,117191,440,2018
Marin,CA,212991,471,2018
Mariposa,CA,15019,203,2018
Mendocino,CA,71065,407,2018
Merced,CA,197980,469,2018
Modoc,CA,7429,105,2018
Mono,CA,11803,163,2018
Monterey,CA,331250,485,2018
Napa,CA,114489,440,2018
Nevada,CA,84229,421,2018
Orange,CA,2538090,511,2018
Placer,CA,304646,483,2018
Plumas,CA,15985,212,2018
Riverside,CA,1842591,510,2018
Sacramento,CA,1186871,507,2018
San Benito,CA,45675,367,2018
San Bernardino,CA,1628558,509,2018
San Diego,CA,2656740,511,2018
San Francisco,CA,764514,504,2018
San Joaquin,CA,553741,497,2018
San Luis Obispo,CA,236821,474,2018
San Mateo,CA,622386,499,2018
Santa Barbara,CA,355380,487,2018
Santa Clara,CA,1537154,509,2018
Santa Cruz,CA,226263,473,2018
Shasta,CA,144873,454,2018
Sierra,CA,2540,29,2018
Siskiyou,CA,35851,337,2018
Solano,CA,351136,487,2018
Sonoma,CA,412126,491,2018
Stanislaus,CA,408846,491,2018
Sutter,CA,73619,410,2018
Tehama,CA,50022,375,2018
Trinity,CA,11015,153,2018
Tulare,CA,332597,486,2018
Tuolumne,CA,46031,368,2018
Ventura,CA,672054,501,2018
Yolo,CA,174246,463,2018
Yuba,CA,56589,389,2018
Adams,CO,375829,489,2018
Alamosa,CO,12928,177,2018
Arapahoe,CO,500149,495,2018
Archuleta,CO,10884,151,2018
Baca,CO,2919,34,2018
Bent,CO,5013,64,2018
Boulder,CO,265772,479,2018
Broomfield,CO,52250,381,2018
Chaffee,CO,16506,218,2018
Cheyenne,CO,1423,11,2018
Clear Creek,CO,8144,117,2018
Conejos,CO,6161,83,2018
Costilla,CO,3119,37,2018
Crowley,CO,5005,64,2018
Custer,CO,3919,48,2018
Delta,CO,24876,281,2018
Denver,CO,565681,497,2018
Dolores,CO,1493,12,2018
Douglas,CO,249787,477,2018
Eagle,CO,43557,362,2018
Elbert,CO,20263,250,2018
El Paso,CO,537548,496,2018
Fremont,CO,40157,353,2018
Garfield,CO,45135,365,2018
Gilpin,CO,5065,65,2018
Grand,CO,12783,175,2018
Gunnison,CO,14008,191,2018
Hinsdale,CO,754,5,2018
Huerfano,CO,5576,73,2018
Jackson,CO,1056,7,2018
Jefferson,CO,468288,494,2018
Kiowa,CO,1082,8,2018
Kit Carson,CO,6025,81,2018
Lake,CO,6524,88,2018
La Plata,CO,45680,367,2018
Larimer,CO,278231,480,2018
Las Animas,CO,11923,165,2018
Lincoln,CO,4575,58,2018
Logan,CO,17547,227,2018
Mesa,CO,120743,443,2018
Mineral,CO,750,4,2018
Moffat,CO,10109,142,2018
Montezuma,CO,20679,252,2018
Montrose,CO,33205,327,2018
Morgan,CO,21640,261,2018
Otero,CO,14617,198,2018
Ouray,CO,4110,51,2018
Park,CO,14699,198,2018
Phillips,CO,3327,40,2018
Pitkin,CO,15391,205,2018
Prowers,CO,9333,132,2018
Pueblo,CO,131204,448,2018
Rio Blanco,CO,4944,64,2018
Rio Grande,CO,9111,129,2018
Routt,CO,20919,255,2018
Saguache,CO,5198,68,2018
San Juan,CO,485,1,2018
San Miguel,CO,6650,90,2018
Sedgwick,CO,1863,18,2018
Summit,CO,26020,288,2018
Teller,CO,20223,249,2018
Washington,CO,3877,47,2018
Weld,CO,224773,473,2018
Yuma,CO,7643,108,2018
Fairfield,CT,754186,504,2018
Hartford,CT,728562,503,2018
Litchfield,CT,153270,457,2018
Middlesex,CT,137404,452,2018
New Haven,CT,705188,502,2018
New London,CT,221822,472,2018
Tolland,CT,128117,447,2018
Windham,CT,96042,428,2018
Kent,DE,138560,452,2018
New Castle,DE,448732,493,2018
Sussex,DE,182501,465,2018
District of,,573275,498,2018
Alachua,FL,220874,472,2018
Baker,FL,21823,263,2018
Bay,FL,147639,455,2018
Bradford,FL,22163,266,2018
Brevard,FL,483529,494,2018
Broward,FL,1548232,509,2018
Calhoun,FL,11692,162,2018
Charlotte,FL,157559,459,2018
Citrus,FL,124572,445,2018
Clay,FL,164191,461,2018
Collier,FL,306944,483,2018
Columbia,FL,55717,387,2018
DeSoto,FL,30080,310,2018
Dixie,FL,13784,188,2018
Duval,FL,736370,503,2018
Escambia,FL,253420,477,2018
Flagler,FL,90732,426,2018
Franklin,FL,9984,141,2018
Gadsden,FL,36778,341,2018
Gilchrist,FL,14590,197,2018
Glades,FL,11359,157,2018
Gulf,FL,13765,187,2018
Hamilton,FL,11861,164,2018
Hardee,FL,20696,253,2018
Hendry,FL,30659,314,2018
Hernando,FL,152965,457,2018
Highlands,FL,86414,422,2018
Hillsborough,FL,1099131,507,2018
Holmes,FL,16046,213,2018
Indian River,FL,128348,447,2018
Jackson,FL,40615,354,2018
Jefferson,FL,12053,167,2018
Lafayette,FL,7122,98,2018
Lake,FL,277084,480,2018
Lee,FL,603414,499,2018
Leon,FL,240470,475,2018
Levy,FL,32804,324,2018
Liberty,FL,7167,99,2018
Madison,FL,15393,206,2018
Manatee,FL,311554,484,2018
Marion,FL,290875,481,2018
Martin,FL,134443,449,2018
Miami-Dade,FL,2225127,510,2018
Monroe,FL,66241,403,2018
Nassau,FL,66527,403,2018
Okaloosa,FL,160704,460,2018
Okeechobee,FL,32980,325,2018
Orange,FL,1056717,507,2018
Osceola,FL,265154,479,2018
Palm Beach,FL,1199454,508,2018
Pasco,FL,419278,491,2018
Pinellas,FL,817802,505,2018
Polk,FL,535543,496,2018
Putnam,FL,58773,391,2018
St. Johns,FL,190328,468,2018
St. Lucie,FL,251190,477,2018
Santa Rosa,FL,137129,451,2018
Sarasota,FL,359861,487,2018
Seminole,FL,369943,488,2018
Sumter,FL,113104,439,2018
Suwannee,FL,35583,336,2018
Taylor,FL,18353,234,2018
Union,FL,12682,174,2018
Volusia,FL,444927,493,2018
Wakulla,FL,25829,287,2018
Walton,FL,53932,384,2018
Washington,FL,20237,249,2018
Appling,GA,14381,195,2018
Atkinson,GA,6248,84,2018
Bacon,GA,8628,124,2018
Baker,GA,2633,30,2018
Baldwin,GA,37591,345,2018
Banks,GA,14796,199,2018
Barrow,GA,58691,391,2018
Bartow,GA,81090,417,2018
Ben Hill,GA,13359,181,2018
Berrien,GA,14957,201,2018
Bibb,GA,120201,442,2018
Bleckley,GA,10338,145,2018
Brantley,GA,14554,197,2018
Brooks,GA,12647,173,2018
Bryan,GA,26693,292,2018
Bulloch,GA,61320,395,2018
Burke,GA,17390,225,2018
Butts,GA,19323,242,2018
Calhoun,GA,5433,71,2018
Camden,GA,41008,355,2018
Candler,GA,8433,120,2018
Carroll,GA,91456,426,2018
Catoosa,GA,52889,382,2018
Charlton,GA,10655,147,2018
Chatham,GA,231090,474,2018
Chattahoochee,GA,8538,122,2018
Chattooga,GA,19894,246,2018
Cherokee,GA,188094,467,2018
Clarke,GA,105156,434,2018
Clay,GA,2462,28,2018
Clayton,GA,208902,471,2018
Clinch,GA,5118,66,2018
Cobb,GA,585321,498,2018
Coffee,GA,33577,328,2018
Colquitt,GA,34737,333,2018
Columbia,GA,114038,439,2018
Cook,GA,13282,181,2018
Coweta,GA,109381,437,2018
Crawford,GA,10083,142,2018
Crisp,GA,17783,230,2018
Dade,GA,13540,184,2018
Dawson,GA,19482,243,2018
Decatur,GA,20981,256,2018
DeKalb,GA,586377,498,2018
Dodge,GA,17162,224,2018
Dooly,GA,11726,162,2018
Dougherty,GA,71320,407,2018
Douglas,GA,109399,437,2018
Early,GA,8155,117,2018
Echols,GA,3251,39,2018
Effingham,GA,44642,364,2018
Elbert,GA,15440,206,2018
Emanuel,GA,17372,225,2018
Evans,GA,8148,117,2018
Fannin,GA,21172,258,2018
Fayette,GA,89345,424,2018
Floyd,GA,76630,413,2018
Forsyth,GA,165073,461,2018
Franklin,GA,18307,234,2018
Fulton,GA,816772,504,2018
Gilmer,GA,24832,281,2018
Glascock,GA,2407,27,2018
Glynn,GA,67031,403,2018
Gordon,GA,44541,364,2018
Grady,GA,19358,242,2018
Greene,GA,14018,191,2018
Gwinnett,GA,684606,502,2018
Habersham,GA,35482,336,2018
Hall,GA,151110,456,2018
Hancock,GA,7390,104,2018
Haralson,GA,22798,271,2018
Harris,GA,27173,295,2018
Hart,GA,20850,254,2018
Heard,GA,9214,130,2018
Henry,GA,171073,462,2018
Houston,GA,116745,440,2018
Irwin,GA,7517,106,2018
Jackson,GA,50575,377,2018
Jasper,GA,10814,150,2018
Jeff Davis,GA,11317,157,2018
Jefferson,GA,12445,170,2018
Jenkins,GA,6987,96,2018
Johnson,GA,8028,115,2018
Jones,GA,22650,270,2018
Lamar,GA,15239,205,2018
Lanier,GA,7945,113,2018
Laurens,GA,36928,342,2018
Lee,GA,22507,268,2018
Liberty,GA,46086,368,2018
Lincoln,GA,6462,86,2018
Long,GA,13501,183,2018
Lowndes,GA,89905,425,2018
Lumpkin,GA,26842,294,2018
McDuffie,GA,16576,219,2018
McIntosh,GA,11963,165,2018
Macon,GA,11155,155,2018
Madison,GA,22852,271,2018
Marion,GA,7075,97,2018
Meriwether,GA,17052,223,2018
Miller,GA,4667,59,2018
Mitchell,GA,17722,229,2018
Monroe,GA,22125,266,2018
Montgomery,GA,7359,103,2018
Morgan,GA,14560,197,2018
Murray,GA,30742,315,2018
Muscogee,GA,153031,457,2018
Newton,GA,81432,417,2018
Oconee,GA,28587,302,2018
Oglethorpe,GA,12000,166,2018
Paulding,GA,119266,442,2018
Peach,GA,21830,263,2018
Pickens,GA,25169,283,2018
Pierce,GA,14918,201,2018
Pike,GA,14417,195,2018
Polk,GA,32249,322,2018
Pulaski,GA,9741,137,2018
Putnam,GA,17658,228,2018
Quitman,GA,1892,19,2018
Rabun,GA,14051,191,2018
Randolph,GA,5321,70,2018
Richmond,GA,159492,460,2018
Rockdale,GA,69309,405,2018
Schley,GA,4179,52,2018
Screven,GA,11284,156,2018
Seminole,GA,6844,94,2018
Spalding,GA,50639,377,2018
Stephens,GA,20590,252,2018
Stewart,GA,5360,70,2018
Sumter,GA,24015,277,2018
Talbot,GA,5437,71,2018
Taliaferro,GA,1463,12,2018
Tattnall,GA,20775,254,2018
Taylor,GA,6705,91,2018
Telfair,GA,13604,185,2018
Terrell,GA,7100,98,2018
Thomas,GA,35133,334,2018
Tift,GA,31406,318,2018
Toombs,GA,20598,252,2018
Towns,GA,10137,143,2018
Treutlen,GA,5376,70,2018
Troup,GA,54233,385,2018
Turner,GA,6226,84,2018
Twiggs,GA,6863,94,2018
Union,GA,19369,242,2018
Upson,GA,20875,255,2018
Walker,GA,55487,387,2018
Walton,GA,69892,406,2018
Ware,GA,27971,299,2018
Warren,GA,4335,54,2018
