county,state,percentHighSchool,percentHighSchoolBucket,year
Autauga,AL,88.7,292,2018
Baldwin,AL,90.3,351,2018
Barbour,AL,73.0,21,2018
Bibb,AL,83.2,144,2018
Blount,AL,80.2,91,2018
Bullock,AL,75.2,33,2018
Butler,AL,84.6,174,2018
Calhoun,AL,84.1,162,2018
Chambers,AL,81.4,113,2018
Cherokee,AL,80.2,91,2018
Chilton,AL,82.2,127,2018
Choctaw,AL,81.4,113,2018
Clarke,AL,81.2,109,2018
Clay,AL,75.5,36,2018
Cleburne,AL,77.4,52,2018
Coffee,AL,86.2,216,2018
Colbert,AL,84.4,169,2018
Conecuh,AL,80.8,101,2018
Coosa,AL,79.6,80,2018
Covington,AL,82.9,138,2018
Crenshaw,AL,78.4,64,2018
Cullman,AL,81.8,120,2018
Dale,AL,85.8,205,2018
Dallas,AL,80.7,98,2018
DeKalb,AL,74.1,26,2018
Elmore,AL,86.4,220,2018
Escambia,AL,81.5,115,2018
Etowah,AL,84.5,172,2018
Fayette,AL,82.4,130,2018
Franklin,AL,76.8,45,2018
Geneva,AL,79.1,73,2018
Greene,AL,75.9,39,2018
Hale,AL,83.6,152,2018
Henry,AL,80.2,91,2018
Houston,AL,85.7,202,2018
Jackson,AL,82.5,132,2018
Jefferson,AL,89.7,326,2018
Lamar,AL,82.4,130,2018
Lauderdale,AL,87.4,248,2018
Lawrence,AL,79.0,71,2018
Lee,AL,90.5,358,2018
Limestone,AL,84.3,168,2018
Lowndes,AL,77.5,53,2018
Macon,AL,81.7,119,2018
Madison,AL,91.1,381,2018
Marengo,AL,83.8,156,2018
Marion,AL,79.7,82,2018
Marshall,AL,80.9,103,2018
Mobile,AL,86.2,216,2018
Monroe,AL,83.7,154,2018
Montgomery,AL,85.6,200,2018
Morgan,AL,83.3,146,2018
Perry,AL,78.1,59,2018
Pickens,AL,80.6,96,2018
Pike,AL,81.0,106,2018
Randolph,AL,78.8,70,2018
Russell,AL,83.3,146,2018
St. Clair,AL,84.8,179,2018
Shelby,AL,92.2,420,2018
Sumter,AL,84.2,165,2018
Talladega,AL,81.0,106,2018
Tallapoosa,AL,80.5,95,2018
Tuscaloosa,AL,88.4,280,2018
Walker,AL,80.9,103,2018
Washington,AL,80.4,93,2018
Wilcox,AL,76.9,47,2018
Winston,AL,78.1,59,2018
Aleutians East,AK,86.4,220,2018
Aleutians West,AK,88.8,295,2018
Anchorage,AK,93.8,471,2018
Bethel,AK,81.4,113,2018
Bristol Bay,AK,94.4,484,2018
Denali,AK,98.4,511,2018
Dillingham,AK,87.3,245,2018
Fairbanks North Star,AK,94.5,485,2018
Haines,AK,97.0,509,2018
Hoonah-Angoon,AK,91.5,397,2018
