county,state,medianHomeValue,medianHomeValueBucket,year
Autauga,AL,147900,333,2018
Baldwin,AL,189800,419,2018
Barbour,AL,92900,125,2018
Bibb,AL,96500,143,2018
Blount,AL,124700,270,2018
Bullock,AL,77500,48,2018
Butler,AL,88300,100,2018
Calhoun,AL,113800,224,2018
Chambers,AL,88400,101,2018
Cherokee,AL,123100,263,2018
Chilton,AL,102200,173,2018
Choctaw,AL,75200,39,2018
Clarke,AL,100800,166,2018
Clay,AL,102200,173,2018
Cleburne,AL,112000,215,2018
Coffee,AL,149100,337,2018
Colbert,AL,113500,223,2018
Conecuh,AL,76600,45,2018
Coosa,AL,87900,98,2018
Covington,AL,95500,139,2018
Crenshaw,AL,79500,56,2018
Cullman,AL,124100,268,2018
Dale,AL,110100,207,2018
Dallas,AL,82600,70,2018
DeKalb,AL,102700,175,2018
Elmore,AL,161100,368,2018
Escambia,AL,98200,152,2018
Etowah,AL,109900,206,2018
Fayette,AL,83800,77,2018
Franklin,AL,87800,97,2018
Geneva,AL,92300,122,2018
Greene,AL,66400,18,2018
Hale,AL,92700,123,2018
Henry,AL,115100,230,2018
Houston,AL,130500,288,2018
Jackson,AL,105300,187,2018
Jefferson,AL,154400,352,2018
Lamar,AL,77200,46,2018
Lauderdale,AL,136400,304,2018
Lawrence,AL,107200,195,2018
Lee,AL,165000,378,2018
Limestone,AL,152900,348,2018
Lowndes,AL,66300,17,2018
Macon,AL,79500,56,2018
Madison,AL,180600,408,2018
Marengo,AL,90000,111,2018
Marion,AL,86500,91,2018
Marshall,AL,122500,260,2018
Mobile,AL,126600,276,2018
Monroe,AL,103000,176,2018
Montgomery,AL,127500,281,2018
Morgan,AL,131000,290,2018
Perry,AL,65900,17,2018
Pickens,AL,97500,148,2018
Pike,AL,117400,240,2018
Randolph,AL,88700,102,2018
Russell,AL,118600,245,2018
St. Clair,AL,148200,334,2018
Shelby,AL,204500,434,2018
Sumter,AL,74600,38,2018
Talladega,AL,101800,171,2018
Tallapoosa,AL,107800,198,2018
Tuscaloosa,AL,166000,382,2018
Walker,AL,93100,126,2018
Washington,AL,85200,83,2018
Wilcox,AL,82200,68,2018
Winston,AL,87800,97,2018
Aleutians East,AK,123000,263,2018
Aleutians West,AK,247900,467,2018
Anchorage,AK,308000,489,2018
Bethel,AK,110200,207,2018
Bristol Bay,AK,179500,406,2018
Denali,AK,203500,433,2018
Dillingham,AK,183200,411,2018
Fairbanks North Star,AK,236800,459,2018
Haines,AK,258100,472,2018
Hoonah-Angoon,AK,228500,454,2018
Juneau City,AK,344000,495,2018
Kenai Peninsula,AK,239800,462,2018
Ketchikan Gateway,AK,272300,478,2018
Kodiak,AK,275000,479,2018
Kusilvak,AK,76000,44,2018
Lake and Peninsula,AK,120200,251,2018
Matanuska-Susitna,AK,243000,464,2018
Nome,AK,149600,339,2018
North Slope,AK,143000,322,2018
Northwest Arctic,AK,131400,291,2018
Petersburg,AK,213100,442,2018
Prince of Wales-Hyder,AK,172700,396,2018
Sitka City,AK,349300,496,2018
Skagway,AK,314500,490,2018
Southeast Fairbanks,AK,184000,413,2018
Valdez-Cordova,AK,229800,455,2018
Wrangell City,AK,212600,442,2018
Yakutat City,AK,169300,389,2018
Yukon-Koyukuk,AK,77700,49,2018
Apache,AZ,62300,10,2018
Cochise,AZ,143800,325,2018
Coconino,AZ,261300,472,2018
Gila,AZ,157600,360,2018
Graham,AZ,127000,278,2018
Greenlee,AZ,82400,69,2018
La Paz,AZ,77600,48,2018
Maricopa,AZ,242700,464,2018
Mohave,AZ,151100,342,2018
Navajo,AZ,118800,246,2018
Pima,AZ,173500,398,2018
Pinal,AZ,169800,390,2018
Santa Cruz,AZ,148500,335,2018
Yavapai,AZ,231600,456,2018
Yuma,AZ,122000,259,2018
Arkansas,AR,83600,76,2018
Ashley,AR,71500,28,2018
Baxter,AR,128800,283,2018
Benton,AR,172000,394,2018
Boone,AR,124900,271,2018
Bradley,AR,77800,49,2018
Calhoun,AR,69400,24,2018
Carroll,AR,126800,278,2018
Chicot,AR,63000,11,2018
Clark,AR,100900,166,2018
Clay,AR,72400,31,2018
Cleburne,AR,132400,294,2018
Cleveland,AR,83000,72,2018
Columbia,AR,82800,71,2018
Conway,AR,101400,169,2018
Craighead,AR,138500,310,2018
Crawford,AR,116900,237,2018
Crittenden,AR,110500,209,2018
Cross,AR,83600,76,2018
Dallas,AR,66600,18,2018
Desha,AR,62800,11,2018
Drew,AR,97600,148,2018
Faulkner,AR,157600,360,2018
Franklin,AR,94200,132,2018
Fulton,AR,93500,129,2018
Garland,AR,138400,309,2018
Grant,AR,127100,279,2018
Greene,AR,113100,220,2018
Hempstead,AR,79400,55,2018
Hot Spring,AR,91900,120,2018
Howard,AR,92500,123,2018
Independence,AR,105200,186,2018
Izard,AR,81500,65,2018
Jackson,AR,66900,19,2018
Jefferson,AR,83800,77,2018
Johnson,AR,98900,157,2018
Lafayette,AR,63300,12,2018
Lawrence,AR,75700,43,2018
Lee,AR,72700,31,2018
Lincoln,AR,74400,36,2018
Little River,AR,72200,30,2018
Logan,AR,90200,112,2018
Lonoke,AR,136200,304,2018
Madison,AR,107200,195,2018
Marion,AR,119000,246,2018
Miller,AR,106500,193,2018
Mississippi,AR,82700,70,2018
Monroe,AR,64300,14,2018
Montgomery,AR,106700,193,2018
Nevada,AR,64500,14,2018
Newton,AR,105100,186,2018
Ouachita,AR,72200,30,2018
Perry,AR,95400,139,2018
Phillips,AR,68200,22,2018
Pike,AR,82300,68,2018
Poinsett,AR,75500,42,2018
Polk,AR,90100,112,2018
Pope,AR,125000,271,2018
Prairie,AR,68000,21,2018
Pulaski,AR,153700,349,2018
Randolph,AR,82400,69,2018
St. Francis,AR,63300,12,2018
Saline,AR,151700,343,2018
Scott,AR,72800,32,2018
Searcy,AR,98000,152,2018
Sebastian,AR,119900,249,2018
Sevier,AR,79200,55,2018
Sharp,AR,81000,63,2018
Stone,AR,113900,225,2018
Union,AR,82800,71,2018
Van Buren,AR,101600,170,2018
Washington,AR,167600,384,2018
White,AR,121300,256,2018
Woodruff,AR,66200,17,2018
Yell,AR,110500,209,2018
Alameda,CA,707800,510,2018
Alpine,CA,349000,496,2018
Amador,CA,296400,486,2018
Butte,CA,248100,467,2018
Calaveras,CA,297700,487,2018
Colusa,CA,249800,467,2018
Contra Costa,CA,582400,508,2018
Del Norte,CA,204000,433,2018
El Dorado,CA,437200,503,2018
Fresno,CA,237500,460,2018
Glenn,CA,222000,450,2018
Humboldt,CA,296600,487,2018
Imperial,CA,177100,403,2018
Inyo,CA,262400,474,2018
Kern,CA,205200,434,2018
Kings,CA,202800,432,2018
Lake,CA,195400,425,2018
Lassen,CA,184200,413,2018
Los Angeles,CA,543400,507,2018
Madera,CA,235200,458,2018
Marin,CA,959200,511,2018
Mariposa,CA,269500,476,2018
Mendocino,CA,356800,497,2018
Merced,CA,229500,455,2018
Modoc,CA,133300,296,2018
Mono,CA,326400,491,2018
Monterey,CA,477200,505,2018
Napa,CA,603700,509,2018
Nevada,CA,400000,501,2018
Orange,CA,652900,509,2018
Placer,CA,443700,503,2018
Plumas,CA,234900,458,2018
Riverside,CA,330600,492,2018
Sacramento,CA,330100,492,2018
San Benito,CA,496200,506,2018
San Bernardino,CA,305400,489,2018
San Diego,CA,526300,506,2018
San Francisco,CA,1009500,511,2018
San Joaquin,CA,313800,490,2018
San Luis Obispo,CA,537900,507,2018
San Mateo,CA,994100,511,2018
Santa Barbara,CA,549900,507,2018
Santa Clara,CA,913000,511,2018
Santa Cruz,CA,711000,510,2018
Shasta,CA,242500,464,2018
Sierra,CA,173200,397,2018
Siskiyou,CA,186300,416,2018
Solano,CA,377500,500,2018
Sonoma,CA,568700,508,2018
Stanislaus,CA,272400,478,2018
Sutter,CA,260300,472,2018
Tehama,CA,203400,433,2018
Trinity,CA,284600,482,2018
Tulare,CA,191200,421,2018
Tuolumne,CA,278900,481,2018
Ventura,CA,559700,508,2018
Yolo,CA,395500,501,2018
Yuba,CA,231900,456,2018
Adams,CO,273000,479,2018
Alamosa,CO,157500,359,2018
Arapahoe,CO,327800,491,2018
Archuleta,CO,295500,486,2018
Baca,CO,82200,68,2018
Bent,CO,80600,61,2018
Boulder,CO,462200,504,2018
Broomfield,CO,382800,500,2018
Chaffee,CO,335900,493,2018
Cheyenne,CO,104000,180,2018
Clear Creek,CO,357000,497,2018
Conejos,CO,117600,241,2018
Costilla,CO,113200,221,2018
Crowley,CO,71700,29,2018
Custer,CO,262200,473,2018
Delta,CO,219000,447,2018
Denver,CO,357300,498,2018
Dolores,CO,115900,234,2018
Douglas,CO,441100,503,2018
Eagle,CO,538600,507,2018
Elbert,CO,425500,502,2018
El Paso,CO,254300,470,2018
Fremont,CO,163300,374,2018
Garfield,CO,337900,494,2018
Gilpin,CO,337400,494,2018
Grand,CO,295800,486,2018
Gunnison,CO,339400,494,2018
Hinsdale,CO,331100,492,2018
Huerfano,CO,157200,358,2018
Jackson,CO,195400,425,2018
Jefferson,CO,366800,499,2018
Kiowa,CO,80100,60,2018
Kit Carson,CO,140800,316,2018
Lake,CO,214000,443,2018
La Plata,CO,375400,500,2018
Larimer,CO,336200,493,2018
Las Animas,CO,147100,332,2018
Lincoln,CO,135700,302,2018
Logan,CO,154500,352,2018
Mesa,CO,214400,444,2018
Mineral,CO,293600,485,2018
Moffat,CO,170700,392,2018
Montezuma,CO,208300,437,2018
Montrose,CO,212900,442,2018
Morgan,CO,183900,412,2018
Otero,CO,91900,120,2018
Ouray,CO,419900,502,2018
Park,CO,284800,482,2018
Phillips,CO,155500,355,2018
Pitkin,CO,623400,509,2018
Prowers,CO,94100,131,2018
Pueblo,CO,155400,355,2018
Rio Blanco,CO,203100,432,2018
Rio Grande,CO,161300,368,2018
Routt,CO,510600,506,2018
Saguache,CO,149500,339,2018
San Juan,CO,286700,484,2018
San Miguel,CO,491100,505,2018
Sedgwick,CO,87300,95,2018
Summit,CO,563000,508,2018
Teller,CO,279100,481,2018
Washington,CO,138700,310,2018
Weld,CO,269400,476,2018
Yuma,CO,171600,393,2018
Fairfield,CT,422300,502,2018
Hartford,CT,237700,460,2018
Litchfield,CT,251500,469,2018
Middlesex,CT,284900,483,2018
New Haven,CT,246700,466,2018
New London,CT,239000,461,2018
Tolland,CT,251300,468,2018
Windham,CT,198000,428,2018
Kent,DE,213900,443,2018
New Castle,DE,254500,470,2018
Sussex,DE,248900,467,2018
District of,,568400,508,2018
Alachua,FL,173900,398,2018
Baker,FL,120900,254,2018
Bay,FL,172600,395,2018
Bradford,FL,97200,146,2018
Brevard,FL,177400,404,2018
Broward,FL,243100,464,2018
Calhoun,FL,81300,64,2018
Charlotte,FL,176500,402,2018
Citrus,FL,123800,266,2018
Clay,FL,174400,400,2018
Collier,FL,340100,495,2018
Columbia,FL,117800,242,2018
DeSoto,FL,84400,80,2018
Dixie,FL,74500,37,2018
Duval,FL,166900,383,2018
Escambia,FL,133600,297,2018
Flagler,FL,200000,430,2018
Franklin,FL,139500,312,2018
Gadsden,FL,99000,158,2018
Gilchrist,FL,97800,150,2018
Glades,FL,76400,44,2018
Gulf,FL,150300,340,2018
Hamilton,FL,71100,27,2018
Hardee,FL,81800,66,2018
Hendry,FL,82000,67,2018
Hernando,FL,130300,287,2018
Highlands,FL,93800,130,2018
Hillsborough,FL,198000,428,2018
Holmes,FL,93200,127,2018
Indian River,FL,185800,415,2018
Jackson,FL,98800,156,2018
Jefferson,FL,117900,243,2018
Lafayette,FL,105900,190,2018
Lake,FL,167200,384,2018
Lee,FL,207700,436,2018
Leon,FL,195000,424,2018
Levy,FL,99400,159,2018
Liberty,FL,66600,18,2018
Madison,FL,87400,96,2018
Manatee,FL,218900,447,2018
Marion,FL,127100,279,2018
Martin,FL,255000,470,2018
Miami-Dade,FL,268200,476,2018
Monroe,FL,468200,504,2018
Nassau,FL,218100,446,2018
Okaloosa,FL,207600,436,2018
Okeechobee,FL,89800,110,2018
Orange,FL,216000,444,2018
Osceola,FL,179800,407,2018
Palm Beach,FL,264400,474,2018
Pasco,FL,149000,336,2018
Pinellas,FL,183000,411,2018
Polk,FL,135400,301,2018
Putnam,FL,84500,80,2018
St. Johns,FL,287700,484,2018
St. Lucie,FL,165700,380,2018
Santa Rosa,FL,184400,413,2018
Sarasota,FL,234800,458,2018
Seminole,FL,224000,451,2018
Sumter,FL,246500,466,2018
Suwannee,FL,95200,137,2018
Taylor,FL,82900,71,2018
Union,FL,104400,182,2018
Volusia,FL,164200,376,2018
Wakulla,FL,144700,327,2018
Walton,FL,222700,451,2018
Washington,FL,109800,205,2018
Appling,GA,75900,43,2018
Atkinson,GA,60100,8,2018
