county,state,sexRatio,sexRatioBucket,year
Lake and Peninsula,AK,106.8,442,2018
Matanuska-Susitna,AK,108.8,455,2018
Nome,AK,111.8,470,2018
North Slope,AK,166.2,508,2018
Northwest Arctic,AK,116.2,483,2018
Petersburg,AK,102.7,392,2018
Prince of Wales-Hyder,AK,118.7,487,2018
Sitka City,AK,104.8,423,2018
Skagway,AK,109.7,460,2018
Southeast Fairbanks,AK,122.0,492,2018
Valdez-Cordova,AK,111.2,468,2018
Wrangell City,AK,110.2,463,2018
Yakutat City,AK,115.3,480,2018
Yukon-Koyukuk,AK,116.2,483,2018
Apache,AZ,97.1,197,2018
Cochise,AZ,103.2,402,2018
Coconino,AZ,96.7,179,2018
Gila,AZ,97.6,221,2018
Graham,AZ,115.8,482,2018
Greenlee,AZ,114.1,476,2018
La Paz,AZ,106.5,440,2018
Maricopa,AZ,97.9,236,2018
Mohave,AZ,102.0,379,2018
Navajo,AZ,100.7,344,2018
Pima,AZ,96.9,188,2018
Pinal,AZ,109.2,458,2018
Santa Cruz,AZ,91.7,38,2018
Yavapai,AZ,95.6,134,2018
Yuma,AZ,106.1,436,2018
Arkansas,AR,93.0,55,2018
Ashley,AR,95.1,116,2018
Baxter,AR,94.2,86,2018
Benton,AR,98.3,255,2018
Boone,AR,96.9,188,2018
Bradley,AR,90.9,28,2018
Calhoun,AR,100.5,337,2018
Carroll,AR,99.3,293,2018
Chicot,AR,94.7,103,2018
Clark,AR,90.4,24,2018
Clay,AR,97.0,192,2018
Cleburne,AR,97.8,231,2018
Cleveland,AR,101.2,359,2018
Columbia,AR,91.9,40,2018
Conway,AR,94.9,110,2018
Craighead,AR,95.1,116,2018
Crawford,AR,97.0,192,2018
Crittenden,AR,90.4,24,2018
Cross,AR,93.2,60,2018
Dallas,AR,94.9,110,2018
Desha,AR,89.8,19,2018
Drew,AR,95.4,125,2018
Faulkner,AR,95.8,142,2018
Franklin,AR,95.3,122,2018
Fulton,AR,99.3,293,2018
Garland,AR,92.3,45,2018
Grant,AR,96.2,156,2018
Greene,AR,96.5,170,2018
Hempstead,AR,91.1,30,2018
Hot Spring,AR,108.2,452,2018
Howard,AR,92.7,50,2018
Independence,AR,94.4,93,2018
Izard,AR,107.3,446,2018
Jackson,AR,97.7,226,2018
Jefferson,AR,98.3,255,2018
Johnson,AR,97.5,216,2018
Lafayette,AR,95.7,137,2018
Lawrence,AR,98.5,263,2018
Lee,AR,129.8,499,2018
Lincoln,AR,168.3,509,2018
Little River,AR,96.3,161,2018
Logan,AR,95.8,142,2018
Lonoke,AR,97.6,221,2018
Madison,AR,100.0,321,2018
Marion,AR,94.6,100,2018
Miller,AR,96.4,166,2018
Mississippi,AR,95.1,116,2018
Monroe,AR,84.3,2,2018
Montgomery,AR,97.5,216,2018
Nevada,AR,110.2,463,2018
Newton,AR,100.4,335,2018
Ouachita,AR,88.6,13,2018
Perry,AR,100.9,350,2018
Phillips,AR,89.8,19,2018
Pike,AR,97.9,236,2018
Poinsett,AR,95.2,118,2018
Polk,AR,95.1,116,2018
Pope,AR,96.9,188,2018
Prairie,AR,99.9,317,2018
Pulaski,AR,92.0,41,2018
Randolph,AR,99.6,304,2018
St. Francis,AR,121.8,492,2018
Saline,AR,96.8,183,2018
Scott,AR,104.3,417,2018
Searcy,AR,101.0,354,2018
Sebastian,AR,95.5,130,2018
Sevier,AR,100.2,328,2018
Sharp,AR,95.7,137,2018
Stone,AR,99.6,304,2018
Union,AR,94.8,105,2018
Van Buren,AR,98.6,266,2018
Washington,AR,99.9,317,2018
White,AR,96.7,179,2018
Woodruff,AR,84.5,3,2018
Yell,AR,99.9,317,2018
Alameda,CA,96.5,170,2018
Alpine,CA,114.6,478,2018
Amador,CA,115.8,482,2018
Butte,CA,98.2,251,2018
Calaveras,CA,98.4,259,2018
Colusa,CA,107.6,448,2018
Contra Costa,CA,95.5,130,2018
Del Norte,CA,113.4,475,2018
El Dorado,CA,99.4,297,2018
Fresno,CA,99.5,301,2018
Glenn,CA,103.2,402,2018
Humboldt,CA,99.4,297,2018
Imperial,CA,104.9,425,2018
Inyo,CA,100.9,350,2018
Kern,CA,105.2,429,2018
Kings,CA,122.7,494,2018
Lake,CA,98.8,274,2018
Lassen,CA,196.6,511,2018
Los Angeles,CA,97.2,203,2018
Madera,CA,93.0,55,2018
Marin,CA,95.4,125,2018
Mariposa,CA,103.5,406,2018
Mendocino,CA,98.8,274,2018
Merced,CA,101.9,376,2018
Modoc,CA,106.7,441,2018
Mono,CA,107.4,447,2018
Monterey,CA,104.1,414,2018
Napa,CA,99.5,301,2018
Nevada,CA,97.4,212,2018
Orange,CA,97.5,216,2018
Placer,CA,95.3,122,2018
Plumas,CA,101.6,370,2018
Riverside,CA,99.1,287,2018
Sacramento,CA,95.5,130,2018
San Benito,CA,99.4,297,2018
San Bernardino,CA,99.0,282,2018
San Diego,CA,101.3,361,2018
San Francisco,CA,104.2,416,2018
San Joaquin,CA,99.2,289,2018
San Luis Obispo,CA,102.9,398,2018
San Mateo,CA,97.4,212,2018
Santa Barbara,CA,100.3,331,2018
Santa Clara,CA,102.0,379,2018
Santa Cruz,CA,98.3,255,2018
Shasta,CA,96.3,161,2018
Sierra,CA,111.1,468,2018
Siskiyou,CA,99.4,297,2018
Solano,CA,98.8,274,2018
Sonoma,CA,95.7,137,2018
Stanislaus,CA,97.9,236,2018
Sutter,CA,99.4,297,2018
Tehama,CA,98.9,278,2018
Trinity,CA,104.8,423,2018
Tulare,CA,100.0,321,2018
Tuolumne,CA,108.8,455,2018
Ventura,CA,97.9,236,2018
Yolo,CA,94.4,93,2018
Yuba,CA,103.9,411,2018
Adams,CO,101.7,373,2018
Alamosa,CO,100.5,337,2018
Arapahoe,CO,97.7,226,2018
Archuleta,CO,102.9,398,2018
Baca,CO,97.1,197,2018
Bent,CO,187.7,511,2018
Boulder,CO,101.1,356,2018
Broomfield,CO,98.4,259,2018
Chaffee,CO,115.4,481,2018
Cheyenne,CO,89.7,18,2018
Clear Creek,CO,105.5,431,2018
Conejos,CO,100.5,337,2018
Costilla,CO,111.2,468,2018
Crowley,CO,167.6,508,2018
Custer,CO,95.4,125,2018
Delta,CO,100.8,347,2018
Denver,CO,100.3,331,2018
Dolores,CO,116.1,482,2018
Douglas,CO,99.3,293,2018
Eagle,CO,112.7,472,2018
Elbert,CO,102.3,384,2018
El Paso,CO,102.0,379,2018
Fremont,CO,138.9,503,2018
Garfield,CO,103.5,406,2018
Gilpin,CO,115.0,479,2018
Grand,CO,117.2,485,2018
Gunnison,CO,118.9,488,2018
Hinsdale,CO,86.0,5,2018
Huerfano,CO,100.8,347,2018
Jackson,CO,94.9,110,2018
Jefferson,CO,99.1,287,2018
Kiowa,CO,107.3,446,2018
Kit Carson,CO,119.6,488,2018
Lake,CO,122.5,494,2018
La Plata,CO,101.8,374,2018
Larimer,CO,99.5,301,2018
Las Animas,CO,110.8,467,2018
Lincoln,CO,167.1,508,2018
Logan,CO,117.3,485,2018
Mesa,CO,97.4,212,2018
Mineral,CO,95.5,130,2018
Moffat,CO,105.3,429,2018
Montezuma,CO,97.0,192,2018
Montrose,CO,97.5,216,2018
Morgan,CO,99.8,313,2018
Otero,CO,93.9,78,2018
Ouray,CO,95.9,145,2018
Park,CO,111.6,470,2018
Phillips,CO,113.4,475,2018
Pitkin,CO,110.7,466,2018
Prowers,CO,100.3,331,2018
Pueblo,CO,96.7,179,2018
Rio Blanco,CO,103.7,409,2018
Rio Grande,CO,100.7,344,2018
Routt,CO,108.0,451,2018
Saguache,CO,96.8,183,2018
San Juan,CO,108.4,453,2018
San Miguel,CO,112.3,471,2018
Sedgwick,CO,97.8,231,2018
Summit,CO,121.4,491,2018
Teller,CO,101.7,373,2018
Washington,CO,107.7,448,2018
Weld,CO,101.5,367,2018
Yuma,CO,99.4,297,2018
Fairfield,CT,95.0,113,2018
Hartford,CT,94.5,97,2018
Litchfield,CT,97.7,226,2018
Middlesex,CT,95.2,118,2018
New Haven,CT,93.1,57,2018
New London,CT,100.4,335,2018
Tolland,CT,100.5,337,2018
Windham,CT,97.6,221,2018
Kent,DE,93.1,57,2018
New Castle,DE,93.9,78,2018
Sussex,DE,94.1,84,2018
District of,,90.3,23,2018
Alachua,FL,93.7,72,2018
Baker,FL,113.2,474,2018
Bay,FL,99.0,282,2018
Bradford,FL,122.3,493,2018
Brevard,FL,95.7,137,2018
Broward,FL,94.9,110,2018
Calhoun,FL,125.8,497,2018
Charlotte,FL,95.1,116,2018
Citrus,FL,94.1,84,2018
Clay,FL,97.3,207,2018
Collier,FL,97.2,203,2018
Columbia,FL,106.8,442,2018
DeSoto,FL,131.2,499,2018
Dixie,FL,127.7,498,2018
Duval,FL,94.1,84,2018
Escambia,FL,98.4,259,2018
Flagler,FL,91.5,35,2018
Franklin,FL,133.7,501,2018
Gadsden,FL,89.9,20,2018
Gilchrist,FL,110.6,466,2018
Glades,FL,120.5,490,2018
Gulf,FL,148.2,506,2018
Hamilton,FL,138.3,502,2018
Hardee,FL,117.4,485,2018
Hendry,FL,114.7,479,2018
Hernando,FL,92.4,46,2018
Highlands,FL,94.9,110,2018
Hillsborough,FL,95.4,125,2018
Holmes,FL,117.2,485,2018
Indian River,FL,91.9,40,2018
Jackson,FL,123.5,495,2018
Jefferson,FL,113.8,476,2018
Lafayette,FL,137.7,502,2018
Lake,FL,93.9,78,2018
Lee,FL,96.0,149,2018
Leon,FL,90.5,26,2018
Levy,FL,94.0,81,2018
Liberty,FL,157.0,507,2018
Madison,FL,113.7,476,2018
Manatee,FL,93.4,64,2018
Marion,FL,92.3,45,2018
Martin,FL,98.0,240,2018
Miami-Dade,FL,94.4,93,2018
Monroe,FL,109.1,457,2018
Nassau,FL,98.4,259,2018
Okaloosa,FL,102.8,395,2018
Okeechobee,FL,116.9,484,2018
Orange,FL,96.4,166,2018
Osceola,FL,97.1,197,2018
Palm Beach,FL,94.1,84,2018
Pasco,FL,94.9,110,2018
Pinellas,FL,92.3,45,2018
Polk,FL,96.1,151,2018
Putnam,FL,97.1,197,2018
St. Johns,FL,94.9,110,2018
St. Lucie,FL,95.6,134,2018
Santa Rosa,FL,104.7,422,2018
Sarasota,FL,91.1,30,2018
Seminole,FL,93.5,67,2018
Sumter,FL,100.7,344,2018
Suwannee,FL,102.5,388,2018
Taylor,FL,128.2,498,2018
Union,FL,186.4,511,2018
Volusia,FL,95.2,118,2018
Wakulla,FL,121.6,491,2018
Walton,FL,102.4,386,2018
Washington,FL,116.7,483,2018
Appling,GA,102.8,395,2018
Atkinson,GA,103.7,409,2018
Bacon,GA,98.2,251,2018
Baker,GA,91.2,31,2018
Baldwin,GA,101.0,354,2018
Banks,GA,100.6,341,2018
Barrow,GA,96.6,174,2018
Bartow,GA,98.2,251,2018
Ben Hill,GA,88.4,12,2018
Berrien,GA,95.6,134,2018
Bibb,GA,88.5,12,2018
Bleckley,GA,86.8,7,2018
Brantley,GA,96.2,156,2018
Brooks,GA,94.9,110,2018
Bryan,GA,98.3,255,2018
Bulloch,GA,96.8,183,2018
Burke,GA,90.2,22,2018
Butts,GA,114.2,477,2018
Calhoun,GA,151.8,506,2018
Camden,GA,105.2,429,2018
Candler,GA,98.2,251,2018
Carroll,GA,94.8,105,2018
Catoosa,GA,93.2,60,2018
Charlton,GA,137.7,502,2018
Chatham,GA,93.1,57,2018
Chattahoochee,GA,199.5,511,2018
Chattooga,GA,107.6,448,2018
Cherokee,GA,97.3,207,2018
Clarke,GA,90.7,27,2018
Clay,GA,96.4,166,2018
Clayton,GA,88.4,12,2018
Clinch,GA,103.3,403,2018
Cobb,GA,93.6,70,2018
Coffee,GA,105.8,434,2018
Colquitt,GA,97.8,231,2018
Columbia,GA,95.5,130,2018
Cook,GA,94.5,97,2018
Coweta,GA,94.9,110,2018
Crawford,GA,104.2,416,2018
Crisp,GA,90.4,24,2018
Dade,GA,95.6,134,2018
Dawson,GA,97.4,212,2018
Decatur,GA,92.7,50,2018
DeKalb,GA,89.9,20,2018
Dodge,GA,110.3,463,2018
Dooly,GA,118.1,487,2018
Dougherty,GA,86.2,6,2018
Douglas,GA,91.4,33,2018
Early,GA,86.2,6,2018
Echols,GA,97.6,221,2018
Effingham,GA,99.1,287,2018
Elbert,GA,91.7,38,2018
Emanuel,GA,97.5,216,2018
Evans,GA,97.8,231,2018
Fannin,GA,94.1,84,2018
Fayette,GA,94.3,90,2018
Floyd,GA,93.6,70,2018
Forsyth,GA,98.8,274,2018
Franklin,GA,93.1,57,2018
Fulton,GA,94.0,81,2018
Gilmer,GA,101.6,370,2018
Glascock,GA,91.5,35,2018
Glynn,GA,88.5,12,2018
Gordon,GA,97.3,207,2018
Grady,GA,95.5,130,2018
Greene,GA,95.6,134,2018
Gwinnett,GA,95.6,134,2018
Habersham,GA,89.9,20,2018
Hall,GA,99.1,287,2018
Hancock,GA,155.4,507,2018
Haralson,GA,94.1,84,2018
Harris,GA,100.4,335,2018
Hart,GA,96.1,151,2018
Heard,GA,96.9,188,2018
Henry,GA,91.5,35,2018
Houston,GA,94.6,100,2018
Irwin,GA,105.5,431,2018
Jackson,GA,97.4,212,2018
Jasper,GA,94.1,84,2018
Jeff Davis,GA,97.7,226,2018
Jefferson,GA,93.1,57,2018
Jenkins,GA,85.0,4,2018
Johnson,GA,120.5,490,2018
Jones,GA,94.5,97,2018
Lamar,GA,93.8,75,2018
Lanier,GA,100.0,321,2018
Laurens,GA,90.3,23,2018
Lee,GA,100.0,321,2018
Liberty,GA,103.2,402,2018
Lincoln,GA,89.5,17,2018
Long,GA,95.6,134,2018
Lowndes,GA,95.5,130,2018
Lumpkin,GA,94.8,105,2018
McDuffie,GA,87.0,7,2018
McIntosh,GA,99.3,293,2018
Macon,GA,119.6,488,2018
Madison,GA,100.8,347,2018
Marion,GA,98.2,251,2018
Meriwether,GA,93.8,75,2018
Miller,GA,94.3,90,2018
Mitchell,GA,108.7,455,2018
Monroe,GA,101.4,364,2018
Montgomery,GA,105.2,429,2018
Morgan,GA,92.9,53,2018
Murray,GA,97.4,212,2018
Muscogee,GA,95.9,145,2018
Newton,GA,90.5,26,2018
Oconee,GA,96.3,161,2018
Oglethorpe,GA,100.1,324,2018
Paulding,GA,95.7,137,2018
Peach,GA,92.4,46,2018
Pickens,GA,97.7,226,2018
Pierce,GA,101.2,359,2018
Pike,GA,96.4,166,2018
Polk,GA,96.3,161,2018
Pulaski,GA,81.6,1,2018
Putnam,GA,93.7,72,2018
Quitman,GA,90.5,26,2018
Rabun,GA,97.1,197,2018
Randolph,GA,97.2,203,2018
Richmond,GA,93.4,64,2018
Rockdale,GA,89.1,14,2018
Schley,GA,95.5,130,2018
Screven,GA,94.7,103,2018
Seminole,GA,91.3,32,2018
Spalding,GA,94.2,86,2018
Stephens,GA,84.6,3,2018
Stewart,GA,181.3,510,2018
Sumter,GA,89.8,19,2018
Talbot,GA,90.6,26,2018
Taliaferro,GA,103.5,406,2018
Tattnall,GA,142.3,504,2018
Taylor,GA,92.9,53,2018
Telfair,GA,138.1,502,2018
Terrell,GA,91.3,32,2018
Thomas,GA,90.3,23,2018
Tift,GA,92.9,53,2018
Toombs,GA,85.8,5,2018
Towns,GA,87.7,9,2018
Treutlen,GA,111.5,469,2018
Troup,GA,91.8,39,2018
Turner,GA,93.3,62,2018
Twiggs,GA,96.5,170,2018
Union,GA,94.2,86,2018
Upson,GA,91.2,31,2018
Walker,GA,98.1,245,2018
Walton,GA,94.4,93,2018
Ware,GA,99.5,301,2018
Warren,GA,86.2,6,2018
Washington,GA,102.6,390,2018
Wayne,GA,102.3,384,2018
Webster,GA,92.3,45,2018
Wheeler,GA,170.8,509,2018
White,GA,95.5,130,2018
Whitfield,GA,98.5,263,2018
Wilcox,GA,145.4,505,2018
Wilkes,GA,93.3,62,2018
Wilkinson,GA,92.0,41,2018
Worth,GA,94.6,100,2018
Hawaii,HI,98.9,278,2018
Honolulu,HI,101.6,370,2018
Kalawao,HI,102.7,392,2018
Kauai,HI,98.3,255,2018
Maui,HI,99.5,301,2018
Ada,ID,100.3,331,2018
Adams,ID,108.7,455,2018
Bannock,ID,98.9,278,2018
Bear Lake,ID,94.6,100,2018
Benewah,ID,102.9,398,2018
Bingham,ID,99.7,309,2018
Blaine,ID,104.7,422,2018
Boise,ID,111.7,470,2018
Bonner,ID,100.1,324,2018
Bonneville,ID,100.1,324,2018
Boundary,ID,98.6,266,2018
Butte,ID,106.5,440,2018
Camas,ID,95.6,134,2018
Canyon,ID,97.7,226,2018
Caribou,ID,105.0,425,2018
Cassia,ID,104.0,412,2018
Clark,ID,112.4,472,2018
Clearwater,ID,124.4,496,2018
Custer,ID,109.6,460,2018
Elmore,ID,110.2,463,2018
Franklin,ID,104.5,420,2018
Fremont,ID,109.1,457,2018
Gem,ID,96.0,149,2018
Gooding,ID,109.0,456,2018
Idaho,ID,109.4,459,2018
Jefferson,ID,104.5,420,2018
Jerome,ID,101.5,367,2018
Kootenai,ID,97.7,226,2018
Latah,ID,102.8,395,2018
Lemhi,ID,102.5,388,2018
Lewis,ID,98.8,274,2018
Lincoln,ID,108.3,453,2018
Madison,ID,101.8,374,2018
Minidoka,ID,101.4,364,2018
Nez Perce,ID,96.9,188,2018
Oneida,ID,92.9,53,2018
Owyhee,ID,105.2,429,2018
Payette,ID,99.1,287,2018
Power,ID,96.2,156,2018
Shoshone,ID,100.1,324,2018
Teton,ID,113.4,475,2018
Twin Falls,ID,97.0,192,2018
Valley,ID,111.6,470,2018
Washington,ID,98.2,251,2018
Adams,IL,95.7,137,2018
Alexander,IL,90.5,26,2018
Bond,IL,105.7,433,2018
Boone,IL,100.2,328,2018
Brown,IL,173.9,510,2018
Bureau,IL,97.0,192,2018
Calhoun,IL,100.5,337,2018
Carroll,IL,98.6,266,2018
Cass,IL,100.6,341,2018
Champaign,IL,99.6,304,2018
Christian,IL,102.5,388,2018
Clark,IL,97.7,226,2018
Clay,IL,97.5,216,2018
Clinton,IL,108.2,452,2018
Coles,IL,93.5,67,2018
Cook,IL,94.3,90,2018
Crawford,IL,108.0,451,2018
Cumberland,IL,100.8,347,2018
DeKalb,IL,98.0,240,2018
De Witt,IL,99.9,317,2018
Douglas,IL,97.8,231,2018
DuPage,IL,96.3,161,2018
Edgar,IL,96.6,174,2018
Edwards,IL,98.6,266,2018
Effingham,IL,98.7,269,2018
Fayette,IL,114.2,477,2018
Ford,IL,97.6,221,2018
Franklin,IL,97.2,203,2018
Fulton,IL,109.3,458,2018
Gallatin,IL,92.1,42,2018
Greene,IL,101.8,374,2018
Grundy,IL,99.9,317,2018
Hamilton,IL,95.6,134,2018
Hancock,IL,98.9,278,2018
Hardin,IL,97.2,203,2018
Henderson,IL,95.8,142,2018
Henry,IL,98.4,259,2018
Iroquois,IL,95.4,125,2018
Jackson,IL,98.1,245,2018
Jasper,IL,100.4,335,2018
Jefferson,IL,105.2,429,2018
Jersey,IL,96.6,174,2018
Jo Daviess,IL,100.7,344,2018
Johnson,IL,125.6,497,2018
Kane,IL,99.1,287,2018
Kankakee,IL,96.8,183,2018
Kendall,IL,98.2,251,2018
Knox,IL,101.9,376,2018
Lake,IL,99.7,309,2018
LaSalle,IL,100.7,344,2018
Lawrence,IL,122.7,494,2018
Lee,IL,113.1,474,2018
Livingston,IL,105.1,427,2018
Logan,IL,94.4,93,2018
McDonough,IL,94.6,100,2018
McHenry,IL,99.3,293,2018
McLean,IL,94.7,103,2018
Macon,IL,92.1,42,2018
Macoupin,IL,97.8,231,2018
Madison,IL,95.4,125,2018
Marion,IL,96.7,179,2018
Marshall,IL,99.2,289,2018
Mason,IL,98.5,263,2018
Massac,IL,89.0,14,2018
Menard,IL,95.6,134,2018
Mercer,IL,98.8,274,2018
Monroe,IL,96.8,183,2018
Montgomery,IL,109.2,458,2018
Morgan,IL,101.0,354,2018
Moultrie,IL,95.2,118,2018
Ogle,IL,99.6,304,2018
Peoria,IL,94.0,81,2018
Perry,IL,122.4,493,2018
Piatt,IL,96.8,183,2018
Pike,IL,98.4,259,2018
Pope,IL,123.6,495,2018
Pulaski,IL,95.9,145,2018
Putnam,IL,106.2,437,2018
Randolph,IL,124.0,496,2018
Richland,IL,96.7,179,2018
Rock Island,IL,97.2,203,2018
St. Clair,IL,93.4,64,2018
Saline,IL,97.5,216,2018
Sangamon,IL,92.3,45,2018
Schuyler,IL,110.1,462,2018
Scott,IL,95.1,116,2018
Shelby,IL,97.7,226,2018
Stark,IL,97.6,221,2018
Stephenson,IL,93.8,75,2018
Tazewell,IL,97.2,203,2018
Union,IL,100.7,344,2018
Vermilion,IL,98.8,274,2018
Wabash,IL,95.9,145,2018
Warren,IL,93.0,55,2018
Washington,IL,100.9,350,2018
Wayne,IL,97.5,216,2018
White,IL,96.3,161,2018
Whiteside,IL,97.2,203,2018
Will,IL,98.5,263,2018
Williamson,IL,99.7,309,2018
Winnebago,IL,95.4,125,2018
Woodford,IL,99.3,293,2018
Adams,IN,99.6,304,2018
Allen,IN,95.4,125,2018
Bartholomew,IN,101.0,354,2018
Benton,IN,99.7,309,2018
Blackford,IN,99.1,287,2018
Boone,IN,97.5,216,2018
Brown,IN,98.0,240,2018
Carroll,IN,100.7,344,2018
Cass,IN,100.4,335,2018
Clark,IN,95.0,113,2018
Clay,IN,97.0,192,2018
Clinton,IN,98.0,240,2018
Crawford,IN,102.9,398,2018
Daviess,IN,102.0,379,2018
Dearborn,IN,100.1,324,2018
Decatur,IN,98.9,278,2018
DeKalb,IN,99.6,304,2018
Delaware,IN,93.1,57,2018
Dubois,IN,98.5,263,2018
Elkhart,IN,97.9,236,2018
Fayette,IN,97.4,212,2018
Floyd,IN,93.6,70,2018
Fountain,IN,100.2,328,2018
Franklin,IN,100.1,324,2018
Fulton,IN,97.2,203,2018
Gibson,IN,100.6,341,2018
Grant,IN,91.2,31,2018
Greene,IN,98.6,266,2018
Hamilton,IN,95.6,134,2018
Hancock,IN,96.5,170,2018
Harrison,IN,100.2,328,2018
Hendricks,IN,99.8,313,2018
Henry,IN,110.0,462,2018
Howard,IN,93.7,72,2018
Huntington,IN,96.6,174,2018
Jackson,IN,98.7,269,2018
Jasper,IN,99.7,309,2018
Jay,IN,98.1,245,2018
Jefferson,IN,90.7,27,2018
Jennings,IN,100.9,350,2018
Johnson,IN,96.3,161,2018
Knox,IN,102.6,390,2018
Kosciusko,IN,99.3,293,2018
LaGrange,IN,102.9,398,2018
Lake,IN,93.7,72,2018
LaPorte,IN,106.7,441,2018
Lawrence,IN,97.8,231,2018
Madison,IN,99.9,317,2018
Marion,IN,93.0,55,2018
Marshall,IN,98.9,278,2018
Martin,IN,102.0,379,2018
Miami,IN,113.5,476,2018
Monroe,IN,99.2,289,2018
Montgomery,IN,103.2,402,2018
Morgan,IN,97.6,221,2018
Newton,IN,99.9,317,2018
Noble,IN,101.0,354,2018
Ohio,IN,98.3,255,2018
Orange,IN,99.1,287,2018
Owen,IN,103.7,409,2018
Parke,IN,93.5,67,2018
Perry,IN,114.6,478,2018
Pike,IN,101.6,370,2018
Porter,IN,98.1,245,2018
Posey,IN,99.9,317,2018
Pulaski,IN,102.4,386,2018
Putnam,IN,110.5,465,2018
Randolph,IN,95.8,142,2018
Ripley,IN,98.1,245,2018
Rush,IN,96.1,151,2018
St. Joseph,IN,94.5,97,2018
Scott,IN,96.7,179,2018
Shelby,IN,97.7,226,2018
Spencer,IN,102.0,379,2018
Starke,IN,97.1,197,2018
Steuben,IN,103.6,407,2018
Sullivan,IN,116.2,483,2018
Switzerland,IN,107.4,447,2018
Tippecanoe,IN,104.8,423,2018
Tipton,IN,100.0,321,2018
Union,IN,96.6,174,2018
Vanderburgh,IN,93.6,70,2018
Vermillion,IN,100.7,344,2018
Vigo,IN,103.2,402,2018
Wabash,IN,94.5,97,2018
Warren,IN,100.0,321,2018
Warrick,IN,96.5,170,2018
Washington,IN,99.7,309,2018
Wayne,IN,94.1,84,2018
Wells,IN,97.2,203,2018
White,IN,100.6,341,2018
Whitley,IN,98.6,266,2018
Adair,IA,97.5,216,2018
Adams,IA,99.0,282,2018
Allamakee,IA,103.1,400,2018
Appanoose,IA,96.8,183,2018
Audubon,IA,95.8,142,2018
Benton,IA,99.5,301,2018
Black Hawk,IA,96.5,170,2018
Boone,IA,101.7,373,2018
Bremer,IA,98.1,245,2018
Buchanan,IA,97.9,236,2018
Buena Vista,IA,102.2,383,2018
Butler,IA,100.4,335,2018
Calhoun,IA,106.5,440,2018
Carroll,IA,96.4,166,2018
Cass,IA,98.5,263,2018
Cedar,IA,98.7,269,2018
Cerro Gordo,IA,94.2,86,2018
Cherokee,IA,102.2,383,2018
Chickasaw,IA,100.3,331,2018
Clarke,IA,102.1,381,2018
Clay,IA,97.4,212,2018
Clayton,IA,101.5,367,2018
Clinton,IA,96.0,149,2018
Crawford,IA,99.6,304,2018
Dallas,IA,97.0,192,2018
