county,state,sexRatio,sexRatioBucket,year
Autauga,AL,94.9,110,2018
Baldwin,AL,94.6,100,2018
Barbour,AL,113.3,474,2018
Bibb,AL,117.1,484,2018
Blount,AL,97.3,207,2018
Bullock,AL,120.8,490,2018
Butler,AL,87.9,10,2018
Calhoun,AL,92.5,47,2018
Chambers,AL,92.5,47,2018
Cherokee,AL,98.4,259,2018
Chilton,AL,97.4,212,2018
Choctaw,AL,91.7,38,2018
Clarke,AL,89.8,19,2018
Clay,AL,93.5,67,2018
Cleburne,AL,95.1,116,2018
Coffee,AL,97.5,216,2018
Colbert,AL,91.7,38,2018
Conecuh,AL,93.2,60,2018
Coosa,AL,102.7,392,2018
Covington,AL,94.7,103,2018
Crenshaw,AL,96.6,174,2018
Cullman,AL,97.1,197,2018
Dale,AL,96.9,188,2018
Dallas,AL,85.5,4,2018
DeKalb,AL,98.4,259,2018
Elmore,AL,94.5,97,2018
Escambia,AL,104.4,418,2018
Etowah,AL,93.2,60,2018
Fayette,AL,97.1,197,2018
Franklin,AL,97.9,236,2018
Geneva,AL,95.9,145,2018
Greene,AL,88.2,11,2018
Hale,AL,89.2,15,2018
Henry,AL,92.6,48,2018
Houston,AL,92.1,42,2018
Jackson,AL,96.2,156,2018
Jefferson,AL,89.9,20,2018
Lamar,AL,95.3,122,2018
Lauderdale,AL,91.8,39,2018
Lawrence,AL,93.2,60,2018
Lee,AL,96.9,188,2018
Limestone,AL,99.6,304,2018
Lowndes,AL,89.3,16,2018
Macon,AL,85.6,5,2018
Madison,AL,95.5,130,2018
Marengo,AL,93.6,70,2018
Marion,AL,98.9,278,2018
Marshall,AL,97.5,216,2018
Mobile,AL,91.3,32,2018
Monroe,AL,90.7,27,2018
Montgomery,AL,89.8,19,2018
Morgan,AL,97.0,192,2018
Perry,AL,87.8,10,2018
Pickens,AL,91.7,38,2018
Pike,AL,92.2,43,2018
Randolph,AL,94.9,110,2018
Russell,AL,93.5,67,2018
St. Clair,AL,100.5,337,2018
Shelby,AL,94.2,86,2018
Sumter,AL,86.3,6,2018
Talladega,AL,94.6,100,2018
Tallapoosa,AL,92.4,46,2018
Tuscaloosa,AL,93.3,62,2018
Walker,AL,95.5,130,2018
Washington,AL,102.4,386,2018
Wilcox,AL,90.5,26,2018
Winston,AL,98.4,259,2018
Aleutians East,AK,138.5,503,2018
Aleutians West,AK,148.1,506,2018
Anchorage,AK,104.3,417,2018
Bethel,AK,108.3,453,2018
Bristol Bay,AK,144.5,504,2018
Denali,AK,100.2,328,2018
Dillingham,AK,107.1,444,2018
Fairbanks North Star,AK,117.5,486,2018
Haines,AK,112.8,473,2018
Hoonah-Angoon,AK,105.6,432,2018
Juneau City,AK,104.5,420,2018
Kenai Peninsula,AK,108.6,454,2018
Ketchikan Gateway,AK,104.7,422,2018
Kodiak,AK,114.3,477,2018
Kusilvak,AK,115.2,480,2018
