county,state,population,populationBucket,year
Coweta,GA,114239,438,2021
Crawford,GA,9881,141,2021
Crisp,GA,16165,216,2021
Dade,GA,13404,184,2021
Dawson,GA,21690,261,2021
Decatur,GA,22472,268,2021
DeKalb,GA,600899,498,2021
Dodge,GA,16652,220,2021
Dooly,GA,9877,140,2021
Dougherty,GA,68610,403,2021
Douglas,GA,111170,437,2021
Early,GA,8549,124,2021
Echols,GA,3009,38,2021
Effingham,GA,48234,372,2021
Elbert,GA,15702,210,2021
Emanuel,GA,17568,227,2021
Evans,GA,8143,118,2021
Fannin,GA,21665,261,2021
Fayette,GA,94243,426,2021
Floyd,GA,77995,413,2021
Forsyth,GA,187139,465,2021
Franklin,GA,18796,238,2021
Fulton,GA,851633,505,2021
Gilmer,GA,25717,287,2021
Glascock,GA,2353,28,2021
Glynn,GA,67989,403,2021
Gordon,GA,44813,363,2021
Grady,GA,20338,250,2021
Greene,GA,15454,207,2021
Gwinnett,GA,723699,502,2021
Habersham,GA,36829,342,2021
Hall,GA,157280,457,2021
Hancock,GA,7577,109,2021
Haralson,GA,23529,274,2021
Harris,GA,27747,297,2021
Hart,GA,20925,255,2021
Heard,GA,9112,130,2021
Henry,GA,184929,464,2021
Houston,GA,124602,442,2021
Irwin,GA,7963,116,2021
Jackson,GA,57145,389,2021
Jasper,GA,11468,161,2021
Jeff Davis,GA,11393,160,2021
Jefferson,GA,12422,171,2021
Jenkins,GA,7003,99,2021
Johnson,GA,7695,112,2021
Jones,GA,22469,268,2021
Lamar,GA,15228,204,2021
Lanier,GA,7884,115,2021
Laurens,GA,38218,346,2021
Lee,GA,25021,283,2021
Liberty,GA,47814,371,2021
Lincoln,GA,6464,89,2021
Long,GA,12354,171,2021
Lowndes,GA,91855,424,2021
Lumpkin,GA,28065,299,2021
McDuffie,GA,16991,223,2021
McIntosh,GA,9585,137,2021
Macon,GA,10414,148,2021
Madison,GA,23776,276,2021
Marion,GA,6187,85,2021
Meriwether,GA,16827,222,2021
Miller,GA,4747,62,2021
Mitchell,GA,17471,227,2021
Monroe,GA,22814,270,2021
Montgomery,GA,7105,102,2021
Morgan,GA,15759,210,2021
Murray,GA,31163,316,2021
Muscogee,GA,158330,457,2021
Newton,GA,85128,419,2021
Oconee,GA,31744,319,2021
Oglethorpe,GA,11932,167,2021
Paulding,GA,127964,445,2021
Peach,GA,22622,269,2021
Pickens,GA,27279,294,2021
Pierce,GA,15190,204,2021
Pike,GA,14953,200,2021
Polk,GA,33040,324,2021
Pulaski,GA,8468,123,2021
Putnam,GA,18197,233,2021
Quitman,GA,1985,22,2021
Rabun,GA,14302,194,2021
Randolph,GA,4846,65,2021
Richmond,GA,163534,459,2021
Rockdale,GA,72984,407,2021
Schley,GA,3790,48,2021
Screven,GA,11346,159,2021
Seminole,GA,7492,108,2021
Spalding,GA,52519,379,2021
Stephens,GA,21557,260,2021
Stewart,GA,4881,65,2021
Sumter,GA,23317,273,2021
Talbot,GA,4987,66,2021
Taliaferro,GA,1391,11,2021
Tattnall,GA,18965,239,2021
Taylor,GA,6485,89,2021
Telfair,GA,10512,149,2021
Terrell,GA,7191,103,2021
Thomas,GA,35849,336,2021
Tift,GA,31992,320,2021
Toombs,GA,20673,252,2021
Towns,GA,10934,153,2021
Treutlen,GA,5026,67,2021
Troup,GA,54142,384,2021
Turner,GA,6899,97,2021
Twiggs,GA,6673,93,2021
Union,GA,20861,254,2021
Upson,GA,21927,262,2021
Walker,GA,54856,386,2021
Walton,GA,74945,409,2021
Ware,GA,28221,301,2021
Warren,GA,4252,55,2021
Washington,GA,16293,217,2021
Wayne,GA,23650,275,2021
Webster,GA,1898,20,2021
Wheeler,GA,6519,90,2021
White,GA,23180,272,2021
Whitfield,GA,79458,414,2021
Wilcox,GA,7292,105,2021
Wilkes,GA,7841,114,2021
Wilkinson,GA,7070,101,2021
Worth,GA,16668,221,2021
Hawaii,HI,162088,458,2021
Honolulu,HI,821265,504,2021
Kalawao,HI,47,0,2021
Kauai,HI,58868,391,2021
Maui,HI,132243,447,2021
Ada,ID,385124,488,2021
Adams,ID,3694,46,2021
Bannock,ID,66562,401,2021
Bear Lake,ID,4812,64,2021
Benewah,ID,7655,110,2021
Bingham,ID,34712,332,2021
Blaine,ID,19311,242,2021
Boise,ID,6564,90,2021
Bonner,ID,38454,346,2021
Bonneville,ID,88451,422,2021
Boundary,ID,9517,136,2021
Butte,ID,2039,24,2021
Camas,ID,768,5,2021
Canyon,ID,170450,460,2021
Caribou,ID,5349,72,2021
Cassia,ID,17687,228,2021
Clark,ID,680,4,2021
Clearwater,ID,7480,108,2021
Custer,ID,3661,46,2021
Elmore,ID,21705,261,2021
Franklin,ID,10105,143,2021
Fremont,ID,10489,149,2021
Gem,ID,14950,200,2021
Gooding,ID,11651,164,2021
Idaho,ID,13621,186,2021
Jefferson,ID,21317,258,2021
Jerome,ID,17530,227,2021
Kootenai,ID,133889,448,2021
Latah,ID,32820,323,2021
Lemhi,ID,6647,92,2021
Lewis,ID,2861,36,2021
Lincoln,ID,3941,50,2021
Madison,ID,38965,348,2021
Minidoka,ID,15814,211,2021
Nez Perce,ID,33763,328,2021
Oneida,ID,3463,44,2021
Owyhee,ID,9158,130,2021
Payette,ID,18957,239,2021
Power,ID,5671,78,2021
Shoshone,ID,10677,151,2021
Teton,ID,9051,129,2021
Twin Falls,ID,67183,401,2021
Valley,ID,9757,138,2021
Washington,ID,8290,120,2021
Adams,IL,52698,380,2021
Alexander,IL,4345,56,2021
Bond,IL,14109,192,2021
Boone,IL,42124,357,2021
Brown,IL,5385,73,2021
Bureau,IL,26987,293,2021
Calhoun,IL,3754,47,2021
Carroll,IL,12934,177,2021
Cass,IL,10268,146,2021
Champaign,IL,171497,461,2021
Christian,IL,27661,296,2021
Clark,IL,12345,171,2021
Clay,IL,10644,151,2021
Clinton,IL,30145,310,2021
Coles,IL,39928,351,2021
Cook,IL,4244259,511,2021
Crawford,IL,15607,209,2021
Cumberland,IL,8413,122,2021
DeKalb,IL,81414,416,2021
De Witt,IL,12772,175,2021
Douglas,IL,15430,207,2021
DuPage,IL,747437,503,2021
Edgar,IL,14171,192,2021
Edwards,IL,5026,67,2021
Effingham,IL,27120,294,2021
Fayette,IL,17458,226,2021
Ford,IL,10876,153,2021
Franklin,IL,30529,312,2021
Fulton,IL,28151,300,2021
Gallatin,IL,4160,53,2021
Greene,IL,9966,142,2021
Grundy,IL,40730,353,2021
Hamilton,IL,6389,88,2021
Hancock,IL,14465,196,2021
Hardin,IL,3245,41,2021
Henderson,IL,5407,73,2021
Henry,IL,39704,350,2021
Iroquois,IL,22209,266,2021
Jackson,IL,44848,363,2021
Jasper,IL,7404,107,2021
Jefferson,IL,30027,309,2021
Jersey,IL,17760,230,2021
Jo Daviess,IL,18337,235,2021
Johnson,IL,11018,154,2021
Kane,IL,403826,490,2021
Kankakee,IL,86398,421,2021
Kendall,IL,97972,429,2021
Knox,IL,41240,355,2021
Lake,IL,564657,496,2021
LaSalle,IL,89444,423,2021
Lawrence,IL,12862,176,2021
Lee,IL,28366,302,2021
Livingston,IL,29221,305,2021
Logan,IL,23460,273,2021
McDonough,IL,23517,274,2021
McHenry,IL,247186,475,2021
McLean,IL,138578,450,2021
Macon,IL,83365,418,2021
Macoupin,IL,36766,341,2021
Madison,IL,214430,471,2021
Marion,IL,29855,309,2021
Marshall,IL,9651,137,2021
Mason,IL,10836,152,2021
Massac,IL,11463,161,2021
Menard,IL,9843,140,2021
Mercer,IL,12761,175,2021
Monroe,IL,27832,297,2021
Montgomery,IL,23317,273,2021
Morgan,IL,27623,296,2021
Moultrie,IL,11383,160,2021
Ogle,IL,41617,355,2021
Peoria,IL,143314,453,2021
Perry,IL,17601,227,2021
Piatt,IL,13306,183,2021
Pike,IL,11795,165,2021
Pope,IL,3181,40,2021
Pulaski,IL,4316,56,2021
Putnam,IL,4637,61,2021
Randolph,IL,25362,285,2021
Richland,IL,12594,173,2021
Rock Island,IL,115941,439,2021
St. Clair,IL,204091,469,2021
Saline,IL,19331,243,2021
Sangamon,IL,157959,457,2021
Schuyler,IL,5881,80,2021
Scott,IL,4001,51,2021
Shelby,IL,17121,224,2021
Stark,IL,4418,58,2021
Stephenson,IL,36335,339,2021
Tazewell,IL,105408,433,2021
Union,IL,14084,192,2021
Vermilion,IL,58899,391,2021
Wabash,IL,9136,130,2021
Warren,IL,13628,186,2021
Washington,IL,11297,159,2021
Wayne,IL,12967,177,2021
White,IL,11238,157,2021
Whiteside,IL,45071,364,2021
Will,IL,546067,496,2021
Williamson,IL,54144,384,2021
Winnebago,IL,225859,472,2021
Woodford,IL,30371,311,2021
Adams,IN,25370,285,2021
Allen,IN,294651,480,2021
Bartholomew,IN,64438,398,2021
Benton,IN,6756,94,2021
Blackford,IN,9775,139,2021
Boone,IN,53647,382,2021
Brown,IN,13186,181,2021
Carroll,IN,16305,217,2021
Cass,IN,30349,311,2021
Clark,IN,96048,428,2021
Clay,IN,20810,253,2021
Clinton,IN,25300,284,2021
Crawford,IN,8399,122,2021
Daviess,IN,24514,279,2021
Dearborn,IN,40694,353,2021
Decatur,IN,20774,253,2021
DeKalb,IN,33839,329,2021
Delaware,IN,94304,426,2021
Dubois,IN,33983,329,2021
Elkhart,IN,155653,456,2021
Fayette,IN,19013,240,2021
Floyd,IN,63556,397,2021
Fountain,IN,13110,179,2021
Franklin,IN,18165,233,2021
Fulton,IN,16143,215,2021
Gibson,IN,26099,288,2021
Grant,IN,54491,385,2021
Greene,IN,25091,283,2021
Hamilton,IN,260899,477,2021
Hancock,IN,62373,395,2021
Harrison,IN,31566,318,2021
Hendricks,IN,134401,448,2021
Henry,IN,39898,351,2021
Howard,IN,66379,400,2021
Huntington,IN,29644,307,2021
Jackson,IN,36076,337,2021
Jasper,IN,26302,289,2021
Jay,IN,15965,213,2021
Jefferson,IN,27100,293,2021
Jennings,IN,21947,263,2021
Johnson,IN,124824,443,2021
Knox,IN,29325,306,2021
Kosciusko,IN,63484,396,2021
LaGrange,IN,28633,302,2021
Lake,IN,393278,489,2021
LaPorte,IN,90551,424,2021
Lawrence,IN,36691,341,2021
Madison,IN,105293,432,2021
Marion,IN,753950,503,2021
Marshall,IN,35924,337,2021
Martin,IN,7918,116,2021
Miami,IN,29413,306,2021
Monroe,IN,120453,441,2021
Montgomery,IN,30342,311,2021
Morgan,IN,57283,389,2021
Newton,IN,11290,158,2021
Noble,IN,36954,342,2021
Ohio,IN,4901,65,2021
Orange,IN,15792,211,2021
Owen,IN,17223,225,2021
Parke,IN,13130,180,2021
Perry,IN,15564,208,2021
Pike,IN,9885,141,2021
Porter,IN,139227,450,2021
Posey,IN,20369,251,2021
Pulaski,IN,10040,142,2021
Putnam,IN,30478,312,2021
Randolph,IN,19642,245,2021
Ripley,IN,22948,271,2021
Rush,IN,13383,184,2021
St. Joseph,IN,214637,471,2021
Scott,IN,19320,243,2021
Shelby,IN,35684,336,2021
Spencer,IN,16164,216,2021
Starke,IN,18401,235,2021
Steuben,IN,27950,299,2021
Sullivan,IN,17007,224,2021
Switzerland,IN,7722,112,2021
Tippecanoe,IN,151664,455,2021
Tipton,IN,12552,173,2021
Union,IN,5796,79,2021
Vanderburgh,IN,144795,453,2021
Vermillion,IN,12460,172,2021
Vigo,IN,87130,422,2021
Wabash,IN,25349,285,2021
Warren,IN,6719,93,2021
Warrick,IN,50388,375,2021
Washington,IN,22287,267,2021
Wayne,IN,53422,381,2021
Wells,IN,22007,264,2021
White,IN,19437,244,2021
Whitley,IN,27137,294,2021
Adair,IA,5985,82,2021
Adams,IA,2984,37,2021
Allamakee,IA,11108,155,2021
Appanoose,IA,9792,139,2021
Audubon,IA,4513,59,2021
Benton,IA,20325,250,2021
Black Hawk,IA,105681,433,2021
Boone,IA,21764,261,2021
Bremer,IA,19846,246,2021
Buchanan,IA,15811,211,2021
Buena Vista,IA,16038,214,2021
Butler,IA,11440,160,2021
Calhoun,IA,7917,115,2021
Carroll,IA,16400,218,2021
Cass,IA,10569,149,2021
Cedar,IA,14970,201,2021
Cerro Gordo,IA,35155,334,2021
Cherokee,IA,9345,133,2021
Chickasaw,IA,9497,135,2021
Clarke,IA,7457,108,2021
Clay,IA,13037,178,2021
Clayton,IA,13889,189,2021
Clinton,IA,37343,344,2021
Crawford,IA,12916,176,2021
Dallas,IA,72404,406,2021
Davis,IA,6654,92,2021
Decatur,IA,6184,85,2021
Delaware,IA,13710,187,2021
Des Moines,IA,31416,317,2021
Dickinson,IA,14550,197,2021
Dubuque,IA,78928,413,2021
Emmet,IA,7749,113,2021
Fayette,IA,15854,212,2021
Floyd,IA,12519,172,2021
Franklin,IA,7905,115,2021
Fremont,IA,5378,72,2021
Greene,IA,7093,101,2021
Grundy,IA,9801,139,2021
Guthrie,IA,8534,124,2021
Hamilton,IA,11931,167,2021
Hancock,IA,8756,126,2021
Hardin,IA,14129,192,2021
Harrison,IA,11557,162,2021
Henry,IA,16633,220,2021
Howard,IA,7291,105,2021
Humboldt,IA,7499,108,2021
Ida,IA,5463,74,2021
Iowa,IA,13188,181,2021
Jackson,IA,15741,210,2021
Jasper,IA,30141,310,2021
Jefferson,IA,12972,178,2021
Johnson,IA,124653,442,2021
Jones,IA,16720,222,2021
Keokuk,IA,8028,117,2021
Kossuth,IA,11926,167,2021
Lee,IA,27244,294,2021
Linn,IA,181857,464,2021
Louisa,IA,8685,125,2021
Lucas,IA,6950,98,2021
Lyon,IA,8895,127,2021
Madison,IA,12723,174,2021
Mahaska,IA,17494,227,2021
Marion,IA,26405,290,2021
Marshall,IA,30896,314,2021
Mills,IA,11589,163,2021
Mitchell,IA,8326,121,2021
Monona,IA,6966,98,2021
Monroe,IA,5994,82,2021
Montgomery,IA,8068,117,2021
Muscatine,IA,33848,329,2021
O'Brien,IA,11171,156,2021
Osceola,IA,4892,65,2021
Page,IA,12646,174,2021
Palo Alto,IA,7111,102,2021
Plymouth,IA,19847,247,2021
