county,state,population,populationBucket,year
Autauga,AL,46577,367,2021
Baldwin,AL,183804,464,2021
Barbour,AL,20639,252,2021
Bibb,AL,18333,234,2021
Blount,AL,46871,368,2021
Bullock,AL,8188,119,2021
Butler,AL,15232,204,2021
Calhoun,AL,94127,426,2021
Chambers,AL,28363,301,2021
Cherokee,AL,20798,253,2021
Chilton,AL,34995,333,2021
Choctaw,AL,10632,150,2021
Clarke,AL,18834,238,2021
Clay,AL,11485,161,2021
Cleburne,AL,11997,168,2021
Coffee,AL,41953,356,2021
Colbert,AL,46062,366,2021
Conecuh,AL,9697,138,2021
Coosa,AL,8948,128,2021
Covington,AL,30100,310,2021
Crenshaw,AL,10631,150,2021
Cullman,AL,69798,404,2021
Dale,AL,39213,348,2021
Dallas,AL,30789,314,2021
DeKalb,AL,56358,388,2021
Elmore,AL,69987,405,2021
Escambia,AL,29427,306,2021
Etowah,AL,83562,418,2021
Fayette,AL,13330,183,2021
Franklin,AL,24725,281,2021
Geneva,AL,21312,258,2021
Greene,AL,6241,86,2021
Hale,AL,11725,165,2021
Henry,AL,14023,191,2021
Houston,AL,84532,419,2021
Jackson,AL,42775,359,2021
Jefferson,AL,535421,496,2021
Lamar,AL,11189,156,2021
Lauderdale,AL,76556,411,2021
Lawrence,AL,26735,292,2021
Lee,AL,139631,451,2021
Limestone,AL,81507,416,2021
Lowndes,AL,8270,120,2021
Macon,AL,16538,219,2021
Madison,AL,307931,482,2021
Marengo,AL,15591,209,2021
Marion,AL,23996,277,2021
Marshall,AL,75325,410,2021
Mobile,AL,328077,484,2021
Monroe,AL,16473,218,2021
Montgomery,AL,181004,463,2021
Morgan,AL,97522,429,2021
Perry,AL,7126,102,2021
Pickens,AL,16016,213,2021
Pike,AL,27482,295,2021
Randolph,AL,17699,229,2021
Russell,AL,46115,366,2021
St. Clair,AL,72294,406,2021
Shelby,AL,175825,462,2021
Sumter,AL,10261,145,2021
Talladega,AL,66763,401,2021
Tallapoosa,AL,33757,328,2021
Tuscaloosa,AL,181354,463,2021
Walker,AL,52190,379,2021
Washington,AL,12852,176,2021
Wilcox,AL,8463,123,2021
Winston,AL,19473,244,2021
Aleutians East,AK,2998,37,2021
Aleutians West,AK,4673,61,2021
Anchorage,AK,228844,473,2021
Bethel,AK,12625,174,2021
Bristol Bay,AK,709,4,2021
Chugach,AK,5505,75,2021
Copper River,AK,2023,23,2021
Denali,AK,2030,23,2021
Dillingham,AK,3502,44,2021
Fairbanks North Star,AK,75869,410,2021
Haines,AK,1499,14,2021
Hoonah-Angoon,AK,2069,24,2021
Juneau City,AK,26235,289,2021
Kenai Peninsula,AK,47005,368,2021
Ketchikan Gateway,AK,11267,158,2021
Kodiak,AK,10251,145,2021
Kusilvak,AK,5255,70,2021
Lake and Peninsula,AK,751,5,2021
Matanuska-Susitna,AK,81514,416,2021
Nome,AK,6932,98,2021
North Slope,AK,8269,120,2021
Northwest Arctic,AK,5299,71,2021
Petersburg,AK,2828,35,2021
Prince of Wales-Hyder,AK,4737,62,2021
Sitka City,AK,6915,97,2021
Skagway,AK,1155,9,2021
Southeast Fairbanks,AK,5170,70,2021
Wrangell City,AK,1718,17,2021
Yakutat City,AK,441,1,2021
Yukon-Koyukuk,AK,4077,52,2021
Apache,AZ,50706,376,2021
Cochise,AZ,101053,431,2021
Coconino,AZ,118812,440,2021
Gila,AZ,43627,361,2021
Graham,AZ,29205,305,2021
Greenlee,AZ,7262,104,2021
La Paz,AZ,14368,195,2021
Maricopa,AZ,3450881,511,2021
Mohave,AZ,179564,462,2021
Navajo,AZ,81207,416,2021
Pima,AZ,843701,505,2021
Pinal,AZ,336120,485,2021
Santa Cruz,AZ,36258,339,2021
Yavapai,AZ,200779,468,2021
Yuma,AZ,157081,457,2021
Arkansas,AR,13697,187,2021
Ashley,AR,15358,205,2021
Baxter,AR,35135,334,2021
Benton,AR,213879,470,2021
Boone,AR,29714,308,2021
Bradley,AR,8222,120,2021
Calhoun,AR,4048,52,2021
Carroll,AR,22782,270,2021
Chicot,AR,8325,121,2021
Clark,AR,17933,231,2021
Clay,AR,11940,167,2021
Cleburne,AR,20734,253,2021
Cleveland,AR,6213,86,2021
Columbia,AR,18682,237,2021
Conway,AR,16423,218,2021
Craighead,AR,85310,419,2021
Crawford,AR,47144,369,2021
Crittenden,AR,36570,340,2021
Cross,AR,13449,185,2021
Dallas,AR,5508,75,2021
Desha,AR,8847,127,2021
Drew,AR,14179,193,2021
Faulkner,AR,97723,429,2021
Franklin,AR,13693,186,2021
Fulton,AR,9887,141,2021
Garland,AR,82198,417,2021
Grant,AR,14267,194,2021
Greene,AR,35880,336,2021
Hempstead,AR,15628,209,2021
Hot Spring,AR,26821,292,2021
Howard,AR,9908,142,2021
Independence,AR,29871,309,2021
Izard,AR,11419,160,2021
Jackson,AR,13830,188,2021
Jefferson,AR,55163,386,2021
Johnson,AR,20169,248,2021
Lafayette,AR,5399,73,2021
Lawrence,AR,13119,180,2021
Lee,AR,7424,107,2021
Lincoln,AR,11219,157,2021
Little River,AR,9687,138,2021
Logan,AR,17214,225,2021
Lonoke,AR,57311,389,2021
Madison,AR,13054,179,2021
Marion,AR,14065,192,2021
Miller,AR,34176,330,2021
Mississippi,AR,31569,318,2021
Monroe,AR,5564,76,2021
Montgomery,AR,7204,103,2021
Nevada,AR,6620,91,2021
Newton,AR,6141,85,2021
Ouachita,AR,18197,233,2021
Perry,AR,8097,118,2021
Phillips,AR,12942,177,2021
Pike,AR,8307,120,2021
Poinsett,AR,18275,234,2021
Polk,AR,15496,208,2021
Pope,AR,50483,376,2021
Prairie,AR,6865,96,2021
Pulaski,AR,314402,483,2021
Randolph,AR,14417,196,2021
St. Francis,AR,19177,241,2021
Saline,AR,97207,429,2021
Scott,AR,7856,115,2021
Searcy,AR,6497,89,2021
Sebastian,AR,100791,430,2021
Sevier,AR,11980,168,2021
Sharp,AR,14029,191,2021
Stone,AR,10251,145,2021
Union,AR,30908,314,2021
Van Buren,AR,13164,181,2021
Washington,AR,189974,466,2021
White,AR,61264,393,2021
Woodruff,AR,5098,68,2021
Yell,AR,16263,217,2021
Alameda,CA,1367247,508,2021
Alpine,CA,1084,8,2021
Amador,CA,34850,332,2021
Butte,CA,178693,462,2021
Calaveras,CA,38768,347,2021
Colusa,CA,16512,218,2021
Contra Costa,CA,930333,506,2021
Del Norte,CA,22215,266,2021
El Dorado,CA,157585,457,2021
Fresno,CA,748482,503,2021
Glenn,CA,21939,263,2021
Humboldt,CA,113597,437,2021
Imperial,CA,133547,447,2021
Inyo,CA,15078,202,2021
Kern,CA,671496,500,2021
Kings,CA,114872,438,2021
Lake,CA,54806,385,2021
Lassen,CA,28019,299,2021
Los Angeles,CA,8101041,511,2021
Madera,CA,118139,440,2021
Marin,CA,216621,471,2021
Mariposa,CA,14652,197,2021
Mendocino,CA,74342,409,2021
Merced,CA,206258,469,2021
Modoc,CA,7216,103,2021
Mono,CA,10822,152,2021
Monterey,CA,336262,485,2021
Napa,CA,114351,438,2021
Nevada,CA,86758,421,2021
Orange,CA,2567770,511,2021
Placer,CA,321845,484,2021
Plumas,CA,16671,221,2021
Riverside,CA,1876133,510,2021
Sacramento,CA,1240835,508,2021
San Benito,CA,48837,373,2021
San Bernardino,CA,1663126,509,2021
San Diego,CA,2660938,511,2021
San Francisco,CA,759882,503,2021
San Joaquin,CA,585568,497,2021
San Luis Obispo,CA,238701,474,2021
San Mateo,CA,625530,499,2021
Santa Barbara,CA,358507,486,2021
Santa Clara,CA,1558810,509,2021
Santa Cruz,CA,226386,472,2021
Shasta,CA,146583,454,2021
Sierra,CA,2639,31,2021
Siskiyou,CA,36179,338,2021
Solano,CA,362423,487,2021
Sonoma,CA,407504,490,2021
Stanislaus,CA,417386,490,2021
Sutter,CA,76159,411,2021
Tehama,CA,51437,377,2021
Trinity,CA,13590,186,2021
Tulare,CA,342199,486,2021
Tuolumne,CA,46827,368,2021
Ventura,CA,674985,500,2021
Yolo,CA,176406,462,2021
Yuba,CA,60263,392,2021
Adams,CO,395082,489,2021
Alamosa,CO,12914,176,2021
Arapahoe,CO,517135,495,2021
Archuleta,CO,11118,155,2021
Baca,CO,2807,35,2021
Bent,CO,5041,67,2021
Boulder,CO,274307,479,2021
Broomfield,CO,58596,391,2021
Chaffee,CO,16925,223,2021
Cheyenne,CO,1266,11,2021
Clear Creek,CO,8445,123,2021
Conejos,CO,5848,80,2021
Costilla,CO,3087,38,2021
Crowley,CO,5169,69,2021
Custer,CO,4049,52,2021
Delta,CO,25666,286,2021
Denver,CO,584503,497,2021
Dolores,CO,2057,24,2021
Douglas,CO,274456,479,2021
Eagle,CO,45189,364,2021
Elbert,CO,21176,257,2021
El Paso,CO,568394,497,2021
Fremont,CO,42020,356,2021
Garfield,CO,47488,370,2021
Gilpin,CO,5116,68,2021
Grand,CO,13246,181,2021
Gunnison,CO,14416,196,2021
Hinsdale,CO,770,5,2021
Huerfano,CO,5819,80,2021
Jackson,CO,1234,11,2021
Jefferson,CO,480208,494,2021
Kiowa,CO,1054,7,2021
Kit Carson,CO,5445,74,2021
Lake,CO,6272,87,2021
La Plata,CO,46374,366,2021
Larimer,CO,293859,480,2021
Las Animas,CO,12327,171,2021
Lincoln,CO,4601,60,2021
Logan,CO,17728,229,2021
Mesa,CO,125329,444,2021
Mineral,CO,693,4,2021
Moffat,CO,10254,145,2021
Montezuma,CO,20883,254,2021
Montrose,CO,34293,331,2021
Morgan,CO,22116,265,2021
Otero,CO,14846,199,2021
Ouray,CO,4234,54,2021
Park,CO,14998,202,2021
Phillips,CO,3304,42,2021
Pitkin,CO,14834,199,2021
Prowers,CO,9243,131,2021
Pueblo,CO,134056,448,2021
Rio Blanco,CO,5087,68,2021
Rio Grande,CO,9268,132,2021
Routt,CO,21110,256,2021
Saguache,CO,5282,71,2021
San Juan,CO,602,3,2021
San Miguel,CO,6868,96,2021
Sedgwick,CO,1909,21,2021
Summit,CO,26549,291,2021
Teller,CO,20895,255,2021
Washington,CO,3910,49,2021
Weld,CO,247228,475,2021
Yuma,CO,7401,106,2021
Fairfield,CT,767598,503,2021
Hartford,CT,733394,502,2021
Litchfield,CT,156028,456,2021
Middlesex,CT,139672,451,2021
New Haven,CT,711358,501,2021
New London,CT,222758,472,2021
Tolland,CT,127456,444,2021
Windham,CT,96397,428,2021
Kent,DE,143056,452,2021
New Castle,DE,460349,493,2021
Sussex,DE,195393,467,2021
District of,,568405,497,2021
Alachua,FL,231115,473,2021
Baker,FL,22038,265,2021
Bay,FL,147582,454,2021
Bradford,FL,23090,271,2021
Brevard,FL,504648,495,2021
Broward,FL,1571085,509,2021
Calhoun,FL,11245,158,2021
Charlotte,FL,165503,460,2021
Citrus,FL,132040,447,2021
Clay,FL,172132,461,2021
Collier,FL,316475,483,2021
Columbia,FL,55798,387,2021
DeSoto,FL,28293,301,2021
Dixie,FL,14025,191,2021
Duval,FL,783297,504,2021
Escambia,FL,258792,477,2021
Flagler,FL,96871,429,2021
Franklin,FL,10507,149,2021
Gadsden,FL,35542,335,2021
Gilchrist,FL,14814,198,2021
Glades,FL,10653,151,2021
Gulf,FL,13129,180,2021
Hamilton,FL,11593,163,2021
Hardee,FL,19602,245,2021
Hendry,FL,30042,310,2021
Hernando,FL,160677,458,2021
Highlands,FL,85701,420,2021
Hillsborough,FL,1158276,507,2021
Holmes,FL,16240,216,2021
Indian River,FL,135938,449,2021
Jackson,FL,40309,352,2021
Jefferson,FL,12207,169,2021
Lafayette,FL,6972,98,2021
Lake,FL,311433,483,2021
Lee,FL,635599,499,2021
Leon,FL,242466,474,2021
Levy,FL,35009,333,2021
Liberty,FL,6886,96,2021
Madison,FL,15068,202,2021
Manatee,FL,330869,484,2021
Marion,FL,308998,482,2021
Martin,FL,135237,448,2021
Miami-Dade,FL,2204401,510,2021
Monroe,FL,71157,405,2021
Nassau,FL,73015,407,2021
Okaloosa,FL,167550,460,2021
Okeechobee,FL,32413,322,2021
Orange,FL,1132835,507,2021
Osceola,FL,298992,481,2021
Palm Beach,FL,1229967,507,2021
Pasco,FL,451934,492,2021
Pinellas,FL,821788,504,2021
Polk,FL,572645,497,2021
Putnam,FL,58900,391,2021
St. Johns,FL,214393,470,2021
St. Lucie,FL,267582,478,2021
Santa Rosa,FL,148401,454,2021
Sarasota,FL,375841,487,2021
Seminole,FL,380803,488,2021
Sumter,FL,119197,440,2021
Suwannee,FL,35818,336,2021
Taylor,FL,18076,232,2021
Union,FL,13298,183,2021
Volusia,FL,462539,493,2021
Wakulla,FL,27196,294,2021
Walton,FL,59976,392,2021
Washington,FL,20511,251,2021
Appling,GA,14365,195,2021
Atkinson,GA,6366,88,2021
Bacon,GA,8615,125,2021
Baker,GA,2434,30,2021
Baldwin,GA,36626,341,2021
Banks,GA,14497,196,2021
Barrow,GA,63146,396,2021
Bartow,GA,85105,419,2021
Ben Hill,GA,13526,185,2021
Berrien,GA,14282,194,2021
Bibb,GA,122530,441,2021
Bleckley,GA,10550,149,2021
Brantley,GA,14200,193,2021
Brooks,GA,13046,179,2021
Bryan,GA,31952,320,2021
Bulloch,GA,65327,399,2021
Burke,GA,18840,238,2021
Butts,GA,20298,250,2021
Calhoun,GA,4863,65,2021
Camden,GA,42416,358,2021
Candler,GA,8452,123,2021
Carroll,GA,93725,426,2021
Catoosa,GA,54154,384,2021
Charlton,GA,10310,146,2021
Chatham,GA,238819,474,2021
Chattahoochee,GA,7705,112,2021
Chattooga,GA,19953,247,2021
Cherokee,GA,206121,469,2021
Clarke,GA,108082,434,2021
Clay,GA,2506,30,2021
Clayton,GA,221389,471,2021
Clinch,GA,5298,71,2021
Cobb,GA,605810,498,2021
Coffee,GA,33706,327,2021
Colquitt,GA,35084,334,2021
Columbia,GA,119686,440,2021
Cook,GA,13277,182,2021
