county,state,percentCollege,percentCollegeBucket,year
Autauga,AL,28.1,393,2021
Baldwin,AL,32.5,434,2021
Barbour,AL,11.2,22,2021
Bibb,AL,11.9,32,2021
Blount,AL,14.9,93,2021
Bullock,AL,11.7,29,2021
Butler,AL,14,70,2021
Calhoun,AL,19.5,227,2021
Chambers,AL,13.7,64,2021
Cherokee,AL,12.8,47,2021
Chilton,AL,13.5,60,2021
Choctaw,AL,11.7,29,2021
Clarke,AL,13.9,67,2021
Clay,AL,13.4,58,2021
Cleburne,AL,16.4,135,2021
Coffee,AL,22.7,306,2021
Colbert,AL,17.9,174,2021
Conecuh,AL,12.5,41,2021
Coosa,AL,11.2,22,2021
Covington,AL,15.8,116,2021
Crenshaw,AL,16.4,135,2021
Cullman,AL,16.5,138,2021
Dale,AL,18.7,200,2021
Dallas,AL,16.1,126,2021
DeKalb,AL,14.4,78,2021
Elmore,AL,24.6,344,2021
Escambia,AL,12.5,41,2021
Etowah,AL,18,178,2021
Fayette,AL,11.8,31,2021
Franklin,AL,14.3,76,2021
Geneva,AL,13.5,60,2021
Greene,AL,12.7,45,2021
Hale,AL,15.8,116,2021
Henry,AL,21.6,280,2021
Houston,AL,22.2,294,2021
Jackson,AL,16.1,126,2021
Jefferson,AL,34.7,452,2021
Lamar,AL,10,10,2021
Lauderdale,AL,25.5,359,2021
Lawrence,AL,15.3,104,2021
Lee,AL,38.6,472,2021
Limestone,AL,28.4,397,2021
Lowndes,AL,15.1,98,2021
Macon,AL,21.2,270,2021
Madison,AL,44.3,489,2021
Marengo,AL,19.7,233,2021
Marion,AL,12.6,43,2021
Marshall,AL,21.4,275,2021
Mobile,AL,23.9,330,2021
Monroe,AL,12.9,49,2021
Montgomery,AL,33.4,443,2021
Morgan,AL,22.8,308,2021
Perry,AL,18.9,206,2021
Pickens,AL,13.3,56,2021
Pike,AL,27.8,390,2021
Randolph,AL,16.2,129,2021
Russell,AL,17.3,159,2021
St. Clair,AL,18.5,194,2021
Shelby,AL,44.8,490,2021
Sumter,AL,19.5,227,2021
Talladega,AL,15.9,118,2021
Tallapoosa,AL,18.1,182,2021
Tuscaloosa,AL,30.6,419,2021
Walker,AL,14.1,71,2021
Washington,AL,13.6,62,2021
Wilcox,AL,11,20,2021
Winston,AL,13.5,60,2021
Aleutians East,AK,15.9,118,2021
Aleutians West,AK,16.8,146,2021
Anchorage,AK,36.8,463,2021
Bethel,AK,12.7,45,2021
Bristol Bay,AK,22.1,292,2021
Chugach,AK,30.7,419,2021
Copper River,AK,29.8,411,2021
Denali,AK,39.4,475,2021
Dillingham,AK,19.6,231,2021
Fairbanks North Star,AK,32.6,435,2021
Haines,AK,25.6,360,2021
Hoonah-Angoon,AK,22.3,296,2021
Juneau City,AK,40.1,477,2021
Kenai Peninsula,AK,27.4,386,2021
Ketchikan Gateway,AK,26.4,374,2021
Kodiak,AK,29.2,405,2021
Kusilvak,AK,2.9,0,2021
Lake and Peninsula,AK,22.2,294,2021
Matanuska-Susitna,AK,23.7,326,2021
Nome,AK,18.4,192,2021
North Slope,AK,15.6,111,2021
Northwest Arctic,AK,14.4,78,2021
Petersburg,AK,28.4,397,2021
Prince of Wales-Hyder,AK,19.2,216,2021
Sitka City,AK,33.2,441,2021
Skagway,AK,25,351,2021
Southeast Fairbanks,AK,19.3,219,2021
Wrangell City,AK,15.2,101,2021
Yakutat City,AK,10.3,12,2021
Yukon-Koyukuk,AK,12.9,49,2021
