county,state,percentHealthInsurance,percentHealthInsuranceBucket,year
Autauga,AL,92.1,282,2021
Baldwin,AL,90.3,209,2021
Barbour,AL,89.6,182,2021
Bibb,AL,90.0,197,2021
Blount,AL,90.0,197,2021
Bullock,AL,89.9,194,2021
Butler,AL,88.6,150,2021
Calhoun,AL,88.8,155,2021
Chambers,AL,89.5,178,2021
Cherokee,AL,90.2,204,2021
Chilton,AL,87.6,122,2021
Choctaw,AL,88.9,159,2021
Clarke,AL,89.1,164,2021
Clay,AL,91.7,263,2021
Cleburne,AL,89.0,161,2021
Coffee,AL,89.5,178,2021
Colbert,AL,93.4,345,2021
Conecuh,AL,91.7,263,2021
Coosa,AL,93.4,345,2021
Covington,AL,88.9,159,2021
Crenshaw,AL,92.7,309,2021
Cullman,AL,89.1,164,2021
Dale,AL,89.8,189,2021
Dallas,AL,90.1,200,2021
DeKalb,AL,84.9,68,2021
Elmore,AL,91.4,251,2021
Escambia,AL,87.8,127,2021
Etowah,AL,87.8,127,2021
Fayette,AL,89.4,174,2021
Franklin,AL,87.3,113,2021
Geneva,AL,88.1,135,2021
Greene,AL,82.0,34,2021
Hale,AL,92.9,319,2021
Henry,AL,91.0,235,2021
Houston,AL,88.6,150,2021
Jackson,AL,89.3,170,2021
Jefferson,AL,90.9,233,2021
Lamar,AL,92.9,319,2021
Lauderdale,AL,90.2,204,2021
Lawrence,AL,90.8,229,2021
Lee,AL,91.9,274,2021
Limestone,AL,91.9,274,2021
Lowndes,AL,90.8,229,2021
Macon,AL,90.3,209,2021
Madison,AL,91.9,274,2021
Marengo,AL,89.7,186,2021
Marion,AL,88.4,145,2021
Marshall,AL,88.1,135,2021
Mobile,AL,88.6,150,2021
Monroe,AL,87.6,122,2021
Montgomery,AL,89.6,182,2021
Morgan,AL,89.2,167,2021
Perry,AL,90.8,229,2021
Pickens,AL,90.9,233,2021
Pike,AL,91.2,243,2021
Randolph,AL,90.4,215,2021
Russell,AL,89.4,174,2021
St. Clair,AL,91.8,269,2021
Shelby,AL,93.5,350,2021
Sumter,AL,89.0,161,2021
Talladega,AL,90.2,204,2021
Tallapoosa,AL,90.9,233,2021
Tuscaloosa,AL,93.0,324,2021
Walker,AL,88.0,131,2021
Washington,AL,88.7,153,2021
Wilcox,AL,89.7,186,2021
Winston,AL,88.7,153,2021
Aleutians East,AK,60.0,0,2021
Aleutians West,AK,80.4,23,2021
Anchorage,AK,89.5,178,2021
Bethel,AK,84.9,68,2021
Bristol Bay,AK,83.0,45,2021
Chugach,AK,85.4,75,2021
Copper River,AK,78.9,16,2021
Denali,AK,86.1,88,2021
Dillingham,AK,82.7,42,2021
Fairbanks North Star,AK,90.4,215,2021
Haines,AK,88.2,138,2021
Hoonah-Angoon,AK,78.9,16,2021
Juneau City,AK,91.2,243,2021
Kenai Peninsula,AK,87.2,111,2021
Ketchikan Gateway,AK,90.5,217,2021
Kodiak,AK,87.5,119,2021
Kusilvak,AK,84.7,65,2021
Lake and Peninsula,AK,74.8,6,2021
Matanuska-Susitna,AK,86.4,95,2021
Nome,AK,82.7,42,2021
North Slope,AK,82.7,42,2021
Northwest Arctic,AK,77.6,11,2021
Petersburg,AK,89.2,167,2021
Prince of Wales-Hyder,AK,79.0,17,2021
Sitka City,AK,86.4,95,2021
Skagway,AK,87.4,116,2021
Southeast Fairbanks,AK,84.8,66,2021
Wrangell City,AK,83.7,53,2021
Yakutat City,AK,75.8,7,2021
Yukon-Koyukuk,AK,77.6,11,2021
Apache,AZ,73.2,4,2021
Cochise,AZ,92.1,282,2021
Coconino,AZ,89.1,164,2021
Gila,AZ,90.8,229,2021
Graham,AZ,91.9,274,2021
Greenlee,AZ,97.6,509,2021
La Paz,AZ,85.6,78,2021
Maricopa,AZ,89.1,164,2021
Mohave,AZ,90.6,220,2021
Navajo,AZ,85.5,76,2021
Pima,AZ,91.1,239,2021
Pinal,AZ,90.8,229,2021
Santa Cruz,AZ,87.9,129,2021
Yavapai,AZ,89.4,174,2021
Yuma,AZ,86.9,105,2021
Arkansas,AR,94.0,377,2021
Ashley,AR,91.6,259,2021
Baxter,AR,93.8,365,2021
Benton,AR,90.7,223,2021
Boone,AR,93.0,324,2021
Bradley,AR,88.7,153,2021
Calhoun,AR,91.4,251,2021
Carroll,AR,87.5,119,2021
Chicot,AR,90.0,197,2021
Clark,AR,91.0,235,2021
Clay,AR,92.4,297,2021
Cleburne,AR,93.0,324,2021
Cleveland,AR,94.9,430,2021
Columbia,AR,93.1,328,2021
Conway,AR,93.5,350,2021
Craighead,AR,91.9,274,2021
Crawford,AR,91.2,243,2021
Crittenden,AR,91.2,243,2021
Cross,AR,91.4,251,2021
Dallas,AR,91.9,274,2021
Desha,AR,90.7,223,2021
Drew,AR,95.2,445,2021
Faulkner,AR,92.0,277,2021
Franklin,AR,93.6,355,2021
Fulton,AR,89.6,182,2021
Garland,AR,90.3,209,2021
Grant,AR,93.9,370,2021
Greene,AR,92.2,287,2021
Hempstead,AR,89.9,194,2021
Hot Spring,AR,92.7,309,2021
Howard,AR,89.2,167,2021
Independence,AR,90.8,229,2021
Izard,AR,93.9,370,2021
Jackson,AR,90.2,204,2021
Jefferson,AR,93.7,360,2021
Johnson,AR,92.2,287,2021
Lafayette,AR,90.0,197,2021
Lawrence,AR,92.6,305,2021
Lee,AR,91.3,246,2021
Lincoln,AR,92.5,301,2021
Little River,AR,94.6,412,2021
Logan,AR,92.8,313,2021
Lonoke,AR,93.0,324,2021
Madison,AR,90.5,217,2021
Marion,AR,93.2,333,2021
Miller,AR,90.2,204,2021
Mississippi,AR,91.7,263,2021
Monroe,AR,90.8,229,2021
Montgomery,AR,89.1,164,2021
Nevada,AR,95.0,435,2021
Newton,AR,94.3,393,2021
Ouachita,AR,93.8,365,2021
Perry,AR,96.6,496,2021
Phillips,AR,92.7,309,2021
Pike,AR,91.6,259,2021
Poinsett,AR,89.5,178,2021
Polk,AR,89.8,189,2021
Pope,AR,91.4,251,2021
Prairie,AR,93.1,328,2021
Pulaski,AR,91.5,255,2021
Randolph,AR,93.5,350,2021
St. Francis,AR,90.7,223,2021
Saline,AR,94.0,377,2021
Scott,AR,91.0,235,2021
Searcy,AR,94.3,393,2021
Sebastian,AR,88.5,147,2021
Sevier,AR,80.4,23,2021
Sharp,AR,94.2,387,2021
Stone,AR,92.0,277,2021
Union,AR,92.6,305,2021
Van Buren,AR,89.9,194,2021
Washington,AR,88.2,138,2021
White,AR,90.7,223,2021
Woodruff,AR,93.4,345,2021
Yell,AR,92.0,277,2021
Alameda,CA,95.7,467,2021
Alpine,CA,93.4,345,2021
Amador,CA,95.3,451,2021
Butte,CA,93.6,355,2021
Calaveras,CA,93.4,345,2021
Colusa,CA,91.6,259,2021
Contra Costa,CA,95.3,451,2021
Del Norte,CA,94.8,425,2021
El Dorado,CA,95.9,474,2021
Fresno,CA,92.7,309,2021
Glenn,CA,90.0,197,2021
Humboldt,CA,92.3,290,2021
Imperial,CA,93.4,345,2021
Inyo,CA,92.9,319,2021
Kern,CA,92.0,277,2021
Kings,CA,92.4,297,2021
Lake,CA,93.3,338,2021
Lassen,CA,94.2,387,2021
Los Angeles,CA,90.9,233,2021
Madera,CA,91.8,269,2021
Marin,CA,96.5,493,2021
Mariposa,CA,93.5,350,2021
Mendocino,CA,90.3,209,2021
Merced,CA,91.2,243,2021
Modoc,CA,88.0,131,2021
Mono,CA,87.5,119,2021
Monterey,CA,90.1,200,2021
Napa,CA,94.0,377,2021
Nevada,CA,94.5,405,2021
Orange,CA,92.9,319,2021
Placer,CA,96.6,496,2021
Plumas,CA,95.6,462,2021
Riverside,CA,91.7,263,2021
Sacramento,CA,94.6,412,2021
San Benito,CA,93.6,355,2021
San Bernardino,CA,91.5,255,2021
San Diego,CA,92.5,301,2021
San Francisco,CA,96.4,491,2021
San Joaquin,CA,93.6,355,2021
San Luis Obispo,CA,94.1,382,2021
San Mateo,CA,96.2,485,2021
Santa Barbara,CA,89.9,194,2021
Santa Clara,CA,95.9,474,2021
Santa Cruz,CA,94.6,412,2021
Shasta,CA,93.2,333,2021
Sierra,CA,84.5,62,2021
