county,state,percentNeedOpioidTreatment,percentNeedOpioidTreatmentBucket,year
Ouachita,AR,89.82,340,2021
Perry,AR,86.48,137,2021
Phillips,AR,92.99,461,2021
Pike,AR,86.48,137,2021
Poinsett,AR,92.99,461,2021
Polk,AR,86.86,162,2021
Pope,AR,86.48,137,2021
Prairie,AR,88.53,246,2021
Pulaski,AR,88.53,246,2021
Randolph,AR,92.99,461,2021
St. Francis,AR,92.99,461,2021
Saline,AR,88.53,246,2021
Scott,AR,86.86,162,2021
Searcy,AR,88.48,245,2021
Sebastian,AR,86.86,162,2021
Sevier,AR,89.82,340,2021
Sharp,AR,88.48,245,2021
Stone,AR,88.48,245,2021
Union,AR,89.82,340,2021
Van Buren,AR,88.48,245,2021
Washington,AR,84.62,64,2021
White,AR,88.48,245,2021
Woodruff,AR,88.48,245,2021
Yell,AR,86.48,137,2021
Alameda,CA,91.32,402,2021
Alpine,CA,87.54,186,2021
Amador,CA,87.54,186,2021
Butte,CA,87.25,179,2021
Calaveras,CA,87.54,186,2021
Colusa,CA,87.25,179,2021
Contra Costa,CA,89.13,293,2021
Del Norte,CA,87.25,179,2021
El Dorado,CA,87.67,192,2021
Fresno,CA,87.38,179,2021
Glenn,CA,87.25,179,2021
Humboldt,CA,87.25,179,2021
Imperial,CA,91.29,398,2021
Inyo,CA,87.97,213,2021
Kern,CA,87.97,213,2021
Kings,CA,87.97,213,2021
Lake,CA,87.25,179,2021
Lassen,CA,87.25,179,2021
Los Angeles,CA,92.09,427,2021
Madera,CA,90.22,354,2021
Marin,CA,82.74,28,2021
Mariposa,CA,90.22,354,2021
Mendocino,CA,87.25,179,2021
Merced,CA,90.22,354,2021
Modoc,CA,87.25,179,2021
Mono,CA,87.54,186,2021
Monterey,CA,89.79,335,2021
Napa,CA,82.74,28,2021
Nevada,CA,87.67,192,2021
Orange,CA,90,349,2021
Placer,CA,87.67,192,2021
Plumas,CA,87.25,179,2021
Riverside,CA,91.29,398,2021
Sacramento,CA,85.76,92,2021
San Benito,CA,89.79,335,2021
San Bernardino,CA,87.91,212,2021
San Diego,CA,90.33,358,2021
San Francisco,CA,100,511,2021
San Joaquin,CA,87.54,186,2021
San Luis Obispo,CA,89.79,335,2021
San Mateo,CA,93.16,469,2021
Santa Barbara,CA,87.66,191,2021
Santa Clara,CA,89.83,343,2021
Santa Cruz,CA,89.79,335,2021
Shasta,CA,87.25,179,2021
Sierra,CA,87.25,179,2021
Siskiyou,CA,87.25,179,2021
Solano,CA,82.74,28,2021
Sonoma,CA,82.74,28,2021
Stanislaus,CA,90.22,354,2021
Sutter,CA,87.67,192,2021
Tehama,CA,87.25,179,2021
Trinity,CA,87.25,179,2021
Tulare,CA,87.97,213,2021
Tuolumne,CA,87.54,186,2021
Ventura,CA,87.66,191,2021
Yolo,CA,87.67,192,2021
Yuba,CA,87.67,192,2021
Adams,CO,86.73,156,2021
Alamosa,CO,88.33,239,2021
Arapahoe,CO,86.73,156,2021
Archuleta,CO,89.84,348,2021
Baca,CO,88.33,239,2021
Bent,CO,88.33,239,2021
Boulder,CO,86.73,156,2021
Broomfield,CO,86.73,156,2021
Chaffee,CO,89.84,348,2021
Cheyenne,CO,88.75,261,2021
Clear Creek,CO,86.73,156,2021
Conejos,CO,88.33,239,2021
Costilla,CO,88.33,239,2021
Crowley,CO,88.33,239,2021
Custer,CO,89.84,348,2021
Delta,CO,89.84,348,2021
Denver,CO,86.73,156,2021
Dolores,CO,89.84,348,2021
Douglas,CO,86.73,156,2021
Eagle,CO,89.84,348,2021
Elbert,CO,88.75,261,2021
El Paso,CO,89.84,348,2021
Fremont,CO,89.84,348,2021
Garfield,CO,89.84,348,2021
Gilpin,CO,86.73,156,2021
Grand,CO,89.84,348,2021
Gunnison,CO,89.84,348,2021
Hinsdale,CO,89.84,348,2021
Huerfano,CO,88.33,239,2021
Jackson,CO,89.84,348,2021
Jefferson,CO,86.73,156,2021
Kiowa,CO,88.33,239,2021
Kit Carson,CO,88.75,261,2021
Lake,CO,89.84,348,2021
La Plata,CO,89.84,348,2021
Larimer,CO,88.75,261,2021
Las Animas,CO,88.33,239,2021
Lincoln,CO,88.75,261,2021
Logan,CO,88.75,261,2021
Mesa,CO,89.84,348,2021
Mineral,CO,88.33,239,2021
Moffat,CO,89.84,348,2021
Montezuma,CO,89.84,348,2021
Montrose,CO,89.84,348,2021
Morgan,CO,88.75,261,2021
Otero,CO,88.33,239,2021
Ouray,CO,89.84,348,2021
Park,CO,89.84,348,2021
Phillips,CO,88.75,261,2021
Pitkin,CO,89.84,348,2021
Prowers,CO,88.33,239,2021
Pueblo,CO,88.33,239,2021
Rio Blanco,CO,89.84,348,2021
Rio Grande,CO,88.33,239,2021
Routt,CO,89.84,348,2021
Saguache,CO,88.33,239,2021
San Juan,CO,89.84,348,2021
San Miguel,CO,89.84,348,2021
Sedgwick,CO,88.75,261,2021
Summit,CO,89.84,348,2021
Teller,CO,89.84,348,2021
Washington,CO,88.75,261,2021
Weld,CO,88.75,261,2021
Yuma,CO,88.75,261,2021
Fairfield,CT,87.54,186,2021
Hartford,CT,87.54,186,2021
Litchfield,CT,87.54,186,2021
Middlesex,CT,87.54,186,2021
New Haven,CT,87.54,186,2021
New London,CT,87.54,186,2021
Tolland,CT,87.54,186,2021
Windham,CT,87.54,186,2021
Kent,DE,77.45,13,2021
New Castle,DE,77.45,13,2021
Sussex,DE,77.45,13,2021
District of,,94.35,490,2021
Alachua,FL,89.12,293,2021
Baker,FL,89.12,293,2021
Bay,FL,87.87,210,2021
Bradford,FL,89.12,293,2021
Brevard,FL,86.04,109,2021
Broward,FL,92.64,458,2021
Calhoun,FL,87.87,210,2021
Charlotte,FL,86.27,127,2021
Citrus,FL,87.85,209,2021
Clay,FL,88.97,281,2021
Collier,FL,86.27,127,2021
Columbia,FL,89.12,293,2021
DeSoto,FL,90.87,391,2021
Dixie,FL,89.12,293,2021
Duval,FL,88.97,281,2021
Escambia,FL,87.42,181,2021
Flagler,FL,89.62,331,2021
Franklin,FL,90.75,381,2021
Gadsden,FL,90.75,381,2021
Gilchrist,FL,89.12,293,2021
Glades,FL,86.27,127,2021
Gulf,FL,87.87,210,2021
Hamilton,FL,89.12,293,2021
Hardee,FL,87.69,193,2021
Hendry,FL,86.27,127,2021
Hernando,FL,87.85,209,2021
Highlands,FL,87.69,193,2021
Hillsborough,FL,88.39,241,2021
Holmes,FL,87.87,210,2021
Indian River,FL,88,213,2021
Jackson,FL,87.87,210,2021
Jefferson,FL,90.75,381,2021
Lafayette,FL,89.12,293,2021
Lake,FL,87.85,209,2021
Lee,FL,86.27,127,2021
Leon,FL,90.75,381,2021
Levy,FL,89.12,293,2021
Liberty,FL,90.75,381,2021
Madison,FL,90.75,381,2021
Manatee,FL,90.87,391,2021
Marion,FL,87.85,209,2021
Martin,FL,88,213,2021
Miami-Dade,FL,97.93,511,2021
Monroe,FL,97.93,511,2021
Nassau,FL,88.97,281,2021
Okaloosa,FL,87.42,181,2021
Okeechobee,FL,88,213,2021
Orange,FL,90.11,352,2021
Osceola,FL,90.11,352,2021
Palm Beach,FL,86.25,122,2021
Pasco,FL,86.52,140,2021
Pinellas,FL,86.52,140,2021
Polk,FL,87.69,193,2021
Putnam,FL,89.62,331,2021
St. Johns,FL,89.62,331,2021
St. Lucie,FL,88,213,2021
Santa Rosa,FL,87.42,181,2021
Sarasota,FL,90.87,391,2021
Seminole,FL,86.04,109,2021
Sumter,FL,87.85,209,2021
Suwannee,FL,89.12,293,2021
Taylor,FL,90.75,381,2021
Union,FL,89.12,293,2021
Volusia,FL,89.62,331,2021
Wakulla,FL,90.75,381,2021
Walton,FL,87.42,181,2021
Washington,FL,87.87,210,2021
Appling,GA,87.8,199,2021
Atkinson,GA,87.8,199,2021
Bacon,GA,87.8,199,2021
Baker,GA,91.3,402,2021
Baldwin,GA,88.24,229,2021
Banks,GA,88.24,229,2021
Barrow,GA,88.24,229,2021
Bartow,GA,88.24,229,2021
Ben Hill,GA,91.3,402,2021
Berrien,GA,91.3,402,2021
Bibb,GA,88.24,229,2021
Bleckley,GA,87.8,199,2021
Brantley,GA,87.8,199,2021
Brooks,GA,91.3,402,2021
Bryan,GA,87.8,199,2021
Bulloch,GA,87.8,199,2021
Burke,GA,88.24,229,2021
Butts,GA,86.56,145,2021
Calhoun,GA,91.3,402,2021
Camden,GA,87.8,199,2021
Candler,GA,87.8,199,2021
Carroll,GA,86.56,145,2021
Catoosa,GA,88.24,229,2021
Charlton,GA,87.8,199,2021
Chatham,GA,87.8,199,2021
Chattahoochee,GA,86.56,145,2021
Chattooga,GA,88.24,229,2021
Cherokee,GA,88.24,229,2021
Clarke,GA,88.24,229,2021
Clay,GA,86.56,145,2021
Clayton,GA,88.89,273,2021
Clinch,GA,87.8,199,2021
Cobb,GA,88.24,229,2021
Coffee,GA,87.8,199,2021
Colquitt,GA,91.3,402,2021
Columbia,GA,88.24,229,2021
Cook,GA,91.3,402,2021
Coweta,GA,86.56,145,2021
Crawford,GA,86.56,145,2021
Crisp,GA,86.56,145,2021
Dade,GA,88.24,229,2021
Dawson,GA,88.24,229,2021
Decatur,GA,91.3,402,2021
DeKalb,GA,88.89,273,2021
Dodge,GA,87.8,199,2021
Dooly,GA,86.56,145,2021
Dougherty,GA,91.3,402,2021
Douglas,GA,88.24,229,2021
Early,GA,91.3,402,2021
Echols,GA,91.3,402,2021
Effingham,GA,87.8,199,2021
Elbert,GA,88.24,229,2021
Emanuel,GA,88.24,229,2021
Evans,GA,87.8,199,2021
Fannin,GA,88.24,229,2021
Fayette,GA,86.56,145,2021
Floyd,GA,88.24,229,2021
Forsyth,GA,88.24,229,2021
Franklin,GA,88.24,229,2021
Fulton,GA,88.89,273,2021
Gilmer,GA,88.24,229,2021
Glascock,GA,88.24,229,2021
Glynn,GA,87.8,199,2021
Gordon,GA,88.24,229,2021
Grady,GA,91.3,402,2021
Greene,GA,88.24,229,2021
Gwinnett,GA,88.89,273,2021
Habersham,GA,88.24,229,2021
Hall,GA,88.24,229,2021
Hancock,GA,88.24,229,2021
Haralson,GA,88.24,229,2021
Harris,GA,86.56,145,2021
Hart,GA,88.24,229,2021
Heard,GA,86.56,145,2021
Henry,GA,86.56,145,2021
Houston,GA,86.56,145,2021
Irwin,GA,91.3,402,2021
Jackson,GA,88.24,229,2021
Jasper,GA,88.24,229,2021
Jeff Davis,GA,87.8,199,2021
Jefferson,GA,88.24,229,2021
Jenkins,GA,88.24,229,2021
Johnson,GA,87.8,199,2021
Jones,GA,88.24,229,2021
Lamar,GA,86.56,145,2021
Lanier,GA,91.3,402,2021
Laurens,GA,87.8,199,2021
Lee,GA,91.3,402,2021
Liberty,GA,87.8,199,2021
Lincoln,GA,88.24,229,2021
Long,GA,87.8,199,2021
Lowndes,GA,91.3,402,2021
Lumpkin,GA,88.24,229,2021
McDuffie,GA,88.24,229,2021
McIntosh,GA,87.8,199,2021
Macon,GA,86.56,145,2021
Madison,GA,88.24,229,2021
Marion,GA,86.56,145,2021
Meriwether,GA,86.56,145,2021
Miller,GA,91.3,402,2021
Mitchell,GA,91.3,402,2021
Monroe,GA,88.24,229,2021
Montgomery,GA,87.8,199,2021
Morgan,GA,88.24,229,2021
Murray,GA,88.24,229,2021
Muscogee,GA,86.56,145,2021
Newton,GA,88.89,273,2021
Oconee,GA,88.24,229,2021
Oglethorpe,GA,88.24,229,2021
Paulding,GA,88.24,229,2021
Peach,GA,86.56,145,2021
Pickens,GA,88.24,229,2021
Pierce,GA,87.8,199,2021
Pike,GA,86.56,145,2021
Polk,GA,88.24,229,2021
Pulaski,GA,87.8,199,2021
Putnam,GA,88.24,229,2021
Quitman,GA,86.56,145,2021
Rabun,GA,88.24,229,2021
Randolph,GA,86.56,145,2021
Richmond,GA,88.24,229,2021
Rockdale,GA,88.89,273,2021
Schley,GA,86.56,145,2021
Screven,GA,88.24,229,2021
Seminole,GA,91.3,402,2021
Spalding,GA,86.56,145,2021
Stephens,GA,88.24,229,2021
Stewart,GA,86.56,145,2021
Sumter,GA,86.56,145,2021
Talbot,GA,86.56,145,2021
Taliaferro,GA,88.24,229,2021
Tattnall,GA,87.8,199,2021
Taylor,GA,86.56,145,2021
Telfair,GA,87.8,199,2021
Terrell,GA,91.3,402,2021
Thomas,GA,91.3,402,2021
Tift,GA,91.3,402,2021
Toombs,GA,87.8,199,2021
Towns,GA,88.24,229,2021
Treutlen,GA,87.8,199,2021
Troup,GA,86.56,145,2021
Turner,GA,91.3,402,2021
Twiggs,GA,88.24,229,2021
Union,GA,88.24,229,2021
Upson,GA,86.56,145,2021
Walker,GA,88.24,229,2021
Walton,GA,88.24,229,2021
Ware,GA,87.8,199,2021
Warren,GA,88.24,229,2021
Washington,GA,88.24,229,2021
Wayne,GA,87.8,199,2021
Webster,GA,86.56,145,2021
Wheeler,GA,87.8,199,2021
White,GA,88.24,229,2021
Whitfield,GA,88.24,229,2021
Wilcox,GA,87.8,199,2021
Wilkes,GA,88.24,229,2021
Wilkinson,GA,88.24,229,2021
Worth,GA,91.3,402,2021
Hawaii,HI,88.66,255,2021
Honolulu,HI,95.86,506,2021
Kalawao,HI,0,12,2021
Kauai,HI,90.78,381,2021
Maui,HI,93.52,485,2021
Ada,ID,88.08,214,2021
Adams,ID,91.19,396,2021
Bannock,ID,90.46,363,2021
Bear Lake,ID,90.46,363,2021
Benewah,ID,90.05,352,2021
Bingham,ID,92.56,458,2021
Blaine,ID,90.05,352,2021
Boise,ID,88.08,214,2021
Bonner,ID,90.05,352,2021
Bonneville,ID,92.56,458,2021
Boundary,ID,90.05,352,2021
Butte,ID,92.56,458,2021
Camas,ID,90.05,352,2021
Canyon,ID,91.19,396,2021
Caribou,ID,90.46,363,2021
Cassia,ID,90.05,352,2021
Clark,ID,92.56,458,2021
Clearwater,ID,89.6,328,2021
Custer,ID,92.56,458,2021
Elmore,ID,88.08,214,2021
Franklin,ID,90.46,363,2021
Fremont,ID,92.56,458,2021
Gem,ID,91.19,396,2021
Gooding,ID,90.05,352,2021
Idaho,ID,89.6,328,2021
Jefferson,ID,92.56,458,2021
Jerome,ID,90.05,352,2021
Kootenai,ID,90.05,352,2021
Latah,ID,89.6,328,2021
Lemhi,ID,92.56,458,2021
Lewis,ID,89.6,328,2021
Lincoln,ID,90.05,352,2021
Madison,ID,92.56,458,2021
Minidoka,ID,90.05,352,2021
Nez Perce,ID,89.6,328,2021
Oneida,ID,90.46,363,2021
Owyhee,ID,91.19,396,2021
Payette,ID,91.19,396,2021
Power,ID,90.46,363,2021
Shoshone,ID,90.05,352,2021
Teton,ID,92.56,458,2021
Twin Falls,ID,90.05,352,2021
Valley,ID,88.08,214,2021
Washington,ID,91.19,396,2021
Adams,IL,86.18,114,2021
Alexander,IL,89.36,319,2021
Bond,IL,89.36,319,2021
Boone,IL,92.31,447,2021
Brown,IL,86.18,114,2021
Bureau,IL,90.68,377,2021
Calhoun,IL,86.18,114,2021
Carroll,IL,92.31,447,2021
Cass,IL,86.18,114,2021
Champaign,IL,90.68,377,2021
Christian,IL,86.18,114,2021
Clark,IL,86.18,114,2021
Clay,IL,89.36,319,2021
Clinton,IL,89.36,319,2021
Coles,IL,86.18,114,2021
Cook,IL,95.35,497,2021
Crawford,IL,89.36,319,2021
Cumberland,IL,86.18,114,2021
DeKalb,IL,92.31,447,2021
De Witt,IL,86.18,114,2021
Douglas,IL,86.18,114,2021
DuPage,IL,92.31,447,2021
Edgar,IL,86.18,114,2021
Edwards,IL,89.36,319,2021
Effingham,IL,86.18,114,2021
Fayette,IL,89.36,319,2021
Ford,IL,90.68,377,2021
Franklin,IL,89.36,319,2021
Fulton,IL,90.68,377,2021
Gallatin,IL,89.36,319,2021
Greene,IL,86.18,114,2021
Grundy,IL,92.31,447,2021
Hamilton,IL,89.36,319,2021
Hancock,IL,86.18,114,2021
Hardin,IL,89.36,319,2021
Henderson,IL,90.68,377,2021
Henry,IL,90.68,377,2021
Iroquois,IL,90.68,377,2021
Jackson,IL,89.36,319,2021
Jasper,IL,89.36,319,2021
Jefferson,IL,89.36,319,2021
Jersey,IL,86.18,114,2021
Jo Daviess,IL,92.31,447,2021
Johnson,IL,89.36,319,2021
Kane,IL,92.31,447,2021
Kankakee,IL,92.31,447,2021
Kendall,IL,92.31,447,2021
Knox,IL,90.68,377,2021
Lake,IL,92.31,447,2021
LaSalle,IL,90.68,377,2021
Lawrence,IL,89.36,319,2021
Lee,IL,92.31,447,2021
Livingston,IL,90.68,377,2021
Logan,IL,86.18,114,2021
McDonough,IL,90.68,377,2021
McHenry,IL,92.31,447,2021
McLean,IL,90.68,377,2021
Macon,IL,86.18,114,2021
Macoupin,IL,86.18,114,2021
Madison,IL,89.36,319,2021
Marion,IL,89.36,319,2021
Marshall,IL,90.68,377,2021
Mason,IL,90.68,377,2021
Massac,IL,89.36,319,2021
Menard,IL,86.18,114,2021
Mercer,IL,90.68,377,2021
Monroe,IL,89.36,319,2021
Montgomery,IL,86.18,114,2021
Morgan,IL,86.18,114,2021
Moultrie,IL,86.18,114,2021
Ogle,IL,92.31,447,2021
Peoria,IL,90.68,377,2021
Perry,IL,89.36,319,2021
Piatt,IL,86.18,114,2021
Pike,IL,86.18,114,2021
Pope,IL,89.36,319,2021
Pulaski,IL,89.36,319,2021
Putnam,IL,90.68,377,2021
Randolph,IL,89.36,319,2021
Richland,IL,89.36,319,2021
Rock Island,IL,90.68,377,2021
St. Clair,IL,89.36,319,2021
Saline,IL,89.36,319,2021
Sangamon,IL,86.18,114,2021
Schuyler,IL,86.18,114,2021
Scott,IL,86.18,114,2021
Shelby,IL,86.18,114,2021
Stark,IL,90.68,377,2021
Stephenson,IL,92.31,447,2021
Tazewell,IL,90.68,377,2021
Union,IL,89.36,319,2021
Vermilion,IL,90.68,377,2021
Wabash,IL,89.36,319,2021
Warren,IL,90.68,377,2021
Washington,IL,89.36,319,2021
Wayne,IL,89.36,319,2021
White,IL,89.36,319,2021
Whiteside,IL,92.31,447,2021
Will,IL,92.31,447,2021
Williamson,IL,89.36,319,2021
Winnebago,IL,92.31,447,2021
Woodford,IL,90.68,377,2021
Adams,IN,88.13,218,2021
Allen,IN,88.13,218,2021
Bartholomew,IN,83.96,53,2021
Benton,IN,85.21,83,2021
Blackford,IN,85.85,104,2021
Boone,IN,80.26,14,2021
Brown,IN,83.96,53,2021
Carroll,IN,85.21,83,2021
Cass,IN,89.15,299,2021
Clark,IN,83.96,53,2021
Clay,IN,85.21,83,2021
Clinton,IN,85.21,83,2021
Crawford,IN,83.96,53,2021
Daviess,IN,86.19,116,2021
Dearborn,IN,83.96,53,2021
Decatur,IN,83.96,53,2021
DeKalb,IN,88.13,218,2021
Delaware,IN,85.85,104,2021
Dubois,IN,86.19,116,2021
Elkhart,IN,89.15,299,2021
Fayette,IN,85.85,104,2021
Floyd,IN,83.96,53,2021
Fountain,IN,85.21,83,2021
Franklin,IN,83.96,53,2021
Fulton,IN,89.15,299,2021
Gibson,IN,86.19,116,2021
Grant,IN,85.85,104,2021
Greene,IN,86.19,116,2021
Hamilton,IN,80.26,14,2021
Hancock,IN,80.26,14,2021
Harrison,IN,83.96,53,2021
Hendricks,IN,80.26,14,2021
Henry,IN,85.85,104,2021
Howard,IN,89.15,299,2021
Huntington,IN,88.13,218,2021
Jackson,IN,83.96,53,2021
Jasper,IN,86.28,128,2021
Jay,IN,85.85,104,2021
Jefferson,IN,83.96,53,2021
Jennings,IN,83.96,53,2021
Johnson,IN,80.26,14,2021
Knox,IN,86.19,116,2021
Kosciusko,IN,89.15,299,2021
LaGrange,IN,88.13,218,2021
Lake,IN,86.28,128,2021
LaPorte,IN,89.15,299,2021
Lawrence,IN,83.96,53,2021
Madison,IN,85.85,104,2021
Marion,IN,80.26,14,2021
Marshall,IN,89.15,299,2021
Martin,IN,86.19,116,2021
Miami,IN,89.15,299,2021
Monroe,IN,85.21,83,2021
Montgomery,IN,85.21,83,2021
Morgan,IN,80.26,14,2021
Newton,IN,86.28,128,2021
Noble,IN,88.13,218,2021
Ohio,IN,83.96,53,2021
Orange,IN,83.96,53,2021
Owen,IN,85.21,83,2021
Parke,IN,85.21,83,2021
Perry,IN,86.19,116,2021
Pike,IN,86.19,116,2021
Porter,IN,86.28,128,2021
Posey,IN,86.19,116,2021
Pulaski,IN,86.28,128,2021
Putnam,IN,85.21,83,2021
Randolph,IN,85.85,104,2021
Ripley,IN,83.96,53,2021
Rush,IN,85.85,104,2021
St. Joseph,IN,89.15,299,2021
Scott,IN,83.96,53,2021
Shelby,IN,80.26,14,2021
Spencer,IN,86.19,116,2021
Starke,IN,86.28,128,2021
Steuben,IN,88.13,218,2021
Sullivan,IN,85.21,83,2021
Switzerland,IN,83.96,53,2021
Tippecanoe,IN,85.21,83,2021
Tipton,IN,89.15,299,2021
Union,IN,85.85,104,2021
Vanderburgh,IN,86.19,116,2021
Vermillion,IN,85.21,83,2021
Vigo,IN,85.21,83,2021
Wabash,IN,89.15,299,2021
Warren,IN,85.21,83,2021
Warrick,IN,86.19,116,2021
Washington,IN,83.96,53,2021
Wayne,IN,85.85,104,2021
Wells,IN,88.13,218,2021
White,IN,85.21,83,2021
Whitley,IN,88.13,218,2021
Adair,IA,88.63,251,2021
Adams,IA,88.63,251,2021
Allamakee,IA,87.23,176,2021
Appanoose,IA,93.15,468,2021
Audubon,IA,88.32,237,2021
Benton,IA,87.23,176,2021
Black Hawk,IA,87.23,176,2021
Boone,IA,91.2,398,2021
Bremer,IA,87.23,176,2021
Buchanan,IA,87.23,176,2021
Buena Vista,IA,88.32,237,2021
Butler,IA,87.23,176,2021
Calhoun,IA,88.32,237,2021
Carroll,IA,88.32,237,2021
Cass,IA,88.63,251,2021
Cedar,IA,93.15,468,2021
Cerro Gordo,IA,91.2,398,2021
Cherokee,IA,88.32,237,2021
Chickasaw,IA,87.23,176,2021
Clarke,IA,88.63,251,2021
Clay,IA,88.32,237,2021
Clayton,IA,87.23,176,2021
Clinton,IA,87.23,176,2021
Crawford,IA,88.32,237,2021
