county,state,percentNeedOpioidTreatment,percentNeedOpioidTreatmentBucket,year
Autauga,AL,95.7,506,2021
Baldwin,AL,91.34,405,2021
Barbour,AL,91.34,405,2021
Bibb,AL,91.86,427,2021
Blount,AL,91.86,427,2021
Bullock,AL,95.7,506,2021
Butler,AL,91.34,405,2021
Calhoun,AL,91.86,427,2021
Chambers,AL,95.7,506,2021
Cherokee,AL,89.71,335,2021
Chilton,AL,91.86,427,2021
Choctaw,AL,95.7,506,2021
Clarke,AL,91.34,405,2021
Clay,AL,91.86,427,2021
Cleburne,AL,91.86,427,2021
Coffee,AL,91.34,405,2021
Colbert,AL,89.71,335,2021
Conecuh,AL,91.34,405,2021
Coosa,AL,91.86,427,2021
Covington,AL,91.34,405,2021
Crenshaw,AL,91.34,405,2021
Cullman,AL,89.71,335,2021
Dale,AL,91.34,405,2021
Dallas,AL,95.7,506,2021
DeKalb,AL,89.71,335,2021
Elmore,AL,95.7,506,2021
Escambia,AL,91.34,405,2021
Etowah,AL,89.71,335,2021
Fayette,AL,89.71,335,2021
Franklin,AL,89.71,335,2021
Geneva,AL,91.34,405,2021
Greene,AL,95.7,506,2021
Hale,AL,95.7,506,2021
Henry,AL,91.34,405,2021
Houston,AL,91.34,405,2021
Jackson,AL,89.71,335,2021
Jefferson,AL,91.86,427,2021
Lamar,AL,89.71,335,2021
Lauderdale,AL,89.71,335,2021
Lawrence,AL,89.71,335,2021
Lee,AL,95.7,506,2021
Limestone,AL,89.71,335,2021
Lowndes,AL,95.7,506,2021
Macon,AL,95.7,506,2021
Madison,AL,89.71,335,2021
Marengo,AL,95.7,506,2021
Marion,AL,89.71,335,2021
Marshall,AL,89.71,335,2021
Mobile,AL,91.34,405,2021
Monroe,AL,91.34,405,2021
Montgomery,AL,95.7,506,2021
Morgan,AL,89.71,335,2021
Perry,AL,95.7,506,2021
Pickens,AL,91.86,427,2021
Pike,AL,95.7,506,2021
Randolph,AL,91.86,427,2021
Russell,AL,95.7,506,2021
St. Clair,AL,91.86,427,2021
Shelby,AL,91.86,427,2021
Sumter,AL,95.7,506,2021
Talladega,AL,91.86,427,2021
Tallapoosa,AL,95.7,506,2021
Tuscaloosa,AL,91.86,427,2021
Walker,AL,89.71,335,2021
Washington,AL,91.34,405,2021
Wilcox,AL,95.7,506,2021
Winston,AL,89.71,335,2021
Aleutians East,AK,89.12,293,2021
Aleutians West,AK,89.12,293,2021
Anchorage,AK,86.73,156,2021
Bethel,AK,87.58,188,2021
Bristol Bay,AK,89.12,293,2021
Denali,AK,87.58,188,2021
Dillingham,AK,89.12,293,2021
Fairbanks North Star,AK,87.58,188,2021
Haines,AK,94.82,497,2021
Hoonah-Angoon,AK,94.82,497,2021
Juneau City,AK,94.82,497,2021
Kenai Peninsula,AK,89.12,293,2021
Ketchikan Gateway,AK,94.82,497,2021
Kodiak,AK,89.12,293,2021
Kusilvak,AK,87.58,188,2021
Lake and Peninsula,AK,89.12,293,2021
Matanuska-Susitna,AK,89.12,293,2021
Nome,AK,87.58,188,2021
North Slope,AK,87.58,188,2021
Northwest Arctic,AK,87.58,188,2021
Petersburg,AK,94.82,497,2021
Prince of Wales-Hyder,AK,94.82,497,2021
Sitka City,AK,94.82,497,2021
Skagway,AK,94.82,497,2021
Southeast Fairbanks,AK,87.58,188,2021
Valdez-Cordova,AK,89.12,293,2021
Wrangell City,AK,94.82,497,2021
Yakutat City,AK,94.82,497,2021
Yukon-Koyukuk,AK,87.58,188,2021
Apache,AZ,88.35,240,2021
Cochise,AZ,89.36,319,2021
Coconino,AZ,88.35,240,2021
Gila,AZ,89.36,319,2021
Graham,AZ,89.36,319,2021
Greenlee,AZ,89.36,319,2021
La Paz,AZ,89.36,319,2021
Maricopa,AZ,90.68,377,2021
Mohave,AZ,88.35,240,2021
Navajo,AZ,88.35,240,2021
Pima,AZ,87.15,166,2021
Pinal,AZ,89.36,319,2021
Santa Cruz,AZ,89.36,319,2021
Yavapai,AZ,88.35,240,2021
Yuma,AZ,89.36,319,2021
Arkansas,AR,82.97,37,2021
Ashley,AR,82.97,37,2021
Baxter,AR,88.48,245,2021
Benton,AR,84.62,64,2021
Boone,AR,88.48,245,2021
Bradley,AR,82.97,37,2021
Calhoun,AR,89.82,340,2021
Carroll,AR,84.62,64,2021
Chicot,AR,82.97,37,2021
Clark,AR,86.48,137,2021
Clay,AR,92.99,461,2021
Cleburne,AR,88.48,245,2021
Cleveland,AR,82.97,37,2021
Columbia,AR,89.82,340,2021
Conway,AR,86.48,137,2021
Craighead,AR,92.99,461,2021
Crawford,AR,86.86,162,2021
Crittenden,AR,92.99,461,2021
Cross,AR,92.99,461,2021
Dallas,AR,89.82,340,2021
Desha,AR,82.97,37,2021
Drew,AR,82.97,37,2021
Faulkner,AR,86.48,137,2021
Franklin,AR,86.86,162,2021
Fulton,AR,88.48,245,2021
Garland,AR,86.48,137,2021
Grant,AR,82.97,37,2021
Greene,AR,92.99,461,2021
Hempstead,AR,89.82,340,2021
Hot Spring,AR,86.48,137,2021
Howard,AR,89.82,340,2021
Independence,AR,88.48,245,2021
Izard,AR,88.48,245,2021
Jackson,AR,88.48,245,2021
Jefferson,AR,82.97,37,2021
Johnson,AR,86.48,137,2021
Lafayette,AR,89.82,340,2021
Lawrence,AR,92.99,461,2021
Lee,AR,92.99,461,2021
Lincoln,AR,82.97,37,2021
Little River,AR,89.82,340,2021
Logan,AR,86.86,162,2021
Lonoke,AR,88.53,246,2021
Madison,AR,84.62,64,2021
Marion,AR,88.48,245,2021
Miller,AR,89.82,340,2021
Mississippi,AR,92.99,461,2021
Monroe,AR,92.99,461,2021
Montgomery,AR,86.48,137,2021
Nevada,AR,89.82,340,2021
Newton,AR,88.48,245,2021
