county,state,crimeRate,crimeRateBucket,year
St. Louis,MO,303.3619454,371,2021
Crittenden,AR,1754.914968,511,2021
Alexander,IL,1664.700485,511,2021
Kenedy,TX,1456.31068,511,2021
De Soto,LA,1447.40243,511,2021
Baltimore,MD,508.0101821,464,2021
Shelby,TN,1315.003752,511,2021
Marlboro,SC,1253.437132,511,2021
Storey,NV,1217.656012,510,2021
District of,,1216.801325,510,2021
Dillon,SC,1165.583272,510,2021
Scott,MO,1163.145839,510,2021
Philadelphia,PA,1150.29633,510,2021
Pershing,NV,1148.756725,510,2021
Greenwood,SC,1140.226324,509,2021
Madison,TN,1138.42383,509,2021
Davidson,TN,1129.513728,509,2021
Marion,IN,1083.508119,509,2021
Wayne,MI,1065.188284,509,2021
Jackson,MO,1026.623686,509,2021
Northwest Arctic,AK,1014.964216,508,2021
Pemiscot,MO,998.7095326,508,2021
Iberville,LA,974.0162436,508,2021
Pulaski,AR,959.9165823,508,2021
Jefferson,AR,959.1343198,508,2021
Miller,AR,956.1771347,508,2021
Muskogee,OK,954.4400666,507,2021
Barnwell,SC,953.9310095,507,2021
Tangipahoa,LA,952.8593755,507,2021
Marion,SC,941.6313295,507,2021
Dillingham,AK,938.1237525,507,2021
Dougherty,GA,930.4176661,507,2021
Carter,OK,930.0694974,506,2021
Genesee,MI,922.7783984,506,2021
Macon,AL,919.341731,506,2021
Milwaukee,WI,912.6349471,506,2021
Richland,SC,911.4452882,506,2021
Grundy,TN,911.2461105,506,2021
Greene,AL,903.4766697,505,2021
Rock,MN,892.8571429,505,2021
San Joaquin,CA,887.1644385,505,2021
Pottawattamie,IA,873.5225606,505,2021
Nolan,TX,871.1844118,505,2021
Kodiak,AK,856.0311284,505,2021
Winnebago,IL,854.9331535,504,2021
Suffolk,MA,831.2342903,504,2021
Saginaw,MI,828.830479,504,2021
Dallas,AL,828.6503477,504,2021
Fulton,GA,826.1767583,504,2021
Anchorage,AK,824.7217146,504,2021
Madison,FL,822.2981632,503,2021
Phillips,AR,818.6675817,503,2021
Sangamon,IL,817.9969369,503,2021
Haywood,TN,812.1158911,503,2021
Lucas,OH,810.9662621,503,2021
Robeson,NC,809.8427036,503,2021
Meade,KS,805.8945429,503,2021
Escambia,FL,798.51676,502,2021
Jefferson,AL,798.3574913,502,2021
Nicholas,WV,793.3756981,502,2021
Franklin,FL,793.2402138,502,2021
St. Clair,IL,782.1542957,502,2021
Orleans,LA,782.1184796,502,2021
Ector,TX,781.9089826,501,2021
Avoyelles,LA,777.2585293,501,2021
Rapides,LA,773.792033,501,2021
Sumter,SC,767.644257,501,2021
Comanche,OK,766.7864604,501,2021
Mississippi,AR,763.9897241,501,2021
Colleton,SC,762.1467132,500,2021
Modoc,CA,754.3456871,500,2021
Alameda,CA,753.6935735,500,2021
Sumter,GA,752.455044,500,2021
Darlington,SC,746.3016118,500,2021
Red River,LA,742.0733078,500,2021
Lubbock,TX,740.6920961,499,2021
Socorro,NM,739.3084622,499,2021
Duval,TX,738.8316151,499,2021
Bernalillo,NM,738.4818924,499,2021
Marion,TX,732.7796776,499,2021
Lee,SC,730.3646373,499,2021
Shasta,CA,725.2206951,498,2021
Laurens,SC,724.7580365,498,2021
North Slope,AK,722.6925459,498,2021
Hinds,MS,721.5219335,498,2021
Cibola,NM,720.6877629,498,2021
Tulsa,OK,719.1412721,498,2021
Putnam,FL,717.8582747,497,2021
Jefferson,TX,710.8948399,497,2021
Ohio,WV,706.6572141,497,2021
San Francisco,CA,701.4217104,497,2021
Bamberg,SC,699.9351912,497,2021
Merced,CA,696.3544912,497,2021
Harris,TX,696.1038338,496,2021
Jim Wells,TX,695.7773512,496,2021
Oklahoma,OK,694.8738489,496,2021
McKinley,NM,694.3307688,496,2021
Mississippi,MO,693.1802269,496,2021
Alpine,CA,690.2502157,496,2021
Calhoun,GA,689.8666258,495,2021
Dyer,TN,688.2474551,495,2021
Clark,NV,685.153077,495,2021
Guadalupe,NM,681.1689739,495,2021
San Juan,NM,675.0828044,495,2021
Fairfield,SC,675.0616643,495,2021
McDonald,MO,673.8186009,494,2021
Taylor,FL,673.754211,494,2021
