county,state,percentHighSchool,percentHighSchoolBucket,year
Autauga,AL,32.8,222,2021
Baldwin,AL,27.4,97,2021
Barbour,AL,36.7,329,2021
Bibb,AL,43.9,469,2021
Blount,AL,35.1,284,2021
Bullock,AL,41.3,427,2021
Butler,AL,45.2,482,2021
Calhoun,AL,34.6,272,2021
Chambers,AL,36.2,315,2021
Cherokee,AL,36.9,333,2021
Chilton,AL,42.9,453,2021
Choctaw,AL,37.5,346,2021
Clarke,AL,41.4,430,2021
Clay,AL,38.2,363,2021
Cleburne,AL,37.5,346,2021
Coffee,AL,28,106,2021
Colbert,AL,37.7,351,2021
Conecuh,AL,48.5,503,2021
Coosa,AL,41.8,437,2021
Covington,AL,38,357,2021
Crenshaw,AL,41.8,437,2021
Cullman,AL,32.4,211,2021
Dale,AL,30.9,170,2021
Dallas,AL,38.2,363,2021
DeKalb,AL,33.5,240,2021
Elmore,AL,32.1,202,2021
Escambia,AL,43.7,466,2021
Etowah,AL,33.8,249,2021
Fayette,AL,41,421,2021
Franklin,AL,42.2,443,2021
Geneva,AL,36.6,328,2021
Greene,AL,39.3,390,2021
Hale,AL,39.1,384,2021
Henry,AL,32.2,205,2021
Houston,AL,32.1,202,2021
Jackson,AL,38.3,366,2021
Jefferson,AL,26.4,80,2021
Lamar,AL,41.7,435,2021
Lauderdale,AL,35.1,284,2021
Lawrence,AL,41.3,427,2021
Lee,AL,22.1,33,2021
Limestone,AL,27.3,96,2021
Lowndes,AL,43.1,457,2021
Macon,AL,30,150,2021
Madison,AL,19.2,17,2021
Marengo,AL,35.7,302,2021
Marion,AL,35.6,298,2021
Marshall,AL,31.2,179,2021
Mobile,AL,34.2,260,2021
Monroe,AL,44.7,477,2021
Montgomery,AL,25.8,71,2021
Morgan,AL,31.2,179,2021
Perry,AL,40.1,404,2021
Pickens,AL,42.3,445,2021
Pike,AL,36.3,317,2021
Randolph,AL,34.4,268,2021
Russell,AL,29.5,138,2021
St. Clair,AL,35.2,287,2021
Shelby,AL,19.8,19,2021
Sumter,AL,33.5,240,2021
Talladega,AL,34.6,272,2021
Tallapoosa,AL,31.6,189,2021
Tuscaloosa,AL,29.8,146,2021
Walker,AL,34.6,272,2021
Washington,AL,42.5,448,2021
Wilcox,AL,39.2,386,2021
Winston,AL,38.7,375,2021
Aleutians East,AK,41.6,433,2021
Aleutians West,AK,43.4,462,2021
Anchorage,AK,23.7,46,2021
Bethel,AK,46.6,494,2021
Bristol Bay,AK,30.2,155,2021
Chugach,AK,23.3,43,2021
Copper River,AK,35.2,287,2021
Denali,AK,30.4,160,2021
Dillingham,AK,39.9,401,2021
Fairbanks North Star,AK,25.6,67,2021
Haines,AK,39.4,391,2021
Hoonah-Angoon,AK,36.5,323,2021
Juneau City,AK,21,27,2021
Kenai Peninsula,AK,30.9,170,2021
Ketchikan Gateway,AK,28.9,123,2021
Kodiak,AK,28.2,110,2021
Kusilvak,AK,55.6,511,2021
Lake and Peninsula,AK,40.7,416,2021
Matanuska-Susitna,AK,33,228,2021
Nome,AK,43.6,464,2021
North Slope,AK,41.4,430,2021
Northwest Arctic,AK,47.1,497,2021
Petersburg,AK,31,173,2021
Prince of Wales-Hyder,AK,38.1,359,2021
Sitka City,AK,25.4,65,2021
Skagway,AK,33.5,240,2021
Southeast Fairbanks,AK,38.1,359,2021
Wrangell City,AK,37,335,2021
Yakutat City,AK,44.6,476,2021
Yukon-Koyukuk,AK,42.3,445,2021
Apache,AZ,31,173,2021
Cochise,AZ,24.4,53,2021
Coconino,AZ,21.3,28,2021
Gila,AZ,28.5,115,2021
Graham,AZ,29.6,141,2021
Greenlee,AZ,32.6,216,2021
La Paz,AZ,34,255,2021
Maricopa,AZ,22,33,2021
Mohave,AZ,34.3,263,2021
Navajo,AZ,29.5,138,2021
Pima,AZ,21.4,29,2021
Pinal,AZ,30.4,160,2021
Santa Cruz,AZ,26.1,74,2021
Yavapai,AZ,25.2,61,2021
Yuma,AZ,26.6,84,2021
Arkansas,AR,41.9,438,2021
Ashley,AR,50.9,508,2021
Baxter,AR,34.7,275,2021
Benton,AR,29.4,135,2021
Boone,AR,33.8,249,2021
Bradley,AR,42.9,453,2021
Calhoun,AR,43.3,460,2021
Carroll,AR,35.2,287,2021
Chicot,AR,38.3,366,2021
Clark,AR,32,199,2021
Clay,AR,42.8,452,2021
Cleburne,AR,42.4,447,2021
Cleveland,AR,46.7,495,2021
Columbia,AR,39.8,399,2021
Conway,AR,41,421,2021
Craighead,AR,32.8,222,2021
Crawford,AR,34.1,257,2021
Crittenden,AR,35.4,292,2021
Cross,AR,41.8,437,2021
Dallas,AR,45.2,482,2021
Desha,AR,44.2,472,2021
Drew,AR,36.6,328,2021
Faulkner,AR,30.1,153,2021
Franklin,AR,41.6,433,2021
Fulton,AR,37.2,337,2021
Garland,AR,31.8,195,2021
Grant,AR,42.6,449,2021
Greene,AR,44.3,473,2021
Hempstead,AR,38.4,368,2021
Hot Spring,AR,39.1,384,2021
Howard,AR,41.8,437,2021
Independence,AR,37,335,2021
Izard,AR,33.2,233,2021
Jackson,AR,43.1,457,2021
Jefferson,AR,41.4,430,2021
Johnson,AR,40.9,419,2021
Lafayette,AR,45.9,488,2021
Lawrence,AR,38.9,379,2021
Lee,AR,45.6,485,2021
Lincoln,AR,48.2,502,2021
Little River,AR,43.6,464,2021
Logan,AR,44.4,474,2021
Lonoke,AR,37.8,353,2021
Madison,AR,49.9,507,2021
Marion,AR,36.6,328,2021
Miller,AR,36.2,315,2021
Mississippi,AR,41.3,427,2021
Monroe,AR,41.3,427,2021
Montgomery,AR,32.9,225,2021
Nevada,AR,51.3,509,2021
Newton,AR,37.9,355,2021
Ouachita,AR,40.5,412,2021
Perry,AR,43.4,462,2021
Phillips,AR,31.8,195,2021
Pike,AR,38.2,363,2021
Poinsett,AR,44.8,479,2021
Polk,AR,38.1,359,2021
Pope,AR,33.8,249,2021
Prairie,AR,42.4,447,2021
Pulaski,AR,25.7,69,2021
Randolph,AR,38.3,366,2021
St. Francis,AR,39.3,390,2021
Saline,AR,30.7,166,2021
Scott,AR,40.8,418,2021
Searcy,AR,39.6,394,2021
Sebastian,AR,29.6,141,2021
Sevier,AR,34.5,270,2021
Sharp,AR,39,381,2021
Stone,AR,34.5,270,2021
Union,AR,38,357,2021
Van Buren,AR,41.4,430,2021
Washington,AR,27.6,100,2021
White,AR,40.4,408,2021
Woodruff,AR,43.1,457,2021
Yell,AR,37.7,351,2021
Alameda,CA,16.7,8,2021
Alpine,CA,25.7,69,2021
Amador,CA,30.7,166,2021
Butte,CA,22.3,35,2021
Calaveras,CA,30.9,170,2021
Colusa,CA,30.5,162,2021
Contra Costa,CA,17.5,11,2021
Del Norte,CA,31,173,2021
El Dorado,CA,20.8,26,2021
Fresno,CA,22.7,37,2021
Glenn,CA,30.3,157,2021
Humboldt,CA,23.1,40,2021
Imperial,CA,25.6,67,2021
Inyo,CA,30.5,162,2021
Kern,CA,27.6,100,2021
Kings,CA,26.1,74,2021
Lake,CA,29.9,148,2021
Lassen,CA,32.4,211,2021
Los Angeles,CA,20.4,23,2021
Madera,CA,23.3,43,2021
Marin,CA,10.2,0,2021
Mariposa,CA,22.4,35,2021
Mendocino,CA,26.3,78,2021
Merced,CA,26.5,82,2021
Modoc,CA,32.5,214,2021
Mono,CA,22.4,35,2021
Monterey,CA,20.3,22,2021
Napa,CA,18,13,2021
Nevada,CA,19,16,2021
Orange,CA,17.2,9,2021
Placer,CA,17.6,11,2021
Plumas,CA,27.3,96,2021
Riverside,CA,26.9,87,2021
Sacramento,CA,22,33,2021
San Benito,CA,26.8,86,2021
San Bernardino,CA,26.9,87,2021
San Diego,CA,18.2,14,2021
San Francisco,CA,11.4,0,2021
San Joaquin,CA,28.8,121,2021
San Luis Obispo,CA,19.6,18,2021
San Mateo,CA,14.9,5,2021
Santa Barbara,CA,17.3,10,2021
Santa Clara,CA,13.7,3,2021
Santa Cruz,CA,15.9,6,2021
Shasta,CA,25.8,71,2021
Sierra,CA,29.5,138,2021
Siskiyou,CA,27.1,90,2021
Solano,CA,23.8,47,2021
Sonoma,CA,18.3,15,2021
Stanislaus,CA,30,150,2021
Sutter,CA,24.5,53,2021
Tehama,CA,29,125,2021
Trinity,CA,38.4,368,2021
Tulare,CA,26.5,82,2021
Tuolumne,CA,25.2,61,2021
Ventura,CA,19.8,19,2021
Yolo,CA,17.7,11,2021
Yuba,CA,23.2,42,2021
