county,state,medianHouseholdIncome,medianHouseholdIncomeBucket,year
Autauga,AL,62660,358,2021
Baldwin,AL,64346,381,2021
Barbour,AL,36422,32,2021
Bibb,AL,54277,231,2021
Blount,AL,52830,204,2021
Bullock,AL,29063,14,2021
Butler,AL,45236,101,2021
Calhoun,AL,50977,173,2021
Chambers,AL,47232,126,2021
Cherokee,AL,43475,80,2021
Chilton,AL,56243,267,2021
Choctaw,AL,38581,41,2021
Clarke,AL,44108,89,2021
Clay,AL,45163,100,2021
Cleburne,AL,48333,138,2021
Coffee,AL,59034,310,2021
Colbert,AL,52017,188,2021
Conecuh,AL,37986,38,2021
Coosa,AL,50013,159,2021
Covington,AL,46186,113,2021
Crenshaw,AL,43103,76,2021
Cullman,AL,52690,200,2021
Dale,AL,50052,160,2021
Dallas,AL,34957,26,2021
DeKalb,AL,44037,87,2021
Elmore,AL,67597,410,2021
Escambia,AL,38464,40,2021
Etowah,AL,46984,124,2021
Fayette,AL,43960,87,2021
Franklin,AL,43633,83,2021
Geneva,AL,43581,82,2021
Greene,AL,28826,13,2021
Hale,AL,32294,19,2021
Henry,AL,55870,261,2021
Houston,AL,50222,161,2021
Jackson,AL,43785,85,2021
Jefferson,AL,58330,300,2021
Lamar,AL,43324,78,2021
Lauderdale,AL,50000,159,2021
Lawrence,AL,51712,183,2021
Lee,AL,57191,281,2021
Limestone,AL,70736,433,2021
Lowndes,AL,31961,17,2021
Macon,AL,39303,44,2021
Madison,AL,71153,436,2021
Marengo,AL,35379,27,2021
Marion,AL,44551,93,2021
Marshall,AL,52938,206,2021
Mobile,AL,51169,176,2021
Monroe,AL,32631,20,2021
Montgomery,AL,52511,198,2021
Morgan,AL,56128,265,2021
Perry,AL,27057,12,2021
Pickens,AL,43389,79,2021
Pike,AL,40106,52,2021
Randolph,AL,47081,125,2021
Russell,AL,44065,88,2021
St. Clair,AL,65070,389,2021
Shelby,AL,82592,477,2021
Sumter,AL,27099,13,2021
Talladega,AL,45400,103,2021
Tallapoosa,AL,50652,167,2021
Tuscaloosa,AL,57508,285,2021
Walker,AL,47442,130,2021
Washington,AL,44512,93,2021
Wilcox,AL,36385,31,2021
Winston,AL,46096,111,2021
Aleutians East,AK,72258,441,2021
Aleutians West,AK,90708,491,2021
Anchorage,AK,88871,489,2021
Bethel,AK,57460,285,2021
Bristol Bay,AK,81563,474,2021
Chugach,AK,87868,486,2021
Copper River,AK,67439,408,2021
Denali,AK,78750,469,2021
Dillingham,AK,62115,350,2021
Fairbanks North Star,AK,78321,467,2021
Haines,AK,63355,368,2021
Hoonah-Angoon,AK,55990,264,2021
Juneau City,AK,90126,490,2021
Kenai Peninsula,AK,70609,432,2021
Ketchikan Gateway,AK,77820,466,2021
Kodiak,AK,83765,479,2021
Kusilvak,AK,37975,37,2021
Lake and Peninsula,AK,49688,155,2021
Matanuska-Susitna,AK,79300,470,2021
Nome,AK,63977,375,2021
North Slope,AK,83992,479,2021
Northwest Arctic,AK,68654,419,2021
Petersburg,AK,71696,439,2021
Prince of Wales-Hyder,AK,55857,261,2021
Sitka City,AK,82083,476,2021
Skagway,AK,75000,454,2021
Southeast Fairbanks,AK,68634,418,2021
Wrangell City,AK,54891,243,2021
Yakutat City,AK,72083,440,2021
Yukon-Koyukuk,AK,43405,79,2021
Apache,AZ,34788,26,2021
Cochise,AZ,55077,247,2021
Coconino,AZ,61888,349,2021
Gila,AZ,51406,179,2021
Graham,AZ,57105,280,2021
Greenlee,AZ,67723,411,2021
La Paz,AZ,39732,48,2021
Maricopa,AZ,72944,445,2021
Mohave,AZ,49738,156,2021
Navajo,AZ,46126,112,2021
Pima,AZ,59215,311,2021
Pinal,AZ,65488,392,2021
Santa Cruz,AZ,45089,98,2021
Yavapai,AZ,56170,266,2021
Yuma,AZ,52563,199,2021
Arkansas,AR,55022,245,2021
Ashley,AR,42683,72,2021
Baxter,AR,43530,81,2021
Benton,AR,76887,463,2021
Boone,AR,48625,142,2021
Bradley,AR,41972,66,2021
Calhoun,AR,55904,262,2021
Carroll,AR,53366,215,2021
Chicot,AR,33770,22,2021
Clark,AR,45351,103,2021
Clay,AR,39817,50,2021
Cleburne,AR,48400,139,2021
Cleveland,AR,48183,137,2021
Columbia,AR,41115,59,2021
Conway,AR,45812,109,2021
Craighead,AR,51788,184,2021
Crawford,AR,52057,189,2021
Crittenden,AR,46452,116,2021
Cross,AR,45247,102,2021
Dallas,AR,34337,24,2021
Desha,AR,33295,21,2021
Drew,AR,42891,73,2021
Faulkner,AR,54845,241,2021
Franklin,AR,42128,67,2021
Fulton,AR,36950,33,2021
Garland,AR,49985,158,2021
Grant,AR,62479,355,2021
Greene,AR,51367,179,2021
Hempstead,AR,43592,82,2021
Hot Spring,AR,46724,121,2021
Howard,AR,39558,46,2021
Independence,AR,50028,160,2021
Izard,AR,45318,102,2021
Jackson,AR,39154,44,2021
Jefferson,AR,43720,84,2021
Johnson,AR,40628,55,2021
Lafayette,AR,36083,30,2021
Lawrence,AR,40746,56,2021
Lee,AR,29082,14,2021
Lincoln,AR,49474,151,2021
Little River,AR,57614,287,2021
Logan,AR,46570,118,2021
Lonoke,AR,62561,356,2021
Madison,AR,47862,134,2021
Marion,AR,41038,58,2021
Miller,AR,46610,119,2021
Mississippi,AR,45740,107,2021
Monroe,AR,41667,63,2021
Montgomery,AR,41032,58,2021
Nevada,AR,42670,72,2021
Newton,AR,42817,72,2021
Ouachita,AR,43338,79,2021
Perry,AR,47500,131,2021
Phillips,AR,32235,18,2021
Pike,AR,46672,120,2021
Poinsett,AR,42854,73,2021
Polk,AR,43444,80,2021
Pope,AR,47322,128,2021
Prairie,AR,47335,128,2021
Pulaski,AR,55235,250,2021
Randolph,AR,42225,68,2021
St. Francis,AR,34981,26,2021
Saline,AR,68605,418,2021
Scott,AR,43577,82,2021
Searcy,AR,39627,47,2021
Sebastian,AR,50226,161,2021
Sevier,AR,49470,151,2021
Sharp,AR,37361,35,2021
Stone,AR,32813,20,2021
Union,AR,46444,116,2021
Van Buren,AR,40763,56,2021
Washington,AR,56610,273,2021
White,AR,46345,115,2021
Woodruff,AR,43717,84,2021
Yell,AR,51070,175,2021
Alameda,CA,112017,507,2021
Alpine,CA,96000,497,2021
Amador,CA,69955,428,2021
Butte,CA,59863,322,2021
Calaveras,CA,70119,429,2021
Colusa,CA,61861,348,2021
Contra Costa,CA,110455,506,2021
Del Norte,CA,53280,213,2021
El Dorado,CA,88770,488,2021
Fresno,CA,61276,340,2021
Glenn,CA,56332,268,2021
Humboldt,CA,53350,214,2021
Imperial,CA,49078,147,2021
Inyo,CA,60925,336,2021
Kern,CA,58824,307,2021
Kings,CA,63267,366,2021
Lake,CA,53399,216,2021
Lassen,CA,59292,313,2021
Los Angeles,CA,76367,460,2021
Madera,CA,66709,403,2021
Marin,CA,131008,511,2021
Mariposa,CA,53304,214,2021
Mendocino,CA,56378,269,2021
Merced,CA,58861,308,2021
Modoc,CA,51090,176,2021
Mono,CA,71138,435,2021
Monterey,CA,82013,476,2021
Napa,CA,97498,499,2021
Nevada,CA,74617,453,2021
Orange,CA,100485,501,2021
Placer,CA,99734,501,2021
Plumas,CA,57885,291,2021
Riverside,CA,76066,458,2021
Sacramento,CA,76422,460,2021
San Benito,CA,95606,497,2021
San Bernardino,CA,70287,430,2021
San Diego,CA,88240,487,2021
San Francisco,CA,126187,510,2021
San Joaquin,CA,74962,454,2021
San Luis Obispo,CA,82514,477,2021
San Mateo,CA,136837,511,2021
Santa Barbara,CA,84356,480,2021
Santa Clara,CA,140258,511,2021
Santa Cruz,CA,96093,498,2021
Shasta,CA,61937,349,2021
Sierra,CA,56152,266,2021
Siskiyou,CA,49857,157,2021
Solano,CA,89648,490,2021
Sonoma,CA,91607,492,2021
Stanislaus,CA,68368,417,2021
Sutter,CA,67003,405,2021
Tehama,CA,52901,205,2021
Trinity,CA,42206,67,2021
Tulare,CA,57394,283,2021
Tuolumne,CA,66846,404,2021
Ventura,CA,94150,495,2021
Yolo,CA,78386,468,2021
Yuba,CA,62666,358,2021
Adams,CO,78304,467,2021
Alamosa,CO,46217,114,2021
Arapahoe,CO,84947,481,2021
Archuleta,CO,62907,361,2021
Baca,CO,39891,50,2021
Bent,CO,40972,57,2021
Boulder,CO,92466,493,2021
Broomfield,CO,107570,504,2021
Chaffee,CO,61216,340,2021
Cheyenne,CO,69063,422,2021
Clear Creek,CO,76313,459,2021
Conejos,CO,38536,41,2021
Costilla,CO,35000,27,2021
Crowley,CO,37870,37,2021
Custer,CO,59877,322,2021
Delta,CO,51803,185,2021
Denver,CO,78177,467,2021
Dolores,CO,62500,356,2021
Douglas,CO,127443,510,2021
Eagle,CO,91338,492,2021
Elbert,CO,114904,508,2021
El Paso,CO,75909,458,2021
Fremont,CO,53411,216,2021
Garfield,CO,77212,464,2021
Gilpin,CO,96784,499,2021
Grand,CO,69353,425,2021
Gunnison,CO,63341,367,2021
Hinsdale,CO,45714,107,2021
Huerfano,CO,45724,107,2021
Jackson,CO,44667,94,2021
Jefferson,CO,93933,495,2021
Kiowa,CO,45476,104,2021
Kit Carson,CO,52917,205,2021
Lake,CO,73099,446,2021
La Plata,CO,75089,455,2021
Larimer,CO,80664,473,2021
Las Animas,CO,45118,99,2021
Lincoln,CO,46894,122,2021
Logan,CO,50998,174,2021
Mesa,CO,62127,351,2021
Mineral,CO,55556,255,2021
Moffat,CO,58583,304,2021
Montezuma,CO,58335,300,2021
Montrose,CO,57225,282,2021
Morgan,CO,62914,362,2021
Otero,CO,45826,109,2021
Ouray,CO,67228,407,2021
Park,CO,77775,466,2021
Phillips,CO,50951,173,2021
Pitkin,CO,92708,493,2021
Prowers,CO,44984,97,2021
Pueblo,CO,53430,216,2021
Rio Blanco,CO,58239,298,2021
Rio Grande,CO,50287,162,2021
Routt,CO,83725,479,2021
Saguache,CO,48413,139,2021
San Juan,CO,63333,367,2021
San Miguel,CO,70965,434,2021
Sedgwick,CO,44405,91,2021
Summit,CO,93505,494,2021
Teller,CO,68677,419,2021
Washington,CO,54141,228,2021
Weld,CO,80843,474,2021
Yuma,CO,56327,268,2021
Fairfield,CT,101194,501,2021
Hartford,CT,80320,473,2021
Litchfield,CT,84797,481,2021
Middlesex,CT,90833,491,2021
New Haven,CT,75043,454,2021
New London,CT,79040,469,2021
Tolland,CT,88525,488,2021
Windham,CT,71418,437,2021
Kent,DE,63715,372,2021
New Castle,DE,78428,468,2021
Sussex,DE,68886,421,2021
District of,,93547,494,2021
Alachua,FL,53314,214,2021
Baker,FL,63860,374,2021
Bay,FL,60473,330,2021
Bradford,FL,48803,145,2021
Brevard,FL,63632,372,2021
Broward,FL,64522,383,2021
Calhoun,FL,38098,38,2021
Charlotte,FL,57887,291,2021
Citrus,FL,48664,143,2021
Clay,FL,74059,451,2021
Collier,FL,75543,456,2021
Columbia,FL,47750,134,2021
DeSoto,FL,39945,51,2021
Dixie,FL,44287,90,2021
Duval,FL,59541,317,2021
Escambia,FL,56605,273,2021
Flagler,FL,62305,353,2021
Franklin,FL,52679,200,2021
Gadsden,FL,42661,71,2021
Gilchrist,FL,50983,174,2021
Glades,FL,38088,38,2021
Gulf,FL,53812,223,2021
Hamilton,FL,39346,45,2021
Hardee,FL,41395,61,2021
Hendry,FL,38843,42,2021
Hernando,FL,53301,214,2021
Highlands,FL,46895,122,2021
Hillsborough,FL,64164,378,2021
Holmes,FL,41809,64,2021
Indian River,FL,61594,344,2021
Jackson,FL,43416,79,2021
Jefferson,FL,53080,208,2021
Lafayette,FL,56458,271,2021
Lake,FL,60013,325,2021
Lee,FL,63235,365,2021
Leon,FL,57359,283,2021
Levy,FL,43029,75,2021
Liberty,FL,42438,70,2021
Madison,FL,39503,46,2021
Manatee,FL,64964,387,2021
Marion,FL,50808,170,2021
Martin,FL,69769,427,2021
Miami-Dade,FL,57815,290,2021
Monroe,FL,73153,447,2021
Nassau,FL,77504,465,2021
Okaloosa,FL,67390,408,2021
Okeechobee,FL,47020,124,2021
Orange,FL,65784,395,2021
Osceola,FL,58513,304,2021
Palm Beach,FL,68874,421,2021
Pasco,FL,58084,295,2021
Pinellas,FL,60451,330,2021
Polk,FL,55099,247,2021
Putnam,FL,39975,51,2021
St. Johns,FL,88794,489,2021
St. Lucie,FL,59807,321,2021
Santa Rosa,FL,77260,464,2021
Sarasota,FL,69490,426,2021
Seminole,FL,73002,446,2021
Sumter,FL,63323,367,2021
Suwannee,FL,47218,126,2021
Taylor,FL,43563,81,2021
Union,FL,55463,253,2021
Volusia,FL,56786,276,2021
Wakulla,FL,72941,445,2021
Walton,FL,68111,415,2021
Washington,FL,41806,64,2021
Appling,GA,39588,47,2021
Atkinson,GA,35741,29,2021
Bacon,GA,40391,53,2021
Baker,GA,33417,21,2021
Baldwin,GA,50413,163,2021
Banks,GA,57893,292,2021
Barrow,GA,68365,416,2021
Bartow,GA,65559,393,2021
Ben Hill,GA,34455,25,2021
Berrien,GA,44907,96,2021
Bibb,GA,43862,86,2021
Bleckley,GA,48786,144,2021
Brantley,GA,38211,39,2021
Brooks,GA,39770,49,2021
Bryan,GA,81032,474,2021
Bulloch,GA,50583,166,2021
Burke,GA,47837,134,2021
Butts,GA,53613,219,2021
Calhoun,GA,43549,81,2021
Camden,GA,61636,345,2021
Candler,GA,36763,32,2021
Carroll,GA,62498,355,2021
Catoosa,GA,62669,358,2021
Charlton,GA,45494,104,2021
Chatham,GA,61064,338,2021
Chattahoochee,GA,50018,159,2021
Chattooga,GA,37946,37,2021
Cherokee,GA,90681,491,2021
Clarke,GA,44070,88,2021
Clay,GA,35893,29,2021
Clayton,GA,51945,187,2021
Clinch,GA,47750,134,2021
Cobb,GA,86013,484,2021
Coffee,GA,44450,92,2021
Colquitt,GA,41623,63,2021
Columbia,GA,85928,483,2021
Cook,GA,45702,106,2021
Coweta,GA,83486,479,2021
Crawford,GA,53132,210,2021
Crisp,GA,41605,63,2021
Dade,GA,47675,132,2021
Dawson,GA,77630,465,2021
Decatur,GA,45134,100,2021
DeKalb,GA,69423,426,2021
Dodge,GA,41362,61,2021
Dooly,GA,39641,47,2021
Dougherty,GA,42225,68,2021
Douglas,GA,67731,412,2021
Early,GA,39665,47,2021
Echols,GA,45151,100,2021
Effingham,GA,72279,441,2021
Elbert,GA,39904,50,2021
Emanuel,GA,42880,73,2021
Evans,GA,49325,150,2021
Fannin,GA,49810,157,2021
Fayette,GA,96084,498,2021
Floyd,GA,52388,196,2021
Forsyth,GA,120999,509,2021
Franklin,GA,49636,154,2021
Fulton,GA,77635,465,2021
Gilmer,GA,60504,330,2021
Glascock,GA,53125,210,2021
Glynn,GA,60775,335,2021
Gordon,GA,50520,164,2021
Grady,GA,47721,133,2021
Greene,GA,65759,395,2021
Gwinnett,GA,75853,458,2021
Habersham,GA,56680,274,2021
Hall,GA,67571,410,2021
Hancock,GA,33946,23,2021
Haralson,GA,57752,289,2021
Harris,GA,82244,476,2021
Hart,GA,54506,236,2021
Heard,GA,55635,256,2021
Henry,GA,73491,449,2021
Houston,GA,70313,430,2021
Irwin,GA,42312,69,2021
Jackson,GA,73455,448,2021
Jasper,GA,52322,194,2021
Jeff Davis,GA,39668,47,2021
Jefferson,GA,42238,68,2021
Jenkins,GA,29061,14,2021
Johnson,GA,46292,115,2021
Jones,GA,61701,346,2021
Lamar,GA,53802,223,2021
Lanier,GA,33956,23,2021
Laurens,GA,42315,69,2021
Lee,GA,74935,454,2021
Liberty,GA,50617,167,2021
Lincoln,GA,44087,88,2021
Long,GA,52742,201,2021
Lowndes,GA,48703,144,2021
Lumpkin,GA,64179,379,2021
McDuffie,GA,50721,168,2021
McIntosh,GA,49951,158,2021
Macon,GA,33163,21,2021
Madison,GA,51854,185,2021
Marion,GA,47250,127,2021
Meriwether,GA,46789,122,2021
Miller,GA,51983,188,2021
Mitchell,GA,43427,79,2021
Monroe,GA,67154,406,2021
Montgomery,GA,48717,144,2021
Morgan,GA,71000,435,2021
Murray,GA,53821,223,2021
Muscogee,GA,50542,165,2021
Newton,GA,64767,385,2021
Oconee,GA,106165,504,2021
Oglethorpe,GA,58791,307,2021
Paulding,GA,80234,472,2021
Peach,GA,53215,212,2021
Pickens,GA,71637,438,2021
Pierce,GA,50820,171,2021
Pike,GA,76152,459,2021
Polk,GA,48958,146,2021
Pulaski,GA,44946,96,2021
Putnam,GA,55757,259,2021
Quitman,GA,31594,17,2021
Rabun,GA,48652,143,2021
Randolph,GA,28870,13,2021
Richmond,GA,46237,114,2021
Rockdale,GA,64230,379,2021
Schley,GA,50586,166,2021
Screven,GA,43167,77,2021
Seminole,GA,40579,55,2021
Spalding,GA,51972,188,2021
Stephens,GA,50194,161,2021
Stewart,GA,39020,43,2021
Sumter,GA,36687,32,2021
Talbot,GA,40719,55,2021
Taliaferro,GA,39670,48,2021
Tattnall,GA,49977,158,2021
Taylor,GA,36293,31,2021
Telfair,GA,42971,74,2021
Terrell,GA,38879,42,2021
Thomas,GA,52315,194,2021
Tift,GA,46245,114,2021
Toombs,GA,42975,74,2021
Towns,GA,53084,209,2021
Treutlen,GA,35441,28,2021
Troup,GA,49042,147,2021
Turner,GA,35828,29,2021
Twiggs,GA,45824,109,2021
Union,GA,52509,197,2021
Upson,GA,43257,78,2021
Walker,GA,48633,142,2021
Walton,GA,71692,439,2021
Ware,GA,39419,45,2021
Warren,GA,37309,34,2021
Washington,GA,39350,45,2021
Wayne,GA,45115,99,2021
Webster,GA,32083,18,2021
Wheeler,GA,26776,12,2021
White,GA,64729,385,2021
Whitfield,GA,52439,196,2021
Wilcox,GA,41406,61,2021
Wilkes,GA,43859,85,2021
Wilkinson,GA,34680,25,2021
Worth,GA,54791,240,2021
Hawaii,HI,68399,417,2021
Honolulu,HI,92600,493,2021
Kalawao,HI,79583,471,2021
Kauai,HI,86287,484,2021
Maui,HI,88249,487,2021
Ada,ID,75115,455,2021
Adams,ID,52746,202,2021
Bannock,ID,56472,271,2021
Bear Lake,ID,60337,329,2021
Benewah,ID,50257,162,2021
Bingham,ID,63106,364,2021
Blaine,ID,71749,439,2021
Boise,ID,64125,377,2021
Bonner,ID,55206,249,2021
Bonneville,ID,64928,386,2021
Boundary,ID,51261,177,2021
Butte,ID,41552,62,2021
Camas,ID,37367,35,2021
Canyon,ID,60716,333,2021
Caribou,ID,65528,392,2021
Cassia,ID,57547,286,2021
Clark,ID,48088,136,2021
Clearwater,ID,50787,170,2021
Custer,ID,47663,132,2021
Elmore,ID,48475,140,2021
Franklin,ID,56677,274,2021
Fremont,ID,61875,348,2021
Gem,ID,59957,324,2021
Gooding,ID,56734,275,2021
Idaho,ID,47508,131,2021
Jefferson,ID,69097,423,2021
Jerome,ID,61280,341,2021
Kootenai,ID,64936,387,2021
Latah,ID,56673,274,2021
Lemhi,ID,46105,112,2021
Lewis,ID,44028,87,2021
Lincoln,ID,55988,263,2021
Madison,ID,53498,218,2021
Minidoka,ID,56140,265,2021
Nez Perce,ID,61810,348,2021
Oneida,ID,64766,385,2021
Owyhee,ID,54669,238,2021
Payette,ID,59540,317,2021
Power,ID,52116,191,2021
Shoshone,ID,43188,77,2021
Teton,ID,75837,457,2021
Twin Falls,ID,57430,284,2021
Valley,ID,67528,409,2021
Washington,ID,45065,98,2021
Adams,IL,58587,304,2021
Alexander,IL,39871,50,2021
Bond,IL,53654,220,2021
Boone,IL,74076,451,2021
Brown,IL,59346,314,2021
Bureau,IL,59407,315,2021
Calhoun,IL,74792,454,2021
Carroll,IL,54959,244,2021
Cass,IL,58364,301,2021
Champaign,IL,56939,278,2021
Christian,IL,53188,211,2021
Clark,IL,66067,397,2021
Clay,IL,53900,224,2021
Clinton,IL,72468,443,2021
Coles,IL,48534,141,2021
Cook,IL,72121,440,2021
Crawford,IL,54942,243,2021
Cumberland,IL,66530,402,2021
DeKalb,IL,64019,376,2021
De Witt,IL,60401,329,2021
Douglas,IL,63142,364,2021
DuPage,IL,100292,501,2021
Edgar,IL,50843,171,2021
Edwards,IL,55833,260,2021
Effingham,IL,65590,394,2021
Fayette,IL,47744,133,2021
Ford,IL,55011,245,2021
Franklin,IL,47751,134,2021
Fulton,IL,53441,216,2021
Gallatin,IL,52597,199,2021
Greene,IL,54427,234,2021
Grundy,IL,81764,475,2021
Hamilton,IL,58306,299,2021
Hancock,IL,58188,297,2021
Hardin,IL,51738,184,2021
Henderson,IL,62202,352,2021
Henry,IL,62097,350,2021
Iroquois,IL,58481,303,2021
Jackson,IL,41699,64,2021
Jasper,IL,60237,327,2021
Jefferson,IL,54692,239,2021
Jersey,IL,71655,439,2021
Jo Daviess,IL,61289,341,2021
Johnson,IL,58502,303,2021
Kane,IL,88935,489,2021
Kankakee,IL,61664,346,2021
Kendall,IL,101816,502,2021
Knox,IL,45994,110,2021
Lake,IL,97127,499,2021
LaSalle,IL,62825,359,2021
Lawrence,IL,52020,189,2021
Lee,IL,62250,352,2021
Livingston,IL,61419,343,2021
Logan,IL,59809,321,2021
McDonough,IL,45704,106,2021
McHenry,IL,93801,495,2021
McLean,IL,70339,431,2021
Macon,IL,55954,263,2021
Macoupin,IL,58227,298,2021
Madison,IL,66882,404,2021
Marion,IL,53209,212,2021
Marshall,IL,60231,327,2021
Mason,IL,54415,234,2021
Massac,IL,57658,287,2021
Menard,IL,79743,471,2021
Mercer,IL,59972,324,2021
Monroe,IL,92950,494,2021
Montgomery,IL,59309,313,2021
Morgan,IL,55261,250,2021
Moultrie,IL,67309,407,2021
Ogle,IL,67534,410,2021
Peoria,IL,58426,302,2021
Perry,IL,53108,209,2021
Piatt,IL,77559,465,2021
Pike,IL,51529,181,2021
Pope,IL,48013,136,2021
Pulaski,IL,40197,53,2021
Putnam,IL,67419,408,2021
Randolph,IL,58093,295,2021
Richland,IL,59963,324,2021
Rock Island,IL,58974,309,2021
St. Clair,IL,63017,362,2021
Saline,IL,47541,131,2021
Sangamon,IL,66149,398,2021
