county,state,sexRatio,sexRatioBucket,year
Autauga,AL,93.9,66,2021
Baldwin,AL,95.2,94,2021
Barbour,AL,112.3,465,2021
Bibb,AL,121.6,487,2021
Blount,AL,100.6,298,2021
Bullock,AL,119.7,484,2021
Butler,AL,87.9,10,2021
Calhoun,AL,92.9,48,2021
Chambers,AL,92.4,43,2021
Cherokee,AL,97.9,184,2021
Chilton,AL,95.2,94,2021
Choctaw,AL,91.1,30,2021
Clarke,AL,91.3,32,2021
Clay,AL,97.0,148,2021
Cleburne,AL,96.0,117,2021
Coffee,AL,98.8,224,2021
Colbert,AL,94.6,81,2021
Conecuh,AL,95.4,100,2021
Coosa,AL,108.2,440,2021
Covington,AL,95.0,88,2021
Crenshaw,AL,94.4,76,2021
Cullman,AL,98.1,191,2021
Dale,AL,99.3,246,2021
Dallas,AL,86.3,6,2021
DeKalb,AL,99.2,240,2021
Elmore,AL,95.0,88,2021
Escambia,AL,104.7,404,2021
Etowah,AL,93.9,66,2021
Fayette,AL,99.0,232,2021
Franklin,AL,98.5,208,2021
Geneva,AL,96.8,141,2021
Greene,AL,92.5,44,2021
Hale,AL,91.2,31,2021
Henry,AL,91.4,33,2021
Houston,AL,93.0,49,2021
Jackson,AL,97.6,172,2021
Jefferson,AL,90.5,24,2021
Lamar,AL,98.5,208,2021
Lauderdale,AL,93.3,54,2021
Lawrence,AL,94.0,68,2021
Lee,AL,97.6,172,2021
Limestone,AL,100.6,298,2021
Lowndes,AL,92.5,44,2021
Macon,AL,85.2,4,2021
Madison,AL,96.8,141,2021
Marengo,AL,92.6,44,2021
Marion,AL,99.1,237,2021
Marshall,AL,98.8,224,2021
Mobile,AL,91.8,36,2021
Monroe,AL,91.7,35,2021
Montgomery,AL,89.8,19,2021
Morgan,AL,97.9,184,2021
Perry,AL,85.5,5,2021
Pickens,AL,91.4,33,2021
Pike,AL,92.2,41,2021
Randolph,AL,95.8,112,2021
Russell,AL,93.4,57,2021
St. Clair,AL,100.1,277,2021
Shelby,AL,94.4,76,2021
Sumter,AL,85.4,5,2021
Talladega,AL,93.7,62,2021
Tallapoosa,AL,95.6,106,2021
Tuscaloosa,AL,93.8,64,2021
Walker,AL,98.0,187,2021
Washington,AL,106.1,421,2021
Wilcox,AL,86.5,7,2021
Winston,AL,100.0,273,2021
Aleutians East,AK,144.4,503,2021
Aleutians West,AK,132.8,500,2021
Anchorage,AK,104.7,404,2021
Bethel,AK,110.6,456,2021
Bristol Bay,AK,130.1,497,2021
Chugach,AK,107.9,438,2021
Copper River,AK,109.0,445,2021
Denali,AK,114.6,471,2021
Dillingham,AK,107.1,433,2021
Fairbanks North Star,AK,118.4,483,2021
Haines,AK,114.5,471,2021
Hoonah-Angoon,AK,128.8,497,2021
Juneau City,AK,103.7,385,2021
Kenai Peninsula,AK,109.6,449,2021
Ketchikan Gateway,AK,106.6,427,2021
Kodiak,AK,111.5,460,2021
Kusilvak,AK,119.3,484,2021
Lake and Peninsula,AK,84.0,3,2021
Matanuska-Susitna,AK,108.8,444,2021
Nome,AK,109.7,451,2021
North Slope,AK,147.0,504,2021
Northwest Arctic,AK,116.5,477,2021
Petersburg,AK,107.4,435,2021
Prince of Wales-Hyder,AK,122.4,489,2021
Sitka City,AK,107.0,432,2021
Skagway,AK,100.8,305,2021
Southeast Fairbanks,AK,122.9,490,2021
Wrangell City,AK,130.5,498,2021
Yakutat City,AK,153.2,506,2021
Yukon-Koyukuk,AK,109.4,448,2021
Apache,AZ,98.8,224,2021
Cochise,AZ,104.1,393,2021
Coconino,AZ,97.4,163,2021
Gila,AZ,99.5,256,2021
Graham,AZ,115.4,474,2021
Greenlee,AZ,114.9,473,2021
La Paz,AZ,107.3,434,2021
Maricopa,AZ,98.8,224,2021
Mohave,AZ,102.9,369,2021
Navajo,AZ,101.9,341,2021
Pima,AZ,97.8,179,2021
Pinal,AZ,108.9,444,2021
Santa Cruz,AZ,92.2,41,2021
Yavapai,AZ,96.8,141,2021
Yuma,AZ,107.0,432,2021
Arkansas,AR,96.7,137,2021
Ashley,AR,94.7,82,2021
Baxter,AR,95.8,112,2021
Benton,AR,100.3,285,2021
Boone,AR,97.9,184,2021
Bradley,AR,90.2,22,2021
Calhoun,AR,103.6,384,2021
Carroll,AR,101.7,336,2021
Chicot,AR,100.3,285,2021
Clark,AR,90.2,22,2021
Clay,AR,93.4,57,2021
Cleburne,AR,100.1,277,2021
Cleveland,AR,86.6,7,2021
Columbia,AR,94.6,81,2021
Conway,AR,98.5,208,2021
Craighead,AR,95.4,100,2021
Crawford,AR,97.6,172,2021
Crittenden,AR,91.5,34,2021
Cross,AR,93.3,54,2021
Dallas,AR,94.0,68,2021
Desha,AR,87.3,9,2021
Drew,AR,92.9,48,2021
Faulkner,AR,95.8,112,2021
Franklin,AR,97.8,179,2021
Fulton,AR,96.1,121,2021
Garland,AR,93.3,54,2021
Grant,AR,100.4,289,2021
Greene,AR,97.9,184,2021
Hempstead,AR,88.3,12,2021
Hot Spring,AR,110.4,455,2021
Howard,AR,92.2,41,2021
Independence,AR,98.4,204,2021
Izard,AR,109.9,452,2021
Jackson,AR,98.9,228,2021
Jefferson,AR,98.9,228,2021
Johnson,AR,99.2,240,2021
Lafayette,AR,105.9,419,2021
Lawrence,AR,100.2,281,2021
Lee,AR,132.0,499,2021
Lincoln,AR,172.1,509,2021
Little River,AR,96.4,129,2021
Logan,AR,97.1,152,2021
Lonoke,AR,97.8,179,2021
Madison,AR,104.8,406,2021
Marion,AR,97.1,152,2021
Miller,AR,98.6,212,2021
Mississippi,AR,96.5,132,2021
Monroe,AR,92.7,45,2021
Montgomery,AR,102.0,344,2021
Nevada,AR,99.3,246,2021
Newton,AR,99.1,237,2021
Ouachita,AR,95.8,112,2021
Perry,AR,103.3,378,2021
Phillips,AR,86.8,8,2021
Pike,AR,97.9,184,2021
Poinsett,AR,95.9,114,2021
Polk,AR,95.9,114,2021
Pope,AR,98.3,200,2021
Prairie,AR,102.1,348,2021
Pulaski,AR,92.0,39,2021
Randolph,AR,102.6,361,2021
St. Francis,AR,127.7,496,2021
Saline,AR,96.5,132,2021
Scott,AR,114.6,471,2021
Searcy,AR,102.8,366,2021
Sebastian,AR,96.7,137,2021
Sevier,AR,100.5,293,2021
Sharp,AR,98.1,191,2021
Stone,AR,97.3,159,2021
Union,AR,94.8,84,2021
Van Buren,AR,97.6,172,2021
Washington,AR,101.1,316,2021
White,AR,95.8,112,2021
Woodruff,AR,93.7,62,2021
Yell,AR,103.6,384,2021
Alameda,CA,97.9,184,2021
Alpine,CA,119.2,484,2021
Amador,CA,121.1,486,2021
Butte,CA,98.6,212,2021
Calaveras,CA,99.1,237,2021
Colusa,CA,104.7,404,2021
Contra Costa,CA,96.7,137,2021
Del Norte,CA,114.5,471,2021
El Dorado,CA,99.8,267,2021
Fresno,CA,100.4,289,2021
Glenn,CA,103.0,372,2021
Humboldt,CA,99.7,263,2021
Imperial,CA,106.1,421,2021
Inyo,CA,103.1,374,2021
Kern,CA,105.9,419,2021
Kings,CA,123.3,491,2021
Lake,CA,101.1,316,2021
Lassen,CA,184.3,510,2021
Los Angeles,CA,98.2,196,2021
Madera,CA,94.7,82,2021
Marin,CA,96.9,144,2021
Mariposa,CA,104.8,406,2021
Mendocino,CA,98.9,228,2021
Merced,CA,103.1,374,2021
Modoc,CA,101.2,320,2021
Mono,CA,121.3,487,2021
Monterey,CA,104.5,400,2021
Napa,CA,100.4,289,2021
Nevada,CA,98.2,196,2021
Orange,CA,98.4,204,2021
Placer,CA,96.8,141,2021
Plumas,CA,102.0,344,2021
Riverside,CA,100.5,293,2021
Sacramento,CA,96.7,137,2021
San Benito,CA,102.2,351,2021
San Bernardino,CA,100.0,273,2021
San Diego,CA,102.5,359,2021
San Francisco,CA,105.1,411,2021
San Joaquin,CA,100.3,285,2021
San Luis Obispo,CA,103.2,376,2021
San Mateo,CA,99.2,240,2021
Santa Barbara,CA,101.1,316,2021
Santa Clara,CA,103.8,387,2021
Santa Cruz,CA,99.1,237,2021
Shasta,CA,97.8,179,2021
Sierra,CA,88.0,10,2021
Siskiyou,CA,101.3,323,2021
Solano,CA,100.1,277,2021
Sonoma,CA,96.5,132,2021
Stanislaus,CA,99.2,240,2021
Sutter,CA,101.0,312,2021
Tehama,CA,99.1,237,2021
Trinity,CA,104.4,398,2021
Tulare,CA,100.8,305,2021
Tuolumne,CA,108.6,442,2021
Ventura,CA,99.0,232,2021
Yolo,CA,94.6,81,2021
Yuba,CA,102.5,359,2021
Adams,CO,103.1,374,2021
Alamosa,CO,102.0,344,2021
Arapahoe,CO,99.5,256,2021
Archuleta,CO,102.3,354,2021
Baca,CO,97.8,179,2021
Bent,CO,165.3,509,2021
Boulder,CO,102.2,351,2021
Broomfield,CO,100.8,305,2021
Chaffee,CO,107.6,436,2021
Cheyenne,CO,103.2,376,2021
Clear Creek,CO,102.8,366,2021
Conejos,CO,101.6,332,2021
Costilla,CO,113.4,468,2021
